Hybridization REF	TCGA-D8-A141-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.43025
CREB3L1	0.90625
RPS11	0.258
PNMA1	0.7985
MMP2	1.577
C10orf90	-2.4385
ZHX3	-0.281166666666667
ERCC5	0.567
GPR98	-0.085875
RXFP3	0.2205
APBB2	1.471
PRO0478	-0.697125
KLHL13	-2.7105
PRSSL1	-0.5405
PDCL3	0.343166666666667
DECR1	0.091125
SALL1	-2.18733333333333
CADM4	0.722833333333333
RPS18	0.261142857142857
HNRPD	-0.828083333333333
CFHR5	1.01216666666667
SLC10A7	0.043875
OR2K2	-0.372
LMAN1	-0.547875
SUHW1	-3.83525
CHD8	0.3748
SUMO1	0.0722
GP1BA	1.9831
DDB1	0.0193333333333333
MYO9B	0.2844
MMP7	5.8815
CRNKL1	0.58225
C9orf45	-1.32316666666667
XAB2	-0.06775
RTN1	2.712125
KLHL14	-0.910375
TBX10	-1.142
CENPQ	-2.12025
UTY	-1.78492307692308
ZBTB12	-0.1715
DTNBP1	-0.2195
KBTBD8	-0.0823333333333333
ZEB1	2.534
ZG16	-1.55625
MIER1	0.7201
ADAM5P	-0.075
CHD9	-0.0963125
STK16	-0.3405
KIAA1486	-0.132
TOB2	1.01308333333333
BANK1	5.1705
OR2V2	-0.13425
GRM2	0.128833333333333
PROSC	0.789625
SPIN2B	-0.39525
PIR	-2.79822222222222
IPO9	-0.2773
EVC	1.7165
CXCL13	7.706
KIAA1199	0.9757
SORL1	1.01475
NAT10	-0.36725
CHD1	-0.41825
SYN3	-0.21775
SLC22A2	-0.0455
SERPINF1	2.46666666666667
WDR34	-0.45
OR7A17	0.278
C9orf11	-0.1725
RNF216L	-0.4013
LHB	-0.1585
STK25	-0.12125
TAOK3	1.104625
LOC152573	-3.141
C3orf39	0.095875
C14orf108	0.7186
CDC25B	-1.80581818181818
BMP3	0.4635
TMEM180	0.066
MAP1LC3C	0.61375
CRYGC	-0.65
POU3F1	-1.1336
C20orf32	-1.3885
CCDC95	-0.302
HIGD1B	3.99875
USP6NL	-0.1805
ABCD4	0.0868333333333333
DIMT1L	-0.811583333333333
TEK	1.323625
SLC25A46	-0.55325
LARP7	-1.133
CD160	1.1345
MT1JP	-1.02833333333333
