Hybridization REF	TCGA-AR-A0TV-01A-21R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.14183333333333
CREB3L1	0.04775
RPS11	-0.137875
PNMA1	0.311
MMP2	-0.476333333333333
C10orf90	-2.0005
ZHX3	0.948833333333333
ERCC5	-0.85825
GPR98	-0.266875
RXFP3	0.275
APBB2	2.0185
PRO0478	-0.7355
KLHL13	-4.7935
PRSSL1	-0.981666666666667
PDCL3	0.840333333333333
DECR1	0.557625
SALL1	-4.42766666666667
CADM4	0.0606666666666667
RPS18	0.175785714285714
HNRPD	-0.113083333333333
CFHR5	0.844
SLC10A7	0.802375
OR2K2	-0.7355
LMAN1	-0.4585
SUHW1	-3.573
CHD8	0.4481
SUMO1	-0.137
GP1BA	1.7245
DDB1	-0.7915
MYO9B	-0.2498
MMP7	2.9915
CRNKL1	0.896
C9orf45	-0.994
XAB2	-0.056625
RTN1	1.49525
KLHL14	-1.068125
TBX10	-1.0735
CENPQ	-0.70025
UTY	-1.03923076923077
ZBTB12	-0.024
DTNBP1	0.070125
KBTBD8	-1.182
ZEB1	-0.3885
ZG16	-2.31425
MIER1	0.971
ADAM5P	0.024
CHD9	-0.3244375
STK16	0.71525
KIAA1486	-0.441
TOB2	0.416083333333333
BANK1	2.80125
OR2V2	0.03075
GRM2	0.109833333333333
PROSC	0.50725
SPIN2B	-0.44125
PIR	-0.113444444444444
IPO9	-0.351
EVC	-0.197166666666667
CXCL13	6.07983333333333
KIAA1199	-1.6324
SORL1	-1.40775
NAT10	-0.60625
CHD1	0.13425
SYN3	-0.24975
SLC22A2	-0.447
SERPINF1	-0.234833333333333
WDR34	0.00625
OR7A17	0.50775
C9orf11	-0.2555
RNF216L	-0.8814
LHB	-0.2305
STK25	-0.818
TAOK3	1.09575
LOC152573	-2.768
C3orf39	0.78275
C14orf108	-0.0286
CDC25B	-1.82609090909091
BMP3	0.41
TMEM180	0.1605
MAP1LC3C	-0.2395
CRYGC	-0.54
POU3F1	-1.6709
C20orf32	-1.2415
CCDC95	0.0475
HIGD1B	3.4935
USP6NL	0.4025
ABCD4	-1.40933333333333
DIMT1L	-1.43433333333333
TEK	0.764125
SLC25A46	-0.9455
LARP7	-1.5321
CD160	0.773833333333333
MT1JP	0.653
PHF20	0.727
CPNE4	-1.78725
GTPBP1	0.145285714285714
RAB33B	0.939166666666667
