Hybridization REF	TCGA-AN-A0FV-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0439166666666667
CREB3L1	1.16375
RPS11	-0.165375
PNMA1	-0.0385
MMP2	1.0665
C10orf90	-2.27
ZHX3	0.0193333333333334
ERCC5	0.224
GPR98	0.25125
RXFP3	0.644
APBB2	1.1425
PRO0478	-1.084625
KLHL13	-1.97775
PRSSL1	-0.169333333333333
PDCL3	0.5305
DECR1	-0.4485
SALL1	-2.213
CADM4	0.571666666666667
RPS18	-0.823857142857143
HNRPD	-1.02025
CFHR5	0.414333333333333
SLC10A7	0.113125
OR2K2	0.6545
LMAN1	-1.394875
SUHW1	-1.298
CHD8	0.3204
SUMO1	0.7075
GP1BA	-0.2078
DDB1	-0.1195
MYO9B	-0.355
MMP7	5.4865
CRNKL1	1.13925
C9orf45	-1.60533333333333
XAB2	-0.0055
RTN1	0.81125
KLHL14	-1.137625
TBX10	0.6395
CENPQ	-1.11925
UTY	-1.18342857142857
ZBTB12	-0.155
DTNBP1	-0.86675
KBTBD8	-1.28133333333333
ZEB1	1.36633333333333
ZG16	1.61075
MIER1	0.5071
ADAM5P	-0.2535
CHD9	0.1730625
STK16	0.63625
KIAA1486	-0.507
TOB2	0.887416666666667
BANK1	2.22425
OR2V2	0.452
GRM2	0.158833333333333
PROSC	0.031625
SPIN2B	-0.04675
PIR	-1.28433333333333
IPO9	-0.0668
EVC	0.677833333333333
CXCL13	5.21683333333333
KIAA1199	-0.0619
SORL1	-0.5285
NAT10	-0.197
CHD1	-1.27125
SYN3	-0.08375
SLC22A2	-0.2525
SERPINF1	1.00316666666667
WDR34	-0.00125
OR7A17	0.546
C9orf11	-0.227
RNF216L	-0.6836
LHB	0.3015
STK25	-0.310375
TAOK3	0.30975
LOC152573	-4.13525
C3orf39	-0.213625
C14orf108	0.5379
CDC25B	-0.0203636363636364
BMP3	-0.0045
TMEM180	0.15
MAP1LC3C	-0.10225
CRYGC	-0.739
POU3F1	-1.1774
C20orf32	0.302
CCDC95	0.143
HIGD1B	3.83475
USP6NL	-0.266
ABCD4	-0.818166666666667
DIMT1L	-1.36691666666667
TEK	-0.174375
SLC25A46	-0.72075
LARP7	-1.038
CD160	-0.371
MT1JP	0.342166666666667
PHF20	0.11075
CPNE4	-0.359
GTPBP1	-0.333928571428571
RAB33B	1.49916666666667
ALDOC	-0.775875
ZNF212	-0.8035
NUDT1	-0.624833333333333
RFPL2	2.959
ZNF83	-0.441666666666667
GDPD5	2.015
PDCD4	-0.32115
CEP350	0.2035
OR10A2	0.1245
CST7	1.1015
CIAO1	-1.35125
SELL	0.092625
OR8J3	0.218
LTBP4	-0.350166666666667
SIRT6	0.3485
CCL19	0.50825
PPIL1	-0.8505
GBP7	0.0508333333333333
STK17A	-0.9456
ABR	0.41975
OR9G1	0.7005
FOXE1	-0.266125
CNGA3	-0.332
GML	0.36
CD38	-4.3465
ZDHHC6	-0.335833333333333
NEFH	-2.681
CTDSP2	0.185666666666667
PGBD5	-1.271
CCNY	0.0959285714285714
RMND5B	0.0838333333333333
ZNF257	-2.24175
FLJ22167	-0.390375
EXOSC7	-0.241666666666667
ROR2	0.79775
MAOA	-0.446375
TNNT3	0.118666666666667
GYPC	-1.2775
C7orf33	0.951
PLIN	0.392833333333333
LOC90826	-0.38575
RNF4	-0.9927
F8A1	1.0735
PLEKHG4	-2.47475
GRB2	1.13525
HIST1H2AD	0.9805
DUS3L	-1.21283333333333
EIF1	-0.313
RP5-1077B9.4	-1.38266666666667
FPGT	1.15375
GDF10	-2.044
COQ9	0.47925
GCC2	-0.124928571428571
RARRES3	0.087875
PLXNA1	-0.222
KIAA0100	0.7568
PMF1	-0.02225
FNDC1	5.41625
HS2ST1	-0.00416666666666665
CRELD2	0.04375
C8G	-1.232
CD82	0.8755
LIM2	-0.9245
UNQ6490	-0.1415
MMP16	0.171
DRD3	0.22225
C5orf26	-2.02525
C11orf73	1.509875
PTP4A2	-0.1985
OR4M2	1.0515
HPCA	-0.612666666666667
SEC14L1	-0.8835
CHFR	0.407625
EMILIN1	1.068875
NDUFS4	-0.7685
COL18A1	0.60875
PDZD3	0.1141
C9orf16	1.03766666666667
ERBB2IP	-0.6275
EMX2	3.71525
FUS	-1.0605
TF	-3.7361
CLCN4	0.186666666666667
CXorf56	0.3
C11orf72	0.437
ELAC2	-0.451666666666667
NPR1	-0.6615
ASS1	-1.4615
USP42	-0.07875
POLR2J	0.1105
SEC23IP	0.7645
UQCRC1	0.3435
LOC729603	-0.5625
C1orf71	-0.241875
POLG	-1.8795
ADAM23	-3.49525
TFR2	-1.2885
RICTOR	-1.2108
MGC39606	2.79525
C19orf55	-0.379125
SNAPC1	-0.499333333333333
GNA11	1.255125
CCDC52	0.00383333333333333
FSIP1	2.6135
UPF3A	-0.438625
IGSF11	-0.85
LAGE3	-0.55675
CHST6	-1.241
UNC13B	0.693125
TTLL4	-0.154875
ZNF687	0.1315
SDC2	-0.266
COX7A2	0.20875
LAMB4	-0.09225
FAM24A	0.7685
LRRTM3	-1.12283333333333
GPHB5	0.301
OR4C13	-0.091
EIF3EIP	0.0895
HABP4	-0.9565
TMEM125	3.54
CNTN2	0.37025
ASNSD1	-0.24925
FUT4	-0.632
ACF	-3.51825
LOC158381	0.2645
CDH8	-0.21275
AGPS	-2.182
C4orf18	3.548
PECI	0.0184166666666667
UNG	-0.859875
GSTP1	-2.082
DCUN1D5	-2.02233333333333
DKFZP564J0863	-1.39925
SLC9A3R1	2.71175
BCDO2	-1.360375
CHMP7	0.035875
REM2	3.3745
DNHD1	-0.158625
FKBP4	-0.706
ZNF350	1.76375
MGC11102	-0.101125
BST1	0.67625
KISS1R	0.8045
NCR2	0.3825
DEFB125	0.0655
UBE2W	1.224125
KRT15	-0.8975
C10orf99	0.3515
SCN11A	0.171875
GFI1	-3.04575
RDHE2	5.02933333333333
FHL1	-1.26916666666667
OSGEP	-0.29
GATA1	-3.3135
SMC6	-0.7965
TTTY14	-1.1445
LPIN3	-0.12325
RPL4	-1.0982
RBPMS	-0.0582
PRPF3	0.531166666666667
EMR1	-2.13
SPATA19	0.075
XCR1	0.1585
IRX3	1.1824
RBM6	-0.492
KLF4	-0.9937
UNC5CL	-1.2055
SEBOX	0.4965
BTK	-1.79125
KRCC1	0.7315
C6orf27	0.5635
SYTL5	-0.335
PRND	2.6125
LOC653319	-0.7935
PIGL	-2.299
