Hybridization REF	TCGA-E2-A109-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.256583333333333
CREB3L1	0.777
RPS11	0.185
PNMA1	0.9455
MMP2	-0.00666666666666669
C10orf90	-2.2685
ZHX3	0.285
ERCC5	-0.281
GPR98	0.638375
RXFP3	0.4215
APBB2	1.7445
PRO0478	-0.750375
KLHL13	-1.34
PRSSL1	-0.465
PDCL3	0.986333333333333
DECR1	1.696875
SALL1	-3.34266666666667
CADM4	0.603166666666667
RPS18	-0.181428571428571
HNRPD	-0.168916666666667
CFHR5	0.180333333333333
SLC10A7	0.26975
OR2K2	0.0485
LMAN1	-0.51325
SUHW1	-3.23975
CHD8	0.008
SUMO1	0.2815
GP1BA	0.0993
DDB1	-0.499
MYO9B	-0.2922
MMP7	4.437
CRNKL1	1.620875
C9orf45	-2.21016666666667
XAB2	0.09825
RTN1	0.4105
KLHL14	-0.533125
TBX10	-0.8635
CENPQ	-0.849
UTY	-0.764928571428571
ZBTB12	0.00950000000000001
DTNBP1	-0.3435
KBTBD8	-1.48833333333333
ZEB1	0.786166666666667
ZG16	3.8015
MIER1	0.14
ADAM5P	0.068
CHD9	-0.136
STK16	0.9985
KIAA1486	-0.563
TOB2	0.535083333333333
BANK1	2.296
OR2V2	0.12625
GRM2	0.142166666666667
PROSC	2.70075
SPIN2B	0.196
PIR	-0.995777777777778
IPO9	-0.4838
EVC	0.4185
CXCL13	4.69833333333333
KIAA1199	-0.3169
SORL1	1.65125
NAT10	-0.4295
CHD1	0.35675
SYN3	-0.19975
SLC22A2	-0.5
SERPINF1	1.05
WDR34	0.071
OR7A17	0.465
C9orf11	-0.17
RNF216L	-0.7612
LHB	0.0685
STK25	-0.689125
TAOK3	0.304625
LOC152573	-3.00425
C3orf39	0.089125
C14orf108	0.2023
CDC25B	0.171454545454545
BMP3	-0.0355
TMEM180	0.3315
MAP1LC3C	-0.3135
CRYGC	-0.3755
POU3F1	-0.9703
C20orf32	-0.7905
CCDC95	0.637
HIGD1B	3.77625
USP6NL	-0.49325
ABCD4	-0.515166666666667
DIMT1L	-0.518416666666667
TEK	1.294625
SLC25A46	-0.5355
LARP7	-1.4054
CD160	0.120833333333333
MT1JP	-0.758166666666667
PHF20	0.22975
CPNE4	-1.39225
GTPBP1	0.0795714285714286
RAB33B	1.4075
ALDOC	-0.48925
ZNF212	-0.68175
NUDT1	-0.137166666666667
RFPL2	-1.001
ZNF83	-0.268666666666667
GDPD5	-1.70725
PDCD4	0.7271
CEP350	0.07075
OR10A2	0.28225
CST7	0.51725
CIAO1	-0.345
SELL	0.85975
OR8J3	0.224
LTBP4	-0.162833333333333
SIRT6	-0.1075
CCL19	4.08825
PPIL1	-0.139
GBP7	0.211333333333333
STK17A	-0.9383
ABR	0.41025
OR9G1	0.4665
FOXE1	-0.711
CNGA3	0.611
GML	0.4935
CD38	-0.43225
ZDHHC6	-0.499666666666667
NEFH	-2.13725
CTDSP2	0.215083333333333
PGBD5	-1.55933333333333
CCNY	0.386
RMND5B	0.740416666666667
ZNF257	-0.7795
FLJ22167	-0.196625
EXOSC7	-0.0468333333333333
ROR2	0.83875
MAOA	1.31725
TNNT3	0.2065
GYPC	-1.17925
C7orf33	0.4095
PLIN	0.656166666666667
LOC90826	-0.02325
RNF4	-0.0668
F8A1	-0.0856666666666667
PLEKHG4	-0.67925
GRB2	0.1601
HIST1H2AD	1.76
DUS3L	-0.612666666666667
EIF1	0.2185
RP5-1077B9.4	-0.509666666666667
FPGT	0.81075
GDF10	-0.00483333333333333
COQ9	0.19425
GCC2	-0.118642857142857
RARRES3	1.533125
PLXNA1	-0.3656
KIAA0100	0.9473
PMF1	0.784
FNDC1	4.744
HS2ST1	-0.286083333333333
