Hybridization REF	TCGA-AO-A124-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.79875
CREB3L1	-0.4945
RPS11	0.86075
PNMA1	-0.982
MMP2	-1.3305
C10orf90	1.133
ZHX3	-1.37816666666667
ERCC5	0.18775
GPR98	-1.064375
RXFP3	0.2585
APBB2	-0.60275
PRO0478	-1.28625
KLHL13	-1.438
PRSSL1	-0.728166666666667
PDCL3	1.9625
DECR1	0.0285
SALL1	-3.60133333333333
CADM4	0.7825
RPS18	0.918571428571428
HNRPD	0.0780833333333333
CFHR5	0.236333333333333
SLC10A7	0.433875
OR2K2	0.2225
LMAN1	0.385875
SUHW1	-1.699
CHD8	-0.8072
SUMO1	0.3115
GP1BA	-0.0849
DDB1	-0.7125
MYO9B	-0.0623
MMP7	7.14025
CRNKL1	0.10875
C9orf45	-1.23716666666667
XAB2	0.160625
RTN1	0.07175
KLHL14	-1.252875
TBX10	-1.305
CENPQ	-0.01125
UTY	-0.753142857142857
ZBTB12	0.2595
DTNBP1	0.224625
KBTBD8	-0.34
ZEB1	-0.970333333333333
ZG16	-1.41925
MIER1	0.00640000000000001
ADAM5P	-0.162
CHD9	-0.186
STK16	0.41425
KIAA1486	-0.105
TOB2	0.234916666666667
BANK1	1.1885
OR2V2	0.06825
GRM2	0.187833333333333
PROSC	-0.46025
SPIN2B	1.051
PIR	-0.367444444444444
IPO9	-0.1413
EVC	-0.280833333333333
CXCL13	4.2985
KIAA1199	-2.8859
SORL1	0.334
NAT10	0.70625
CHD1	-0.774
SYN3	-0.45425
SLC22A2	-0.19625
SERPINF1	-1.31533333333333
WDR34	-0.26075
OR7A17	0.14875
C9orf11	0.561
RNF216L	-0.4884
LHB	0.101
STK25	-0.212875
TAOK3	1.27925
LOC152573	-2.19125
C3orf39	0.61375
C14orf108	0.4339
CDC25B	-0.0818181818181818
BMP3	-0.261
TMEM180	0.2715
MAP1LC3C	0.277
CRYGC	-0.2255
POU3F1	-1.1905
C20orf32	-1.143
CCDC95	-0.7025
HIGD1B	1.763
USP6NL	1.28775
ABCD4	-1.40816666666667
DIMT1L	-0.442666666666667
TEK	-0.090125
SLC25A46	-0.96175
LARP7	-2.179
CD160	0.1985
MT1JP	-1.3545
PHF20	0.2429375
CPNE4	-0.829
GTPBP1	0.0463571428571428
RAB33B	1.06116666666667
ALDOC	-0.805375
ZNF212	-0.217
NUDT1	0.601666666666667
RFPL2	-0.728
ZNF83	-0.573
GDPD5	-0.424625
PDCD4	0.76595
CEP350	0.29375
OR10A2	0.73225
CST7	0.32675
CIAO1	0.09225
SELL	0.725125
OR8J3	0.0445
LTBP4	-0.178833333333333
SIRT6	-0.4135
CCL19	2.4575
PPIL1	0.0695
GBP7	0.2415
STK17A	-0.9952
ABR	-1.106
OR9G1	-0.177
FOXE1	-0.51225
CNGA3	0.4585
GML	0.483
CD38	-1.43825
ZDHHC6	-0.203
NEFH	-3.841
CTDSP2	0.268416666666667
PGBD5	2.1055
CCNY	0.7125
RMND5B	0.166583333333333
ZNF257	-1.96675
FLJ22167	-0.238
EXOSC7	-0.579
ROR2	-0.077
MAOA	-2.089125
TNNT3	1.59616666666667
GYPC	-0.71775
C7orf33	0.8325
PLIN	0.119333333333333
LOC90826	0.21725
RNF4	-1.1392
F8A1	0.416166666666667
PLEKHG4	-0.368
GRB2	-0.252
HIST1H2AD	0.18475
DUS3L	-0.5785
EIF1	0.683
RP5-1077B9.4	-1.092
FPGT	1.37075
GDF10	3.37416666666667
COQ9	-0.0155
GCC2	0.326714285714286
RARRES3	0.4845
PLXNA1	-1.0362
KIAA0100	-0.8277
PMF1	0.24675
FNDC1	5.1755
HS2ST1	-0.33325
CRELD2	-0.5765
C8G	-0.688
CD82	2.132
LIM2	-0.8065
UNQ6490	-0.8555
MMP16	-0.01625
DRD3	-0.25975
C5orf26	-1.81025
C11orf73	-0.4285
PTP4A2	-0.929875
OR4M2	0.0995
HPCA	-0.7415
SEC14L1	-0.8505
CHFR	-0.72775
EMILIN1	0.17025
NDUFS4	0.01575
COL18A1	-1.01875
PDZD3	-0.0611
C9orf16	-0.0958333333333333
ERBB2IP	-0.1435
EMX2	1.04325
FUS	-1.06675
TF	-3.3291
CLCN4	2.848
CXorf56	1.1195
C11orf72	0.2325
ELAC2	-0.701333333333333
NPR1	-1.1945
ASS1	0.5795
USP42	0.683
POLR2J	-0.0015
SEC23IP	0.216333333333333
UQCRC1	-0.09925
LOC729603	-0.388
C1orf71	-0.029375
POLG	-0.6515
ADAM23	-4.7735
TFR2	-1.4375
RICTOR	-0.6281
MGC39606	1.46425
C19orf55	-0.075625
SNAPC1	-1.2895
GNA11	0.316125
CCDC52	0.568
FSIP1	-0.305
UPF3A	-0.179
IGSF11	-1.84466666666667
LAGE3	0.77975
CHST6	-0.9315
UNC13B	1.48825
TTLL4	1.78525
ZNF687	0.013375
SDC2	-0.9865
COX7A2	0.25075
LAMB4	-0.11425
FAM24A	0.332
LRRTM3	-0.536166666666667
GPHB5	0.21825
OR4C13	0.0575
EIF3EIP	0.400571428571429
HABP4	-1.008
TMEM125	2.06875
CNTN2	1.763
ASNSD1	-0.169
FUT4	1.336375
ACF	-4.05575
LOC158381	0.3865
CDH8	-0.23275
AGPS	0.0185
C4orf18	-0.532875
PECI	-1.66291666666667
UNG	0.387
GSTP1	-0.1195
DCUN1D5	-0.767666666666667
DKFZP564J0863	0.04825
SLC9A3R1	-0.44175
BCDO2	-0.66225
CHMP7	-0.818125
REM2	0.1135
DNHD1	-0.366125
FKBP4	-0.089875
ZNF350	0.72125
MGC11102	-0.1255
BST1	0.3515
KISS1R	0.562
NCR2	0.415
DEFB125	0.1275
UBE2W	0.555125
KRT15	4.65975
C10orf99	0.6485
SCN11A	0.121125
GFI1	-2.76675
RDHE2	-0.532
FHL1	-2.3375
OSGEP	-0.188166666666667
GATA1	-4.01016666666667
SMC6	-0.1475
TTTY14	-1.2105
LPIN3	-0.04675
RPL4	0.6508
RBPMS	-0.7443
PRPF3	-0.0736666666666667
EMR1	-2.325
SPATA19	-0.01175
XCR1	0.1725
IRX3	1.8991
RBM6	-0.75275
KLF4	-1.2986
UNC5CL	0.41425
SEBOX	-0.0525
BTK	-1.97675
KRCC1	1.4755
C6orf27	1.079
SYTL5	-0.7755
PRND	0.940625
LOC653319	-0.929
PIGL	-1.31675
HUS1	0.398666666666667
SFRS6	-1.47041666666667
C17orf77	0.3275
UIMC1	-0.918
FXYD2	-1.9241
LOC283152	0.88775
ZNF667	1.14075
ZCCHC12	-0.21775
TFEC	1.2318
ATP7B	-1.17433333333333
POLD2	0.195666666666667
RG9MTD1	0.58525
ACOT2	-0.2825
HIST1H4I	0.61625
PPARGC1A	-0.3687
ETFA	-0.6061
POLRMT	-0.54075
ZNF146	0.200375
MIA2	-0.6145
KLHL6	-1.77133333333333
HOXB5	-2.13525
NENF	0.561666666666667
CUGBP1	0.00850000000000001
PRSS22	2.16583333333333
CASC4	-0.5755
CUL4B	0.3122
CENPJ	-1.1323
PITX1	0.809666666666667
FLJ31033	1.24533333333333
CELSR3	-2.59316666666667
ZNF568	-0.21625
ITSN1	-0.540333333333333
EHBP1L1	-0.453333333333333
C19orf2	0.442
DCTN1	0.90975
LIN28B	-1.75716666666667
TNKS2	-0.11
C1QBP	-0.464125
CADPS2	0.159
SRMS	0.202
GJA9	0.332
MGC24975	-0.181166666666667
TRIM45	0.132
TSP50	1.52025
TCP1	-0.677
TMED7	-0.4525
CMA1	-0.099
CENPL	0.0563333333333333
PTCRA	-0.064
FST	-5.74825
VWCE	-4.38675
PAWR	0.03475
ABCC12	0.0685
LDLR	-1.285
ASTN2	-0.4532
LOC441212	-0.364125
GPATCH8	0.18625
TANC2	-1.47416666666667
KIF4A	-0.53175
C18orf18	0.2275
PGM1	0.208
KIAA0258	2.16525
CPD	1.63675
SNCAIP	-1.4135
DCT	-4.99483333333333
HLA-DOA	1.19377272727273
OR11L1	0.3815
UPK1B	2.11
DNAJB4	-0.00825000000000001
UGT1A8	0.0735
HIST1H4L	0.4405
PECR	-1.4725
HSPA2	0.8645
WFIKKN1	-2.04
SERP1	1.359875
SYDE2	0.11175
TACR2	0.2755
NUP85	-0.014
CD177	-0.351166666666667
LGR5	-1.3375
PIGG	-1.43975
PTHR1	-2.39866666666667
RAB5A	0.0838
FLJ13224	-0.091
USP9Y	-0.769833333333333
C7orf53	-1.909
LRP1B	-0.72875
XAF1	2.7041
ABCG8	-0.392
ANKDD1A	0.276666666666667
DAND5	0.00199999999999999
SPAG6	0.0411666666666667
LINCR	2.31325
ZDHHC22	-1.821125
CCDC60	-0.3005
THOC7	-0.839
TCTA	0.5185
OR8K3	0.62225
NY-REN-7	-0.23675
B2M	0.773
C6orf141	0.581875
LPPR4	2.03425
SQLE	-0.9125
SEPHS1	0.91525
BTBD14B	0.207642857142857
PLRG1	0.71725
SPG7	-0.9633125
ZNF614	-0.0538333333333333
PARD6G	-0.0396666666666667
INPP5B	-0.1384
GRPEL2	0.760875
PPID	-0.2947
TRIM56	-0.92725
UBE2J1	0.995125
IL20RA	2.57275
LOC387856	-0.0895
C1orf107	0.716166666666667
UTS2R	0.58675
C19orf22	-0.19025
SAFB2	-0.07775
KIAA0652	0.607375
KLRG1	-0.999
MS4A8B	0.0803333333333334
FRAG1	1.039
KIAA1546	0.6555
E2F4	-1.039
CLEC4M	0.1655
BTBD14A	-1.3475
KIAA0999	0.6287
GYPA	-2.94983333333333
TAC1	0.0765
TRAIP	-1.13316666666667
KIAA0232	-0.786
ERCC8	-0.02275
GPX4	-0.066375
KIAA0368	-1.005375
GPR157	-1.46116666666667
CTAGE4	0.1105
C9orf30	0.606166666666667
OR52A1	0.729
HSP90B3P	-0.5385
ALG9	-0.3624
BTBD10	0.33325
SDK2	0.325
BAIAP3	-2.0995
RABGGTB	-0.04325
ANKRD40	0.6115
KRT74	0.4595
CALCOCO2	-0.0598571428571429
SNCA	-5.12225
TMSL8	1.252375
C2orf53	0.1275
ESRRB	-0.13875
ARHGAP26	-0.306125
TDRD9	-3.12025
HRAS	-0.0306666666666667
KLRC4	-2.5075
JAGN1	-0.371833333333333
BSDC1	-0.69325
RNF43	-0.1658
NDUFAF1	-1.22425
PHF12	0.51475
OR1L3	0.2415
FOLR2	1.22766666666667
LYZL6	0.054
tcag7.1260	-2.4235
WSB1	-1.32983333333333
PROS1	-2.2495
OSTN	0.5895
PSMB8	0.92775
SOCS4	-0.038125
DDIT4L	1.45925
MAS1	0.458
MGC34796	0.92675
CSHL1	0.283333333333333
TBCCD1	1.36216666666667
ZBTB7C	-0.1875
AP2S1	-0.541625
P15RS	1.3531
VAT1	0.3752
SHANK3	0.376666666666667
TUFM	-0.2615
THEG	-0.31725
KRT34	-0.592
SGSM3	0.38175
TOMM22	0.356125
SOCS3	0.890666666666667
CPO	-0.3635
POP4	0.5205
BHLHB3	1.09825
MALL	3.504
OR1B1	0.199
PARK2	0.197
GPR124	-0.28725
LCE1E	0.23
RUVBL2	-0.52325
CGRRF1	-0.6592
ACPL2	0.73125
WNT10B	1.398125
BAIAP2L2	-0.39075
ISCA1	-0.2165
C1orf125	0.381875
RPAP1	-1.8515
RAI16	-1.06966666666667
RPL27	1.276375
NLRP9	0.259
EPN1	0.145
LOC388610	-1.56475
SLC35A1	1.4793
GAL	-3.409
SLC14A2	0.391
RDH11	-0.820333333333333
FAM138F	0.4965
AUH	-0.7345
FLJ40243	-0.10175
C14orf129	0.5625
MBD2	-0.0445
ABHD14B	-0.459375
PIGT	-0.94075
ALS2CR4	0.12075
ALAS1	1.2257
FOXO1	0.136333333333333
CRLF3	0.8015
C20orf107	-0.69
FARS2	1.41775
CCDC28A	0.50175
NPHP3	-1.2685
OR13F1	0.2845
TSEN54	-0.25875
DEFB106B	0.1591
OR8B4	-0.0455
STH	-0.67875
ZC3H14	0.167375
CBX2	-0.1705
TMEM49	-1.27875
C6orf21	0.6805
FLJ20920	-0.550125
CRTAP	-1.24692857142857
DDX50	0.28075
STYXL1	-0.41775
BLVRB	-0.659166666666667
LOC147650	-1.18366666666667
MMP24	0.51075
GRID1	0.448666666666667
BANF1	-0.637666666666667
CTAGEP	-0.1655
HMBS	-2.0295
SLC25A24	-0.152833333333333
C14orf50	0.5905
MRO	1.2
SLC25A15	-0.261
FAM84B	0.6843
TDP1	0.7265
C16orf78	0.220166666666667
C11orf57	-0.564375
RFK	-1.414125
ZFYVE9	0.708625
STCH	-0.5374
