Hybridization REF	TCGA-AN-A04C-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.2275
CREB3L1	1.0015
RPS11	0.604125
PNMA1	-0.4425
MMP2	-0.913333333333333
C10orf90	-1.814
ZHX3	-0.418833333333333
ERCC5	-0.0625
GPR98	-0.916333333333333
RXFP3	0.627
APBB2	-0.63775
PRO0478	-0.87475
KLHL13	-2.9335
PRSSL1	-0.359833333333333
PDCL3	0.966333333333333
DECR1	0.742
SALL1	-2.9518
CADM4	1.2555
RPS18	0.421071428571428
HNRPD	-0.669666666666667
CFHR5	0.9654
SLC10A7	1.275
OR2K2	0.208
LMAN1	-0.92025
SUHW1	-2.644
CHD8	0.8103
SUMO1	0.5962
GP1BA	0.3722
DDB1	0.720833333333333
MYO9B	-0.1636
MMP7	4.245
CRNKL1	0.632375
C9orf45	-2.49183333333333
XAB2	0.184875
RTN1	0.463125
KLHL14	-1.42025
TBX10	1.829
CENPQ	-2.18725
UTY	-0.837
ZBTB12	-0.8595
DTNBP1	-0.5885
KBTBD8	-1.01916666666667
ZEB1	-0.276833333333333
ZG16	0.3855
MIER1	0.3311
ADAM5P	0.562
CHD9	-0.0589375
STK16	0.3525
KIAA1486	-0.873
TOB2	1.01
BANK1	2.233
OR2V2	0.379
GRM2	0.193333333333333
PROSC	-0.33425
SPIN2B	-1.09425
PIR	-2.16588888888889
IPO9	0.0572
EVC	-0.733666666666667
CXCL13	4.65466666666667
KIAA1199	-1.7165
SORL1	1.4035
NAT10	-0.04725
CHD1	-1.11825
SYN3	0.6435
SLC22A2	-0.188
SERPINF1	-0.318333333333333
WDR34	0.21675
OR7A17	0.55425
C9orf11	-1.202
RNF216L	0.1483
LHB	0.2595
STK25	-0.076
TAOK3	-0.606625
LOC152573	-2.20275
C3orf39	-0.757875
C14orf108	0.3695
CDC25B	-1.09345454545455
BMP3	1.856
TMEM180	-0.399
MAP1LC3C	-0.04225
CRYGC	-0.025
POU3F1	-1.331
C20orf32	-0.303
CCDC95	-0.191
HIGD1B	2.91475
USP6NL	1.518375
ABCD4	-0.702666666666667
DIMT1L	-1.4685
TEK	0.9745
SLC25A46	-1.317
LARP7	-0.9614
CD160	1.17633333333333
MT1JP	0.217333333333333
PHF20	0.4220625
CPNE4	-0.3605
GTPBP1	-0.210357142857143
RAB33B	2.91133333333333
ALDOC	-2.757125
ZNF212	-0.377
NUDT1	-0.812166666666667
RFPL2	-0.470333333333333
ZNF83	-0.433166666666667
GDPD5	-1.17
PDCD4	1.0376
CEP350	0.733
OR10A2	0.61575
CST7	0.43675
CIAO1	-0.3915
SELL	0.65
OR8J3	0.0545
LTBP4	0.4045
SIRT6	-0.2015
CCL19	4.33
PPIL1	-0.5985
GBP7	0.194
STK17A	-0.9756
ABR	-0.396
OR9G1	-0.495
FOXE1	-0.18075
CNGA3	0.153
GML	0.944
CD38	-1.33
ZDHHC6	0.411166666666667
NEFH	-3.0805
CTDSP2	0.02725
PGBD5	-1.1025
CCNY	0.689071428571429
RMND5B	-0.16725
ZNF257	-2.71466666666667
FLJ22167	-0.312375
EXOSC7	-0.870166666666667
ROR2	-0.052125
MAOA	1.356
TNNT3	-0.346666666666667
GYPC	-1.76525
C7orf33	0.44
PLIN	2.03316666666667
LOC90826	2.35
RNF4	-1.2014
F8A1	0.242333333333333
PLEKHG4	-2.369
GRB2	0.71465
HIST1H2AD	1.00725
DUS3L	-1.00066666666667
EIF1	1.81516666666667
RP5-1077B9.4	-0.308166666666667
FPGT	1.1885
GDF10	-0.227833333333333
COQ9	-0.017
GCC2	0.0130714285714286
RARRES3	1.6115
PLXNA1	-0.575
KIAA0100	-1.0269
PMF1	0.037
FNDC1	4.0185
HS2ST1	-0.597416666666667
CRELD2	0.60175
C8G	-0.8515
CD82	1.899
LIM2	-0.235
UNQ6490	-1.0795
MMP16	-0.2535
DRD3	0.2005
C5orf26	-2.07875
C11orf73	-0.664875
PTP4A2	-0.737
OR4M2	0.5965
HPCA	-0.231166666666667
SEC14L1	-0.352166666666667
CHFR	-0.11525
EMILIN1	0.6885
NDUFS4	-1.09875
COL18A1	-0.1655
PDZD3	-0.6142
C9orf16	0.0181666666666667
ERBB2IP	-0.0408333333333333
EMX2	1.32525
FUS	-0.78975
TF	-3.5346
CLCN4	-0.478166666666667
CXorf56	-0.06575
C11orf72	-0.00149999999999999
ELAC2	-0.333833333333333
NPR1	0.349
ASS1	-0.575333333333333
USP42	0.366875
POLR2J	-0.691
SEC23IP	0.979166666666667
UQCRC1	-0.18925
LOC729603	-0.178
C1orf71	-0.305625
POLG	-1.5125
ADAM23	-3.68325
TFR2	-0.79
RICTOR	-0.5942
MGC39606	0.08175
C19orf55	-0.022875
SNAPC1	-1.43816666666667
GNA11	0.707375
CCDC52	0.164
FSIP1	-0.0885
UPF3A	-0.392625
IGSF11	-1.96566666666667
LAGE3	-0.08875
CHST6	-2.605
UNC13B	0.19275
TTLL4	0.449125
ZNF687	-0.117375
SDC2	-1.5815
COX7A2	-0.20575
LAMB4	0.271
FAM24A	-0.38
LRRTM3	-0.498
GPHB5	0.30275
OR4C13	-0.608
EIF3EIP	0.980142857142857
HABP4	-1.918
TMEM125	3.05
CNTN2	0.736375
ASNSD1	-0.41725
FUT4	0.555
ACF	-3.203
LOC158381	-0.3435
CDH8	-0.10225
AGPS	-2.5625
C4orf18	2.860875
PECI	0.56925
UNG	-0.268125
GSTP1	0.748625
DCUN1D5	-1.23166666666667
DKFZP564J0863	0.1455
SLC9A3R1	0.66475
BCDO2	-0.44925
CHMP7	-0.550125
REM2	0.0695
DNHD1	-0.286125
FKBP4	-0.01
ZNF350	1.299
MGC11102	0.3295
BST1	-0.057
KISS1R	0.73
NCR2	0.3155
DEFB125	1.1835
UBE2W	2.277125
KRT15	4.09325
C10orf99	0.5425
SCN11A	-0.0272857142857143
GFI1	-2.1535
RDHE2	5.38833333333333
FHL1	-1.52533333333333
OSGEP	-0.1005
GATA1	-3.15666666666667
SMC6	-0.25475
TTTY14	-0.546
LPIN3	-0.11775
RPL4	0.1437
RBPMS	-0.9004
PRPF3	-0.4355
EMR1	-2.091
SPATA19	0.16675
XCR1	0.705
IRX3	2.1092
RBM6	-0.44
KLF4	0.4487
UNC5CL	-1.488
SEBOX	0.221
BTK	-1.05975
KRCC1	0.30975
C6orf27	0.8625
SYTL5	-1.4495
PRND	1.025375
LOC653319	-1.18
PIGL	-1.506375
HUS1	-0.580333333333333
SFRS6	0.251583333333333
C17orf77	0.123
UIMC1	-0.982
FXYD2	-1.243
LOC283152	-0.836
ZNF667	0.373
ZCCHC12	-1.14166666666667
TFEC	1.8972
ATP7B	0.21
POLD2	-0.989666666666667
RG9MTD1	0.3425
ACOT2	0.1385
HIST1H4I	0.365125
