Hybridization REF	TCGA-C8-A12Q-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.350583333333333
CREB3L1	0.755
RPS11	0.248
PNMA1	-0.84625
MMP2	0.697166666666667
C10orf90	-1.968
ZHX3	-0.234166666666667
ERCC5	0.41375
GPR98	0.34275
RXFP3	0.7025
APBB2	1.2905
PRO0478	-0.83875
KLHL13	0.7655
PRSSL1	-0.8555
PDCL3	1.03216666666667
DECR1	0.377
SALL1	-2.25583333333333
CADM4	0.630166666666667
RPS18	0.258428571428571
HNRPD	-0.629833333333333
CFHR5	1.782
SLC10A7	1.117125
OR2K2	-0.1035
LMAN1	0.595
SUHW1	-3.877
CHD8	-0.2218
SUMO1	0.4563
GP1BA	1.4502
DDB1	0.0181666666666667
MYO9B	0.5543
MMP7	5.94525
CRNKL1	0.862125
C9orf45	-1.94883333333333
XAB2	0.044875
RTN1	1.07775
KLHL14	-1.314125
TBX10	-1.023
CENPQ	-1.41125
UTY	-1.50957142857143
ZBTB12	0.00899999999999999
DTNBP1	-0.3195
KBTBD8	-0.864833333333333
ZEB1	1.52816666666667
ZG16	-0.6265
MIER1	0.7305
ADAM5P	-0.3005
CHD9	0.632875
STK16	1.18325
KIAA1486	-0.958
TOB2	1.306
BANK1	4.40325
OR2V2	0.38575
GRM2	0.1795
PROSC	0.43075
SPIN2B	-0.277
PIR	-0.825888888888889
IPO9	-0.6952
EVC	0.5145
CXCL13	5.04283333333333
KIAA1199	-0.1343
SORL1	0.45975
NAT10	-1.301
CHD1	-1.1035
SYN3	0.049
SLC22A2	-0.8325
SERPINF1	0.66
WDR34	0.1805
OR7A17	0.7045
C9orf11	-0.5435
RNF216L	0.061
LHB	-0.1305
STK25	-0.463875
TAOK3	0.86775
LOC152573	-3.28225
C3orf39	-1.0085
C14orf108	1.2196
CDC25B	-0.455181818181818
BMP3	0.869
TMEM180	-0.2735
MAP1LC3C	0.104
CRYGC	-0.864
POU3F1	-1.223
C20orf32	-1.5135
CCDC95	-0.548
HIGD1B	3.92975
USP6NL	0.32875
ABCD4	-0.520666666666667
DIMT1L	-0.924666666666667
TEK	1.689375
SLC25A46	-0.05225
LARP7	-0.6331
CD160	0.203166666666667
MT1JP	-0.400333333333333
PHF20	0.32075
CPNE4	0.878
GTPBP1	-0.352571428571429
RAB33B	1.51166666666667
