Hybridization REF	TCGA-AN-A0FN-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.228083333333333
CREB3L1	1.92075
RPS11	0.549875
PNMA1	0.58575
MMP2	2.02283333333333
C10orf90	-1.39475
ZHX3	-0.407666666666667
ERCC5	0.492
GPR98	-1.06275
RXFP3	0.4035
APBB2	1.8185
PRO0478	-1.240375
KLHL13	-2.21325
PRSSL1	-0.852833333333333
PDCL3	-0.082
DECR1	0.042625
SALL1	-1.17266666666667
CADM4	0.341166666666667
RPS18	0.161785714285714
HNRPD	-0.819
CFHR5	0.02925
SLC10A7	0.20325
OR2K2	2.782
LMAN1	-0.60175
SUHW1	-2.5715
CHD8	0.0494
SUMO1	0.5094
GP1BA	2.3573
DDB1	-0.401166666666667
MYO9B	0.2134
MMP7	6.3385
CRNKL1	0.01825
C9orf45	-2.7265
XAB2	-0.55725
RTN1	2.238
KLHL14	-0.960875
TBX10	-1.338
CENPQ	-1.777
UTY	-1.23016666666667
ZBTB12	-1.9395
DTNBP1	-0.00712499999999999
KBTBD8	0.548
ZEB1	2.509
ZG16	-1.86725
MIER1	0.6658
ADAM5P	2.5385
CHD9	0.1835625
STK16	0.05675
KIAA1486	-0.0475
TOB2	1.2345
BANK1	4.72775
OR2V2	0.01475
GRM2	0.0623333333333333
PROSC	0.00624999999999996
SPIN2B	-0.0855
PIR	-2.22522222222222
IPO9	-0.8314
EVC	1.585
CXCL13	5.65916666666667
KIAA1199	0.1706
SORL1	1.779
NAT10	-0.84075
CHD1	-0.02875
SYN3	-0.267
SLC22A2	0.83925
SERPINF1	2.4835
WDR34	-0.8515
OR7A17	-0.47175
C9orf11	-1.0185
RNF216L	0.175
LHB	0.0375
STK25	-0.584375
TAOK3	0.8465
LOC152573	-1.561
C3orf39	0.40625
C14orf108	0.2628
CDC25B	-1.58063636363636
BMP3	-0.4485
TMEM180	-0.557
MAP1LC3C	0.83875
CRYGC	-0.464
POU3F1	-1.388
C20orf32	-1.3635
CCDC95	-0.7915
HIGD1B	4.574
USP6NL	0.0615
ABCD4	0.253666666666667
DIMT1L	-0.67075
TEK	2.419375
SLC25A46	-0.367
LARP7	-1.009
CD160	0.523
MT1JP	0.0053333333333333
PHF20	-0.3049375
CPNE4	-2.22075
GTPBP1	-0.438642857142857
RAB33B	0.681
ALDOC	-2.43625
ZNF212	-0.28675
NUDT1	-0.901
RFPL2	0.885
ZNF83	-0.3925
GDPD5	-0.407875
PDCD4	1.5935
CEP350	0.00150000000000002
OR10A2	0.341
CST7	2.45075
CIAO1	-0.829
SELL	2.035
OR8J3	-1.3045
LTBP4	-0.0873333333333333
SIRT6	-0.15825
CCL19	4.86925
PPIL1	-0.942
GBP7	-0.43975
STK17A	0.2043
ABR	0.42125
OR9G1	-0.785
FOXE1	-1.324375
CNGA3	0.87
GML	0.248
CD38	-0.57525
ZDHHC6	-0.0493333333333333
NEFH	-0.4495
CTDSP2	0.421
PGBD5	-1.99733333333333
CCNY	0.182857142857143
RMND5B	-0.0393333333333333
ZNF257	-0.83375
FLJ22167	-0.863625
EXOSC7	-0.6545
ROR2	1.449
MAOA	-0.00824999999999999
TNNT3	2.53566666666667
GYPC	-0.027
C7orf33	0.2615
PLIN	3.52716666666667
LOC90826	-0.43725
RNF4	-0.1572
F8A1	0.6275
PLEKHG4	-2.2815
GRB2	0.31185
HIST1H2AD	-0.46675
DUS3L	-0.898166666666667
EIF1	-0.089
RP5-1077B9.4	-1.23466666666667
FPGT	0.5755
GDF10	2.48283333333333
COQ9	-0.66925
GCC2	0.420142857142857
RARRES3	2.8305
PLXNA1	-0.3672
KIAA0100	-0.5413
PMF1	-0.288
FNDC1	5.41475
HS2ST1	0.0559166666666666
CRELD2	0.5345
C8G	-1.4075
CD82	1.15075
LIM2	-0.51
UNQ6490	-0.7845
MMP16	0.26
DRD3	-0.219
C5orf26	-0.47275
C11orf73	-0.05375
PTP4A2	1.03325
OR4M2	1.0685
HPCA	-1.314
SEC14L1	0.014
CHFR	-0.07525
EMILIN1	1.542625
NDUFS4	-0.2865
COL18A1	1.272625
PDZD3	-0.5454
C9orf16	0.212833333333333
ERBB2IP	0.455333333333333
EMX2	4.2925
FUS	-1.08775
TF	-4.04366666666667
CLCN4	-0.387
CXorf56	-0.73675
C11orf72	0.56525
ELAC2	-0.230833333333333
NPR1	0.2945
ASS1	-2.1085
USP42	0.210875
POLR2J	-0.669
SEC23IP	0.510666666666667
UQCRC1	-0.5335
LOC729603	-1.119
C1orf71	0.308
POLG	-2.8925
ADAM23	-1.42275
TFR2	-1.51325
RICTOR	-1.1581
