Hybridization REF	TCGA-AN-A0AT-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.145166666666667
CREB3L1	-0.43475
RPS11	0.6045
PNMA1	0.5125
MMP2	0.142
C10orf90	-1.91
ZHX3	-0.827666666666667
ERCC5	-0.6935
GPR98	-1.2335
RXFP3	0.5445
APBB2	-0.27175
PRO0478	-1.43175
KLHL13	-0.94625
PRSSL1	-1.17216666666667
PDCL3	0.710166666666667
DECR1	-0.20875
SALL1	-3.83233333333333
CADM4	0.659
RPS18	0.5715
HNRPD	-0.115416666666667
CFHR5	0.444166666666667
SLC10A7	-0.68075
OR2K2	0.084
LMAN1	0.490375
SUHW1	-2.2555
CHD8	-0.1005
SUMO1	1.4164
GP1BA	0.4895
DDB1	0.0536666666666667
MYO9B	-0.5487
MMP7	7.94925
CRNKL1	0.35225
C9orf45	-1.40983333333333
XAB2	0.818375
RTN1	0.91575
KLHL14	-1.212875
TBX10	-1.4875
CENPQ	-0.81475
UTY	-1.59923076923077
ZBTB12	-0.1485
DTNBP1	0.517875
KBTBD8	-1.16683333333333
ZEB1	-1.34866666666667
ZG16	-2.0665
MIER1	0.2076
ADAM5P	-0.0365
CHD9	0.200875
STK16	1.5495
KIAA1486	-0.0275
TOB2	1.1425
BANK1	3.598
OR2V2	0.177
GRM2	0.035
PROSC	-0.660875
SPIN2B	-0.36325
PIR	-0.224
IPO9	0.4549
EVC	0.195166666666667
CXCL13	7.15616666666667
KIAA1199	-0.421
SORL1	0.06725
NAT10	0.55425
CHD1	-0.9645
SYN3	-1.15075
SLC22A2	-0.58825
SERPINF1	-0.375333333333333
WDR34	-0.41675
OR7A17	0.41425
C9orf11	-0.421
RNF216L	-0.0378
LHB	0.156
STK25	-0.555125
TAOK3	0.154125
LOC152573	-2.7515
C3orf39	1.53575
C14orf108	-0.0404
CDC25B	-0.481363636363636
BMP3	0.32
TMEM180	-0.1915
MAP1LC3C	-0.11075
CRYGC	-0.1695
POU3F1	-1.3094
C20orf32	-1.8075
CCDC95	0.0565
HIGD1B	2.757
