Hybridization REF	TCGA-C8-A134-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.22475
CREB3L1	-0.495
RPS11	-0.119625
PNMA1	-0.545
MMP2	-1.032
C10orf90	-0.23875
ZHX3	1.15648231731787e-18
ERCC5	0.40125
GPR98	-2.43275
RXFP3	0.529
APBB2	0.641
PRO0478	-0.9325
KLHL13	-0.39475
PRSSL1	-0.430166666666667
PDCL3	0.9885
DECR1	0.556625
SALL1	-4.6015
CADM4	1.27266666666667
RPS18	-0.1365
HNRPD	0.538333333333333
CFHR5	0.9046
SLC10A7	-0.00550000000000001
OR2K2	-0.2255
LMAN1	-1.134375
SUHW1	-2.212
CHD8	-0.9207
SUMO1	1.2279
GP1BA	2.1245
DDB1	-0.0563333333333333
MYO9B	0.4001
MMP7	7.22875
CRNKL1	-0.562375
C9orf45	-2.0865
XAB2	0.014375
RTN1	1.527625
KLHL14	-1.438125
TBX10	-1.6175
CENPQ	-0.6675
UTY	-1.48669230769231
ZBTB12	0.0145
DTNBP1	0.0205
KBTBD8	-1.50216666666667
ZEB1	0.180333333333333
ZG16	-1.61775
MIER1	1.5671
ADAM5P	0.3795
CHD9	-0.1649375
STK16	0.58425
KIAA1486	-0.636
TOB2	0.5305
BANK1	3.77775
OR2V2	0.57925
GRM2	0.0826666666666667
PROSC	0.555625
SPIN2B	0.00925
PIR	-0.678666666666667
IPO9	0.7469
EVC	-0.719666666666667
CXCL13	6.08166666666667
KIAA1199	-2.8775
SORL1	0.8875
NAT10	-0.01725
CHD1	-0.86025
SYN3	-0.4215
SLC22A2	-1.04475
SERPINF1	-0.199833333333333
WDR34	-0.90675
OR7A17	0.127
C9orf11	0.4005
RNF216L	-0.0737
LHB	-0.056
STK25	-0.450625
TAOK3	1.131125
LOC152573	-4.16675
C3orf39	0.5605
C14orf108	-0.3354
CDC25B	-1.25545454545455
BMP3	0.2685
TMEM180	-0.000499999999999987
MAP1LC3C	0.52175
CRYGC	-1.4375
POU3F1	-1.2702
C20orf32	-1.258
CCDC95	-0.523
HIGD1B	3.13175
USP6NL	0.04275
ABCD4	-0.943833333333333
DIMT1L	-0.67675
TEK	1.05875
SLC25A46	-0.6485
LARP7	-0.5362
CD160	0.837
MT1JP	1.35733333333333
PHF20	-1.208625
CPNE4	-2.186
GTPBP1	0.0851428571428572
RAB33B	1.22183333333333
ALDOC	-3.247625
ZNF212	0.33475
NUDT1	-0.909666666666667
RFPL2	-0.0445
ZNF83	-0.204666666666667
GDPD5	-1.1465
PDCD4	0.1877
CEP350	0.69525
OR10A2	0.23375
CST7	1.687
CIAO1	-0.482
SELL	1.936375
OR8J3	0.0985
LTBP4	-0.231333333333333
SIRT6	0.218
CCL19	4.2875
PPIL1	-0.296833333333333
GBP7	1.725
STK17A	-0.5733
ABR	-0.087
OR9G1	-0.204
FOXE1	0.73075
CNGA3	0.4855
GML	0.211
CD38	-0.309
ZDHHC6	0.1415
NEFH	-2.927
CTDSP2	-0.0995
PGBD5	0.418666666666667
CCNY	0.0206428571428571
RMND5B	-0.562
ZNF257	-0.77325
FLJ22167	0.127875
EXOSC7	-0.94
ROR2	-0.138125
MAOA	-2.20625
TNNT3	0.176333333333333
GYPC	0.61175
C7orf33	0.582
PLIN	0.543333333333333
LOC90826	-0.695
RNF4	0.3844
F8A1	-0.388833333333333
PLEKHG4	-0.3345
GRB2	-0.0623
HIST1H2AD	0.11
DUS3L	-0.699
EIF1	0.106833333333333
RP5-1077B9.4	-0.6255
FPGT	0.635
GDF10	0.927
COQ9	-0.40425
GCC2	0.117785714285714
RARRES3	1.87275
PLXNA1	0.2971
KIAA0100	-1.1099
PMF1	0.03325
FNDC1	5.2565
HS2ST1	0.1965
CRELD2	1.02
C8G	-0.955
CD82	2.19375
LIM2	-0.8785
UNQ6490	-0.3135
MMP16	-0.765
DRD3	-0.0155
C5orf26	-1.3005
C11orf73	0.239125
PTP4A2	-0.49675
OR4M2	0.859
HPCA	-0.256333333333333
SEC14L1	-0.2555
CHFR	1.10575
EMILIN1	1.176625
NDUFS4	-0.84275
COL18A1	0.319875
PDZD3	0.069
C9orf16	-0.766
ERBB2IP	0.185333333333333
EMX2	2.72825
FUS	-0.4255
TF	-2.6864
CLCN4	2.338
CXorf56	1.216
C11orf72	0.31275
ELAC2	-0.968166666666667
NPR1	-0.7905
ASS1	-0.611333333333333
USP42	0.434375
