Hybridization REF	TCGA-A2-A0SV-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.559916666666667
CREB3L1	1.28875
RPS11	-0.247125
PNMA1	-0.32075
MMP2	1.274
C10orf90	-1.65975
ZHX3	-0.626166666666667
ERCC5	-0.76125
GPR98	1.0855
RXFP3	0.3465
APBB2	0.7285
PRO0478	-1.1055
KLHL13	-3.02575
PRSSL1	-0.249666666666667
PDCL3	0.592666666666667
DECR1	0.583625
SALL1	-3.09466666666667
CADM4	0.0725
RPS18	-0.565
HNRPD	-1.08716666666667
CFHR5	0.2105
SLC10A7	0.490125
OR2K2	0.5305
LMAN1	-0.86
SUHW1	-3.35475
CHD8	-0.7185
SUMO1	0.3077
GP1BA	-0.1344
DDB1	0.007
MYO9B	0.1993
MMP7	5.825
CRNKL1	1.115
C9orf45	-1.84183333333333
XAB2	0.062625
RTN1	1.499
KLHL14	-1.5285
TBX10	-0.865
CENPQ	-0.911
UTY	-1.055
ZBTB12	-0.482
DTNBP1	-0.22325
KBTBD8	-1.00883333333333
ZEB1	0.0181666666666667
ZG16	-0.6595
MIER1	0.051
ADAM5P	-0.83
CHD9	-0.024625
STK16	1.4115
KIAA1486	-0.293
TOB2	0.211083333333333
BANK1	2.2835
OR2V2	0.16925
GRM2	-0.115666666666667
PROSC	1.7355
SPIN2B	0.53075
PIR	-0.652888888888889
IPO9	0.0485
EVC	1.26183333333333
CXCL13	2.95516666666667
KIAA1199	0.8894
SORL1	-0.3605
NAT10	-0.1525
CHD1	-0.63775
SYN3	-0.28175
SLC22A2	-0.354
SERPINF1	1.4185
WDR34	0.403
OR7A17	0.254
C9orf11	-0.105
RNF216L	-0.4053
LHB	-0.1425
STK25	-0.40125
TAOK3	1.02775
LOC152573	-3.29925
C3orf39	0.626375
C14orf108	0.00440000000000002
CDC25B	-0.210727272727273
BMP3	0.615
TMEM180	0.126
MAP1LC3C	0.36725
CRYGC	-0.438
POU3F1	-1.3727
C20orf32	-1.009
CCDC95	-0.153
HIGD1B	3.24575
USP6NL	0.426625
ABCD4	-0.757166666666667
DIMT1L	-0.710666666666667
TEK	0.95425
SLC25A46	-0.30675
LARP7	-1.8625
CD160	0.0335
MT1JP	0.2275
PHF20	0.365125
CPNE4	-1.5035
GTPBP1	-0.277642857142857
RAB33B	0.38
ALDOC	-1.62325
ZNF212	-0.5865
NUDT1	-0.323666666666667
RFPL2	-1.01975
ZNF83	0.062
GDPD5	-1.414625
PDCD4	1.0949
CEP350	0.01175
OR10A2	0.27525
CST7	0.7405
CIAO1	-0.6255
SELL	1.358125
OR8J3	0.299
LTBP4	-0.745333333333333
SIRT6	0.16375
CCL19	2.71575
PPIL1	-0.677166666666667
GBP7	1.00216666666667
STK17A	-0.8824
ABR	0.373
OR9G1	0.611
FOXE1	-0.744125
CNGA3	1.825
GML	0.674
CD38	-1.8285
ZDHHC6	-0.410166666666667
NEFH	-2.4525
CTDSP2	0.755666666666667
PGBD5	-1.226
CCNY	0.248
RMND5B	1.38358333333333
ZNF257	-1.76025
FLJ22167	0.793875
EXOSC7	0.164333333333333
ROR2	2.529
MAOA	-1.288
TNNT3	0.0693333333333333
GYPC	-1.193
C7orf33	0.6325
PLIN	1.04583333333333
LOC90826	-0.5525
RNF4	0.0352
F8A1	0.532
PLEKHG4	-2.69175
GRB2	0.407
HIST1H2AD	0.1345
DUS3L	-0.626833333333333
EIF1	-0.5905
RP5-1077B9.4	-0.7675
FPGT	1.098
GDF10	-1.0715
COQ9	0.91325
GCC2	-0.593
RARRES3	3.4895
PLXNA1	-0.5116
