Hybridization REF	TCGA-A2-A0CS-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.470916666666667
CREB3L1	1.94525
RPS11	0.136
PNMA1	0.38025
MMP2	1.26866666666667
C10orf90	-1.27075
ZHX3	-0.166166666666667
ERCC5	0.09675
GPR98	-0.342857142857143
RXFP3	-0.081
APBB2	1.55
PRO0478	-1.171125
KLHL13	-3.458
PRSSL1	0.207166666666667
PDCL3	0.227333333333333
DECR1	0.059875
SALL1	-2.051
CADM4	1.3055
RPS18	-0.0779285714285714
HNRPD	-1.17025
CFHR5	0.887166666666667
SLC10A7	-0.175875
OR2K2	0.116
LMAN1	-0.70075
SUHW1	-3.0385
CHD8	1.043
SUMO1	0.72
GP1BA	0.0782
DDB1	0.1575
MYO9B	-0.6094
MMP7	5.0245
CRNKL1	1.160625
C9orf45	-2.259
XAB2	0.932125
RTN1	1.342875
KLHL14	-1.12675
TBX10	-0.7965
CENPQ	-2.23325
UTY	-1.19457142857143
ZBTB12	-0.00649999999999998
DTNBP1	-0.872375
KBTBD8	-1.93716666666667
ZEB1	1.4865
ZG16	-1.57375
MIER1	0.8973
ADAM5P	-0.225
CHD9	0.1434375
STK16	-1.145
KIAA1486	-0.2345
TOB2	0.618416666666667
BANK1	2.844
OR2V2	0.22625
GRM2	0.0715
PROSC	0.546625
SPIN2B	-0.42625
PIR	-2.33388888888889
IPO9	0.2295
EVC	1.4305
CXCL13	3.86716666666667
KIAA1199	-1.2991
SORL1	1.87325
NAT10	-0.7455
CHD1	-0.1295
SYN3	-0.456
SLC22A2	-0.01625
SERPINF1	1.64033333333333
WDR34	-0.324
OR7A17	0.241
C9orf11	-0.182
RNF216L	0.00829999999999997
LHB	-0.2255
STK25	-1.433375
TAOK3	1.67025
LOC152573	-2.739
C3orf39	0.661125
C14orf108	0.8927
CDC25B	-2.41536363636364
BMP3	0.873
TMEM180	0.3515
MAP1LC3C	0.37
CRYGC	-0.542
POU3F1	-1.3663
C20orf32	-1.1835
CCDC95	-0.1375
HIGD1B	3.61125
USP6NL	0.052625
ABCD4	0.0351666666666667
DIMT1L	-0.65475
TEK	0.48575
SLC25A46	-0.5655
LARP7	-1.1488
CD160	-0.0298333333333334
MT1JP	-0.855
PHF20	0.454875
CPNE4	2.70575
GTPBP1	-0.2105
RAB33B	0.748666666666667
ALDOC	-2.38775
ZNF212	-0.56525
NUDT1	-0.351166666666667
RFPL2	-0.37875
ZNF83	0.387333333333333
GDPD5	-1.171
PDCD4	1.40815
CEP350	0.6935
OR10A2	0.416
CST7	0.62925
CIAO1	-1.32175
SELL	0.5065
OR8J3	0.4555
LTBP4	-0.3515
SIRT6	-0.14225
CCL19	1.72625
PPIL1	-0.8285
GBP7	-0.150333333333333
STK17A	-1.1688
ABR	0.3925
OR9G1	0.4975
FOXE1	-0.562875
CNGA3	2.8805
GML	0.637
CD38	-4.646
ZDHHC6	0.289666666666667
NEFH	-2.62875
CTDSP2	0.387916666666667
PGBD5	-1.92833333333333
CCNY	0.0660714285714286
RMND5B	0.867416666666667
ZNF257	0.73175
FLJ22167	0.11125
EXOSC7	-0.716166666666667
ROR2	1.1125
MAOA	0.684
TNNT3	0.0915
GYPC	-2.204
C7orf33	0.3115
PLIN	0.513
LOC90826	0.089
RNF4	-0.3411
F8A1	0.446
PLEKHG4	-0.928
GRB2	0.2402
HIST1H2AD	0.48475
DUS3L	-1.11266666666667
EIF1	-0.453666666666667
RP5-1077B9.4	-1.63883333333333
FPGT	1.55375
GDF10	-0.724333333333333
COQ9	-0.934
GCC2	0.410785714285714
RARRES3	3.470375
PLXNA1	-0.9526
KIAA0100	-0.3066
PMF1	-0.07175
FNDC1	5.49775
HS2ST1	-1.67075
CRELD2	0.101
C8G	-2.5365
CD82	0.88375
LIM2	-0.908
UNQ6490	-0.134
MMP16	0.91525
DRD3	0.16475
C5orf26	-0.9415
C11orf73	-0.03325
PTP4A2	1.2685
OR4M2	0.193
HPCA	-1.6535
SEC14L1	-0.434833333333333
CHFR	-0.19575
EMILIN1	0.767
NDUFS4	0.09825
COL18A1	-0.947
PDZD3	0.0233
C9orf16	0.291166666666667
ERBB2IP	0.205833333333333
EMX2	5.038
FUS	-1.3125
TF	-3.8152
CLCN4	-0.636333333333333
CXorf56	-0.06075
C11orf72	0.47775
ELAC2	-0.419666666666667
NPR1	-1.377
ASS1	-3.768
USP42	0.494
POLR2J	-0.5395
SEC23IP	1.53233333333333
UQCRC1	-0.0355
LOC729603	-0.24575
C1orf71	0.33875
POLG	-2.2055
ADAM23	-3.678
TFR2	-1.1715
RICTOR	-1.114
MGC39606	0.9
C19orf55	-0.28
SNAPC1	-0.873333333333333
GNA11	0.72275
CCDC52	1.36783333333333
FSIP1	5.3295
UPF3A	-0.08625
IGSF11	-2.28233333333333
LAGE3	-0.59375
CHST6	-0.965
UNC13B	0.757875
TTLL4	-1.6125
ZNF687	0.9825
SDC2	0.5183
COX7A2	-0.106
LAMB4	-0.13175
FAM24A	0.398
LRRTM3	-0.854
GPHB5	0.304
OR4C13	-0.2135
EIF3EIP	-0.174785714285714
HABP4	-0.8665
TMEM125	3.11675
CNTN2	0.071625
ASNSD1	0.045
FUT4	-0.387125
ACF	-3.60775
LOC158381	0.669
CDH8	0.31525
AGPS	-0.796666666666667
C4orf18	4.0845
PECI	0.32525
UNG	-0.411125
GSTP1	-0.753375
DCUN1D5	-1.16683333333333
DKFZP564J0863	-0.8325
SLC9A3R1	1.129875
BCDO2	0.82075
CHMP7	-0.086375
REM2	0.6375
DNHD1	-0.65475
FKBP4	-0.1295
ZNF350	2.16175
MGC11102	-0.304125
BST1	1.42575
KISS1R	-0.9655
NCR2	0.495
DEFB125	0.074
UBE2W	1.00675
KRT15	-0.917125
C10orf99	0.2135
SCN11A	0.196625
GFI1	-2.8795
RDHE2	4.37183333333333
FHL1	-0.949333333333333
OSGEP	0.319
GATA1	-3.487
SMC6	-0.96875
TTTY14	-1.08
LPIN3	-0.0455
RPL4	-1.6554
RBPMS	0.5971
PRPF3	0.190666666666667
EMR1	-2.1175
SPATA19	0.01675
XCR1	-0.049
IRX3	0.9961
RBM6	-0.854
KLF4	-0.9881
UNC5CL	-1.206
SEBOX	0.213
BTK	-0.7075
KRCC1	0.84475
C6orf27	-0.113
SYTL5	-0.275
PRND	1.786125
LOC653319	-2.0295
PIGL	-0.262875
HUS1	-0.342333333333333
SFRS6	-1.467
C17orf77	0.187
UIMC1	-0.427166666666667
FXYD2	-1.8438
LOC283152	2.375
ZNF667	-0.906
ZCCHC12	-0.62625
TFEC	2.4673
ATP7B	0.803333333333333
POLD2	-1.51883333333333
RG9MTD1	-0.13275
ACOT2	0.221333333333333
HIST1H4I	-0.696
PPARGC1A	-2.5117
ETFA	-1.1314
POLRMT	-0.39425
ZNF146	0.079375
MIA2	-1.102
KLHL6	-1.76616666666667
HOXB5	0.87875
NENF	1.06816666666667
CUGBP1	-0.17575
