Hybridization REF	TCGA-A8-A09M-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.436333333333333
CREB3L1	-0.0435
RPS11	0.208125
PNMA1	0.23975
MMP2	-1.13016666666667
C10orf90	-2.20475
ZHX3	1.17716666666667
ERCC5	0.4065
GPR98	0.2565
RXFP3	0.515
APBB2	2.11675
PRO0478	-0.484125
KLHL13	-2.83825
PRSSL1	-0.830333333333333
PDCL3	1.12816666666667
DECR1	0.025125
SALL1	-3.698
CADM4	0.243333333333333
RPS18	-0.106642857142857
HNRPD	-0.351
CFHR5	0.7475
SLC10A7	0.095375
OR2K2	-0.594
LMAN1	-0.687875
SUHW1	-3.68625
CHD8	0.0376
SUMO1	0.7189
GP1BA	0.1138
DDB1	-0.082
MYO9B	-0.4179
MMP7	5.8485
CRNKL1	-0.00249999999999997
C9orf45	-1.221
XAB2	-1.1715
RTN1	2.425625
KLHL14	-1.468625
TBX10	-1.2855
CENPQ	-1.01375
UTY	-1.071
ZBTB12	0.4755
DTNBP1	0.4775
KBTBD8	-0.797833333333333
ZEB1	0.073
ZG16	-1.01325
MIER1	0.4699
ADAM5P	0.48
CHD9	0.010875
STK16	0.7625
KIAA1486	-0.1195
TOB2	0.392833333333333
BANK1	2.39225
OR2V2	0.44325
GRM2	-0.0721666666666667
PROSC	0.198125
SPIN2B	0.16525
PIR	-0.0373333333333333
IPO9	-0.2513
EVC	0.624333333333333
CXCL13	5.86366666666667
KIAA1199	-0.9427
SORL1	0.71325
NAT10	0.25275
CHD1	0.07475
SYN3	-0.19475
SLC22A2	-0.78175
SERPINF1	-0.199333333333333
WDR34	-0.23975
OR7A17	0.4325
C9orf11	-0.3065
RNF216L	0.0913
LHB	-0.228
STK25	-0.88175
TAOK3	0.606875
LOC152573	-2.93275
C3orf39	0.439875
C14orf108	0.0903
CDC25B	-1.78563636363636
BMP3	0.288
TMEM180	-0.316
MAP1LC3C	-0.26925
CRYGC	-0.00949999999999995
POU3F1	-1.0988
C20orf32	-1.504
CCDC95	-0.465
HIGD1B	3.45275
USP6NL	-0.94075
ABCD4	-0.7885
DIMT1L	-0.78525
TEK	0.968375
SLC25A46	-0.51475
LARP7	-1.2484
CD160	0.412333333333333
MT1JP	-1.36566666666667
PHF20	0.2898125
CPNE4	-1.44975
GTPBP1	-0.680285714285714
RAB33B	0.571166666666667
ALDOC	-2.09325
ZNF212	0.0095
NUDT1	-1.10516666666667
RFPL2	-0.6625
ZNF83	-0.343666666666667
GDPD5	-0.442375
PDCD4	1.89355
CEP350	0.23225
OR10A2	-0.1665
CST7	0.843
CIAO1	-0.70225
SELL	1.003
OR8J3	0.6435
LTBP4	-1.1005
SIRT6	-0.72775
CCL19	4.5175
PPIL1	-0.441
GBP7	0.594666666666667
STK17A	-1.442
ABR	0.772
OR9G1	0.076
FOXE1	-0.6125
CNGA3	0.237
GML	0.1275
CD38	-0.0345
ZDHHC6	0.0708333333333333
NEFH	-3.11525
CTDSP2	0.362666666666667
PGBD5	-1.45916666666667
CCNY	0.156285714285714
RMND5B	0.401166666666667
ZNF257	-2.03425
FLJ22167	-1.640625
EXOSC7	-0.718666666666667
ROR2	1.024125
MAOA	1.443375
TNNT3	-0.364833333333333
GYPC	-1.377
C7orf33	0.7175
PLIN	2.032
LOC90826	-0.8345
RNF4	-0.0524
F8A1	0.293833333333333
PLEKHG4	-1.53325
GRB2	0.8631
HIST1H2AD	1.63925
DUS3L	-0.813
EIF1	0.200166666666667
RP5-1077B9.4	-0.956
FPGT	1.83425
GDF10	-1.02883333333333
COQ9	0.25925
GCC2	0.289428571428571
RARRES3	3.527875
PLXNA1	-0.2366
KIAA0100	0.0328
PMF1	-0.63075
FNDC1	5.17225
HS2ST1	-0.142833333333333
CRELD2	1.086
C8G	-1.8645
CD82	0.51925
LIM2	-1.521
UNQ6490	-0.896
MMP16	-0.40525
DRD3	0.112
C5orf26	-0.54825
C11orf73	-1.029625
PTP4A2	0.580375
OR4M2	-0.2125
HPCA	-0.985333333333334
SEC14L1	-0.476666666666667
CHFR	-0.1215
EMILIN1	0.51025
NDUFS4	-0.60775
COL18A1	-0.824
PDZD3	-0.0687
C9orf16	-1.334
ERBB2IP	-0.0756666666666667
EMX2	1.4785
FUS	-1.276
TF	-3.6005
CLCN4	-0.523
CXorf56	0.1925
C11orf72	0.4965
ELAC2	-0.806083333333333
NPR1	-1.67425
ASS1	-3.25166666666667
USP42	0.174
POLR2J	-0.3545
SEC23IP	0.0763333333333334
UQCRC1	-1.01675
LOC729603	-0.8595
C1orf71	-0.499875
POLG	-0.7665
ADAM23	-3.27275
TFR2	-1.65375
RICTOR	-0.3651
MGC39606	0.14525
C19orf55	-0.095625
SNAPC1	-1.61883333333333
GNA11	0.792
CCDC52	0.6
FSIP1	6.485
UPF3A	0.486875
IGSF11	-2.31
LAGE3	-0.1195
CHST6	-2.6065
UNC13B	0.147375
TTLL4	-0.8565
ZNF687	-0.0705
SDC2	-1.2836
COX7A2	0.4205
LAMB4	0.1815
FAM24A	0.473
LRRTM3	-0.568166666666667
GPHB5	0.3795
OR4C13	0.177
EIF3EIP	-0.879
HABP4	-1.2825
TMEM125	3.859
CNTN2	0.352125
ASNSD1	0.00175000000000001
FUT4	-0.574375
ACF	-3.2425
LOC158381	0.907
CDH8	-0.201
AGPS	-1.193
C4orf18	3.671625
PECI	-0.194083333333333
UNG	0.000124999999999945
GSTP1	-2.746875
DCUN1D5	-1.77066666666667
DKFZP564J0863	-0.59725
SLC9A3R1	2.43325
BCDO2	1.235625
CHMP7	-0.55675
REM2	0.79
DNHD1	-0.275375
FKBP4	0.177125
ZNF350	1.3485
MGC11102	0.886125
BST1	1.3175
KISS1R	1.1155
NCR2	0.066
DEFB125	0.252
UBE2W	1.70125
KRT15	-2.263625
C10orf99	0.461
SCN11A	0.231875
GFI1	-1.22625
RDHE2	0.496333333333333
FHL1	-2.59266666666667
OSGEP	-0.238333333333333
GATA1	-3.109
SMC6	-0.999
TTTY14	-1.00075
LPIN3	0.66225
RPL4	0.1136
RBPMS	-0.2302
PRPF3	-1.3285
EMR1	-0.8885
SPATA19	-0.3695
XCR1	0.4565
IRX3	1.9596
RBM6	-0.63125
KLF4	-2.0285
UNC5CL	-1.26875
SEBOX	0.2235
BTK	-0.1995
KRCC1	1.3655
C6orf27	0.4105
SYTL5	-1.555
PRND	1.559875
LOC653319	-1.429
PIGL	-0.5875
HUS1	-0.0261666666666667
SFRS6	0.637416666666667
C17orf77	0.2395
UIMC1	-0.36
FXYD2	-1.7278
LOC283152	1.30925
ZNF667	-2.01575
ZCCHC12	-0.8085
TFEC	3.4554
ATP7B	0.314833333333333
POLD2	-1.06666666666667
RG9MTD1	0.77875
ACOT2	1.49966666666667
HIST1H4I	-0.1865
PPARGC1A	-3.1587
ETFA	-0.8275
POLRMT	-0.7525
ZNF146	-0.523875
MIA2	-0.527
KLHL6	0.3095
HOXB5	0.986
NENF	1.3885
CUGBP1	0.2135
PRSS22	2.13883333333333
CASC4	0.7636
CUL4B	-0.2637
CENPJ	-1.7567
PITX1	-1.272
FLJ31033	1.20383333333333
CELSR3	-2.08033333333333
ZNF568	-0.00400000000000003
ITSN1	-0.481666666666667
EHBP1L1	-1.065
C19orf2	0.23975
DCTN1	-0.526
LIN28B	-2.4285
TNKS2	-0.65175
C1QBP	0.161125
CADPS2	0.96775
SRMS	1.2285
GJA9	0.331333333333333
MGC24975	-0.102666666666667
TRIM45	0.456166666666667
TSP50	1.26625
TCP1	-0.6095
TMED7	0.2262
CMA1	0.5125
CENPL	-0.3585
PTCRA	0.508
FST	-4.2225
VWCE	-3.04225
PAWR	-0.41325
ABCC12	0.733
LDLR	-0.1936
ASTN2	0.6783
LOC441212	-0.99125
GPATCH8	-0.46225
TANC2	0.4925
KIF4A	-1.85075
C18orf18	-1.341
PGM1	-1.08275
KIAA0258	1.3615
CPD	0.558875
SNCAIP	-1.87225
DCT	-3.84333333333333
HLA-DOA	3.128
OR11L1	0.7825
UPK1B	-0.156
DNAJB4	-0.516375
UGT1A8	-0.51325
HIST1H4L	-0.5825
PECR	0.1415
HSPA2	0.665
WFIKKN1	-1.0145
SERP1	0.644
SYDE2	1.48125
TACR2	1.4285
NUP85	-0.0085
CD177	-0.00116666666666667
LGR5	-2.0155
PIGG	-0.311666666666667
PTHR1	-2.75583333333333
RAB5A	-0.4938
FLJ13224	-0.145
USP9Y	-2.61083333333333
C7orf53	0.2765
LRP1B	6.265
XAF1	3.4246
ABCG8	-0.637
ANKDD1A	-0.599833333333333
DAND5	-0.663
SPAG6	0.185833333333333
LINCR	1.8615
ZDHHC22	-1.379875
CCDC60	0.689
THOC7	-1.492
TCTA	1.4498
OR8K3	0.375
NY-REN-7	-0.4515
B2M	2.1935
C6orf141	-0.433875
LPPR4	1.29525
SQLE	0.808875
SEPHS1	-0.45775
BTBD14B	0.696928571428571
PLRG1	-0.6185
SPG7	-0.289
ZNF614	-0.508666666666667
PARD6G	1.039
INPP5B	-0.8048
GRPEL2	-0.351125
PPID	-0.461
TRIM56	-0.0395
UBE2J1	-0.7315
IL20RA	5.33225
LOC387856	-0.36
C1orf107	0.40425
UTS2R	1.33925
C19orf22	-0.33575
SAFB2	0.379125
KIAA0652	-0.039625
KLRG1	-0.291333333333333
MS4A8B	2.54116666666667
FRAG1	0.31425
KIAA1546	0.62
E2F4	-1.5401
CLEC4M	0.4485
BTBD14A	-0.61525
KIAA0999	-0.5034
GYPA	-2.95783333333333
TAC1	-0.0137
TRAIP	-1.54233333333333
KIAA0232	0.7638
ERCC8	-1.13575
GPX4	0.625
KIAA0368	0.581625
GPR157	-0.0921666666666666
CTAGE4	-0.218
C9orf30	-1.242
OR52A1	0.2125
HSP90B3P	0.0135
ALG9	-0.6097
BTBD10	0.82425
SDK2	2.0225
BAIAP3	1.42975
RABGGTB	0.647375
ANKRD40	0.317333333333333
KRT74	0.175
CALCOCO2	1.40014285714286
SNCA	-2.8475
TMSL8	-2.686125
C2orf53	-0.5485
ESRRB	-0.271
ARHGAP26	-1.93325
TDRD9	-2.78025
HRAS	0.266
KLRC4	-2.2575
JAGN1	0.173
BSDC1	0.5765
RNF43	1.0471
NDUFAF1	0.68225
PHF12	-0.284
OR1L3	0.1675
FOLR2	1.79308333333333
LYZL6	0.391666666666667
tcag7.1260	-1.8575
WSB1	-0.920166666666667
PROS1	-2.0392
OSTN	0.7305
PSMB8	1.32975
SOCS4	-0.888125
DDIT4L	0.39775
MAS1	-0.4425
MGC34796	1.45975
CSHL1	0.0416666666666667
TBCCD1	0.511666666666667
ZBTB7C	0.3035
AP2S1	-1.128625
P15RS	-0.5783
VAT1	-0.2989
SHANK3	0.259166666666667
TUFM	-0.438
THEG	-0.353
KRT34	-1.801
SGSM3	-0.254
TOMM22	-0.482
SOCS3	0.6955
CPO	0.405
POP4	0.731
BHLHB3	0.5985
MALL	0.178
OR1B1	0.312
PARK2	1.0465
GPR124	-0.512
LCE1E	0.3275
RUVBL2	-0.7595
CGRRF1	0.9699
ACPL2	0.2875
WNT10B	0.216875
BAIAP2L2	-2.260375
ISCA1	-0.274
C1orf125	0.288375
RPAP1	-0.60325
RAI16	0.027
RPL27	-0.1505
NLRP9	0.159
EPN1	-1.1
LOC388610	-1.267125
SLC35A1	0.4462
GAL	-4.217
SLC14A2	0.36275
RDH11	-1.29066666666667
FAM138F	0.0265
AUH	0.49825
FLJ40243	0.149
C14orf129	-0.517666666666667
MBD2	-0.5105
ABHD14B	-0.535125
PIGT	0.85
ALS2CR4	0.04325
ALAS1	0.0211
FOXO1	0.145
CRLF3	-0.670125
C20orf107	1.0185
FARS2	0.615
CCDC28A	1.35475
NPHP3	-0.422
OR13F1	0.719
TSEN54	0.37975
DEFB106B	0.1623
OR8B4	0.99
STH	2.4735
ZC3H14	-1.230375
CBX2	-0.918
TMEM49	-0.84025
C6orf21	0.735
FLJ20920	0.25775
CRTAP	-0.0753571428571429
DDX50	0.1815
STYXL1	0.565
BLVRB	0.829166666666667
LOC147650	-0.287166666666667
MMP24	0.63575
GRID1	0.361333333333333
BANF1	-0.6675
CTAGEP	-0.1205
HMBS	-2.44
SLC25A24	-0.215833333333333
C14orf50	1.50225
MRO	0.455833333333333
SLC25A15	-0.74025
FAM84B	1.861
TDP1	-0.9855
C16orf78	0.108166666666667
C11orf57	0.083625
RFK	-0.366
ZFYVE9	-1.108
STCH	-0.2604
WIBG	0.273
LOC283871	-0.243333333333333
GBA2	-0.852
NDUFB3	0.17
HSD17B13	-0.7495
GRIN3A	1.4955
FMNL1	-0.828333333333333
SEPT7	-0.7517
GNLY	3.8455
GRAMD1C	0.9885
ZNF165	0.54975
USP38	-0.05775
FAM83A	-2.35066666666667
C14orf24	0.627
ARMCX3	0.766375
ARHGDIB	1.01833333333333
AK1	-0.39225
KIAA1045	0.22125
DNAJB13	-0.44
NEU2	0.00950000000000001
HIST1H4B	-0.4425
FAM20B	0.1595
HES2	-0.503285714285714
FAM73B	-0.8175
LOC388381	-0.2655
INTS7	-0.69
AMPH	0.52975
ZNF775	0.39375
UCKL1	0.344333333333333
C10orf97	-0.436
C1orf161	0.32675
ALDH1L1	-2.21825
FLJ39378	0.247125
