Hybridization REF	TCGA-A8-A08H-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.425916666666667
CREB3L1	1.39125
RPS11	0.770875
PNMA1	0.49225
MMP2	0.293833333333333
C10orf90	-1.68425
ZHX3	0.440166666666667
ERCC5	0.3615
GPR98	-1.30825
RXFP3	0.6695
APBB2	1.21325
PRO0478	-0.8725
KLHL13	-0.719
PRSSL1	0.735666666666667
PDCL3	0.335166666666667
DECR1	1.170625
SALL1	-3.17866666666667
CADM4	-0.166833333333333
RPS18	0.622714285714286
HNRPD	-0.602
CFHR5	0.544333333333333
SLC10A7	-0.438285714285714
OR2K2	-0.195
LMAN1	-0.394875
SUHW1	-3.54675
CHD8	-0.8809
SUMO1	0.8114
GP1BA	0.7561
DDB1	-0.8215
MYO9B	0.3962
MMP7	7.976
CRNKL1	-0.025125
C9orf45	-2.43633333333333
XAB2	-1.208875
RTN1	2.19975
KLHL14	-0.122125
TBX10	-1.5775
CENPQ	-0.68575
UTY	-1.19684615384615
ZBTB12	0.279
DTNBP1	0.80475
KBTBD8	0.721333333333333
ZEB1	1.50516666666667
ZG16	-1.1115
MIER1	0.6576
ADAM5P	-0.7055
CHD9	-0.0719375
STK16	-0.45225
KIAA1486	-0.655
TOB2	0.753916666666667
BANK1	4.226
OR2V2	0.1445
GRM2	0.259833333333333
PROSC	-0.001875
SPIN2B	0.04675
PIR	-0.911777777777778
IPO9	-1.2162
EVC	0.8055
CXCL13	2.95416666666667
KIAA1199	-1.08166666666667
SORL1	1.8545
NAT10	-0.602
CHD1	-1.20675
SYN3	-0.1945
SLC22A2	-0.2155
SERPINF1	1.2925
WDR34	-1.244
OR7A17	0.661
C9orf11	0.037
RNF216L	0.0843
LHB	-0.3415
STK25	-0.101875
TAOK3	0.816625
LOC152573	-0.855
C3orf39	0.392375
C14orf108	0.4052
CDC25B	-1.02072727272727
BMP3	0.0895
TMEM180	0.449
MAP1LC3C	1.74725
CRYGC	-1.0375
POU3F1	-1.484
