Hybridization REF	TCGA-A8-A07L-01A-11R-A040-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.29025
CREB3L1	0.316
RPS11	0.231625
PNMA1	-0.49925
MMP2	0.323
C10orf90	-2.86675
ZHX3	-0.156
ERCC5	-0.82875
GPR98	-1.118
RXFP3	0.3785
APBB2	1.7025
PRO0478	-1.278625
KLHL13	-0.69525
PRSSL1	-0.959
PDCL3	0.614333333333333
DECR1	1.1455
SALL1	-3.22016666666667
CADM4	0.480333333333333
RPS18	-0.154928571428571
HNRPD	-0.59875
CFHR5	1.18616666666667
SLC10A7	0.5685
OR2K2	-0.479
LMAN1	0.199125
SUHW1	-3.49825
CHD8	-0.8222
SUMO1	0.7627
GP1BA	-0.2359
DDB1	0.0746666666666667
MYO9B	-0.107
MMP7	2.76275
CRNKL1	0.100875
C9orf45	0.180833333333333
XAB2	-0.008875
RTN1	0.899875
KLHL14	0.07225
TBX10	-1.0255
CENPQ	-0.753
UTY	-1.32178571428571
ZBTB12	0.198
DTNBP1	0.223125
KBTBD8	-2.153
ZEB1	-0.526666666666667
ZG16	-0.86725
MIER1	-0.277
ADAM5P	-0.6225
CHD9	-1.1674375
STK16	-0.20075
KIAA1486	-0.2695
TOB2	0.100833333333333
BANK1	0.64525
OR2V2	0.1455
GRM2	-0.0366666666666667
PROSC	2.243875
SPIN2B	0.624
PIR	-1.80444444444444
IPO9	0.3154
EVC	0.9315
CXCL13	7.50516666666667
KIAA1199	-0.9124
SORL1	-0.33275
NAT10	0.0935
CHD1	-0.1185
SYN3	-0.68275
SLC22A2	-0.7815
SERPINF1	0.565833333333333
WDR34	1.00625
OR7A17	0.39475
C9orf11	0.6415
RNF216L	-0.9101
LHB	-0.195
STK25	-0.5685
TAOK3	1.439125
LOC152573	-3.15875
C3orf39	0.704625
C14orf108	0.2921
CDC25B	-1.07
BMP3	0.5385
TMEM180	0.0615
MAP1LC3C	-0.6
CRYGC	-0.367
POU3F1	-1.121
C20orf32	-1.594
CCDC95	-0.2735
HIGD1B	4.081
USP6NL	-0.047375
ABCD4	-1.01133333333333
DIMT1L	-0.476333333333333
TEK	1.067625
SLC25A46	-0.78525
LARP7	-2.1803
CD160	0.418
MT1JP	-0.172166666666667
PHF20	-0.1083125
CPNE4	-1.7235
GTPBP1	-0.572785714285714
RAB33B	0.591333333333333
ALDOC	-3.17825
ZNF212	0.03925
NUDT1	-0.113333333333333
RFPL2	-0.0515
ZNF83	0.0156666666666667
GDPD5	-0.4825
PDCD4	2.5309
CEP350	0.46725
OR10A2	0.2195
CST7	-0.45575
CIAO1	-0.16475
