Hybridization REF	TCGA-AO-A129-01A-21R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.368333333333333
CREB3L1	0.63325
RPS11	0.48725
PNMA1	-1.3145
MMP2	0.606333333333333
C10orf90	-0.99375
ZHX3	-0.8995
ERCC5	0.61975
GPR98	-1.813375
RXFP3	0.4275
APBB2	0.61575
PRO0478	-0.921375
KLHL13	-0.06975
PRSSL1	-0.626333333333333
PDCL3	0.655833333333333
DECR1	-0.485125
SALL1	-3.52716666666667
CADM4	0.200833333333333
RPS18	0.656714285714286
HNRPD	-1.01741666666667
CFHR5	0.336666666666667
SLC10A7	-0.233
OR2K2	0.252
LMAN1	-0.346125
SUHW1	-3.3195
CHD8	0.0592
SUMO1	0.7694
GP1BA	1.7869
DDB1	-0.323166666666667
MYO9B	0.2789
MMP7	8.052
CRNKL1	-0.20575
C9orf45	-1.61933333333333
XAB2	0.442625
RTN1	0.808375
KLHL14	-0.762875
TBX10	-0.7705
CENPQ	-1.03325
UTY	-0.7415
ZBTB12	-0.0525
DTNBP1	0.0515
KBTBD8	-0.954
ZEB1	-0.0196666666666667
ZG16	-1.53075
MIER1	0.8639
ADAM5P	0.084
CHD9	0.2249375
STK16	1.53625
KIAA1486	-0.21
TOB2	1.0845
BANK1	3.95025
OR2V2	0.1535
GRM2	-0.0005
PROSC	-0.559875
SPIN2B	-0.55325
PIR	-0.541777777777778
IPO9	-0.0612
EVC	0.013
CXCL13	6.64233333333333
KIAA1199	-1.0721
SORL1	0.709
NAT10	0.53825
CHD1	-0.6845
SYN3	-0.58425
SLC22A2	-0.17925
SERPINF1	0.454166666666667
WDR34	-0.39025
OR7A17	0.1535
C9orf11	0.0595
RNF216L	0.2044
LHB	0.061
STK25	0.223625
TAOK3	0.98125
LOC152573	-1.8195
C3orf39	-0.203375
C14orf108	-0.527
CDC25B	-0.782727272727273
BMP3	0.138
TMEM180	-0.2195
MAP1LC3C	0.46125
CRYGC	-0.1805
POU3F1	-1.126
C20orf32	-1.0885
CCDC95	0.193
HIGD1B	2.44725
USP6NL	2.47
ABCD4	-0.865
DIMT1L	-0.6805
TEK	0.6795
SLC25A46	-1.02175
LARP7	-1.5411
CD160	0.541333333333333
MT1JP	0.694333333333333
PHF20	-0.60675
CPNE4	-0.53025
GTPBP1	0.109214285714286
RAB33B	-0.328833333333333
ALDOC	-2.284625
ZNF212	-0.0835
NUDT1	-0.589166666666667
RFPL2	-0.6315
ZNF83	-0.632833333333333
GDPD5	-0.66425
PDCD4	1.5076
CEP350	-0.085
OR10A2	0.24575
CST7	1.98025
CIAO1	-0.18575
SELL	1.9415
OR8J3	0.0735
LTBP4	-0.556333333333333
SIRT6	0.1565
CCL19	5.48525
PPIL1	-0.7305
GBP7	0.0998333333333333
STK17A	-0.6194
ABR	-0.1995
OR9G1	0.444
FOXE1	-0.503375
CNGA3	-0.2125
GML	0.3045
CD38	0.88675
ZDHHC6	0.445666666666667
NEFH	0.73
CTDSP2	0.35175
PGBD5	0.125333333333333
CCNY	0.642357142857143
RMND5B	-0.506083333333333
ZNF257	-0.06675
FLJ22167	-0.31125
EXOSC7	-0.763833333333333
ROR2	0.7255
MAOA	-0.920625
TNNT3	0.0951666666666667
GYPC	0.5325
C7orf33	0.5615
PLIN	0.908833333333333
LOC90826	-0.50525
RNF4	0.0028
F8A1	1.097
PLEKHG4	-0.89325
GRB2	0.0627
HIST1H2AD	0.73725
DUS3L	-0.325
EIF1	-1.02366666666667
RP5-1077B9.4	-0.343666666666667
FPGT	0.64
GDF10	0.0443333333333333
COQ9	0.21775
GCC2	-0.0233571428571429
RARRES3	2.958375
PLXNA1	0.2504
KIAA0100	-0.3138
PMF1	0.48175
FNDC1	4.41975
HS2ST1	0.273916666666667
CRELD2	1.15675
C8G	0.6065
CD82	1.50375
LIM2	-0.6485
UNQ6490	-0.225
MMP16	-0.035
DRD3	-0.0975
C5orf26	-1.146
C11orf73	-0.578875
PTP4A2	0.604375
OR4M2	0.3005
HPCA	-1.02383333333333
SEC14L1	-0.0283333333333333
CHFR	0.063
EMILIN1	1.0315
NDUFS4	-1.2585
COL18A1	-0.321875
PDZD3	0.1803
C9orf16	-0.0356666666666667
ERBB2IP	0.1295
EMX2	0.91825
FUS	-0.48575
TF	-2.2777
CLCN4	1.441
CXorf56	-0.0195
C11orf72	0.28225
