Hybridization REF	TCGA-BH-A0BW-11A-12R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.127
CREB3L1	0.331
RPS11	0.361625
PNMA1	-0.29675
MMP2	0.4285
C10orf90	0.0075
ZHX3	-0.639333333333333
ERCC5	0.48975
GPR98	-0.25975
RXFP3	0.481
APBB2	-0.0595
PRO0478	0.4265
KLHL13	1.7715
PRSSL1	-0.294166666666667
PDCL3	-0.0105
DECR1	-0.29125
SALL1	-4.14583333333333
CADM4	-0.1985
RPS18	-0.0982857142857143
HNRPD	-0.0781666666666667
CFHR5	0.615
SLC10A7	0.1665
OR2K2	0.06
LMAN1	-0.520875
SUHW1	-2.53625
CHD8	-0.0554
SUMO1	-0.7285
GP1BA	3.5224
DDB1	-0.103833333333333
MYO9B	0.1711
MMP7	6.3075
CRNKL1	0.115
C9orf45	0.0491666666666667
XAB2	-0.298
RTN1	1.28975
KLHL14	1.284125
TBX10	-0.3985
CENPQ	-1.732
UTY	-1.60821428571429
ZBTB12	-0.339
DTNBP1	0.514375
KBTBD8	1.082
ZEB1	-0.418833333333333
ZG16	-0.698
MIER1	-0.1095
ADAM5P	-0.847
CHD9	-0.02475
STK16	-0.39625
KIAA1486	0.8775
TOB2	0.685583333333333
BANK1	5.136
OR2V2	0.37775
GRM2	0.638
PROSC	-0.124125
SPIN2B	0.08
PIR	-1.89833333333333
IPO9	-0.6781
EVC	0.514333333333333
CXCL13	6.86633333333333
KIAA1199	-1.8396
SORL1	1.11625
NAT10	-0.554
CHD1	-0.21325
SYN3	-0.40525
SLC22A2	0.0735
SERPINF1	1.34466666666667
WDR34	-1.1275
OR7A17	0.1145
C9orf11	-0.25
RNF216L	-0.2606
LHB	0.224
STK25	-0.44775
TAOK3	0.95525
LOC152573	-0.9495
C3orf39	0.047125
C14orf108	-0.0358
CDC25B	-0.864
BMP3	0.1965
TMEM180	-0.071
MAP1LC3C	1.78975
CRYGC	-0.344
POU3F1	-0.4623
C20orf32	-0.8985
CCDC95	-0.392
HIGD1B	2.675
USP6NL	0.32825
ABCD4	0.479166666666667
DIMT1L	-0.253166666666667
TEK	1.730625
SLC25A46	-0.3665
LARP7	-1.2224
CD160	1.1165
MT1JP	0.775833333333333
PHF20	-0.3726875
CPNE4	-0.73525
GTPBP1	-0.125071428571429
RAB33B	0.813833333333333
ALDOC	-1.164
ZNF212	0.09825
NUDT1	-1.03683333333333
RFPL2	0.12325
ZNF83	0.737666666666667
GDPD5	0.17675
PDCD4	1.332
CEP350	0.813
OR10A2	0.39275
CST7	1.693
CIAO1	-0.9985
SELL	2.994625
OR8J3	2.454
LTBP4	0.512333333333333
SIRT6	-0.39075
CCL19	4.66
PPIL1	-1.164
GBP7	0.254833333333333
STK17A	0.4138
ABR	0.9225
OR9G1	0.1795
FOXE1	-0.454875
CNGA3	0.9045
GML	0.511
CD38	1.2975
ZDHHC6	0.144333333333333
NEFH	-1.86625
CTDSP2	1.15525
PGBD5	0.322333333333333
CCNY	0.478
RMND5B	-0.198583333333333
ZNF257	-1.57
FLJ22167	0.03525
EXOSC7	-0.412833333333333
ROR2	0.679375
MAOA	0.973
TNNT3	2.042
GYPC	0.204
C7orf33	0.07
PLIN	3.618
LOC90826	-0.16275
RNF4	0.1868
F8A1	0.619833333333333
PLEKHG4	-0.63625
GRB2	0.06745
HIST1H2AD	-1.7735
DUS3L	-0.411166666666667
EIF1	-0.110833333333333
RP5-1077B9.4	-0.751666666666667
FPGT	1.05625
GDF10	3.34883333333333
COQ9	-0.3375
GCC2	0.301285714285714
RARRES3	2.583
PLXNA1	0.3129
KIAA0100	0.1054
PMF1	-0.126
FNDC1	3.66175
HS2ST1	-0.138583333333333
CRELD2	0.664
C8G	-1.2055
CD82	1.0935
LIM2	-0.8805
UNQ6490	0.0485
MMP16	0.1865
DRD3	0.01475
C5orf26	-0.1605
C11orf73	-0.661125
PTP4A2	-0.4715
OR4M2	0.3875
HPCA	-1.03366666666667
SEC14L1	0.0913333333333333
CHFR	0.160375
EMILIN1	0.884875
NDUFS4	-0.473
COL18A1	0.222
PDZD3	0.1385
C9orf16	-0.1965
ERBB2IP	-0.059
EMX2	2.80725
FUS	-0.5175
TF	-2.0647
CLCN4	0.509333333333333
CXorf56	0.02775
C11orf72	0.85175
ELAC2	-0.389166666666667
NPR1	0.57675
ASS1	-1.43716666666667
USP42	-0.204875
POLR2J	-1.0385
SEC23IP	0.283333333333333
UQCRC1	-0.4265
LOC729603	-0.25775
C1orf71	-0.922
POLG	-1.495
ADAM23	-2.6825
TFR2	-1.55325
RICTOR	-0.3901
MGC39606	0.92125
C19orf55	-0.1635
SNAPC1	-1.052
GNA11	0.065625
CCDC52	-0.729166666666667
FSIP1	0.1135
UPF3A	-0.11975
IGSF11	-1.93433333333333
LAGE3	-0.831
CHST6	-1.387
UNC13B	0.154875
TTLL4	0.0845
ZNF687	0.236125
SDC2	0.0901
COX7A2	-0.614
LAMB4	0.18425
FAM24A	0.2385
LRRTM3	-1.307
GPHB5	0.26275
OR4C13	-0.1265
EIF3EIP	0.0636428571428572
HABP4	-0.2245
TMEM125	2.51975
CNTN2	0.718375
ASNSD1	-0.1775
FUT4	0.36275
ACF	-1.4675
LOC158381	-0.2385
CDH8	0.21025
AGPS	-0.860666666666667
C4orf18	2.079625
PECI	-0.911166666666667
UNG	-0.77375
GSTP1	0.207875
DCUN1D5	-1.55983333333333
DKFZP564J0863	-1.42725
SLC9A3R1	0.24425
BCDO2	0.50575
CHMP7	0.557375
REM2	1.0525
DNHD1	0.265625
FKBP4	-0.935125
ZNF350	1.146
MGC11102	-0.410125
BST1	1.64325
KISS1R	1.857
NCR2	-0.2555
DEFB125	-0.307
UBE2W	0.2915
KRT15	4.397375
C10orf99	0.753
SCN11A	0.9215
GFI1	0.2405
RDHE2	0.1765
FHL1	1.37066666666667
OSGEP	0.468333333333333
GATA1	-3.096
SMC6	-0.6725
TTTY14	-0.616
LPIN3	-0.06775
RPL4	-0.2037
RBPMS	0.1029
PRPF3	-0.429333333333333
EMR1	-0.9665
SPATA19	0.5
XCR1	1.573
IRX3	2.0931
RBM6	0.373
KLF4	1.3753
UNC5CL	-0.316
SEBOX	0.047
BTK	1.108
KRCC1	1.61
C6orf27	0.7035
SYTL5	-0.3295
PRND	1.879875
LOC653319	-0.7625
PIGL	-1.325375
HUS1	-0.785
SFRS6	0.76075
C17orf77	0.115
