Hybridization REF	TCGA-BH-A0W5-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.476833333333333
CREB3L1	0.25675
RPS11	0.13325
PNMA1	0.94575
MMP2	1.20066666666667
C10orf90	-1.32475
ZHX3	-0.448
ERCC5	0.762
GPR98	0.527125
RXFP3	-0.027
APBB2	1.68025
PRO0478	-0.16925
KLHL13	-1.48325
PRSSL1	-0.303333333333333
PDCL3	0.539333333333333
DECR1	0.58475
SALL1	-2.86016666666667
CADM4	0.573666666666667
RPS18	-0.267785714285714
HNRPD	-0.281416666666667
CFHR5	-0.149666666666667
SLC10A7	0.08625
OR2K2	-0.0675
LMAN1	-0.249625
SUHW1	-2.873
CHD8	-0.127
SUMO1	-0.1957
GP1BA	2.5439
DDB1	-0.0548333333333333
MYO9B	-0.1224
MMP7	6.86025
CRNKL1	1.2255
C9orf45	0.0356666666666667
XAB2	-0.3205
RTN1	1.564625
KLHL14	0.00824999999999998
TBX10	-0.976
CENPQ	-1.658
UTY	-0.877461538461539
ZBTB12	0.052
DTNBP1	0.39775
KBTBD8	0.355666666666667
ZEB1	1.51916666666667
ZG16	-0.8825
MIER1	0.6896
ADAM5P	0.683
CHD9	0.3369375
STK16	0.63775
KIAA1486	-0.6095
TOB2	-0.0985
BANK1	5.823
OR2V2	0.24675
GRM2	-0.0966666666666667
PROSC	1.288625
SPIN2B	0.19475
PIR	-3.41811111111111
IPO9	-0.8013
EVC	1.126
CXCL13	7.11733333333333
KIAA1199	0.0355555555555556
SORL1	1.42325
NAT10	-0.7675
CHD1	0.19925
SYN3	-0.12925
SLC22A2	-0.09225
SERPINF1	1.23916666666667
WDR34	-0.02725
OR7A17	0.26625
C9orf11	-0.091
RNF216L	0.035
LHB	-0.6175
STK25	-0.714625
TAOK3	1.63225
LOC152573	-1.98675
C3orf39	0.606
C14orf108	0.5203
CDC25B	-1.413
BMP3	-0.176
TMEM180	-0.1045
MAP1LC3C	0.88525
CRYGC	-0.541
POU3F1	-1.5408
C20orf32	-1.149
CCDC95	0.0425
HIGD1B	3.60975
USP6NL	-0.07625
ABCD4	0.210666666666667
DIMT1L	-0.6255
TEK	1.064
SLC25A46	-0.45925
LARP7	-1.1716
CD160	0.888666666666667
MT1JP	-0.818666666666667
PHF20	0.338625
CPNE4	-1.37925
GTPBP1	-0.660142857142857
RAB33B	1.103
ALDOC	-2.169875
ZNF212	-0.18
NUDT1	-1.00066666666667
RFPL2	0.1635
ZNF83	0.886833333333333
GDPD5	-1.287875
PDCD4	2.3531
CEP350	0.526
OR10A2	0.14325
CST7	1.4245
CIAO1	-1.0375
SELL	3.048125
OR8J3	0.6915
LTBP4	-0.502
SIRT6	-0.58775
CCL19	5.6055
PPIL1	-1.53333333333333
GBP7	-0.452166666666667
STK17A	0.2057
ABR	0.5415
OR9G1	-0.214
FOXE1	-0.557625
CNGA3	0.1125
GML	0.0845
CD38	0.1895
ZDHHC6	0.223333333333333
NEFH	-1.86725
CTDSP2	1.33225
PGBD5	-0.911
CCNY	0.454357142857143
RMND5B	0.14525
ZNF257	-0.20275
FLJ22167	0.36175
EXOSC7	-0.476166666666667
ROR2	1.2225
MAOA	-0.378625
TNNT3	0.717666666666667
GYPC	-0.53175
C7orf33	0.7865
PLIN	3.78616666666667
LOC90826	0.05675
RNF4	0.3873
F8A1	0.744166666666667
PLEKHG4	-1.52025
GRB2	0.41585
HIST1H2AD	-0.8105
DUS3L	-1.30466666666667
EIF1	0.234833333333333
RP5-1077B9.4	-1.31983333333333
FPGT	1.24225
GDF10	1.208
COQ9	-0.305
GCC2	0.918357142857143
RARRES3	3.173125
PLXNA1	-0.0516
KIAA0100	0.1851
PMF1	-0.551
FNDC1	5.29475
HS2ST1	-0.664833333333333
CRELD2	-0.08625
C8G	-2.411
CD82	1.11025
LIM2	-1.0385
UNQ6490	-0.2245
MMP16	0.10625
DRD3	0.0155
C5orf26	-0.2255
C11orf73	-0.608
PTP4A2	0.75675
OR4M2	-0.254
HPCA	-1.10116666666667
SEC14L1	-0.477166666666667
CHFR	-0.15875
EMILIN1	0.769875
NDUFS4	-0.092
COL18A1	0.036
PDZD3	-0.1514
C9orf16	-1.04683333333333
ERBB2IP	0.476833333333333
EMX2	2.94275
FUS	-0.3615
TF	-3.1436
CLCN4	0.535333333333333
CXorf56	0.40775
C11orf72	0.30675
ELAC2	-0.6165
NPR1	-0.64425
ASS1	-1.67766666666667
USP42	0.029
POLR2J	-1.412
SEC23IP	0.758833333333333
UQCRC1	-0.2745
LOC729603	-0.23325
C1orf71	-0.20325
POLG	-1.9255
ADAM23	-2.4565
TFR2	-1.807
RICTOR	-0.0034
MGC39606	0.55025
C19orf55	-0.481125
SNAPC1	-1.4075
GNA11	0.901375
CCDC52	0.221166666666667
FSIP1	4.2015
UPF3A	0.53975
IGSF11	-1.81416666666667
LAGE3	-0.522
CHST6	-1.4935
UNC13B	0.7325
TTLL4	-1.04175
ZNF687	-0.374
SDC2	0.9957
COX7A2	-0.44075
LAMB4	-0.097
FAM24A	0.0825
LRRTM3	-1.224
GPHB5	-0.381
OR4C13	-0.0375
EIF3EIP	-0.4765
HABP4	0.2585
TMEM125	3.3775
CNTN2	0.235625
ASNSD1	-0.03675
FUT4	0.199375
ACF	-3.72725
LOC158381	0.8245
CDH8	0.16775
AGPS	-0.581333333333333
C4orf18	2.8735
PECI	-0.3385
UNG	-0.42725
GSTP1	-1.423125
DCUN1D5	-1.68733333333333
DKFZP564J0863	-0.9835
SLC9A3R1	1.441125
BCDO2	0.490625
CHMP7	0.332
REM2	-0.312
DNHD1	-0.21225
FKBP4	-0.243625
ZNF350	2.0105
MGC11102	-0.4345
BST1	1.6475
KISS1R	-1.2005
NCR2	-0.275
DEFB125	-0.2315
UBE2W	1.21975
KRT15	5.403125
C10orf99	-0.209
SCN11A	0.35875
GFI1	-0.2745
RDHE2	4.10483333333333
FHL1	0.279833333333333
OSGEP	-0.182333333333333
GATA1	-3.611
SMC6	-0.53825
TTTY14	-0.74725
LPIN3	-0.17775
RPL4	-0.0907999999999999
RBPMS	0.1611
PRPF3	-0.61
EMR1	-1.1715
SPATA19	0.063
XCR1	1.074
IRX3	1.3959
RBM6	0.41575
KLF4	0.000499999999999967
UNC5CL	-0.323
SEBOX	0.1285
BTK	0.32875
KRCC1	1.0645
C6orf27	0.495
SYTL5	0.094
PRND	3.083375
LOC653319	-0.8545
PIGL	-0.316625
HUS1	-0.720833333333333
SFRS6	0.3635
C17orf77	-0.0285
UIMC1	0.00933333333333332
FXYD2	-1.917
LOC283152	-0.64025
ZNF667	0.09475
ZCCHC12	-0.07975
TFEC	3.752
ATP7B	1.90766666666667
POLD2	-1.50516666666667
RG9MTD1	-0.41675
ACOT2	0.0981666666666666
HIST1H4I	-1.395
PPARGC1A	-1.9697
ETFA	-1.4202
POLRMT	-0.727
ZNF146	0.24725
MIA2	-1.0125
KLHL6	0.986
HOXB5	-0.834625
NENF	0.0615
CUGBP1	-0.63625
PRSS22	1.6345
CASC4	1.1503
CUL4B	-0.0157
CENPJ	-1.0253
PITX1	0.668166666666667
FLJ31033	1.286
CELSR3	-2.549
ZNF568	1.0455
ITSN1	-0.1685
EHBP1L1	-0.949166666666667
C19orf2	-0.247
DCTN1	-0.38
LIN28B	-3.492
TNKS2	0.563
C1QBP	-0.884625
CADPS2	1.28525
SRMS	0.24175
GJA9	0.116166666666667
MGC24975	-0.928333333333333
TRIM45	-0.633833333333333
TSP50	0.342
TCP1	-1.0645
TMED7	0.0512
CMA1	0.8365
CENPL	-0.938166666666667
PTCRA	-0.0045
FST	-2.44375
VWCE	-3.3235
PAWR	-0.126
ABCC12	0.785833333333333
LDLR	-0.769
ASTN2	1.0216
LOC441212	-0.744
GPATCH8	0.16975
TANC2	-0.888
KIF4A	-2.35725
C18orf18	-0.994
PGM1	-0.9025
KIAA0258	-0.1895
CPD	0.405
SNCAIP	0.1655
DCT	-4.33916666666667
HLA-DOA	3.01645454545455
OR11L1	-0.018
UPK1B	-0.531333333333333
DNAJB4	0.04625
UGT1A8	-0.12825
HIST1H4L	-1.5305
PECR	-1.40283333333333
HSPA2	0.70975
WFIKKN1	-2.3945
SERP1	0.76125
SYDE2	2.112
TACR2	0.3155
NUP85	-0.61175
CD177	2.07916666666667
LGR5	-1.61266666666667
PIGG	-0.304
PTHR1	-1.3935
RAB5A	0.4019
FLJ13224	-0.379
USP9Y	-1.07266666666667
C7orf53	-0.6985
LRP1B	0.49775
XAF1	2.3527
ABCG8	-0.3925
ANKDD1A	0.3045
DAND5	-1.6225
SPAG6	0.181333333333333
LINCR	0.9785
ZDHHC22	-1.5425
CCDC60	-0.2035
THOC7	-0.925166666666667
TCTA	0.7961
OR8K3	-0.26375
NY-REN-7	-0.29525
B2M	1.428
C6orf141	0.574
LPPR4	2.29075
SQLE	-1.238125
SEPHS1	-0.552
BTBD14B	-0.530071428571429
PLRG1	-0.126
SPG7	-0.4224375
ZNF614	0.144166666666667
PARD6G	0.0236666666666667
INPP5B	-0.4525
GRPEL2	-0.46575
PPID	-0.5656
TRIM56	-0.00375
UBE2J1	0.654375
IL20RA	3.85275
LOC387856	0.01225
C1orf107	0.161333333333333
UTS2R	-0.9385
C19orf22	0.5885
SAFB2	0.193875
KIAA0652	-0.059375
KLRG1	0.7405
MS4A8B	1.643
FRAG1	0.99975
KIAA1546	0.36475
E2F4	-0.6196
CLEC4M	-0.296166666666667
BTBD14A	-1.52425
KIAA0999	0.3368
