Hybridization REF	TCGA-C8-A137-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0741666666666667
CREB3L1	1.943
RPS11	-0.238875
PNMA1	-1.09075
MMP2	0.663333333333333
C10orf90	-2.6275
ZHX3	-0.101833333333333
ERCC5	-0.00525000000000002
GPR98	0.436285714285714
RXFP3	0.589
APBB2	0.945
PRO0478	-1.299625
KLHL13	-1.89675
PRSSL1	-0.677166666666667
PDCL3	0.4075
DECR1	-0.929375
SALL1	-1.58916666666667
CADM4	1.12016666666667
RPS18	0.15
HNRPD	-1.25416666666667
CFHR5	0.165666666666667
SLC10A7	0.66175
OR2K2	-0.053
LMAN1	-0.911625
SUHW1	-3.5075
CHD8	-0.0014
SUMO1	-0.1013
GP1BA	-0.2632
DDB1	0.535333333333333
MYO9B	0.0995
MMP7	5.39775
CRNKL1	1.083625
C9orf45	-1.0645
XAB2	1.21975
RTN1	0.10175
KLHL14	-1.23025
TBX10	-0.719
CENPQ	-2.6995
UTY	-1.54835714285714
ZBTB12	-0.1155
DTNBP1	-1.704125
KBTBD8	-2.32133333333333
ZEB1	1.06816666666667
ZG16	-1.3185
MIER1	0.3757
ADAM5P	0.87
CHD9	-0.3326875
STK16	0.269
KIAA1486	0.4555
TOB2	0.645166666666667
BANK1	2.82225
OR2V2	0.6015
GRM2	0.480833333333333
PROSC	0.699375
SPIN2B	0.18275
PIR	0.203888888888889
IPO9	0.1588
EVC	0.143166666666667
CXCL13	2.60583333333333
KIAA1199	-0.9164
SORL1	0.523
NAT10	-0.05925
CHD1	-0.2275
SYN3	-0.3905
SLC22A2	0.01825
SERPINF1	0.219
WDR34	0.7495
OR7A17	0.488
C9orf11	-0.013
RNF216L	-0.4028
LHB	0.0335
STK25	-1.475625
TAOK3	0.702625
LOC152573	-1.14725
C3orf39	-0.893875
C14orf108	0.8552
CDC25B	-1.18372727272727
BMP3	0.3705
TMEM180	0.6675
MAP1LC3C	-0.7135
CRYGC	-0.9565
POU3F1	-1.2897
C20orf32	-1.171
CCDC95	-0.0105
HIGD1B	3.17175
USP6NL	0.46025
ABCD4	-1.23283333333333
DIMT1L	-0.39425
TEK	0.606
SLC25A46	-0.33275
LARP7	-1.4489
CD160	0.615833333333333
MT1JP	0.703
PHF20	0.123
CPNE4	-1.91525
GTPBP1	-0.0793571428571429
RAB33B	1.308
ALDOC	-0.65725
ZNF212	-0.929
NUDT1	-1.84616666666667
RFPL2	0.40725
ZNF83	0.0711666666666667
