Hybridization REF	TCGA-A2-A04U-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0559166666666667
CREB3L1	0.245
RPS11	0.337125
PNMA1	-0.41175
MMP2	-0.550666666666667
C10orf90	0.18475
ZHX3	-0.13
ERCC5	-0.753
GPR98	-1.76175
RXFP3	0.8385
APBB2	0.36
PRO0478	-0.724875
KLHL13	0.25175
PRSSL1	-0.5995
PDCL3	1.35333333333333
DECR1	-0.512125
SALL1	-3.5745
CADM4	3.066
RPS18	0.570071428571429
HNRPD	-0.109
CFHR5	0.361833333333333
SLC10A7	0.15525
OR2K2	-0.244
LMAN1	-1.568125
SUHW1	-1.5125
CHD8	0.5661
SUMO1	1.9466
GP1BA	-0.2868
DDB1	0.638666666666667
MYO9B	0.4194
MMP7	6.72625
CRNKL1	-0.697125
C9orf45	-0.838666666666667
XAB2	0.998375
RTN1	0.0721428571428571
KLHL14	-1.71125
TBX10	-0.606
CENPQ	-1.07
UTY	-1.24235714285714
ZBTB12	-0.3715
DTNBP1	-0.198375
KBTBD8	-1.53566666666667
ZEB1	0.705
ZG16	-1.64875
MIER1	2.1066
ADAM5P	0.0025
CHD9	-0.7290625
STK16	-0.97575
KIAA1486	-0.022
TOB2	0.540583333333333
BANK1	0.37925
OR2V2	0.1075
GRM2	0.146
PROSC	0.577625
SPIN2B	0.23675
PIR	-0.195555555555556
IPO9	0.28
EVC	0.499833333333333
CXCL13	1.421
KIAA1199	-0.9865
SORL1	0.694
NAT10	1.31425
CHD1	-1.134
SYN3	0.697
SLC22A2	-0.52725
SERPINF1	-0.031
WDR34	0.36825
OR7A17	0.3385
C9orf11	-0.665
RNF216L	0.9023
LHB	0.1435
STK25	-0.46275
TAOK3	1.030375
LOC152573	-2.21175
C3orf39	0.060125
C14orf108	-0.7977
CDC25B	-1.39881818181818
BMP3	0.098
TMEM180	0.4485
MAP1LC3C	-1.36475
CRYGC	-0.634
POU3F1	-1.0074
C20orf32	-1.639
CCDC95	-0.1355
HIGD1B	3.94525
USP6NL	1.558875
ABCD4	-0.0513333333333333
DIMT1L	0.0816666666666667
TEK	0.31725
SLC25A46	-1.434
LARP7	-0.1639
CD160	0.747833333333333
MT1JP	1.0505
PHF20	0.57225
CPNE4	-0.448
GTPBP1	-0.0557857142857143
RAB33B	1.6465
ALDOC	-1.9535
ZNF212	-0.29325
NUDT1	-0.881
RFPL2	-0.5845
ZNF83	-1.29333333333333
GDPD5	-1.146625
PDCD4	0.29445
CEP350	1.29725
OR10A2	0.0765
CST7	-0.12875
CIAO1	0.14975
SELL	-0.232125
OR8J3	-0.00849999999999998
LTBP4	0.271833333333333
SIRT6	0.46975
CCL19	1.46875
PPIL1	0.529333333333333
GBP7	-0.178666666666667
STK17A	-1.4371
ABR	-0.525
OR9G1	0.0305
FOXE1	0.306875
CNGA3	0.1075
GML	0.9495
CD38	-2.28775
ZDHHC6	0.987333333333333
NEFH	-2.7415
CTDSP2	0.770916666666667
PGBD5	-2.01033333333333
CCNY	1.30628571428571
RMND5B	-1.07358333333333
ZNF257	-2.817
FLJ22167	-0.6995
EXOSC7	-1.10533333333333
ROR2	0.315375
MAOA	-0.07375
TNNT3	-0.226166666666667
GYPC	-1.772
C7orf33	0.626
PLIN	0.185666666666667
LOC90826	-0.096
RNF4	-0.7609
F8A1	-0.5405
PLEKHG4	-0.3215
GRB2	-0.35075
HIST1H2AD	-0.378
DUS3L	-0.510166666666667
EIF1	-0.573
RP5-1077B9.4	-0.193
FPGT	1.3475
GDF10	1.215
COQ9	-1.24375
GCC2	0.175357142857143
RARRES3	-0.359375
PLXNA1	0.4247
KIAA0100	-0.2926
PMF1	-1.01225
FNDC1	5.15825
HS2ST1	0.165083333333333
CRELD2	0.3285
C8G	-1.1445
CD82	2.0935
LIM2	-1.1685
UNQ6490	0.302
MMP16	0.96525
DRD3	-0.03325
C5orf26	-1.36675
C11orf73	-1.3205
PTP4A2	-0.284375
OR4M2	0.2465
HPCA	-0.5425
SEC14L1	-0.596666666666667
CHFR	-0.041375
EMILIN1	0.555875
NDUFS4	-1.6695
COL18A1	0.104125
PDZD3	0.1433
C9orf16	0.903833333333333
ERBB2IP	-0.7695
EMX2	4.37575
FUS	-1.626
TF	-2.9502
CLCN4	1.19216666666667
CXorf56	0.777
C11orf72	0.26075
ELAC2	-0.98725
NPR1	-1.00675
ASS1	-1.49566666666667
USP42	-0.319875
POLR2J	0.105
SEC23IP	2.33933333333333
UQCRC1	-0.85225
LOC729603	-0.7615
C1orf71	0.334
POLG	-1.973
ADAM23	-3.6965
TFR2	-0.487
RICTOR	-2.2222
MGC39606	0.65425
C19orf55	0.27775
SNAPC1	-0.702
GNA11	0.884875
CCDC52	-0.0618333333333333
FSIP1	-0.5385
UPF3A	-0.796625
IGSF11	-2.163
LAGE3	-0.48875
CHST6	-1.232
UNC13B	-0.552625
TTLL4	1.119125
ZNF687	1.163125
SDC2	-0.6812
COX7A2	1.1565
LAMB4	0.415
FAM24A	0.433
LRRTM3	-1.31766666666667
GPHB5	0.1135
OR4C13	0.631
EIF3EIP	1.18528571428571
HABP4	-0.472
TMEM125	2.944
CNTN2	-0.143875
ASNSD1	1.1525
FUT4	-0.697625
ACF	-3.1025
LOC158381	-1.279
CDH8	0.13025
AGPS	-0.361166666666667
C4orf18	1.06525
PECI	-0.816083333333333
UNG	0.04625
GSTP1	1.0775
DCUN1D5	-1.42533333333333
DKFZP564J0863	-0.85125
SLC9A3R1	-1.832125
BCDO2	-1.79075
CHMP7	-0.241
REM2	-0.512
DNHD1	-0.370125
FKBP4	-1.35025
ZNF350	1.2265
MGC11102	0.008375
BST1	0.12475
KISS1R	0.5635
NCR2	0.5415
DEFB125	1.1725
UBE2W	0.517
KRT15	3.40775
C10orf99	0.0725
SCN11A	-0.292
GFI1	-1.68575
RDHE2	3.854
FHL1	-0.639666666666667
OSGEP	0.7175
GATA1	-2.67166666666667
SMC6	-0.63975
TTTY14	-0.76525
LPIN3	0.0615
RPL4	-0.3661
RBPMS	-1.523
PRPF3	0.457666666666667
EMR1	-2.478
SPATA19	-0.23525
XCR1	0.1085
IRX3	0.7984
RBM6	-1.13675
KLF4	-1.7987
UNC5CL	-0.19775
SEBOX	-0.24
BTK	-1.5995
KRCC1	-0.36975
C6orf27	0.727
SYTL5	-0.8875
PRND	1.93975
LOC653319	-1.176
PIGL	-1.486125
HUS1	-1.606
SFRS6	-0.971583333333333
C17orf77	0.5275
UIMC1	-0.209333333333333
FXYD2	-1.499
LOC283152	0.03
ZNF667	1.4085
ZCCHC12	1.775
TFEC	1.2957
ATP7B	0.0281666666666667
POLD2	-1.63016666666667
RG9MTD1	-0.28375
ACOT2	-0.788833333333333
HIST1H4I	-0.182
PPARGC1A	-0.3546
ETFA	-1.0835
POLRMT	0.09325
ZNF146	1.064125
MIA2	-0.816
KLHL6	-2.049
HOXB5	-1.02725
NENF	1.53233333333333
CUGBP1	-0.71025
PRSS22	1.34
CASC4	1.4871
CUL4B	0.1761
CENPJ	-1.3104
PITX1	0.328
FLJ31033	0.973333333333333
CELSR3	-2.02233333333333
ZNF568	0.43625
ITSN1	0.173833333333333
EHBP1L1	-1.37533333333333
C19orf2	0.72175
DCTN1	-0.76925
LIN28B	-3.5925
TNKS2	-1.245
C1QBP	-1.059
CADPS2	3.745
SRMS	0.28175
GJA9	0.193833333333333
MGC24975	0.394166666666667
TRIM45	0.081
TSP50	0.373
TCP1	-1.62025
TMED7	-0.7008
CMA1	-0.031
CENPL	0.1695
PTCRA	-0.089
FST	-3.77625
VWCE	-3.60725
PAWR	1.22825
ABCC12	2.35366666666667
LDLR	0.2325
ASTN2	1.0186
LOC441212	-0.5795
GPATCH8	0.63125
TANC2	-0.888666666666667
KIF4A	-1.16375
C18orf18	-1.64975
PGM1	-1.3725
KIAA0258	1.06525
CPD	0.017875
SNCAIP	-2.1645
DCT	-3.82716666666667
HLA-DOA	1.98081818181818
OR11L1	0.5345
UPK1B	0.0976666666666667
DNAJB4	-1.091625
UGT1A8	-0.6015
HIST1H4L	1.7775
PECR	-1.0165
HSPA2	0.4345
WFIKKN1	-2.7595
SERP1	1.0425
SYDE2	1.9875
TACR2	1.62
NUP85	-0.7095
CD177	-0.2955
LGR5	-1.22233333333333
PIGG	-1.46025
PTHR1	-1.65483333333333
RAB5A	-0.9125
FLJ13224	0.1875
USP9Y	-2.187
C7orf53	-0.468
LRP1B	-1.94725
XAF1	0.8791
ABCG8	-0.263
ANKDD1A	-0.360333333333333
DAND5	-0.9
SPAG6	-0.198666666666667
LINCR	1.4035
ZDHHC22	-1.04275
CCDC60	1.212
THOC7	-1.4765
TCTA	-0.1047
OR8K3	0.547
NY-REN-7	-0.548
B2M	-0.151666666666667
C6orf141	-0.589
LPPR4	1.362
SQLE	0.28625
SEPHS1	1.1885
BTBD14B	0.438071428571429
PLRG1	-0.107
SPG7	-1.426125
ZNF614	-0.170833333333333
PARD6G	1.23633333333333
INPP5B	-0.3408
GRPEL2	-0.500375
PPID	-0.0267
TRIM56	-0.45325
UBE2J1	-1.02675
IL20RA	3.61625
LOC387856	0.38325
C1orf107	2.1435
UTS2R	0.7755
C19orf22	0.39975
SAFB2	0.59175
KIAA0652	-0.064
KLRG1	0.726
MS4A8B	0.221666666666667
FRAG1	1.18025
KIAA1546	0.38075
E2F4	-0.6938
CLEC4M	-0.0818333333333334
BTBD14A	-0.154
KIAA0999	-0.7479
GYPA	-3.77666666666667
TAC1	-0.1175
TRAIP	-1.55283333333333
KIAA0232	0.1705
ERCC8	0.337375
GPX4	0.9165
KIAA0368	0.31625
GPR157	-0.9825
CTAGE4	-0.968
C9orf30	-0.029
OR52A1	0.4625
HSP90B3P	-0.6135
ALG9	-1.5985
BTBD10	-0.53
SDK2	0.9425
BAIAP3	-2.00525
RABGGTB	1.00875
ANKRD40	-1.50783333333333
KRT74	0.19
CALCOCO2	-0.4575
SNCA	-3.9255
TMSL8	1.099
C2orf53	0.4925
ESRRB	-0.114
ARHGAP26	-0.7765
TDRD9	-3.0855
HRAS	-0.065
KLRC4	-2.011
JAGN1	1.455
BSDC1	0.63775
RNF43	0.6372
NDUFAF1	-0.66175
PHF12	0.638
OR1L3	0.3575
FOLR2	1.32016666666667
LYZL6	0.317166666666667
tcag7.1260	-0.3305
WSB1	-0.831
PROS1	-1.1521
OSTN	0.602
PSMB8	-0.7875
SOCS4	-1.196125
DDIT4L	3.79675
MAS1	-0.222
MGC34796	0.21275
CSHL1	0.369
TBCCD1	1.72466666666667
ZBTB7C	-0.069
AP2S1	-0.778875
P15RS	0.6551
VAT1	0.1731
SHANK3	1.18016666666667
TUFM	-1.145
THEG	1.5215
KRT34	-0.41625
SGSM3	0.289125
TOMM22	0.886
SOCS3	0.389166666666667
CPO	0.063
POP4	0.50375
BHLHB3	1.7735
MALL	0.80475
OR1B1	0.4625
PARK2	-0.620166666666667
GPR124	-0.164625
LCE1E	0.8155
RUVBL2	-0.47425
CGRRF1	-0.639
ACPL2	1.37375
WNT10B	-1.892875
BAIAP2L2	1.960625
ISCA1	-0.429
C1orf125	1.632625
RPAP1	-1.17825
RAI16	-0.533333333333333
RPL27	1.0935
NLRP9	-0.4635
EPN1	0.1335
LOC388610	-1.133625
SLC35A1	-1.247
GAL	-1.76525
SLC14A2	0.30325
RDH11	-0.7895
FAM138F	0.4065
AUH	0.04425
FLJ40243	0.34925
C14orf129	-0.495
MBD2	-0.540166666666667
ABHD14B	-0.457375
PIGT	0.346125
ALS2CR4	1.51975
ALAS1	-0.5682
FOXO1	-0.6495
CRLF3	-0.016875
C20orf107	0.247
FARS2	0.545
CCDC28A	0.09825
NPHP3	-0.824
OR13F1	0.2555
TSEN54	0.08175
DEFB106B	0.1997
OR8B4	-0.496
STH	-0.17525
ZC3H14	-0.414375
CBX2	0.059
TMEM49	-1.7035
C6orf21	0.062
FLJ20920	-0.929375
CRTAP	-0.794785714285714
DDX50	0.7475
STYXL1	-0.20425
BLVRB	-1.40766666666667
LOC147650	-0.559166666666667
MMP24	0.95325
GRID1	2.06216666666667
BANF1	-0.0966666666666667
CTAGEP	-1.05375
HMBS	-2.123
SLC25A24	0.733
C14orf50	-0.45675
MRO	1.13016666666667
SLC25A15	-0.221
FAM84B	1.0608
TDP1	0.3035
C16orf78	-0.759333333333333
C11orf57	0.60325
RFK	0.862375
ZFYVE9	-0.4185
STCH	-1.158
WIBG	0.23775
LOC283871	-0.354666666666667
GBA2	-0.6969
NDUFB3	0.827
HSD17B13	-0.757
GRIN3A	0.521333333333333
FMNL1	-0.796
SEPT7	-1.4253
GNLY	1.7665
GRAMD1C	0.1265
ZNF165	-0.45575
USP38	0.9295
FAM83A	-0.277
C14orf24	0.144916666666667
ARMCX3	1.808125
ARHGDIB	-0.074
AK1	-0.35675
KIAA1045	0.13275
DNAJB13	-0.0146666666666666
NEU2	0.3135
HIST1H4B	1.46216666666667
FAM20B	0.8621
HES2	-0.323928571428571
FAM73B	-0.645
LOC388381	1.658
INTS7	-0.363363636363636
AMPH	-0.0905
ZNF775	-0.043
UCKL1	-1.28716666666667
C10orf97	-0.4615
C1orf161	-0.08525
ALDH1L1	-1.0465
FLJ39378	-0.167375
SLC23A1	-1.9085
RBM4B	0.62
THAP4	0.318333333333333
OGFRL1	1.5965
KIAA0831	-0.259375
PPP1R15A	0.584333333333333
C1orf96	1.51928571428571
C12orf11	0.65725
BMF	0.828625
MAN1A1	-2.332875
