Hybridization REF	TCGA-BH-A0H5-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.170833333333333
CREB3L1	-0.018
RPS11	1.349125
PNMA1	0.1815
MMP2	-0.0686666666666667
C10orf90	-1.10075
ZHX3	-0.424
ERCC5	0.51725
GPR98	-0.02625
RXFP3	0.375
APBB2	1.002
PRO0478	-0.804
KLHL13	-0.891
PRSSL1	-0.352
PDCL3	0.492
DECR1	0.32475
SALL1	-4.13083333333333
CADM4	0.2245
RPS18	0.681285714285714
HNRPD	-0.282166666666667
CFHR5	0.308333333333333
SLC10A7	0.292125
OR2K2	-0.1895
LMAN1	0.323375
SUHW1	-3.86575
CHD8	-0.0621
SUMO1	0.8696
GP1BA	3.9371
DDB1	-0.312166666666667
MYO9B	0.0988
MMP7	6.693
CRNKL1	0.394375
C9orf45	-1.52
XAB2	-0.062625
RTN1	2.383625
KLHL14	0.014625
TBX10	-1.902
CENPQ	-1.85925
UTY	-1.32414285714286
ZBTB12	-0.0315
DTNBP1	0.312375
KBTBD8	1.289
ZEB1	1.42283333333333
ZG16	-1.523
MIER1	1.5098
ADAM5P	0.2075
CHD9	0.244625
STK16	-0.8425
KIAA1486	-0.5175
TOB2	0.796583333333333
BANK1	5.90375
OR2V2	0.5975
GRM2	-0.1425
PROSC	0.53025
SPIN2B	0.0025
PIR	-2.29788888888889
IPO9	-0.501
EVC	0.757833333333333
CXCL13	7.45116666666667
KIAA1199	-2.7695
SORL1	2.06575
NAT10	-0.85425
CHD1	0.2315
SYN3	-0.49725
SLC22A2	-0.37
SERPINF1	1.03233333333333
WDR34	-0.85725
OR7A17	0.249
C9orf11	-1.0485
RNF216L	-0.0499
LHB	-0.4045
STK25	-0.848875
TAOK3	1.222125
LOC152573	-1.727
C3orf39	-0.07425
C14orf108	1.0182
CDC25B	-1.54063636363636
BMP3	0.3785
TMEM180	-0.1985
MAP1LC3C	1.8615
CRYGC	-1.5095
POU3F1	-1.232
C20orf32	-0.9895
CCDC95	-0.6655
HIGD1B	4.36575
USP6NL	-0.04475
ABCD4	0.171666666666667
DIMT1L	-0.169583333333333
TEK	1.285125
SLC25A46	-0.19725
LARP7	-0.3968
CD160	2.902
MT1JP	0.806833333333333
PHF20	-0.04075
CPNE4	-2.30666666666667
GTPBP1	-0.0959285714285715
RAB33B	1.1275
ALDOC	-2.025375
ZNF212	-0.34225
NUDT1	-0.5655
RFPL2	-0.2465
ZNF83	0.042
GDPD5	-1.186375
PDCD4	2.3198
CEP350	0.28975
OR10A2	0.49425
CST7	3.4785
CIAO1	-0.907
SELL	3.911375
OR8J3	0.2105
LTBP4	-0.3455
SIRT6	-0.45625
CCL19	4.44375
PPIL1	-0.803
GBP7	3.33766666666667
STK17A	0.4246
ABR	0.40025
OR9G1	0.174
FOXE1	-1.019625
CNGA3	1.17
GML	0.858
CD38	1.989
ZDHHC6	-0.151333333333333
NEFH	-1.75875
CTDSP2	0.222166666666667
PGBD5	-2.20516666666667
CCNY	0.180285714285714
RMND5B	0.422083333333333
ZNF257	-0.951
FLJ22167	-1.022
EXOSC7	-0.5065
ROR2	0.66725
MAOA	0.39225
TNNT3	1.47216666666667
GYPC	0.02175
C7orf33	0.3045
PLIN	3.73216666666667
LOC90826	0.30375
RNF4	0.1924
F8A1	0.382
PLEKHG4	-2.126
GRB2	0.49615
HIST1H2AD	0.9895
DUS3L	-0.8795
EIF1	0.263666666666667
RP5-1077B9.4	-1.05516666666667
FPGT	1.60225
GDF10	1.8375
COQ9	-0.869
GCC2	0.996785714285714
RARRES3	3.619
PLXNA1	-0.7478
KIAA0100	0.1534
PMF1	0.06375
FNDC1	4.527
HS2ST1	-0.255666666666667
CRELD2	0.58125
C8G	-1.585
CD82	1.74425
LIM2	-0.99
UNQ6490	-0.27
MMP16	-0.266
DRD3	0.25525
C5orf26	-0.01825
C11orf73	-0.336625
PTP4A2	1.8125
OR4M2	-0.166
HPCA	-1.42233333333333
SEC14L1	0.173166666666667
CHFR	-0.019625
EMILIN1	0.88025
NDUFS4	-0.44875
COL18A1	-0.6805
PDZD3	-0.2507
C9orf16	-0.0593333333333333
ERBB2IP	0.531833333333333
EMX2	3.36375
FUS	-0.953
TF	-3.2081
CLCN4	0.476333333333333
CXorf56	0.52975
C11orf72	0.388
ELAC2	-0.340833333333333
NPR1	-0.37525
ASS1	-1.52516666666667
USP42	0.539375
POLR2J	-0.72
SEC23IP	0.736666666666667
UQCRC1	-0.915
LOC729603	-0.87825
C1orf71	0.2305
POLG	-2.3325
ADAM23	-3.428
TFR2	-1.6375
RICTOR	-0.6505
MGC39606	0.927
C19orf55	-0.180875
SNAPC1	-1.02066666666667
GNA11	-0.09475
CCDC52	-0.6655
FSIP1	4.7365
UPF3A	-0.161
IGSF11	-2.202
LAGE3	-0.47925
CHST6	-2.9935
UNC13B	-0.03275
TTLL4	-1.400875
ZNF687	0.302875
SDC2	-0.445
COX7A2	-0.61625
LAMB4	-0.21475
FAM24A	1.03
LRRTM3	-1.5245
GPHB5	0.3015
OR4C13	0.2425
EIF3EIP	0.331857142857143
HABP4	-0.577
TMEM125	3.664
CNTN2	0.1275
ASNSD1	-0.023
FUT4	0.061875
ACF	-3.65925
LOC158381	1.104
CDH8	0.5195
AGPS	-1.0825
C4orf18	3.412625
PECI	0.2355
UNG	-0.954625
GSTP1	-0.72175
DCUN1D5	-0.782
DKFZP564J0863	-0.9275
SLC9A3R1	0.60025
BCDO2	-0.38425
CHMP7	0.17725
REM2	-0.316
DNHD1	-0.436875
FKBP4	-1.057625
ZNF350	2.1595
MGC11102	-0.2135
BST1	1.5815
KISS1R	-0.5785
NCR2	0.381
DEFB125	-0.368
UBE2W	1.2335
KRT15	2.211
C10orf99	-0.0695
SCN11A	0.46875
GFI1	0.83975
RDHE2	3.258
FHL1	-0.642166666666667
OSGEP	0.274166666666667
GATA1	-3.34283333333333
SMC6	-0.765
TTTY14	-1.31925
LPIN3	-0.121
RPL4	0.0196
RBPMS	0.2581
PRPF3	-0.933833333333333
EMR1	-1.4155
SPATA19	-0.165
XCR1	0.344
IRX3	0.5421
RBM6	-0.44425
KLF4	0.013
UNC5CL	-0.1315
SEBOX	0.0665
BTK	1.02825
KRCC1	1.32825
C6orf27	0.511
SYTL5	-0.4415
PRND	1.5785
LOC653319	-1.96
PIGL	-1.740875
HUS1	-0.38
SFRS6	-0.000999999999999987
C17orf77	0.2745
UIMC1	-0.4215
FXYD2	-0.9988
LOC283152	1.418
ZNF667	-0.555
ZCCHC12	1.12575
TFEC	5.6239
ATP7B	0.976333333333333
POLD2	-1.55933333333333
RG9MTD1	-0.3675
ACOT2	-0.192666666666667
HIST1H4I	-1.013625
PPARGC1A	-0.8283
ETFA	-0.6876
POLRMT	-0.66425
ZNF146	-0.06175
MIA2	0.303
KLHL6	1.94483333333333
HOXB5	-1.287125
NENF	0.379833333333333
CUGBP1	-0.02975
PRSS22	0.428
CASC4	1.7351
CUL4B	0.3802
CENPJ	-1.5367
PITX1	-0.991
FLJ31033	1.54233333333333
CELSR3	-2.40033333333333
ZNF568	1.24625
ITSN1	0.12425
EHBP1L1	-0.375
C19orf2	-0.44325
DCTN1	-0.41925
LIN28B	-4.97733333333333
TNKS2	-0.9815
C1QBP	-0.433
CADPS2	1.37025
SRMS	0.16275
GJA9	0.113333333333333
MGC24975	-0.87
TRIM45	0.016
TSP50	0.0975
TCP1	-1.20725
TMED7	0.9971
CMA1	1.8085
CENPL	-0.900666666666667
PTCRA	2.0435
FST	-3.50975
VWCE	-3.37175
PAWR	-0.609
ABCC12	0.917166666666667
LDLR	-2.4749
ASTN2	0.8548
LOC441212	-0.99975
GPATCH8	-0.266
TANC2	-1.32791666666667
KIF4A	-2.7705
C18orf18	-0.556
PGM1	-0.85175
KIAA0258	0.53275
CPD	0.344625
SNCAIP	-0.5105
DCT	-4.21933333333333
HLA-DOA	4.08836363636364
OR11L1	0.63
UPK1B	-0.681333333333333
DNAJB4	0.074625
UGT1A8	-0.557
HIST1H4L	0.0035
PECR	-0.859333333333333
HSPA2	0.901
WFIKKN1	-2.69
SERP1	1.32475
SYDE2	1.353
TACR2	0.2225
NUP85	-1.146
CD177	-0.306666666666667
LGR5	-2.98016666666667
PIGG	-0.141833333333333
PTHR1	-1.19666666666667
RAB5A	0.6137
FLJ13224	-0.312
USP9Y	-2.1095
C7orf53	-1.3955
LRP1B	-0.8295
XAF1	2.8902
ABCG8	-0.296
ANKDD1A	0.3085
DAND5	-1.891
SPAG6	0.750166666666667
LINCR	1.5015
ZDHHC22	-1.72275
CCDC60	0.171
THOC7	-1.271
TCTA	0.9576
OR8K3	0.5285
NY-REN-7	0.10175
B2M	2.81783333333333
C6orf141	-2.02125
LPPR4	2.706
SQLE	-2.31725
SEPHS1	-0.7825
BTBD14B	0.152357142857143
PLRG1	0.07125
SPG7	-1.062875
ZNF614	0.265666666666667
PARD6G	0.529666666666667
INPP5B	-0.7527
GRPEL2	-0.128875
PPID	-0.5743
TRIM56	0.256
UBE2J1	0.635
IL20RA	3.807
LOC387856	0.243
C1orf107	0.182333333333333
UTS2R	-0.4065
C19orf22	-0.81325
SAFB2	0.411625
KIAA0652	-0.463
KLRG1	2.35466666666667
MS4A8B	1.42133333333333
FRAG1	0.4575
KIAA1546	0.7845
E2F4	-1.4106
CLEC4M	-0.231833333333333
BTBD14A	-0.90825
KIAA0999	1.9478
GYPA	-4.17816666666667
TAC1	1.3157
TRAIP	-1.575
KIAA0232	1.0768
ERCC8	-1.16275
GPX4	0.19825
KIAA0368	-0.10975
GPR157	-1.53233333333333
CTAGE4	0.603
C9orf30	-1.45716666666667
OR52A1	0.2785
HSP90B3P	-0.24
ALG9	-0.7792
BTBD10	0.47
SDK2	0.079
BAIAP3	-0.93775
RABGGTB	-0.87575
ANKRD40	-0.685333333333333
KRT74	0.0585
CALCOCO2	0.567428571428572
SNCA	-3.15625
TMSL8	-4.28175
C2orf53	0.433
ESRRB	-0.73325
ARHGAP26	-0.057625
TDRD9	-3.2145
HRAS	-0.505166666666667
KLRC4	0.459
JAGN1	-0.212
BSDC1	0.34675
RNF43	0.7192
NDUFAF1	0.4635
PHF12	0.13425
OR1L3	0.1895
FOLR2	3.327
LYZL6	0.347333333333333
tcag7.1260	-1.182
WSB1	-1.09466666666667
PROS1	0.0768
OSTN	0.1915
PSMB8	2.312
SOCS4	-0.122375
DDIT4L	2.08575
MAS1	0.038
MGC34796	0.663
CSHL1	0.509
TBCCD1	-0.243666666666667
ZBTB7C	-0.1865
AP2S1	-0.114875
P15RS	-0.1132
VAT1	-1.3287
SHANK3	0.235
TUFM	-0.815333333333333
THEG	-0.913
KRT34	-2.59025
SGSM3	-0.148625
TOMM22	-0.015375
SOCS3	0.8375
CPO	0.8435
POP4	0.3885
BHLHB3	1.03025
MALL	0.71025
OR1B1	0.1155
PARK2	0.993833333333333
GPR124	0.285142857142857
LCE1E	-0.162
RUVBL2	-1.02375
CGRRF1	0.5565
ACPL2	0.41975
WNT10B	-1.668875
BAIAP2L2	-2.158125
ISCA1	0.2915
C1orf125	0.57475
RPAP1	-0.833
RAI16	-0.144333333333333
RPL27	0.1035
NLRP9	-0.515
EPN1	-0.062
LOC388610	-1.692125
SLC35A1	1.0502
GAL	-4.077
SLC14A2	0.3805
RDH11	-0.134166666666667
FAM138F	-0.1735
AUH	0.589
FLJ40243	0.28625
C14orf129	0.884833333333333
MBD2	-0.162
ABHD14B	-0.229
PIGT	0.14825
ALS2CR4	0.0736249999999999
ALAS1	-0.2023
FOXO1	2.3955
CRLF3	1.01975
C20orf107	-0.4025
FARS2	0.6765
CCDC28A	1.6485
NPHP3	-0.6925
OR13F1	0.48
TSEN54	-0.7185
DEFB106B	-0.0781
OR8B4	0.569
STH	1.406
ZC3H14	-0.439375
CBX2	-0.5335
TMEM49	-1.1795
C6orf21	0.3815
FLJ20920	0.324375
CRTAP	-0.268642857142857
DDX50	0.033
STYXL1	-0.0815
BLVRB	0.121333333333333
LOC147650	-0.882833333333333
MMP24	0.333
GRID1	2.175
BANF1	-0.842166666666667
CTAGEP	0.15475
HMBS	-2.0035
SLC25A24	0.633666666666667
C14orf50	1.49075
MRO	0.0983333333333333
SLC25A15	-0.5245
FAM84B	1.084
TDP1	-0.255
C16orf78	-0.4878
C11orf57	0.50075
RFK	-0.569375
ZFYVE9	-1.027875
STCH	-0.312
WIBG	0.43375
LOC283871	-1.23616666666667
GBA2	-0.7882
NDUFB3	0.033
HSD17B13	0.23475
GRIN3A	2.90633333333333
FMNL1	0.101333333333333
SEPT7	0.5346
GNLY	5.031
GRAMD1C	1.478
ZNF165	-0.443
USP38	1.1835
FAM83A	-3.499
C14orf24	0.661916666666667
ARMCX3	1.378625
ARHGDIB	1.59383333333333
AK1	-0.587625
KIAA1045	0.9925
DNAJB13	-0.4015
NEU2	0.1855
HIST1H4B	-0.736333333333334
FAM20B	-0.376
HES2	0.413285714285714
FAM73B	-0.7309
LOC388381	0.20575
INTS7	-0.284363636363636
AMPH	0.68425
ZNF775	-0.526125
UCKL1	-1.38633333333333
C10orf97	0.46075
C1orf161	-0.1435
ALDH1L1	-0.14825
FLJ39378	-0.594625
SLC23A1	-0.9145
RBM4B	0.0385
THAP4	-0.206166666666667
OGFRL1	0.758
KIAA0831	0.086375
PPP1R15A	0.261833333333333
C1orf96	0.316857142857143
C12orf11	-1.6475
BMF	1.103625
MAN1A1	0.593875
KIAA1600	1.09383333333333
NLGN4X	1.85175
ALOX12	-1.5525
RB1CC1	0.2456
NEIL2	0.6055
EIF4E	0.377636363636364
ABHD5	-0.1315
EXOC4	-0.2765
CIP29	-0.612
BATF2	3.512
SLC29A4	-1.163625
HTR4	0.81125
EMB	1.44325
TRAF6	1.0245
LMNB1	-2.041
FAM19A5	-1.886125
SHE	2.1925
PIK3C2B	1.286
C15orf15	-0.3187
USP15	0.3496
TCEAL2	1.5335
C5orf39	1.32
PTGER2	0.69275
SLC31A1	0.284875
IFT172	0.40325
ADAM29	0.68875
GFOD1	0.329
ST7L	0.888833333333333
C15orf26	-3.02625
PKN3	-1.77875
CNTD1	2.9015
COMMD1	0.79575
NTRK2	3.80216666666667
FOXN3	0.96525
MFGE8	-0.2422
PFKFB2	0.513
TAS2R4	-0.5025
ENTHD1	3.11616666666667
PRMT5	-1.318875
MGC16384	-1.37425
LOC442229	-0.114
TSKU	-1.008875
KRTCAP3	1.270875
PDLIM1	0.8427
KCNS2	0.123
RNF126	-0.570166666666667
CEP63	0.663625
CLIC4	-0.801
hCG_1990170	2.4185
ACR	0.756
KLK7	2.36175
ALOX5AP	4.21175
RIPK3	4.13775
TAS2R9	0.504
C19orf18	2.133
BIRC6	0.00171428571428571
ZNF16	0.4465
RFT1	-0.476
SLC8A2	-0.6955
TACC1	0.69425
ITGAD	2.11875
SAMHD1	2.797
SH3PXD2B	0.5088
EPC2	1.2655
C20orf85	1.917125
ATP13A2	0.0293333333333333
KRT4	0.603875
CAPNS1	-0.34175
MDM2	-0.00283333333333334
PCDH20	1.9655
KCNK9	0.681
OR2C1	-0.388
KLHDC3	-1.16783333333333
IPPK	-0.066
EFHD2	0.442
GALR3	-0.2975
NBEA	1.45733333333333
ABCA6	4.7675
CLDN3	0.388
AKT2	-0.430857142857143
EGFR	-1.1135
RBM16	0.752125
ZDHHC3	0.0979
SLC25A4	-0.745
CYB5B	-0.803166666666667
CPXM1	0.46375
NDRG1	-1.62238461538462
FLJ43826	0.615
OR5L2	0.2928
FARP2	-0.0835
MRPL46	-0.192666666666667
LDHAL6B	0.2485
MAPKAPK3	-0.4195
NCAM2	1.17875
PRKD2	0.3995
ZFP36L1	2.084
CYSLTR1	1.96975
OR4C3	0.15
HIST1H2AJ	0.5415
CCNB2	-2.69022222222222
ZNF10	-0.2915
TMEM175	-0.1425
FAM134A	0.4515
TIGD4	0.217
PCNP	0.02825
MGC39715	0.6835
LQK1	0.46875
CREB1	1.3669
TMPRSS3	2.36275
C4orf32	2.014625
LAT	1.04833333333333
KCNA3	2.181
SKIV2L2	-0.70775
ROPN1B	2.1005
tcag7.23	0.1145
CDT1	-3.011875
ZHX2	1.1285
CD28	0.3755
ZNF624	1.35225
SEPT2	0.17125
SOHLH2	-1.418
MCOLN3	-0.774375
UNQ1945	0.2615
MASP2	-1.791
ZNRF3	0.0774
GPATCH3	-0.27975
AGL	0.94025
QRICH2	-0.232
PSD4	1.38383333333333
CCNB1IP1	-1.93875
ENPP7	0.1695
OBFC1	0.0225
KCNG3	-3.13625
C14orf79	-0.166
ENPEP	1.63183333333333
SCT	2.455
SKI	0.47425
SEC61G	-1.54875
CAPN11	0.86375
ATXN7L3	-1.14825
DBNDD1	-1.46266666666667
FAIM	0.43075
ANKRD36	-0.036
GABRP	3.1825
TACSTD2	0.962
EIF3J	-0.55625
PPP2R2A	-0.45725
TEKT4	0.262666666666667
PVALB	0.9175
F10	-1.56016666666667
FAM134C	0.6069
COMP	3.198125
EFCBP1	-2.334
SCLT1	2.412875
TAL1	-1.2722
ACSL1	0.8955
ABCC5	-1.108
ABL1	-0.811333333333333
RBBP7	-0.146583333333333
PTPRG	-1.315
NCOR1	0.346
SPINK4	-2.06333333333333
TXNRD1	-1.1465
TNRC15	1.657375
C9orf138	1.825125
UBE2H	1.30666666666667
BRDT	1.79116666666667
C8orf31	-0.13875
CCNE2	-1.68054545454545
SLC6A8	-2.493875
CALCR	-3.271
PPP1CB	0.83
ABHD8	-0.5355
ARF5	-0.4232
SLC24A4	2.27075
CCT3	-0.4865
ZNF121	0.906125
SLC3A2	-1.9196
OR13A1	0.304
SLC5A10	-0.314
RAD50	-0.381125
IER5	-0.452
MTHFD1L	-2.19625
MBTPS2	0.14325
MVK	-1.09525
NCL	0.3686
PSMD10	0.0425
MOBP	-0.036875
FLJ32894	1.0655
HRH1	-0.743333333333333
C5orf30	1.19075
NUDT16L1	0.5788
RASGRP3	4.54916666666667
PRKRIP1	-0.1684
CCDC75	1.30275
LOC253970	0.0896666666666667
KIAA1239	0.27275
MED21	-0.57375
SYT11	1.66916666666667
NTSR2	-1.1405
EGFL11	0.4505
CXorf59	0.3035
OR2A25	0.15125
SPTBN2	-1.7745
LRMP	1.01066666666667
RNF111	-0.105
PTH	0.259
LOC619208	1.43133333333333
KIAA0895	1.07525
RANBP5	-1.208625
P2RY10	4.331
NME5	4.74366666666667
DDX21	-0.91175
LRSAM1	-0.0635
HDAC11	0.478833333333333
VMO1	1.485
NOLA2	-0.594
ADAR	1.19458333333333
MTO1	-0.490833333333333
SF4	0.250333333333333
P2RX1	0.585166666666667
HBM	-0.32925
EN2	-0.9255
C14orf172	-0.4445
TM9SF2	0.6131
INHBE	-1.45766666666667
TCTE3	-0.0748333333333333
TOX2	-1.14325
CTAGE3	0.8515
HBB	3.5665
MED15	-0.905333333333333
CASR	-0.4805
C6orf66	-0.942333333333333
MTPN	0.2505
UNC50	0.52825
C21orf33	0.584
IRF2	2.22475
PGR	1.3895
GPR84	2.717
CROCCL1	-1.853
SRPX	-0.155
BRE	0.262166666666667
FGF10	2.46725
SDC3	0.646166666666667
ZRSR1	0.553
DKFZP434P211	-0.506
SOX6	0.3115
RPUSD2	0.04
C14orf173	0.571083333333333
MAPK11	-0.459
TBC1D22A	0.627
FAM123A	-1.364
COL4A6	-0.3385
TOMM70A	0.1365
NAB1	0.009875
MGC16385	-0.5375
TSPAN18	0.607666666666667
MED31	-0.049
PLG	-0.61025
CAPSL	2.4175
ZNF532	0.728
ASB14	-0.0505
CA8	0.42375
NUDT16P	1.00216666666667
SLFN11	-0.1245
LRRIQ2	0.497375
NOL7	-0.260166666666667
BRMS1L	-0.28475
JARID1A	1.02583333333333
PANK2	-0.0935
ICAM3	1.17025
MDS1	-0.87925
TAF8	0.122
RNF139	0.6535
ZNF594	0.0115
ADAM8	2.67175
SFTPC	-0.394875
MAN2B2	1.136625
RGS12	0.2041875
EIF1AY	-5.00616666666667
LRRIQ1	0.509833333333333
GPR150	-0.522
CCDC21	-2.089
PRRG3	0.762
SAA4	-2.28875
RAPGEF5	1.19925
ZCCHC2	0.661583333333333
MGC39372	2.501
PPP4R2	0.661
CDCA2	-1.78383333333333
OR4D5	0.308166666666667
PTGFRN	0.2843
SIGLEC5	0.724833333333333
C19orf61	-0.8135
NMUR2	0.3065
KIAA1586	0.0375
DAGLA	-0.230333333333333
CHCHD6	-0.51775
GPR32	0.171
NEUROD6	0.157
SLC2A4RG	-0.1814375
CA5B	0.4105
FBXL3	1.34525
MPHOSPH9	-0.931
HMG2L1	0.05975
HCN4	-0.589333333333333
CEACAM19	-0.31825
SH2D4B	0.405166666666667
HFE2	-0.6355
TGM4	-0.0453333333333333
LYPD2	-0.225
TBC1D15	0.32325
MRPS21	0.0723
NONO	-0.4728
CLEC5A	1.364375
ITCH	0.2619
MGAT3	0.412
MBP	0.238875
RPP25	-1.67975
SOSTDC1	0.69525
HRC	-1.36325
TRIM48	0.19
TMEM133	0.3915
ECEL1P2	-1.35925
HOXC11	-0.162
DOK5	-0.6275
HELZ	0.479333333333333
LOC348180	-1.39275
MGC33894	0.17075
ADRB3	-0.0215
DMD	0.426166666666667
PTRH2	-0.54475
MPEG1	4.23633333333333
NDUFA12	0.0665
KRTAP2-4	-0.505166666666667
STAMBPL1	0.118666666666667
ADCY2	1.37716666666667
UNQ6125	-0.2195
KLHL20	0.673166666666667
SRM	-1.2585
OTC	-0.1755
TMIE	0.659833333333333
SNX8	-0.06125
LIPK	-0.509
CHURC1	0.654833333333333
KLC2	0.1025
HDAC1	-0.573333333333333
FAM128A	0.294833333333333
FNDC3B	-0.3308
MTCP1	-0.3085
WFDC10B	0.3998
PCDHGB3	0.539
ATRNL1	-2.1642
CAV2	-0.028
MED26	0.0736666666666667
DUS1L	-0.33875
CHRM3	-1.662875
NEK9	0.2575
WARS2	0.40875
TBX22	-0.5315
TOMM40	-1.27825
RP6-213H19.1	-0.765333333333333
TUBGCP5	-0.6415
IGSF6	5.7485
TPPP	0.192333333333333
UNQ6190	-0.179
GSTM5	0.81825
BTD	0.344
PDCD1LG2	2.05416666666667
SNRPB2	-0.479833333333333
ERICH1	0.726625
APOA4	-1.518
HOXA11	-2.734
NARG1	-0.072125
