Hybridization REF	TCGA-A8-A06Q-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.368166666666667
CREB3L1	0.952
RPS11	0.42575
PNMA1	-0.78575
MMP2	-1.85033333333333
C10orf90	-1.855
ZHX3	-0.2895
ERCC5	0.0335
GPR98	0.35925
RXFP3	0.4205
APBB2	0.6195
PRO0478	-0.944875
KLHL13	-3.87525
PRSSL1	-0.5005
PDCL3	0.0216666666666667
DECR1	1.449875
SALL1	-3.62333333333333
CADM4	0.893666666666667
RPS18	0.414571428571429
HNRPD	-1.19325
CFHR5	0.2255
SLC10A7	0.013375
OR2K2	0.186
LMAN1	-0.71
SUHW1	-2.935
CHD8	-0.371
SUMO1	-0.0805
GP1BA	0.0725
DDB1	0.0263333333333333
MYO9B	-0.3058
MMP7	-0.79725
CRNKL1	-0.0985
C9orf45	-0.118
XAB2	0.3495
RTN1	0.78375
KLHL14	-1.696375
TBX10	-0.403
CENPQ	-1.67675
UTY	-0.865785714285714
ZBTB12	0.2755
DTNBP1	0.073125
KBTBD8	-0.510666666666667
ZEB1	-1.24233333333333
ZG16	-1.24775
MIER1	0.054
ADAM5P	0.361
CHD9	-0.4108125
STK16	1.4165
KIAA1486	0.0115
TOB2	1.21233333333333
BANK1	1.44475
OR2V2	-0.09725
GRM2	0.114666666666667
PROSC	1.291875
SPIN2B	-0.0575
PIR	-1.10455555555556
IPO9	0.0369
EVC	-0.3855
CXCL13	2.9405
KIAA1199	-2.4055
SORL1	-0.3925
NAT10	-0.3375
CHD1	-0.696
SYN3	-0.71425
SLC22A2	-0.4265
SERPINF1	-1.52116666666667
WDR34	-0.3335
OR7A17	0.44875
C9orf11	-0.2505
RNF216L	-0.8996
LHB	-0.112
STK25	-0.49575
TAOK3	-0.062625
LOC152573	-0.692
C3orf39	0.35725
C14orf108	0.7059
CDC25B	-1.63654545454545
BMP3	0.168
TMEM180	0.0185
MAP1LC3C	-0.19225
CRYGC	-0.1895
POU3F1	-0.9315
C20orf32	-0.882
CCDC95	0.101
