Hybridization REF	TCGA-BH-A0W3-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.06025
CREB3L1	1.021
RPS11	0.43625
PNMA1	0.093
MMP2	-0.95
C10orf90	-2.206
ZHX3	-0.0383333333333333
ERCC5	-0.26075
GPR98	0.8555
RXFP3	0.2895
APBB2	1.81
PRO0478	-0.520375
KLHL13	-4.23475
PRSSL1	-1.11983333333333
PDCL3	-0.023
DECR1	0.574875
SALL1	-2.86366666666667
CADM4	2.0435
RPS18	0.127071428571429
HNRPD	-0.855583333333333
CFHR5	0.5805
SLC10A7	0.010375
OR2K2	1.1495
LMAN1	-1.592125
SUHW1	-4.27175
CHD8	0.2304
SUMO1	0.6945
GP1BA	0.2497
DDB1	-0.160666666666667
MYO9B	-0.1471
MMP7	3.391
CRNKL1	0.50575
C9orf45	-1.82416666666667
XAB2	0.389
RTN1	2.86425
KLHL14	-1.403375
TBX10	-1.176
CENPQ	-1.1795
UTY	-1.42608333333333
ZBTB12	-0.357
DTNBP1	-0.00312500000000004
KBTBD8	-1.15366666666667
ZEB1	-0.494333333333333
ZG16	-1.97425
MIER1	0.00949999999999999
ADAM5P	0.9035
CHD9	-0.3361875
STK16	1.5555
KIAA1486	-0.3185
TOB2	0.4565
BANK1	0.6895
OR2V2	0.36925
GRM2	0.381666666666667
PROSC	0.098875
SPIN2B	-0.29625
PIR	-2.37655555555556
IPO9	-0.0872
EVC	-0.685833333333333
CXCL13	2.04616666666667
KIAA1199	-2.9893
SORL1	0.943
NAT10	-0.5525
CHD1	-0.09675
SYN3	-0.865
SLC22A2	-0.463
SERPINF1	-0.263333333333333
WDR34	0.35675
OR7A17	0.1645
C9orf11	-0.601
RNF216L	-0.3648
LHB	-0.32
STK25	-0.342375
TAOK3	-0.052125
LOC152573	-2.8465
C3orf39	0.99925
C14orf108	0.7077
CDC25B	-1.60827272727273
BMP3	-0.1535
TMEM180	-0.088
MAP1LC3C	-0.558
CRYGC	-0.4795
POU3F1	-1.3409
C20orf32	-1.7705
CCDC95	0.4925
HIGD1B	3.67775
USP6NL	0.076375
ABCD4	-0.484333333333333
DIMT1L	-0.4485
TEK	0.396
SLC25A46	-0.21675
LARP7	-1.2727
CD160	-0.732833333333333
MT1JP	-1.51533333333333
PHF20	-0.373625
CPNE4	-1.512
GTPBP1	-0.583142857142857
RAB33B	0.930833333333334
ALDOC	-3.264875
ZNF212	-0.20775
NUDT1	-0.687833333333333
RFPL2	-1.1895
ZNF83	0.184333333333333
GDPD5	-1.961
PDCD4	1.4895
CEP350	0.214
OR10A2	0.04275
CST7	-0.57775
CIAO1	-0.634
SELL	1.11975
OR8J3	0.162
LTBP4	-0.967333333333333
SIRT6	0.259
CCL19	2.4685
PPIL1	-0.807
GBP7	0.224333333333333
STK17A	-1.3317
ABR	-0.03825
OR9G1	0.0475
FOXE1	-1.131
CNGA3	1.687
GML	0.2135
CD38	-3.512
ZDHHC6	0.0961666666666667
NEFH	-2.42175
CTDSP2	0.0699166666666667
PGBD5	-2.54833333333333
CCNY	-0.0177857142857143
RMND5B	1.05183333333333
ZNF257	1.21925
FLJ22167	-0.79525
EXOSC7	-0.0623333333333333
ROR2	1.52625
MAOA	2.4135
TNNT3	0.863333333333333
GYPC	-1.34525
C7orf33	1.029
PLIN	2.70316666666667
LOC90826	-0.17675
RNF4	-0.1061
F8A1	0.336666666666667
PLEKHG4	-0.35175
GRB2	0.3048
HIST1H2AD	-0.11125
DUS3L	-0.707166666666667
EIF1	-0.476833333333333
RP5-1077B9.4	-0.735333333333333
FPGT	1.454
GDF10	0.114333333333333
COQ9	-0.45875
GCC2	-0.073
RARRES3	3.5655
PLXNA1	-0.9004
KIAA0100	-0.2139
PMF1	0.364
FNDC1	4.95475
HS2ST1	-0.0595833333333333
CRELD2	-0.368
C8G	-1.6495
CD82	1.41125
LIM2	-1.3375
UNQ6490	-0.103
MMP16	-0.85075
DRD3	-0.4845
C5orf26	-0.0855
C11orf73	0.55475
PTP4A2	1.953625
OR4M2	0.06
HPCA	-0.9395
SEC14L1	-0.7485
CHFR	-0.196
EMILIN1	-0.12925
NDUFS4	0.4585
COL18A1	-1.327875
PDZD3	0.0261
C9orf16	-0.0141666666666667
ERBB2IP	0.198666666666667
EMX2	0.8
FUS	0.1445
TF	-3.6145
CLCN4	-1.12916666666667
CXorf56	0.654
C11orf72	-0.038
ELAC2	-0.0934166666666667
NPR1	-1.88075
ASS1	-3.7535
USP42	-0.07975
POLR2J	-0.24
SEC23IP	0.780166666666667
UQCRC1	0.35625
LOC729603	-0.986
C1orf71	0.393
POLG	-0.972
ADAM23	-4.0275
TFR2	-1.3435
RICTOR	-0.5476
MGC39606	-0.98925
C19orf55	0.152625
SNAPC1	-1.62783333333333
GNA11	0.471625
CCDC52	1.20916666666667
FSIP1	4.0925
UPF3A	-0.68825
IGSF11	-3.3558
LAGE3	0.2255
CHST6	-3.33
UNC13B	1.80625
TTLL4	-1.557875
ZNF687	0.239
SDC2	-2.3269
COX7A2	0.5115
LAMB4	0.216
FAM24A	0.4805
LRRTM3	-0.426333333333333
GPHB5	0.0835
OR4C13	0.2655
EIF3EIP	-0.283357142857143
HABP4	-1.951
TMEM125	3.42425
CNTN2	0.34375
ASNSD1	-0.27925
FUT4	-0.95975
ACF	-4.06575
LOC158381	1.3555
CDH8	-0.0465
AGPS	-0.0793333333333333
C4orf18	4.294875
PECI	0.952333333333333
UNG	-0.737125
GSTP1	-3.019625
DCUN1D5	-1.19533333333333
DKFZP564J0863	-0.475
SLC9A3R1	1.466875
BCDO2	-0.600375
CHMP7	-0.520125
REM2	1.2115
DNHD1	-0.453375
FKBP4	-0.169
ZNF350	2.123
MGC11102	0.17825
BST1	0.908
KISS1R	1.561
NCR2	0.456
DEFB125	-0.08
UBE2W	0.93
KRT15	-0.884
C10orf99	0.2445
SCN11A	-0.08725
GFI1	-3.16625
RDHE2	3.63783333333333
FHL1	-2.36666666666667
OSGEP	0.0703333333333333
