Hybridization REF	TCGA-A2-A0CW-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.403
CREB3L1	1.89475
RPS11	0.446
PNMA1	-1.13575
MMP2	-1.00166666666667
C10orf90	-2.219
ZHX3	-0.709
ERCC5	-0.2095
GPR98	0.160375
RXFP3	0.627
APBB2	3.444
PRO0478	-0.70675
KLHL13	-1.899
PRSSL1	-0.670166666666667
PDCL3	0.638333333333333
DECR1	-1.349625
SALL1	-4.09533333333333
CADM4	-0.0231666666666667
RPS18	0.200642857142857
HNRPD	-0.928
CFHR5	0.8718
SLC10A7	-0.1025
OR2K2	0.0435
LMAN1	0.178375
SUHW1	-3.218
CHD8	0.1562
SUMO1	-0.1039
GP1BA	0.7575
DDB1	0.139666666666667
MYO9B	-0.3871
MMP7	5.57325
CRNKL1	0.314
C9orf45	-1.721
XAB2	0.190875
RTN1	0.721375
KLHL14	-1.34075
TBX10	1.922
CENPQ	-0.49825
UTY	-1.43592857142857
ZBTB12	-0.5605
DTNBP1	-0.236125
KBTBD8	-1.66216666666667
ZEB1	-0.0946666666666667
ZG16	0.4015
MIER1	0.293
ADAM5P	-0.044
CHD9	-0.5936875
STK16	1.064
KIAA1486	-0.2795
TOB2	0.96025
BANK1	1.504
OR2V2	0.66775
GRM2	0.0198333333333334
PROSC	0.59625
SPIN2B	-0.23375
PIR	-0.952333333333333
IPO9	0.0352
EVC	-0.47
CXCL13	5.17816666666667
KIAA1199	-3.5508
SORL1	0.6045
NAT10	0.3105
CHD1	0.05575
SYN3	0.665
SLC22A2	-0.39375
SERPINF1	-0.624
WDR34	0.7685
OR7A17	0.604
C9orf11	0.087
RNF216L	-0.4343
LHB	-0.0985
STK25	-1.27925
TAOK3	0.531625
LOC152573	-4.01375
C3orf39	0.1085
C14orf108	-0.1267
CDC25B	0.234909090909091
BMP3	0.703
TMEM180	0.1655
MAP1LC3C	-0.43175
CRYGC	-1.048
POU3F1	-1.1587
C20orf32	-1.834
CCDC95	-0.0985
HIGD1B	2.947
USP6NL	0.459625
ABCD4	-1.17366666666667
DIMT1L	-0.5515
TEK	0.461125
SLC25A46	-0.002
LARP7	-1.102
CD160	0.765666666666667
MT1JP	0.176666666666667
PHF20	0.1128125
CPNE4	-0.86575
GTPBP1	-0.476214285714286
RAB33B	0.989333333333333
ALDOC	-2.034
ZNF212	0.0865
NUDT1	-1.00166666666667
RFPL2	-0.2495
ZNF83	0.1355
GDPD5	-1.363625
PDCD4	0.3596
CEP350	0.07975
OR10A2	0.31575
CST7	1.2285
CIAO1	0.171
SELL	1.306375
OR8J3	0.8305
LTBP4	0.232
SIRT6	-0.42275
CCL19	4.24475
PPIL1	-0.167833333333333
GBP7	2.073
STK17A	-1.0278
ABR	-0.88775
OR9G1	-1.1505
FOXE1	-0.69525
CNGA3	1.472
GML	0.319
CD38	-0.93675
ZDHHC6	-0.591833333333333
NEFH	-0.99275
CTDSP2	-0.383083333333333
PGBD5	-1.8635
CCNY	-1.19957142857143
RMND5B	1.0145
ZNF257	1.1
FLJ22167	-0.475
EXOSC7	-1.25733333333333
ROR2	-0.345625
MAOA	-1.6355
TNNT3	0.12
GYPC	-2.045
C7orf33	0.592
PLIN	0.7125
LOC90826	0.16125
RNF4	-0.0022
F8A1	-0.316833333333333
PLEKHG4	-0.73675
GRB2	0.12445
HIST1H2AD	0.05
DUS3L	-0.935833333333333
EIF1	-0.936666666666667
RP5-1077B9.4	-0.544666666666667
FPGT	1.18075
GDF10	-0.125333333333333
COQ9	0.125
GCC2	0.7345
RARRES3	3.10175
PLXNA1	-0.252
KIAA0100	-0.9087
PMF1	-0.001
FNDC1	4.781
HS2ST1	-0.0454166666666667
CRELD2	0.2685
C8G	-0.4265
CD82	1.068
LIM2	-0.849
UNQ6490	-0.2145
MMP16	0.497
DRD3	0.33475
C5orf26	-1.154
C11orf73	-0.04575
PTP4A2	0.820125
OR4M2	0.2185
HPCA	-1.014
SEC14L1	0.899833333333333
CHFR	-0.013125
EMILIN1	0.323125
NDUFS4	0.356
COL18A1	-0.202625
PDZD3	0.0768
C9orf16	0.108833333333333
ERBB2IP	0.365833333333333
EMX2	1.51725
FUS	-1.01375
TF	-3.9019
CLCN4	-1.00433333333333
CXorf56	-0.098
C11orf72	0.31675
ELAC2	-0.517416666666667
NPR1	-1.83875
ASS1	0.514333333333333
USP42	-0.434
POLR2J	-0.327
SEC23IP	0.177833333333333
UQCRC1	-0.6615
LOC729603	-0.827
C1orf71	-0.21875
POLG	-1.1605
ADAM23	-3.7415
TFR2	-1.484
RICTOR	-0.929
MGC39606	0.12425
C19orf55	-0.07875
SNAPC1	-1.2425
GNA11	-0.176625
CCDC52	1.2375
FSIP1	3.2335
UPF3A	-1.20325
IGSF11	-2.08233333333333
LAGE3	0.36
CHST6	-1.0795
UNC13B	-1.140375
TTLL4	-1.648125
ZNF687	-0.40925
SDC2	-2.4644
COX7A2	0.655
LAMB4	-0.2595
FAM24A	0.661
LRRTM3	-1.41116666666667
GPHB5	-0.36525
OR4C13	0.29
EIF3EIP	-1.00607142857143
HABP4	-1.9755
TMEM125	3.50175
CNTN2	0.7085
ASNSD1	-0.13675
FUT4	-0.48025
ACF	-3.66025
LOC158381	0.572
CDH8	0.41475
AGPS	-0.438833333333333
C4orf18	2.090375
PECI	-0.644583333333333
UNG	0.195625
GSTP1	0.321
DCUN1D5	-1.1535
DKFZP564J0863	0.53825
SLC9A3R1	1.976375
BCDO2	-1.16525
CHMP7	-0.927375
REM2	0.9275
DNHD1	-0.961571428571429
FKBP4	0.14825
ZNF350	1.43775
MGC11102	1.1455
BST1	0.51325
KISS1R	0.8115
NCR2	0.1425
DEFB125	-0.134
UBE2W	1.46825
KRT15	-0.663125
C10orf99	0.5895
SCN11A	0.735125
GFI1	-2.46225
RDHE2	4.58366666666667
FHL1	-2.80833333333333
OSGEP	0.253833333333333
GATA1	-3.43183333333333
SMC6	-0.69075
TTTY14	-0.90075
LPIN3	0.0365
RPL4	-1.2383
RBPMS	0.4128
PRPF3	-0.855
EMR1	-2.2655
SPATA19	-0.0865
XCR1	0.298
IRX3	1.8988
RBM6	-2.01975
KLF4	-1.3321
UNC5CL	-1.66
SEBOX	-0.0715
BTK	-1.51025
KRCC1	-0.204
C6orf27	0.3345
SYTL5	-0.8935
PRND	1.654125
LOC653319	-0.9995
PIGL	-1.712875
HUS1	-0.546166666666667
SFRS6	-0.368416666666667
C17orf77	0.6795
UIMC1	-0.659
FXYD2	-1.57
LOC283152	1.36025
ZNF667	1.94
ZCCHC12	-0.5625
TFEC	3.6152
ATP7B	0.734
POLD2	-1.94
RG9MTD1	-0.389
ACOT2	-0.247833333333333
HIST1H4I	-0.214375
PPARGC1A	-2.699
ETFA	-0.9346
POLRMT	-0.4455
ZNF146	-0.834625
MIA2	-1.888
KLHL6	-0.557166666666667
HOXB5	0.23325
NENF	0.838333333333333
CUGBP1	-0.01825
PRSS22	2.20883333333333
CASC4	1.3388
CUL4B	-0.5084
CENPJ	-0.9748
PITX1	0.280333333333333
FLJ31033	2.5735
CELSR3	-1.54966666666667
ZNF568	0.3015
ITSN1	-0.09925
EHBP1L1	-0.348
C19orf2	1.808
DCTN1	0.005
LIN28B	-4.02533333333333
TNKS2	1.12875
C1QBP	-0.817375
CADPS2	2.14025
SRMS	1.3615
GJA9	0.363833333333333
MGC24975	-1.12083333333333
TRIM45	-0.108333333333333
TSP50	-0.09125
TCP1	-0.1625
TMED7	0.9097
CMA1	0.402
CENPL	-0.1445
PTCRA	0.5415
FST	-4.20425
VWCE	-4.337
PAWR	0.34175
ABCC12	2.12783333333333
LDLR	-0.9484
ASTN2	0.8246
LOC441212	-0.98875
GPATCH8	-0.84325
TANC2	-0.0095
KIF4A	-1.8255
C18orf18	-0.87225
PGM1	-1.15575
KIAA0258	1.1445
CPD	0.37775
SNCAIP	-1.1075
DCT	-4.49733333333333
HLA-DOA	3.161
OR11L1	0.405
UPK1B	-0.441166666666667
DNAJB4	-1.129625
UGT1A8	-0.17325
HIST1H4L	0.106
PECR	-0.503833333333333
HSPA2	-1.19475
WFIKKN1	-1.7735
SERP1	0.427625
SYDE2	1.56175
TACR2	0.7165
NUP85	-0.11825
CD177	-0.0933333333333333
LGR5	-2.19083333333333
PIGG	0.13
PTHR1	-2.28766666666667
RAB5A	-0.4358
FLJ13224	1.655
USP9Y	-2.384
C7orf53	-0.187
LRP1B	-0.2205
XAF1	3.7505
ABCG8	-1.5255
ANKDD1A	-1.05533333333333
DAND5	-2.4535
SPAG6	0.316666666666667
LINCR	1.506
ZDHHC22	-1.0615
CCDC60	0.9635
THOC7	-1.24633333333333
TCTA	1.0352
OR8K3	-0.01325
NY-REN-7	-0.705
B2M	1.53233333333333
C6orf141	1.788625
LPPR4	1.04075
SQLE	0.85275
SEPHS1	-0.034
BTBD14B	0.575857142857143
PLRG1	-0.4845
SPG7	-0.462625
ZNF614	-0.093
PARD6G	0.949333333333333
INPP5B	-0.202
GRPEL2	0.73125
PPID	-0.221
TRIM56	0.10775
UBE2J1	-0.438125
IL20RA	5.11925
LOC387856	-0.42275
C1orf107	0.53125
UTS2R	0.819
C19orf22	-0.97675
SAFB2	-0.11125
KIAA0652	0.120625
KLRG1	-0.7865
MS4A8B	1.14183333333333
FRAG1	0.64275
KIAA1546	0.10075
E2F4	-1.0441
CLEC4M	0.144
BTBD14A	-0.07
KIAA0999	1.4176
GYPA	-3.60883333333333
TAC1	-0.0172
TRAIP	-0.6945
KIAA0232	0.6187
ERCC8	-1.64075
GPX4	0.95225
KIAA0368	-1.005625
GPR157	-0.394166666666667
CTAGE4	0.842
C9orf30	-1.59333333333333
OR52A1	1.049
HSP90B3P	-0.4045
ALG9	-0.6076
BTBD10	1.01475
SDK2	0.49775
BAIAP3	1.5215
RABGGTB	-0.99925
ANKRD40	0.230833333333333
KRT74	0.408
CALCOCO2	-0.283071428571429
SNCA	-4.20675
TMSL8	-5.427
C2orf53	-0.175
ESRRB	-0.3835
ARHGAP26	-0.991125
TDRD9	-3.13075
HRAS	0.961333333333333
KLRC4	-1.858
JAGN1	1.277
BSDC1	0.5685
RNF43	0.0212
NDUFAF1	0.60625
PHF12	0.14
OR1L3	0.16
FOLR2	1.12325
LYZL6	-0.0833333333333333
tcag7.1260	-1.766
WSB1	-1.46283333333333
PROS1	-1.7934
OSTN	0.4435
PSMB8	2.22825
SOCS4	-0.909875
DDIT4L	0.26475
MAS1	-0.4515
MGC34796	1.35875
CSHL1	0.466833333333333
TBCCD1	-0.0306666666666667
ZBTB7C	0.3805
AP2S1	-0.5185
P15RS	0.1411
VAT1	-1.0253
SHANK3	0.2395
TUFM	-0.296666666666667
THEG	0.39025
KRT34	-2.0335
SGSM3	-0.316375
TOMM22	-0.523
SOCS3	0.209166666666667
CPO	0.203
POP4	-0.212
BHLHB3	-0.63925
MALL	1.0455
OR1B1	-0.0495
PARK2	0.347666666666667
GPR124	-0.948125
LCE1E	0.6485
RUVBL2	-0.07825
CGRRF1	-0.4901
ACPL2	0.42225
WNT10B	-2.50775
BAIAP2L2	-0.1875
ISCA1	-0.019
C1orf125	1.78375
RPAP1	-0.75525
RAI16	0.1095
RPL27	-1.123625
NLRP9	0.257
EPN1	0.698
LOC388610	-2.697875
SLC35A1	0.8379
GAL	-4.0915
SLC14A2	0.2595
RDH11	-0.674333333333333
FAM138F	-0.1005
AUH	0.28125
FLJ40243	-0.2605
C14orf129	0.362833333333333
MBD2	0.0803333333333333
ABHD14B	-1.180625
PIGT	3.13425
ALS2CR4	-0.83275
ALAS1	-0.4898
FOXO1	0.322333333333333
CRLF3	-0.86725
C20orf107	0.1835
FARS2	0.557
CCDC28A	-0.3625
NPHP3	-1.15125
OR13F1	0.3135
TSEN54	0.0415
DEFB106B	0.2088
OR8B4	0.356
STH	-0.569
ZC3H14	-0.798125
CBX2	-1.0425
TMEM49	-1.84075
C6orf21	0.487
FLJ20920	0.4725
CRTAP	-1.32092857142857
DDX50	-0.3725
STYXL1	0.20325
BLVRB	1.2705
LOC147650	-0.988
MMP24	-0.18825
GRID1	1.45333333333333
BANF1	-0.0853333333333333
CTAGEP	0.333
HMBS	-1.36275
SLC25A24	0.836166666666667
C14orf50	-0.12975
MRO	1.3195
SLC25A15	-0.738
FAM84B	1.996
TDP1	0.179
C16orf78	-0.2665
C11orf57	0.2725
RFK	0.278
ZFYVE9	-0.032125
STCH	-1.3001
WIBG	0.45025
LOC283871	-0.112333333333333
GBA2	-0.9596
NDUFB3	1.049
HSD17B13	-0.2285
GRIN3A	2.13033333333333
FMNL1	-1.36333333333333
SEPT7	-0.9137
GNLY	3.9145
GRAMD1C	0.8655
ZNF165	0.052
USP38	0.90025
FAM83A	0.7285
C14orf24	1.69758333333333
ARMCX3	0.037625
ARHGDIB	-0.4785
AK1	0.354625
KIAA1045	-0.09275
DNAJB13	-0.586666666666667
NEU2	-0.236
HIST1H4B	-0.402166666666667
FAM20B	0.2674
HES2	1.84271428571429
FAM73B	-0.389
LOC388381	-0.27325
INTS7	0.210636363636364
AMPH	2.32075
ZNF775	0.112625
UCKL1	0.521666666666667
C10orf97	-0.26675
C1orf161	-0.4405
ALDH1L1	-2.1215
FLJ39378	-0.062875
SLC23A1	-0.975
RBM4B	-0.33425
THAP4	-0.382833333333333
OGFRL1	0.65625
KIAA0831	-0.668875
PPP1R15A	-1.1805
C1orf96	0.803071428571429
C12orf11	-2.29825
BMF	0.877375
MAN1A1	-1.122
KIAA1600	0.1125
NLGN4X	-2.35475
ALOX12	-1.3055
RB1CC1	0.7667
NEIL2	-0.2738
EIF4E	-0.345545454545455
ABHD5	-0.01425
EXOC4	-0.138333333333333
CIP29	-0.0646666666666667
BATF2	2.73575
SLC29A4	-0.304625
HTR4	0.394
EMB	2.04225
TRAF6	0.173
LMNB1	0.023
FAM19A5	0.200875
SHE	0.946
PIK3C2B	1.73925
C15orf15	-0.9292
USP15	-0.6085
TCEAL2	0.17925
C5orf39	-1.25466666666667
PTGER2	-1.72175
SLC31A1	0.4646875
IFT172	1.1785
ADAM29	0.4045
GFOD1	-1.5845
ST7L	0.355166666666667
C15orf26	-3.0985
PKN3	-2.5865
CNTD1	2.22633333333333
COMMD1	0.65225
NTRK2	1.67233333333333
FOXN3	-0.7215
MFGE8	-1.3092
PFKFB2	0.48
TAS2R4	0.385
