Hybridization REF	TCGA-A7-A0CH-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.173083333333333
CREB3L1	1.1805
RPS11	0.10175
PNMA1	0.0965
MMP2	1.31466666666667
C10orf90	-3.34725
ZHX3	0.207166666666667
ERCC5	0.4295
GPR98	0.313625
RXFP3	0.662
APBB2	1.726
PRO0478	-0.953875
KLHL13	-2.32975
PRSSL1	-0.959333333333333
PDCL3	0.262166666666667
DECR1	-0.0175
SALL1	-3.11183333333333
CADM4	1.57833333333333
RPS18	-0.241642857142857
HNRPD	-0.75275
CFHR5	0.305833333333333
SLC10A7	0.1115
OR2K2	0.693
LMAN1	-1.126
SUHW1	-3.5105
CHD8	0.4402
SUMO1	0.9614
GP1BA	-0.1654
DDB1	-0.196333333333333
MYO9B	-0.0531
MMP7	6.34825
CRNKL1	0.586125
C9orf45	-1.07233333333333
XAB2	0.786125
RTN1	2.565875
KLHL14	-1.332625
TBX10	-1.0915
CENPQ	-1.58625
UTY	-1.05821428571429
ZBTB12	-0.553
DTNBP1	0.220875
KBTBD8	-2.00166666666667
ZEB1	-0.065
ZG16	-1.95275
MIER1	0.3091
ADAM5P	0.664
CHD9	-0.811875
STK16	1.69925
KIAA1486	-0.632
TOB2	0.96675
BANK1	1.19425
OR2V2	0.17325
GRM2	0.185166666666667
PROSC	0.22425
SPIN2B	0.277
PIR	-2.58877777777778
IPO9	-0.0341
EVC	1.37816666666667
CXCL13	3.51016666666667
KIAA1199	-0.2439
SORL1	2.2495
NAT10	-0.168
CHD1	-1.09025
SYN3	-0.58675
SLC22A2	-0.18725
SERPINF1	0.88
WDR34	-0.012
OR7A17	0.239
C9orf11	-0.456
RNF216L	-0.4345
LHB	-0.172
STK25	0.18825
TAOK3	0.862125
LOC152573	-3.01075
C3orf39	1.069
C14orf108	0.3699
CDC25B	-2.32581818181818
BMP3	0.498
TMEM180	0.00599999999999998
MAP1LC3C	0.39625
CRYGC	-0.425
POU3F1	-1.2724
C20orf32	-1.2055
CCDC95	-0.0535
HIGD1B	4.21325
USP6NL	-0.5045
ABCD4	-0.262333333333333
DIMT1L	-1.03741666666667
TEK	0.626125
SLC25A46	-0.9845
LARP7	-1.2191
CD160	-0.186666666666667
MT1JP	-1.31133333333333
PHF20	0.0366875
CPNE4	-1.7055
GTPBP1	-0.0427857142857143
RAB33B	1.2555
ALDOC	-2.77475
ZNF212	0.086
NUDT1	-1.3325
RFPL2	-0.73975
ZNF83	-0.051
GDPD5	-1.109125
PDCD4	2.80695
CEP350	0.262
OR10A2	0.34775
CST7	1.0915
CIAO1	-1.49025
SELL	0.022125
OR8J3	-0.0725
LTBP4	-0.285
SIRT6	0.3725
CCL19	3.50925
PPIL1	-1.03116666666667
GBP7	-0.200833333333333
STK17A	-1.4947
ABR	0.77375
OR9G1	0.6005
FOXE1	-0.62375
CNGA3	0.198
GML	0.307
CD38	-4.05
ZDHHC6	0.0608333333333333
NEFH	-2.38725
CTDSP2	0.73725
PGBD5	-1.55816666666667
CCNY	0.09
RMND5B	0.634333333333333
ZNF257	-0.56375
FLJ22167	-0.292875
EXOSC7	-0.732166666666667
ROR2	1.919625
MAOA	-1.079875
TNNT3	-0.184833333333333
GYPC	-1.252
C7orf33	0.895
PLIN	0.396
LOC90826	0.0515
RNF4	-0.3625
F8A1	0.202
PLEKHG4	-1.475
GRB2	0.54525
HIST1H2AD	1.47125
DUS3L	-0.6355
EIF1	-0.5645
RP5-1077B9.4	-0.588833333333333
FPGT	1.9835
GDF10	-1.35116666666667
COQ9	-0.44625
GCC2	0.271428571428571
RARRES3	3.222
PLXNA1	-0.6481
KIAA0100	-0.0399
PMF1	1.024
FNDC1	5.53
HS2ST1	-0.18025
CRELD2	0.616
C8G	-1.5015
CD82	1.04725
LIM2	-0.93
UNQ6490	0.2975
MMP16	0.08325
DRD3	-0.5665
C5orf26	-0.97175
C11orf73	-0.4035
PTP4A2	1.429625
OR4M2	0.756
HPCA	-1.05016666666667
SEC14L1	-1.354
CHFR	-0.274375
EMILIN1	0.62925
NDUFS4	-0.549
COL18A1	0.0625
PDZD3	-0.3276
C9orf16	0.0215
ERBB2IP	0.176333333333333
EMX2	3.65075
FUS	-0.3905
TF	-3.486
CLCN4	-0.649333333333333
CXorf56	0.2105
C11orf72	0.30575
ELAC2	-0.148083333333333
NPR1	-1.0495
ASS1	-3.095
USP42	-0.02125
POLR2J	-0.6985
SEC23IP	1.00016666666667
UQCRC1	0.30475
LOC729603	-0.578
C1orf71	0.281
POLG	-2.414
ADAM23	-3.081
TFR2	-1.10375
RICTOR	-1.232
MGC39606	-0.0925
C19orf55	-0.172875
SNAPC1	-1.72033333333333
GNA11	1.487125
CCDC52	0.59
FSIP1	4.87
UPF3A	-0.013125
IGSF11	-2.17133333333333
LAGE3	-0.3785
CHST6	-0.92
UNC13B	0.40625
TTLL4	-0.426375
ZNF687	0.783625
SDC2	-0.3122
COX7A2	0.047
LAMB4	-0.34075
FAM24A	-0.164
LRRTM3	-0.893666666666666
GPHB5	0.0675
OR4C13	-0.3495
EIF3EIP	0.2875
HABP4	-0.6205
TMEM125	4.03075
CNTN2	0.2695
ASNSD1	-0.1
FUT4	-0.637625
ACF	-3.57
LOC158381	0.476
CDH8	-0.213
AGPS	-0.318
C4orf18	4.719375
PECI	0.38575
UNG	-0.297125
GSTP1	-0.25675
DCUN1D5	-1.15666666666667
DKFZP564J0863	-1.16825
SLC9A3R1	0.97275
BCDO2	-0.919125
CHMP7	0.17275
REM2	1.0905
DNHD1	-0.785625
FKBP4	-0.041125
ZNF350	1.865
MGC11102	-0.131375
BST1	1.86075
KISS1R	1.0255
NCR2	0.5215
DEFB125	-0.733
UBE2W	0.663
KRT15	0.512875
C10orf99	0.649
SCN11A	-0.279125
GFI1	-2.99525
RDHE2	3.341
FHL1	-1.32033333333333
OSGEP	0.0786666666666667
GATA1	-3.38383333333333
SMC6	-1.304
TTTY14	-1.08825
LPIN3	0.1765
RPL4	-0.7757
RBPMS	0.2262
PRPF3	0.326333333333333
EMR1	-2.214
SPATA19	0.541
XCR1	0.076
IRX3	2.3556
RBM6	0.016
KLF4	0.1908
UNC5CL	-0.5105
SEBOX	0.011
BTK	-0.9985
KRCC1	1.365
C6orf27	0.616
SYTL5	-0.952
PRND	2.096375
LOC653319	-1.4935
PIGL	-1.5965
HUS1	-0.53
SFRS6	-0.692083333333333
C17orf77	-0.1175
UIMC1	-0.6455
FXYD2	-1.795
LOC283152	2.238
ZNF667	-0.82475
ZCCHC12	-0.7095
TFEC	1.5275
ATP7B	1.09316666666667
POLD2	-1.07566666666667
RG9MTD1	-0.05825
ACOT2	1.01633333333333
HIST1H4I	-0.847875
PPARGC1A	-1.6327
ETFA	-0.8065
POLRMT	-0.04075
ZNF146	-0.125375
MIA2	-1.2245
KLHL6	-2.00233333333333
HOXB5	-0.789625
NENF	0.6385
CUGBP1	0.64375
PRSS22	1.79033333333333
CASC4	0.8047
CUL4B	0.2361
CENPJ	-1.756
PITX1	0.615666666666667
FLJ31033	0.392333333333333
CELSR3	-2.1975
ZNF568	0.6955
ITSN1	-0.643833333333333
EHBP1L1	-0.845333333333333
C19orf2	-0.63825
DCTN1	0.5095
LIN28B	-3.68566666666667
TNKS2	-0.3275
C1QBP	-0.4015
CADPS2	2.24975
SRMS	0.6145
GJA9	0.32
MGC24975	-0.179833333333333
TRIM45	1.6035
TSP50	0.619
TCP1	-1.276
TMED7	0.0981
CMA1	0.6155
CENPL	-0.874833333333333
PTCRA	0.6575
FST	-1.474
VWCE	-3.5165
PAWR	0.38925
ABCC12	1.766
LDLR	-1.0498
ASTN2	1.1006
LOC441212	-1.405375
GPATCH8	-0.18975
TANC2	-0.282166666666667
KIF4A	-1.9555
C18orf18	-1.963
PGM1	-1.084
KIAA0258	0.6655
CPD	0.37225
SNCAIP	-1.34275
DCT	-3.9455
HLA-DOA	2.11922727272727
OR11L1	0.473
UPK1B	-0.262333333333333
DNAJB4	-0.4165
UGT1A8	-1.17325
HIST1H4L	-1.39
PECR	-1.69033333333333
HSPA2	3.42675
WFIKKN1	-1.729
SERP1	0.844875
SYDE2	0.3735
TACR2	0.4665
NUP85	-0.649
CD177	2.36033333333333
LGR5	-1.36883333333333
PIGG	0.109583333333333
PTHR1	-0.2715
RAB5A	-0.0705
FLJ13224	0.1065
USP9Y	-1.59133333333333
C7orf53	-0.9285
LRP1B	-0.43825
XAF1	1.2848
ABCG8	-0.2165
ANKDD1A	-0.855166666666667
DAND5	-1.244
SPAG6	0.1285
LINCR	1.9495
ZDHHC22	-1.401875
CCDC60	-0.426
THOC7	-1.2835
TCTA	1.2978
OR8K3	0.293
NY-REN-7	-0.958
B2M	1.3495
C6orf141	-2.383
LPPR4	1.158
SQLE	-1.30375
SEPHS1	-0.8785
BTBD14B	0.390714285714286
PLRG1	-0.11125
SPG7	-0.553
ZNF614	-0.431833333333333
PARD6G	1.135
INPP5B	-0.204
GRPEL2	-0.122
PPID	-0.8145
TRIM56	-0.356
UBE2J1	-0.846375
IL20RA	6.28075
LOC387856	-0.11475
C1orf107	0.85025
UTS2R	0.97425
C19orf22	-0.0385
SAFB2	-0.011875
KIAA0652	0.4065
KLRG1	-0.249666666666667
MS4A8B	3.47116666666667
FRAG1	0.83
KIAA1546	0.826
E2F4	-1.3608
CLEC4M	0.290666666666667
BTBD14A	-1.058
KIAA0999	1.9677
GYPA	-3.6455
TAC1	1.2362
TRAIP	-1.36733333333333
KIAA0232	0.7663
ERCC8	-1.13475
GPX4	0.943
KIAA0368	-0.22775
GPR157	-0.245666666666667
CTAGE4	1.015
C9orf30	-1.79266666666667
OR52A1	0.475
HSP90B3P	-0.5925
ALG9	-0.3903
BTBD10	0.46175
SDK2	0.0575
BAIAP3	1.84325
RABGGTB	-0.93725
ANKRD40	0.0908333333333333
KRT74	0.4665
CALCOCO2	0.120428571428571
SNCA	-2.813
TMSL8	-3.558875
C2orf53	0.214
ESRRB	-0.563
ARHGAP26	-1.01075
TDRD9	-2.47675
HRAS	-0.089
KLRC4	-2.51
JAGN1	-0.5725
BSDC1	0.84525
RNF43	0.0905
NDUFAF1	0.82425
PHF12	0.4775
OR1L3	0.15925
FOLR2	1.97541666666667
LYZL6	0.171166666666667
tcag7.1260	-2.277
WSB1	-1.74033333333333
PROS1	-1.7031
OSTN	0.704
PSMB8	0.82325
SOCS4	-0.439625
DDIT4L	1.07925
MAS1	0.406
MGC34796	1.16725
CSHL1	0.0586666666666666
TBCCD1	0.268666666666667
ZBTB7C	0.635
AP2S1	-0.292375
P15RS	-0.1923
VAT1	-0.6529
SHANK3	0.847333333333333
TUFM	0.5465
THEG	-0.463
KRT34	-2.203
SGSM3	0.915
TOMM22	-0.589625
SOCS3	0.498833333333333
CPO	1.5235
POP4	0.19875
BHLHB3	2.97175
MALL	0.8085
OR1B1	-0.3985
PARK2	0.404833333333333
GPR124	0.103875
LCE1E	0.3155
RUVBL2	-0.401
CGRRF1	0.5506
ACPL2	1.15825
WNT10B	-1.54325
BAIAP2L2	-2.103625
ISCA1	0.139
C1orf125	1.112625
RPAP1	-0.482
RAI16	0.227833333333333
RPL27	-0.7155
NLRP9	-0.2495
EPN1	0.4325
LOC388610	-0.202375
SLC35A1	0.4202
GAL	-3.91775
SLC14A2	0.449
RDH11	-0.3715
FAM138F	-0.7425
AUH	0.445
FLJ40243	0.5915
C14orf129	0.272666666666667
MBD2	-0.512333333333333
ABHD14B	0.497125
PIGT	0.887625
ALS2CR4	-0.381
ALAS1	0.5952
FOXO1	0.801
CRLF3	-0.86275
C20orf107	-0.053
FARS2	0.84575
CCDC28A	1.55
NPHP3	-0.7185
