Hybridization REF	TCGA-BH-A0H9-11A-22R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.00108333333333333
CREB3L1	-0.4125
RPS11	0.499875
PNMA1	1.459
MMP2	-0.306166666666667
C10orf90	0.29225
ZHX3	0.463833333333333
ERCC5	0.61525
GPR98	-0.525875
RXFP3	-0.134
APBB2	2.24325
PRO0478	-1.00825
KLHL13	-0.51125
PRSSL1	-0.195833333333333
PDCL3	0.139666666666667
DECR1	1.164
SALL1	-1.437
CADM4	0.199666666666667
RPS18	-0.408142857142857
HNRPD	-0.417166666666667
CFHR5	-0.1408
SLC10A7	0.24975
OR2K2	-0.8025
LMAN1	-1.306625
SUHW1	-1.62033333333333
CHD8	-0.663
SUMO1	0.3591
GP1BA	0.1192
DDB1	-0.832666666666667
MYO9B	-0.2644
MMP7	1.38775
CRNKL1	0.298875
C9orf45	-0.594
XAB2	0.34175
RTN1	0.975875
KLHL14	-0.450125
TBX10	-0.5285
CENPQ	-1.1945
UTY	0.00628571428571426
ZBTB12	-0.496
DTNBP1	0.479875
KBTBD8	-0.168833333333333
ZEB1	2.60966666666667
ZG16	0.08075
MIER1	1.1702
ADAM5P	-0.0535
CHD9	0.810625
STK16	-0.76475
KIAA1486	0.00700000000000001
TOB2	1.63716666666667
BANK1	3.75325
OR2V2	0.1845
GRM2	-0.213333333333333
PROSC	1.2835
SPIN2B	0.861
PIR	0.194111111111111
IPO9	-0.673
EVC	0.697833333333333
CXCL13	-0.578
KIAA1199	-2.5429
SORL1	-0.81175
NAT10	-1.28525
CHD1	-0.57125
SYN3	0.40925
SLC22A2	-0.18475
SERPINF1	2.78
WDR34	-2.05275
OR7A17	0.196
C9orf11	-0.1235
RNF216L	0.1843
LHB	-1.0665
STK25	0.295625
TAOK3	0.374375
LOC152573	1.444
C3orf39	0.283125
C14orf108	0.2186
CDC25B	-2.36518181818182
BMP3	0.147
TMEM180	-0.304
MAP1LC3C	1.81325
CRYGC	-0.1375
POU3F1	-0.8046
C20orf32	-0.543
CCDC95	-0.6275
HIGD1B	2.46325
USP6NL	0.383625
ABCD4	0.786666666666667
DIMT1L	-0.544083333333333
TEK	3.3145
SLC25A46	0.81275
LARP7	-1.04
CD160	-0.0931666666666667
MT1JP	0.216166666666667
PHF20	-0.049875
CPNE4	0.491
GTPBP1	-0.250285714285714
RAB33B	1.47033333333333
ALDOC	1.17225
ZNF212	-0.5105
NUDT1	-1.62533333333333
RFPL2	0.20475
ZNF83	-0.473666666666667
GDPD5	1.007375
PDCD4	1.62565
CEP350	-0.16175
OR10A2	0.278
CST7	-0.145
CIAO1	-0.85575
SELL	0.0754285714285714
OR8J3	-0.817
LTBP4	1.0655
SIRT6	-0.43025
CCL19	2.96925
PPIL1	-1.83
GBP7	-0.0458333333333333
STK17A	-0.854
ABR	0.837
OR9G1	0.925
FOXE1	-0.202875
CNGA3	-0.927
GML	-0.2545
CD38	-1.39575
ZDHHC6	-0.3
NEFH	-2.428
CTDSP2	1.15858333333333
PGBD5	-0.343833333333333
CCNY	0.5635
RMND5B	0.370583333333333
ZNF257	0.15725
FLJ22167	0.188375
EXOSC7	-1.1645
ROR2	-0.135125
MAOA	4.46675
TNNT3	2.7695
GYPC	1.4855
C7orf33	-0.2435
PLIN	4.98116666666667
LOC90826	0.43775
RNF4	-0.4888
F8A1	0.707833333333333
PLEKHG4	-1.95425
GRB2	-0.02145
HIST1H2AD	-1.712
DUS3L	-0.746333333333333
EIF1	0.989333333333334
RP5-1077B9.4	-0.138166666666667
FPGT	1.375
GDF10	3.81483333333333
COQ9	-0.23575
GCC2	0.699142857142857
RARRES3	0.753125
PLXNA1	-0.9405
KIAA0100	-0.0951
PMF1	-0.25275
FNDC1	2.7125
HS2ST1	0.370083333333333
CRELD2	-0.508
C8G	0.015
CD82	0.43975
LIM2	-0.331
UNQ6490	-0.6515
MMP16	0.02925
DRD3	-0.48875
C5orf26	0.1105
C11orf73	-0.24375
PTP4A2	0.969875
OR4M2	-0.4345
HPCA	-0.4595
SEC14L1	0.664833333333333
CHFR	-0.363625
EMILIN1	0.13175
NDUFS4	0.95675
COL18A1	-0.040625
PDZD3	0.0960000000000001
C9orf16	-0.110333333333333
ERBB2IP	0.242666666666667
EMX2	3.24675
FUS	-2.48275
TF	-2.0632
CLCN4	0.88
CXorf56	0.506
C11orf72	-0.3505
ELAC2	-0.299666666666667
NPR1	3.32375
ASS1	0.254166666666667
USP42	-0.138875
POLR2J	-1.026
SEC23IP	0.7625
