Hybridization REF	TCGA-AR-A0TR-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.577583333333333
CREB3L1	-1.41275
RPS11	0.44975
PNMA1	0.10525
MMP2	-2.28466666666667
C10orf90	-2.13175
ZHX3	0.170833333333333
ERCC5	-0.0695
GPR98	-0.34625
RXFP3	0.47
APBB2	1.75825
PRO0478	-0.71625
KLHL13	-2.95275
PRSSL1	-0.249333333333333
PDCL3	0.428333333333333
DECR1	-0.3985
SALL1	-3.8465
CADM4	0.875
RPS18	0.646428571428571
HNRPD	-0.733916666666667
CFHR5	0.7912
SLC10A7	0.1675
OR2K2	0.0845
LMAN1	-0.24225
SUHW1	-4.79725
CHD8	0.0175
SUMO1	0.2279
GP1BA	1.758
DDB1	0.0673333333333333
MYO9B	-0.6268
MMP7	-0.942
CRNKL1	1.1485
C9orf45	0.929833333333333
XAB2	0.434125
RTN1	1.3005
KLHL14	-0.839
TBX10	-1.5895
CENPQ	-1.364
UTY	-1.03678571428571
ZBTB12	0.362
DTNBP1	0.44775
KBTBD8	-1.3995
ZEB1	-2.11916666666667
ZG16	-1.97075
MIER1	0.5049
ADAM5P	0.374
CHD9	0.644375
STK16	1.6705
KIAA1486	-0.889
TOB2	0.482833333333333
BANK1	4.366
OR2V2	-0.0815
GRM2	0.166
PROSC	0.308125
SPIN2B	0.68375
PIR	-3.36344444444444
IPO9	-0.1973
EVC	-0.0705
CXCL13	3.611
KIAA1199	-2.1653
SORL1	1.13325
NAT10	-0.43925
CHD1	0.02275
SYN3	-0.43575
SLC22A2	-0.62775
SERPINF1	-1.84716666666667
WDR34	-0.362
OR7A17	1.3
C9orf11	-0.3415
RNF216L	-0.4318
LHB	0.6075
STK25	0.114625
TAOK3	0.947
LOC152573	0.07075
C3orf39	0.415
C14orf108	0.8718
CDC25B	-2.95918181818182
BMP3	0.5195
TMEM180	-0.311
MAP1LC3C	0.1295
CRYGC	-0.266
POU3F1	-1.3926
C20orf32	-1.578
CCDC95	-0.043
HIGD1B	2.807
USP6NL	-0.340375
ABCD4	-0.614833333333333
DIMT1L	0.1615
TEK	0.44975
SLC25A46	0.055
LARP7	-1.8267
CD160	1.46483333333333
MT1JP	-2.1965
PHF20	-0.076125
CPNE4	-1.498
GTPBP1	-0.649714285714286
RAB33B	0.783666666666667
ALDOC	-3.59975
ZNF212	0.45375
NUDT1	-1.36416666666667
RFPL2	-1.04475
ZNF83	1.104
GDPD5	-2.4155
PDCD4	1.3951
CEP350	0.4465
OR10A2	0.13175
CST7	0.1565
CIAO1	-0.93675
SELL	1.42625
OR8J3	-0.0555
LTBP4	0.1885
SIRT6	-0.2935
CCL19	5.02475
PPIL1	-0.803
GBP7	-0.493833333333333
STK17A	-1.297
ABR	0.20625
OR9G1	0.2695
FOXE1	-1.088875
CNGA3	0.179
GML	0.3585
CD38	-1.91175
ZDHHC6	-0.150833333333333
NEFH	-3.76225
CTDSP2	1.31583333333333
PGBD5	-0.646333333333333
CCNY	-0.0228571428571429
RMND5B	0.7225
ZNF257	0.4945
FLJ22167	1.047125
EXOSC7	-0.369
ROR2	2.0635
MAOA	-1.123875
TNNT3	1.33083333333333
GYPC	-2.087
C7orf33	0.1655
PLIN	1.196
LOC90826	0.08375
RNF4	-0.654
F8A1	-0.393833333333333
PLEKHG4	0.94125
GRB2	0.0688
HIST1H2AD	1.11975
DUS3L	-0.251
EIF1	-0.4575
RP5-1077B9.4	-0.857166666666667
FPGT	2.17625
GDF10	-0.552666666666667
COQ9	0.73775
GCC2	0.610285714285714
RARRES3	2.742875
PLXNA1	-1.3025
KIAA0100	0.3798
PMF1	0.4235
FNDC1	3.446
HS2ST1	0.26
CRELD2	-0.17275
C8G	-1.404
CD82	0.98825
LIM2	-1.172
UNQ6490	-0.3555
MMP16	-0.03025
DRD3	0.10825
C5orf26	0.46925
C11orf73	-0.137875
PTP4A2	0.6385
OR4M2	0.926
HPCA	-1.47566666666667
SEC14L1	-1.11483333333333
CHFR	0.03275
EMILIN1	-0.181375
NDUFS4	0.12375
COL18A1	-2.23
PDZD3	0.0335
C9orf16	-0.6995
ERBB2IP	0.381
EMX2	1.21475
FUS	-0.78925
TF	-4.0858
CLCN4	-0.712666666666667
CXorf56	0.94375
C11orf72	0.088
ELAC2	-0.97375
NPR1	-1.69175
ASS1	-2.473
USP42	-0.1195
POLR2J	-0.444
SEC23IP	0.870666666666667
UQCRC1	-0.0425
LOC729603	-0.6945
C1orf71	0.441375
POLG	-2.0585
ADAM23	-4.19925
TFR2	-1.916
RICTOR	-0.427666666666667
MGC39606	0.67275
C19orf55	-0.124625
SNAPC1	-1.66266666666667
GNA11	1.124125
CCDC52	0.704333333333333
FSIP1	3.3555
UPF3A	-0.10525
IGSF11	-2.9395
LAGE3	-0.617
CHST6	-4.6325
UNC13B	1.025375
TTLL4	-1.188625
ZNF687	0.797875
SDC2	-2.5121
COX7A2	-0.5425
LAMB4	-1.1795
FAM24A	0.4925
LRRTM3	-0.688333333333333
GPHB5	0.13975
OR4C13	0.473
EIF3EIP	0.191928571428571
HABP4	-0.927
TMEM125	4.157
CNTN2	0.41225
ASNSD1	-0.202
FUT4	-0.2085
ACF	-4.557
LOC158381	1.262
CDH8	-0.4245
AGPS	-0.256
C4orf18	4.752125
PECI	0.831333333333333
UNG	-0.719125
GSTP1	-3.614125
DCUN1D5	-0.9505
DKFZP564J0863	-0.25625
SLC9A3R1	0.567625
BCDO2	-0.7285
CHMP7	0.249
REM2	1.3085
DNHD1	-0.09
FKBP4	-0.355875
ZNF350	1.5985
MGC11102	-0.183375
BST1	-0.155
KISS1R	0.2775
NCR2	0.3635
DEFB125	-0.317
UBE2W	1.208625
KRT15	-2.27325
C10orf99	0.2985
SCN11A	0.089375
GFI1	-2.649
RDHE2	-1.18683333333333
FHL1	-2.37
OSGEP	0.429833333333333
GATA1	-3.89966666666667
SMC6	-1.39675
TTTY14	-1.1355
LPIN3	0.20175
RPL4	-0.3173
RBPMS	-0.0747
PRPF3	-0.314666666666667
EMR1	-2.384
SPATA19	-0.10725
XCR1	0.184
IRX3	2.83
RBM6	-0.01475
KLF4	-1.5494
UNC5CL	-0.3195
SEBOX	-0.1285
BTK	-0.84
KRCC1	1.8895
C6orf27	0.366
SYTL5	-0.723
PRND	0.1495
LOC653319	-0.4035
PIGL	-1.5465
HUS1	-0.188166666666667
SFRS6	0.623
C17orf77	0.8385
UIMC1	-0.0253333333333333
FXYD2	-2.0098
LOC283152	2.606
ZNF667	1.35275
ZCCHC12	-1.13275
TFEC	1.9081
ATP7B	0.779
POLD2	-0.0776666666666667
RG9MTD1	0.32875
ACOT2	0.513666666666667
HIST1H4I	-0.997625
PPARGC1A	-3.3005
ETFA	-0.9992
POLRMT	-0.41375
ZNF146	0.254625
MIA2	-1.5025
KLHL6	-1.1505
HOXB5	1.8635
NENF	0.320833333333333
CUGBP1	-0.02825
PRSS22	0.986833333333333
CASC4	0.9351
CUL4B	0.0381
CENPJ	-1.7045
PITX1	1.34833333333333
FLJ31033	0.454666666666667
CELSR3	-1.4955
ZNF568	0.75175
ITSN1	-0.79325
EHBP1L1	-1.01366666666667
C19orf2	0.3955
DCTN1	0.037
LIN28B	-3.4224
TNKS2	-1.55625
C1QBP	-0.355375
CADPS2	1.52975
SRMS	0.82475
GJA9	0.585833333333333
MGC24975	-0.614333333333333
TRIM45	2.23483333333333
TSP50	1.942
TCP1	-1.155
TMED7	0.7319
CMA1	2.5035
CENPL	-0.844166666666667
PTCRA	-0.024
FST	-5.20825
VWCE	-4.5535
PAWR	0.481
ABCC12	1.08
LDLR	-1.9855
ASTN2	0.6021
LOC441212	-1.713625
GPATCH8	-0.09625
TANC2	-1.00625
KIF4A	-3.217
C18orf18	-0.18175
PGM1	0.0115
KIAA0258	0.0355
CPD	0.853125
SNCAIP	-0.988
DCT	-4.56666666666667
HLA-DOA	2.53586363636364
OR11L1	0.5005
UPK1B	-0.0134
DNAJB4	-0.1655
UGT1A8	0.30475
HIST1H4L	-2.337
PECR	-0.933666666666667
HSPA2	1.55725
WFIKKN1	0.177
SERP1	2.203875
SYDE2	1.01025
TACR2	1.3565
NUP85	-0.77025
CD177	-0.774833333333333
LGR5	-2.07983333333333
PIGG	-0.4795
PTHR1	-2.72516666666667
RAB5A	0.6292
FLJ13224	-0.4945
USP9Y	-1.0785
C7orf53	-0.6855
LRP1B	-1.37575
XAF1	0.1299
ABCG8	-0.506
ANKDD1A	-0.878333333333333
DAND5	-1.464
SPAG6	5.55566666666667
LINCR	-0.57275
ZDHHC22	-1.85525
CCDC60	0.079
THOC7	-0.827333333333333
TCTA	1.227
OR8K3	0.5045
NY-REN-7	-0.17425
B2M	0.0871666666666667
C6orf141	1.155
LPPR4	-0.17325
SQLE	-1.133125
SEPHS1	-0.413
BTBD14B	0.0935
PLRG1	-0.60425
SPG7	0.2781875
ZNF614	0.513333333333333
PARD6G	-0.498833333333333
INPP5B	-0.1467
GRPEL2	-0.027375
PPID	-0.5414
TRIM56	-0.1035
UBE2J1	-0.216625
IL20RA	4.667
LOC387856	-0.22075
C1orf107	1.24466666666667
UTS2R	0.0945
C19orf22	-0.3225
SAFB2	0.155625
KIAA0652	0.19675
KLRG1	-0.411666666666667
MS4A8B	3.22583333333333
FRAG1	0.7875
KIAA1546	0.159
E2F4	-0.2544
CLEC4M	1.8435
BTBD14A	-2.0285
KIAA0999	1.9273
GYPA	-3.29283333333333
TAC1	-0.4229
TRAIP	-1.26516666666667
KIAA0232	0.6524
ERCC8	-0.41075
GPX4	-0.398375
KIAA0368	-0.013875
GPR157	-0.144666666666667
CTAGE4	2.641
C9orf30	-1.95766666666667
OR52A1	0.2305
HSP90B3P	-0.1165
ALG9	0.2211
BTBD10	0.64575
SDK2	-0.27575
BAIAP3	-0.27175
RABGGTB	-0.7035
ANKRD40	0.411333333333333
KRT74	0.1365
CALCOCO2	0.815071428571429
SNCA	-4.11575
TMSL8	-5.45175
C2orf53	-0.5785
ESRRB	-0.8545
ARHGAP26	-2.491125
TDRD9	-3.64075
HRAS	0.0241666666666667
KLRC4	-1.6035
JAGN1	-0.204666666666667
BSDC1	0.618
RNF43	0.7852
NDUFAF1	-0.0955
PHF12	0.578
OR1L3	0.62225
FOLR2	1.32583333333333
LYZL6	0.386166666666667
tcag7.1260	-3.099
WSB1	-1.3655
PROS1	-2.2413
OSTN	0.3945
PSMB8	0.2845
SOCS4	0.782
DDIT4L	2.31175
MAS1	0.985
MGC34796	1.277
CSHL1	0.477833333333333
TBCCD1	-0.0473333333333333
ZBTB7C	0.5425
AP2S1	-0.66
P15RS	0.8232
VAT1	-1.9575
SHANK3	-0.175166666666667
TUFM	-0.105333333333333
THEG	-0.13675
KRT34	-1.827
SGSM3	0.0695
TOMM22	-1.07675
SOCS3	0.584333333333333
CPO	1.224
POP4	0.4405
BHLHB3	-0.241
MALL	0.05375
OR1B1	-0.076
PARK2	0.45
GPR124	-1.19925
LCE1E	0.82
RUVBL2	-0.43125
CGRRF1	0.6997
ACPL2	0.24425
WNT10B	-0.435625
BAIAP2L2	-2.592875
ISCA1	0.578
C1orf125	1.228
RPAP1	-1.0605
RAI16	-0.103666666666667
RPL27	-0.405125
