Hybridization REF	TCGA-A8-A06O-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.324833333333333
CREB3L1	0.0655
RPS11	0.651375
PNMA1	0.366
MMP2	0.1105
C10orf90	-2.14075
ZHX3	-0.316333333333333
ERCC5	-0.65625
GPR98	0.573375
RXFP3	0.9425
APBB2	2.07925
PRO0478	-0.409125
KLHL13	-3.7805
PRSSL1	-0.4585
PDCL3	0.348833333333333
DECR1	1.465125
SALL1	-4.7366
CADM4	0.5175
RPS18	-0.358571428571429
HNRPD	-0.273083333333333
CFHR5	0.565333333333333
SLC10A7	0.1335
OR2K2	-0.367
LMAN1	-0.87475
SUHW1	-3.8455
CHD8	-0.5828
SUMO1	0.3977
GP1BA	0.5525
DDB1	-0.587166666666667
MYO9B	-0.2072
MMP7	5.49325
CRNKL1	0.496
C9orf45	-1.09966666666667
XAB2	0.50525
RTN1	0.794625
KLHL14	-1.60475
TBX10	-1.312
CENPQ	-1.773
UTY	-1.55921428571429
ZBTB12	0.168
DTNBP1	0.96
KBTBD8	-1.136
ZEB1	0.107833333333333
ZG16	-1.9855
MIER1	0.3256
ADAM5P	0.145
CHD9	-0.4218125
STK16	-0.389
KIAA1486	-1.214
TOB2	1.11891666666667
BANK1	2.4455
OR2V2	0.3445
GRM2	0.243166666666667
PROSC	-0.194375
SPIN2B	-1.38225
PIR	-1.52944444444444
IPO9	0.093
EVC	0.7148
CXCL13	2.69883333333333
KIAA1199	-2.941
SORL1	0.6155
NAT10	-0.45925
CHD1	-0.58975
SYN3	-0.29525
SLC22A2	-0.8485
SERPINF1	0.9505
WDR34	-0.45475
OR7A17	0.22125
C9orf11	0.061
RNF216L	-0.4974
LHB	-0.264
STK25	-0.114125
TAOK3	-0.284125
LOC152573	-3.69325
C3orf39	1.360125
C14orf108	0.4358
CDC25B	-1.52754545454545
BMP3	0.00199999999999999
TMEM180	0.3575
MAP1LC3C	0.209
CRYGC	-0.534
POU3F1	-1.212
C20orf32	-1.3655
CCDC95	0.2525
HIGD1B	4.06325
USP6NL	-0.17275
ABCD4	-0.719
DIMT1L	-0.680583333333333
TEK	0.579375
SLC25A46	-0.58
LARP7	-1.5257
CD160	0.757166666666667
MT1JP	-0.109
PHF20	0.2431875
CPNE4	-1.63
GTPBP1	0.0777857142857143
RAB33B	0.636666666666667
ALDOC	-2.26475
ZNF212	-0.4345
NUDT1	-0.6085
RFPL2	1.8775
ZNF83	0.288333333333333
GDPD5	-0.539
PDCD4	2.5615
CEP350	0.6075
OR10A2	0.25525
CST7	0.151
CIAO1	-1.5645
SELL	0.94225
