Hybridization REF	TCGA-AR-A0U2-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.907083333333333
CREB3L1	1.427
RPS11	-0.3735
PNMA1	-0.03525
MMP2	-0.0741666666666667
C10orf90	-1.18525
ZHX3	0.304666666666667
ERCC5	-0.6865
GPR98	0.82225
RXFP3	0.1095
APBB2	1.26125
PRO0478	-0.769625
KLHL13	-0.201
PRSSL1	-0.119666666666667
PDCL3	0.5635
DECR1	-2.638125
SALL1	-2.7765
CADM4	-0.514333333333333
RPS18	-0.474357142857143
HNRPD	0.210416666666667
CFHR5	0.5155
SLC10A7	0.67425
OR2K2	0.115
LMAN1	0.481125
SUHW1	-2.4175
CHD8	0.1055
SUMO1	0.0419
GP1BA	0.6715
DDB1	-0.0758333333333333
MYO9B	-0.2871
MMP7	3.72875
CRNKL1	1.909
C9orf45	-0.445333333333333
XAB2	0.033
RTN1	0.801875
KLHL14	-0.956875
TBX10	-0.2445
CENPQ	0.43075
UTY	-0.747357142857143
ZBTB12	0.18
DTNBP1	-0.324125
KBTBD8	-1.30833333333333
ZEB1	-0.671333333333333
ZG16	1.10375
MIER1	-0.3384
ADAM5P	-0.1035
CHD9	-0.0830625
STK16	0.417
KIAA1486	0.179
TOB2	-0.112666666666667
BANK1	1.964
OR2V2	0.24975
GRM2	0.186
PROSC	1.46925
SPIN2B	-0.5945
PIR	0.442111111111111
IPO9	0.292555555555556
EVC	-0.314666666666667
CXCL13	4.40366666666667
KIAA1199	-1.9525
SORL1	-0.55775
NAT10	-0.069
CHD1	-0.94025
SYN3	-0.1945
SLC22A2	-0.01425
SERPINF1	-0.0151666666666667
WDR34	0.50575
OR7A17	0.4025
C9orf11	-0.193
RNF216L	-0.9039
LHB	-0.139
STK25	-0.03225
TAOK3	-0.12275
LOC152573	-0.9905
C3orf39	-1.042625
C14orf108	0.9293
CDC25B	0.914090909090909
BMP3	-0.167
TMEM180	0.165
MAP1LC3C	-0.224
CRYGC	0.514
POU3F1	-0.7749
C20orf32	-0.2665
CCDC95	0.738
HIGD1B	2.29375
USP6NL	-0.127875
ABCD4	-0.430333333333333
DIMT1L	-1.36508333333333
TEK	0.850875
SLC25A46	-0.50825
LARP7	-1.6187
CD160	0.451333333333333
MT1JP	-0.941
PHF20	0.8564375
CPNE4	0.6795
GTPBP1	-0.367428571428571
