Hybridization REF	TCGA-BH-A0DQ-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.696166666666667
CREB3L1	1.03725
RPS11	-0.443625
PNMA1	0.694
MMP2	1.32266666666667
C10orf90	-1.71925
ZHX3	-0.0683333333333333
ERCC5	-0.0735
GPR98	-0.22
RXFP3	0.301
APBB2	2.07525
PRO0478	-0.67625
KLHL13	-2.2665
PRSSL1	-0.7905
PDCL3	0.683333333333333
DECR1	-0.293875
SALL1	-2.08633333333333
CADM4	0.444166666666667
RPS18	-0.403714285714286
HNRPD	-0.0229166666666667
CFHR5	0.621666666666667
SLC10A7	0.194875
OR2K2	0.398
LMAN1	-1.24675
SUHW1	-3.78175
CHD8	-0.0281
SUMO1	0.219
GP1BA	0.2595
DDB1	-0.175333333333333
MYO9B	-0.0823
MMP7	5.73125
CRNKL1	0.727125
C9orf45	-0.8395
XAB2	-0.249375
RTN1	2.3255
KLHL14	-1.163
TBX10	-1.7905
CENPQ	-0.84625
UTY	-1.26992307692308
ZBTB12	-0.197
DTNBP1	0.151125
KBTBD8	-1.208
ZEB1	2.898
ZG16	-1.5965
MIER1	0.9618
ADAM5P	0.569
CHD9	0.545
STK16	-0.54425
KIAA1486	-1.046
TOB2	0.574333333333333
BANK1	3.02725
OR2V2	0.16475
GRM2	0.0701666666666667
PROSC	0.419
SPIN2B	0.8095
PIR	-2.21488888888889
IPO9	-0.204888888888889
EVC	1.20466666666667
CXCL13	2.25916666666667
KIAA1199	-0.1213
SORL1	0.375
NAT10	-1.0345
CHD1	0.3575
SYN3	0.02175
SLC22A2	-0.44
SERPINF1	1.902
WDR34	-0.68225
OR7A17	0.34725
C9orf11	0.076
RNF216L	-0.2701
LHB	-0.5045
STK25	-0.311625
TAOK3	1.1135
LOC152573	-2.4165
C3orf39	0.50175
C14orf108	0.4193
CDC25B	-1.77936363636364
BMP3	0.8235
TMEM180	0.119
MAP1LC3C	1.53025
CRYGC	-1.004
POU3F1	-1.8507
C20orf32	-1.8215
CCDC95	-0.4055
HIGD1B	4.471
USP6NL	-0.463625
ABCD4	0.0045
DIMT1L	-1.09383333333333
TEK	1.92275
SLC25A46	-0.40575
LARP7	-1.575
CD160	0.0606666666666666
MT1JP	-0.180833333333333
PHF20	0.2593125
CPNE4	-2.05075
GTPBP1	-0.987928571428571
RAB33B	1.1405
ALDOC	-1.97
ZNF212	-0.15475
NUDT1	-0.847
RFPL2	-0.6335
ZNF83	-0.160166666666667
GDPD5	0.02
PDCD4	1.9408
CEP350	0.03075
OR10A2	0.365
CST7	0.48975
CIAO1	-0.72375
SELL	0.95225
OR8J3	-0.1135
LTBP4	-0.1895
SIRT6	-0.37475
CCL19	4.444
PPIL1	-0.5455
GBP7	0.2416
STK17A	-0.8031
ABR	0.86625
OR9G1	0.1315
FOXE1	-0.944375
CNGA3	0.533
GML	-0.0885
CD38	-2.77525
ZDHHC6	-0.0695
NEFH	-0.7255
CTDSP2	1.33933333333333
PGBD5	-1.32083333333333
CCNY	0.520785714285714
RMND5B	0.13225
ZNF257	1.33975
FLJ22167	-0.456875
EXOSC7	-0.628166666666667
ROR2	1.58975
MAOA	0.822
TNNT3	2.3605
GYPC	-0.5815
C7orf33	0.2585
PLIN	4.366
LOC90826	-0.33825
RNF4	0.1144
F8A1	1.28466666666667
PLEKHG4	-2.61275
GRB2	0.75065
HIST1H2AD	0.61775
DUS3L	-1.37833333333333
EIF1	-0.0275
RP5-1077B9.4	-1.73533333333333
FPGT	1.80675
GDF10	2.525
COQ9	0.07575
GCC2	0.479428571428571
RARRES3	2.350125
PLXNA1	-0.383
KIAA0100	-0.0128
PMF1	-0.409
FNDC1	5.3255
HS2ST1	0.0661666666666667
