Hybridization REF	TCGA-E2-A15O-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.909833333333333
CREB3L1	0.724
RPS11	0.176375
PNMA1	1.41425
MMP2	-0.323166666666667
C10orf90	-1.71525
ZHX3	-0.511
ERCC5	-0.26125
GPR98	-1.8425
RXFP3	0.101
APBB2	1.12175
PRO0478	-0.445625
KLHL13	-0.81425
PRSSL1	-0.0443333333333333
PDCL3	0.7665
DECR1	1.001375
SALL1	-4.16716666666667
CADM4	0.667166666666667
RPS18	-0.529142857142857
HNRPD	0.40275
CFHR5	0.799833333333333
SLC10A7	0.44525
OR2K2	-0.4945
LMAN1	-1.017125
SUHW1	-3.89575
CHD8	0.5128
SUMO1	0.3946
GP1BA	0.9083
DDB1	-0.416833333333333
MYO9B	-0.0828
MMP7	4.88725
CRNKL1	1.48725
C9orf45	-0.92
XAB2	0.612625
RTN1	0.447875
KLHL14	-1.40675
TBX10	-1.709
CENPQ	-1.8305
UTY	-1.69838461538462
ZBTB12	-0.0455
DTNBP1	-0.278125
KBTBD8	-2.43016666666667
ZEB1	0.440333333333333
ZG16	3.173
MIER1	0.6327
ADAM5P	-1.2975
CHD9	1.470125
STK16	0.35625
KIAA1486	-0.564
TOB2	0.197833333333333
BANK1	2.35175
OR2V2	0.299
GRM2	0.1065
PROSC	2.542
SPIN2B	0.57775
PIR	-2.40566666666667
IPO9	-0.239
EVC	0.534166666666667
CXCL13	2.85466666666667
KIAA1199	-1.6338
SORL1	1.3005
NAT10	0.017
CHD1	1.4675
SYN3	-1.18125
SLC22A2	-1.0465
SERPINF1	0.0523333333333333
WDR34	0.454
OR7A17	0.285
C9orf11	-0.277
RNF216L	-0.6399
LHB	-0.1815
STK25	0.177375
TAOK3	1.905625
LOC152573	-4.26775
C3orf39	0.488625
C14orf108	0.2831
CDC25B	-0.609909090909091
BMP3	-0.267
TMEM180	-0.0375
MAP1LC3C	-0.63
CRYGC	-0.952
POU3F1	-1.4123
C20orf32	-1.5325
CCDC95	0.2665
HIGD1B	2.784
USP6NL	-0.603875
ABCD4	0.504833333333333
DIMT1L	-0.922833333333333
TEK	0.48925
SLC25A46	-0.77325
LARP7	0.00179999999999998
CD160	0.100333333333333
MT1JP	-0.9345
PHF20	0.310125
CPNE4	2.1895
GTPBP1	-0.869357142857143
RAB33B	1.51366666666667
ALDOC	-1.72975
ZNF212	-0.165
NUDT1	-0.809333333333333
RFPL2	1.05
ZNF83	0.370166666666667
GDPD5	-1.69225
PDCD4	1.60165
CEP350	0.165
OR10A2	-0.05725
CST7	-0.719
CIAO1	-0.32
SELL	1.12875
OR8J3	0.0305
LTBP4	-0.675666666666667
SIRT6	0.2855
CCL19	3.082
PPIL1	-0.675333333333333
GBP7	0.488
STK17A	-0.9895
ABR	0.445
OR9G1	0.0015
FOXE1	-1.404125
CNGA3	0.4825
GML	0.162
CD38	-3.284
ZDHHC6	0.100833333333333
NEFH	-3.0225
CTDSP2	1.0855
PGBD5	-2.225
CCNY	0.0770714285714286
RMND5B	0.408083333333333
ZNF257	-0.08775
FLJ22167	0.0535
EXOSC7	-0.455166666666667
ROR2	1.407625
MAOA	0.38625
TNNT3	0.234333333333333
GYPC	-1.67
C7orf33	0.0255
PLIN	2.34066666666667
LOC90826	0.22325
RNF4	0.3785
F8A1	0.326833333333333
PLEKHG4	-1.5725
GRB2	0.60885
HIST1H2AD	0.0425
DUS3L	-0.822666666666667
EIF1	0.033
RP5-1077B9.4	-1.09866666666667
FPGT	0.423
GDF10	-0.595166666666667
COQ9	-0.53475
GCC2	0.573928571428571
RARRES3	1.19525
PLXNA1	-0.5762
KIAA0100	0.141
PMF1	-0.576
FNDC1	3.62925
HS2ST1	-0.675916666666667
CRELD2	-0.703
C8G	-1.25
CD82	0.44775
LIM2	-1.155
UNQ6490	-0.6315
MMP16	-0.44225
DRD3	-0.1185
C5orf26	-0.78075
C11orf73	-1.255375
PTP4A2	0.273125
OR4M2	0.0015
HPCA	-0.944166666666666
SEC14L1	-0.424
CHFR	0.245375
EMILIN1	0.718
NDUFS4	-1.1125
COL18A1	-0.616625
PDZD3	-0.0514
C9orf16	-0.353
ERBB2IP	0.282833333333333
EMX2	2.51575
FUS	0.44075
TF	-2.4408
CLCN4	0.642166666666667
CXorf56	0.28475
C11orf72	0.3315
ELAC2	0.143083333333333
NPR1	-1.006
ASS1	-0.872333333333333
USP42	0.57925
POLR2J	-0.7275
SEC23IP	1.50633333333333
UQCRC1	-0.03775
LOC729603	-0.458
C1orf71	0.12675
POLG	-1.479
ADAM23	-3.172
TFR2	-1.443
RICTOR	-1.0749
MGC39606	-0.51325
C19orf55	0.033
