Hybridization REF	TCGA-AO-A0J2-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.3335
CREB3L1	0.397
RPS11	-0.330125
PNMA1	-1.5
MMP2	-0.268833333333333
C10orf90	-2.153
ZHX3	-0.166666666666667
ERCC5	0.104
GPR98	0.38425
RXFP3	0.4765
APBB2	-0.19375
PRO0478	-1.118125
KLHL13	0.41575
PRSSL1	-0.592333333333333
PDCL3	0.822166666666667
DECR1	0.682625
SALL1	-4.82683333333333
CADM4	0.428166666666667
RPS18	-0.781785714285714
HNRPD	-0.29825
CFHR5	0.691
SLC10A7	0.41375
OR2K2	-1.1465
LMAN1	-0.92525
SUHW1	-3.201
CHD8	0.0154
SUMO1	0.5314
GP1BA	0.8641
DDB1	0.537333333333333
MYO9B	0.1319
MMP7	6.60425
CRNKL1	0.922375
C9orf45	-1.51333333333333
XAB2	-0.43225
RTN1	1.878125
KLHL14	-1.61475
TBX10	1.1
CENPQ	-0.914
UTY	-0.947785714285714
ZBTB12	0.2015
DTNBP1	-0.646125
KBTBD8	-1.30116666666667
ZEB1	-0.753166666666667
ZG16	-1.34775
MIER1	0.1309
ADAM5P	-1.6435
CHD9	-0.8493125
STK16	0.4545
KIAA1486	0.2525
TOB2	0.758666666666667
BANK1	1.68025
OR2V2	0.385
GRM2	0.107833333333333
PROSC	0.623125
SPIN2B	-0.01375
PIR	-1.22877777777778
IPO9	0.0502
EVC	0.120833333333333
CXCL13	6.6585
KIAA1199	-1.6317
SORL1	0.18225
NAT10	-0.12325
CHD1	-1.285
SYN3	0.127
SLC22A2	-0.3605
SERPINF1	0.164166666666667
WDR34	1.27725
OR7A17	0.474
C9orf11	0.385
RNF216L	-0.969
LHB	0.226
STK25	-0.307
TAOK3	0.50325
LOC152573	-2.009
C3orf39	0.2245
C14orf108	-0.2502
CDC25B	-0.660818181818182
BMP3	0.6745
TMEM180	0.7565
MAP1LC3C	-0.75275
CRYGC	-0.355
POU3F1	-0.9047
C20orf32	-0.811
CCDC95	-0.326
HIGD1B	3.05
USP6NL	0.858875
ABCD4	-0.631166666666667
DIMT1L	-0.330666666666667
TEK	-0.177625
SLC25A46	-0.000750000000000001
LARP7	-1.65
CD160	0.407166666666667
MT1JP	-0.408666666666667
PHF20	-0.203625
CPNE4	-0.80575
GTPBP1	0.114285714285714
RAB33B	0.745
ALDOC	-1.930875
ZNF212	-0.62025
NUDT1	-0.591166666666667
RFPL2	1.67075
ZNF83	-1.13233333333333
GDPD5	-1.495
PDCD4	-0.371
CEP350	-0.27425
OR10A2	0.3145
CST7	0.63375
CIAO1	0.261
SELL	0.2235
OR8J3	0.4175
LTBP4	-0.587333333333333
SIRT6	0.06675
CCL19	4.25625
PPIL1	-0.516166666666667
GBP7	0.681333333333333
STK17A	-0.8033
ABR	0.01725
OR9G1	0.1855
FOXE1	0.45425
CNGA3	-0.2895
GML	0.4185
CD38	-1.301
ZDHHC6	0.2265
NEFH	2.0735
CTDSP2	0.28475
PGBD5	0.6955
CCNY	0.148285714285714
RMND5B	-0.442
ZNF257	0.8385
FLJ22167	-1.34025
EXOSC7	-0.184166666666667
ROR2	0.486
MAOA	-2.30475
TNNT3	-0.0611666666666667
GYPC	-1.55575
C7orf33	0.285
PLIN	1.30616666666667
LOC90826	-0.82
RNF4	0.7648
F8A1	0.839166666666667
PLEKHG4	-1.908
