Hybridization REF	TCGA-D8-A147-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.488416666666667
CREB3L1	-0.36275
RPS11	0.648875
PNMA1	-0.344
MMP2	-0.524
C10orf90	0.53225
ZHX3	-0.181166666666667
ERCC5	-0.0605
GPR98	-0.9725
RXFP3	0.502
APBB2	-0.191
PRO0478	-1.106875
KLHL13	-0.33925
PRSSL1	-0.8955
PDCL3	0.853833333333333
DECR1	0.353875
SALL1	-4.52033333333333
CADM4	1.90933333333333
RPS18	0.481714285714286
HNRPD	-0.071
CFHR5	0.733166666666667
SLC10A7	-0.189875
OR2K2	-0.691
LMAN1	-0.353125
SUHW1	-1.15075
CHD8	-0.406
SUMO1	1.1119
GP1BA	0.5
DDB1	-0.174666666666667
MYO9B	0.3183
MMP7	6.012
CRNKL1	0.45575
C9orf45	-1.0145
XAB2	0.275125
RTN1	1.0495
KLHL14	-1.938375
TBX10	-1.1865
CENPQ	-0.7185
UTY	-1.55478571428571
ZBTB12	0.1035
DTNBP1	0.0575
KBTBD8	-1.07933333333333
ZEB1	-2.077
ZG16	-1.14675
MIER1	-0.1682
ADAM5P	-1.121
CHD9	-1.1903125
STK16	-0.529
KIAA1486	-0.179
TOB2	0.73
BANK1	2.54625
OR2V2	0.2855
GRM2	0.143
PROSC	0.33825
SPIN2B	-0.73075
PIR	-1.37055555555556
IPO9	-0.4881
EVC	0.871
CXCL13	4.67183333333333
KIAA1199	-1.1409
SORL1	-0.23125
NAT10	-0.00475
CHD1	-0.946
SYN3	-0.1125
SLC22A2	-0.45725
SERPINF1	-0.197166666666667
WDR34	-0.6205
OR7A17	0.2985
C9orf11	-0.384
RNF216L	-0.7307
LHB	-0.1525
STK25	1.058875
TAOK3	1.130125
LOC152573	-3.434
C3orf39	0.53625
C14orf108	0.827
CDC25B	-0.652
BMP3	0.2135
TMEM180	0.3505
MAP1LC3C	0.91925
CRYGC	-0.599
POU3F1	-1.2858
C20orf32	-1.487
CCDC95	-0.4685
HIGD1B	1.688
USP6NL	0.77225
ABCD4	-0.699666666666667
DIMT1L	-0.109833333333333
TEK	0.052625
SLC25A46	-0.18025
LARP7	-0.9011
CD160	0.300166666666667
MT1JP	-0.427666666666667
PHF20	-0.064125
CPNE4	-2.0805
GTPBP1	0.077
RAB33B	1.0025
ALDOC	-2.23575
ZNF212	-0.16425
NUDT1	-0.845166666666667
RFPL2	-0.18025
ZNF83	-0.431333333333333
GDPD5	0.198375
PDCD4	0.4378
CEP350	-0.6955
OR10A2	1.11875
CST7	1.07475
CIAO1	-0.5125
SELL	1.70875
OR8J3	0.1645
LTBP4	0.186166666666667
SIRT6	-0.43275
CCL19	3.48475
PPIL1	-0.0251666666666667
GBP7	-0.133
STK17A	-1.2268
ABR	-0.211
OR9G1	-0.1715
FOXE1	-0.373875
CNGA3	2.2385
GML	0.425
CD38	-0.95375
ZDHHC6	0.174166666666667
NEFH	0.8315
CTDSP2	0.768083333333333
PGBD5	3.34816666666667
CCNY	0.510642857142857
RMND5B	-0.0370833333333333
ZNF257	-1.32975
FLJ22167	0.178125
EXOSC7	-0.464
ROR2	1.9165
MAOA	-1.887625
TNNT3	-0.107
GYPC	-0.79925
C7orf33	0.683
PLIN	0.0138333333333333
LOC90826	-0.043
RNF4	-0.3865
F8A1	0.7365
PLEKHG4	0.95075
GRB2	0.1763
HIST1H2AD	0.23025
DUS3L	-0.538833333333333
EIF1	-0.3015
RP5-1077B9.4	-0.347833333333333
FPGT	1.73225
GDF10	-1.46933333333333
COQ9	-0.54175
GCC2	0.154
RARRES3	0.93875
PLXNA1	0.2391
KIAA0100	-0.7298
PMF1	0.299
FNDC1	4.76775
HS2ST1	0.557416666666667
CRELD2	0.6245
C8G	0.0985
CD82	1.19575
LIM2	-0.768
UNQ6490	-0.7655
MMP16	-1.11125
DRD3	-0.00725
C5orf26	0.0225
C11orf73	0.195
PTP4A2	-0.163125
OR4M2	-0.04
HPCA	-1.01033333333333
SEC14L1	-0.323666666666667
CHFR	0.254875
EMILIN1	0.786875
NDUFS4	-1.67425
COL18A1	-0.628
PDZD3	-0.1964
C9orf16	-0.942666666666667
ERBB2IP	-0.649333333333333
EMX2	3.3845
FUS	0.01875
TF	-2.9777
CLCN4	2.385
CXorf56	0.683
C11orf72	0.3295
ELAC2	-0.264166666666667
NPR1	-1.53875
ASS1	-0.917166666666667
USP42	-0.348875
POLR2J	-1.631
SEC23IP	0.661666666666667
UQCRC1	-0.46725
LOC729603	-0.53675
C1orf71	0.498375
POLG	-0.8885
ADAM23	-3.768
TFR2	-1.15775
