Hybridization REF	TCGA-BH-A0E6-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.52491666666667
CREB3L1	0.57
RPS11	0.429
PNMA1	-0.23125
MMP2	-0.273333333333333
C10orf90	-2.0595
ZHX3	-0.4415
ERCC5	0.637
GPR98	-2.183375
RXFP3	1.457
APBB2	-0.184
PRO0478	-0.85225
KLHL13	-0.26525
PRSSL1	-0.6345
PDCL3	0.403666666666667
DECR1	-0.540125
SALL1	-4.518
CADM4	1.26033333333333
RPS18	0.681428571428571
HNRPD	-1.04608333333333
CFHR5	0.7362
SLC10A7	-0.335875
OR2K2	-0.635
LMAN1	-0.09725
SUHW1	-3.66375
CHD8	0.0123
SUMO1	0.8645
GP1BA	1.7301
DDB1	-0.598
MYO9B	0.0256
MMP7	8.00575
CRNKL1	-0.01875
C9orf45	-0.856333333333333
XAB2	-0.574125
RTN1	0.292125
KLHL14	-1.092375
TBX10	-1.1265
CENPQ	-1.8665
UTY	-1.22761538461538
ZBTB12	0.7125
DTNBP1	-0.05925
KBTBD8	0.432833333333333
ZEB1	0.972
ZG16	-1.48925
MIER1	0.9321
ADAM5P	0.57
CHD9	-0.5140625
STK16	-0.0515
KIAA1486	-0.478
TOB2	1.19991666666667
BANK1	4.8525
OR2V2	-0.05525
GRM2	0.439
PROSC	1.157125
SPIN2B	-0.89325
PIR	-2.169
IPO9	0.2669
EVC	0.487666666666667
CXCL13	7.161
KIAA1199	-0.5843
SORL1	0.13375
NAT10	0.0015
CHD1	-0.6565
SYN3	-0.296
SLC22A2	-0.57575
SERPINF1	-0.123833333333333
WDR34	-0.54225
OR7A17	0.09975
C9orf11	0.284
RNF216L	0.3789
LHB	0.2245
STK25	-0.065875
TAOK3	0.52625
LOC152573	-3.2975
C3orf39	1.502
C14orf108	-0.8433
CDC25B	-1.36754545454545
BMP3	-0.955
TMEM180	-0.0805
MAP1LC3C	-0.277
CRYGC	-0.18
POU3F1	0.00459999999999998
C20orf32	-1.0825
CCDC95	0.4595
HIGD1B	4.05175
USP6NL	1.69525
ABCD4	-0.297833333333333
DIMT1L	-1.05441666666667
TEK	1.227875
SLC25A46	-1.04
LARP7	-1.3369
CD160	0.0364
MT1JP	-0.821666666666667
PHF20	-0.8138125
CPNE4	-2.392
GTPBP1	-0.567857142857143
RAB33B	0.538166666666667
ALDOC	-1.381125
ZNF212	0.15125
NUDT1	-0.920333333333333
RFPL2	-0.5535
ZNF83	-0.138666666666667
GDPD5	-0.1275
PDCD4	2.82305
CEP350	0.6215
OR10A2	0.57
CST7	0.589
CIAO1	-0.0275
SELL	1.5855
OR8J3	0.3755
LTBP4	0.044
SIRT6	-0.09875
CCL19	5.5105
PPIL1	-0.525333333333333
GBP7	0.688166666666667
STK17A	-1.3606
ABR	1.16025
OR9G1	0.369
FOXE1	-0.88775
CNGA3	-0.741
GML	0.001
CD38	0.034
ZDHHC6	0.154333333333333
NEFH	3.00075
CTDSP2	0.0223333333333333
PGBD5	1.17983333333333
CCNY	1.79278571428571
RMND5B	-0.789333333333333
ZNF257	-3.472
FLJ22167	-0.083375
EXOSC7	-0.339666666666667
ROR2	0.0505
MAOA	-0.402375
TNNT3	-0.183833333333333
GYPC	-1.0185
C7orf33	0.4025
PLIN	4.375
LOC90826	-0.77925
RNF4	-0.5042
F8A1	1.97916666666667
PLEKHG4	-0.5435
GRB2	-0.2993
HIST1H2AD	-0.80275
DUS3L	-1.50016666666667
EIF1	-1.173
RP5-1077B9.4	-0.917333333333333
FPGT	0.7275
GDF10	2.3435
COQ9	-0.5215
GCC2	0.100785714285714
RARRES3	1.336875
PLXNA1	-0.2003
KIAA0100	-0.0662
PMF1	0.4015
FNDC1	5.611
HS2ST1	0.367833333333333
CRELD2	0.872
C8G	-1.1715
CD82	1.4365
LIM2	-1.3835
UNQ6490	-0.689
MMP16	0.05425
DRD3	0.26025
C5orf26	-1.49825
C11orf73	-1.019125
PTP4A2	0.50075
OR4M2	0.818
HPCA	-1.12733333333333
SEC14L1	-0.938
CHFR	0.257
EMILIN1	1.046
NDUFS4	-1.20925
COL18A1	0.47
PDZD3	-0.4213
C9orf16	0.852166666666667
ERBB2IP	-0.0146666666666667
EMX2	2.7405
FUS	-0.80025
TF	-3.1533
CLCN4	0.873666666666667
CXorf56	-0.39225
C11orf72	0.39575
ELAC2	-0.527416666666667
NPR1	-0.23325
ASS1	-0.132166666666667
USP42	0.17825
POLR2J	0.041
SEC23IP	0.4955
UQCRC1	-0.000750000000000001
LOC729603	-0.5375
C1orf71	-0.317625
POLG	-1.418
ADAM23	-2.16825
TFR2	-0.086
RICTOR	-1.7252
MGC39606	3.18625
C19orf55	-0.173125
SNAPC1	-1.0125
GNA11	0.66825
CCDC52	-1.15916666666667
FSIP1	-0.59
UPF3A	-1.043625
IGSF11	-2.35316666666667
LAGE3	1.29725
CHST6	0.0275
UNC13B	-0.72925
TTLL4	0.011625
ZNF687	0.4525
SDC2	-1.6485
COX7A2	0.05075
LAMB4	-0.41475
FAM24A	0.0375
LRRTM3	-1.3695
GPHB5	1.19175
OR4C13	0.3755
EIF3EIP	-0.119285714285714
HABP4	-0.1615
TMEM125	3.346
CNTN2	1.16425
ASNSD1	-0.30525
FUT4	0.08075
ACF	-3.7195
LOC158381	-0.83
CDH8	-0.33525
AGPS	-0.325333333333333
C4orf18	1.145375
PECI	-0.544416666666667
UNG	-0.36375
GSTP1	0.109375
DCUN1D5	-0.523666666666667
DKFZP564J0863	0.15975
SLC9A3R1	-0.85725
BCDO2	0.171125
CHMP7	-0.643125
REM2	0.6435
DNHD1	-0.566142857142857
FKBP4	-0.924625
ZNF350	0.729
MGC11102	-0.089625
BST1	0.26575
KISS1R	2.011
NCR2	0.643
DEFB125	0.0695
UBE2W	0.31525
KRT15	4.419375
C10orf99	0.728
SCN11A	-0.013375
GFI1	-1.98375
RDHE2	0.417333333333333
FHL1	0.211
OSGEP	0.465166666666667
GATA1	-3.16566666666667
SMC6	0.15
TTTY14	-0.71425
LPIN3	-0.50475
RPL4	-0.5469
RBPMS	0.00480000000000002
PRPF3	0.232166666666667
EMR1	-2.6505
SPATA19	-0.03425
XCR1	0.1805
IRX3	1.7524
RBM6	-0.42475
KLF4	-2.1646
UNC5CL	0.35975
SEBOX	-0.381
BTK	-0.7895
KRCC1	0.6365
C6orf27	0.6595
SYTL5	-1.08
PRND	1.5815
LOC653319	-1.01
PIGL	-0.145125
HUS1	-0.684166666666667
SFRS6	-0.116666666666667
C17orf77	0.313
UIMC1	-0.770166666666667
FXYD2	-1.4286
LOC283152	0.04
ZNF667	1.658
ZCCHC12	-0.027
TFEC	1.4758
ATP7B	-1.68516666666667
POLD2	-1.78216666666667
RG9MTD1	-0.41325
ACOT2	-1.15316666666667
HIST1H4I	-0.01225
PPARGC1A	-1.8651
ETFA	-1.9969
POLRMT	0.386
ZNF146	-0.423875
MIA2	-1.0315
KLHL6	-0.6965
HOXB5	-0.9365
NENF	1.56283333333333
CUGBP1	1.40725
PRSS22	2.045
CASC4	1.671
CUL4B	0.9951
CENPJ	-0.7563
PITX1	0.430333333333333
FLJ31033	-0.451
CELSR3	1.91333333333333
ZNF568	-1.1745
ITSN1	-0.1675
EHBP1L1	-1.3735
