Hybridization REF	TCGA-B6-A0I8-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.371
CREB3L1	1.96275
RPS11	0.335875
PNMA1	-0.70625
MMP2	0.4235
C10orf90	-2.2875
ZHX3	0.282
ERCC5	-0.64125
GPR98	0.000125
RXFP3	0.211
APBB2	1.79
PRO0478	-0.99425
KLHL13	-1.8105
PRSSL1	-0.4825
PDCL3	0.998833333333333
DECR1	-0.011375
SALL1	-2.80233333333333
CADM4	0.231
RPS18	-0.2025
HNRPD	-0.731833333333333
CFHR5	0.0788333333333334
SLC10A7	0.536875
OR2K2	0.969
LMAN1	1.015875
SUHW1	-3.17475
CHD8	0.331
SUMO1	0.8339
GP1BA	-0.5196
DDB1	0.495666666666667
MYO9B	-0.4801
MMP7	5.13575
CRNKL1	1.1285
C9orf45	-0.904833333333333
XAB2	0.02175
RTN1	1.19025
KLHL14	-1.2385
TBX10	0.5955
CENPQ	-1.34675
UTY	-1.44746153846154
ZBTB12	-0.022
DTNBP1	0.391875
KBTBD8	-2.55266666666667
ZEB1	0.361666666666667
ZG16	-1.27275
MIER1	-0.1028
ADAM5P	0.2075
CHD9	0.1131875
STK16	1.04725
KIAA1486	-0.836
TOB2	0.736166666666667
BANK1	1.01425
OR2V2	0.4575
GRM2	-0.0905
PROSC	0.636
SPIN2B	0.3925
PIR	-1.58088888888889
IPO9	-0.3741
EVC	0.529833333333333
CXCL13	1.77783333333333
KIAA1199	-2.3717
SORL1	0.75075
NAT10	-0.63575
CHD1	0.1595
SYN3	-0.8285
SLC22A2	-0.41975
SERPINF1	0.0338333333333333
WDR34	-0.49275
OR7A17	0.62725
C9orf11	-0.1135
RNF216L	0.6078
LHB	0.1175
STK25	-1.013125
TAOK3	0.954625
LOC152573	-2.88475
C3orf39	0.266125
C14orf108	1.3162
CDC25B	-2.40181818181818
BMP3	0.7355
TMEM180	-0.443
MAP1LC3C	0.84375
CRYGC	-0.597
POU3F1	-1.4663
C20orf32	-1.5395
CCDC95	-0.677
HIGD1B	4.8995
USP6NL	0.9935
ABCD4	-0.984333333333333
DIMT1L	-0.796833333333333
TEK	1.7665
SLC25A46	0.112
LARP7	-1.9844
CD160	0.498666666666667
MT1JP	-1.7235
PHF20	0.056875
CPNE4	-1.921
GTPBP1	-0.696714285714286
RAB33B	0.995833333333333
ALDOC	-2.300875
ZNF212	0.49
NUDT1	-1.12816666666667
RFPL2	-0.699
ZNF83	0.412833333333333
GDPD5	-0.155375
PDCD4	1.6957
CEP350	0.39325
OR10A2	0.66
CST7	-0.54
CIAO1	-0.52025
SELL	0.62125
OR8J3	0.474
LTBP4	-0.345166666666667
SIRT6	-0.6175
CCL19	4.12
PPIL1	-0.4045
GBP7	0.1575
STK17A	-1.8174
ABR	0.28525
OR9G1	0.156
FOXE1	-1.105875
CNGA3	1.2865
GML	0.7745
CD38	-3.6915
ZDHHC6	-0.338666666666667
NEFH	-0.3275
CTDSP2	1.01991666666667
PGBD5	-1.9045
CCNY	0.327
RMND5B	1.07175
ZNF257	-2.74375
FLJ22167	-0.212375
EXOSC7	-1.00783333333333
ROR2	2.099625
MAOA	-1.754375
TNNT3	0.9705
GYPC	-1.549
C7orf33	0.918
PLIN	3.41416666666667
LOC90826	-0.781
RNF4	-0.2826
F8A1	0.194666666666667
PLEKHG4	-1.23075
GRB2	0.03435
HIST1H2AD	1.4385
DUS3L	-1.42283333333333
EIF1	0.786
RP5-1077B9.4	-1.65083333333333
FPGT	1.1275
GDF10	-0.441333333333333
COQ9	0.23775
GCC2	0.0687857142857143
RARRES3	1.917875
PLXNA1	-0.7077
KIAA0100	-0.3981
PMF1	-0.341
FNDC1	5.86
HS2ST1	-0.3875
CRELD2	1.26825
C8G	-1.9725
CD82	1.15725
LIM2	-1.189
UNQ6490	0.2445
MMP16	-0.14625
DRD3	0.03075
C5orf26	0.07125
C11orf73	-0.7275
PTP4A2	1.050875
OR4M2	0.3865
HPCA	-1.08483333333333
SEC14L1	-0.065
CHFR	-0.76925
EMILIN1	0.918375
NDUFS4	-0.05375
COL18A1	-0.23425
PDZD3	-0.0829
C9orf16	-0.350666666666667
ERBB2IP	0.186833333333333
EMX2	2.43675
FUS	-1.446
TF	-4.1712
CLCN4	-0.0373333333333333
CXorf56	1.7915
C11orf72	0.5135
ELAC2	-0.766833333333333
NPR1	-0.9885
ASS1	-3.38383333333333
USP42	0.602875
POLR2J	-0.076
SEC23IP	0.575333333333333
UQCRC1	-0.8765
LOC729603	-0.80375
C1orf71	0.319875
POLG	-2.45
ADAM23	-3.207
TFR2	-1.229
RICTOR	-1.4669
MGC39606	0.13925
C19orf55	-0.161
SNAPC1	0.007
GNA11	0.158375
CCDC52	-0.656666666666667
FSIP1	3.0315
UPF3A	-0.21725
IGSF11	-2.63583333333333
LAGE3	0.66825
CHST6	-1.9675
UNC13B	-0.355625
TTLL4	-0.022625
ZNF687	0.45625
SDC2	-1.2988
COX7A2	-0.229
LAMB4	-0.7365
FAM24A	-0.5595
LRRTM3	-0.8604
GPHB5	0.13375
OR4C13	0.157
EIF3EIP	-0.339071428571429
HABP4	-1.6205
TMEM125	3.3075
CNTN2	0.417
ASNSD1	-0.63375
FUT4	-0.817375
ACF	-4.12425
LOC158381	1.113
CDH8	-0.205
AGPS	-0.4645
C4orf18	4.57075
PECI	1.46175
UNG	-0.682125
GSTP1	-2.2465
DCUN1D5	-1.79216666666667
DKFZP564J0863	-0.86975
SLC9A3R1	3.34125
BCDO2	1.792
CHMP7	-0.57525
REM2	1.1885
DNHD1	0.000624999999999997
FKBP4	-0.055875
ZNF350	1.5255
MGC11102	0.508375
BST1	0.69625
KISS1R	-0.237
NCR2	0.081
DEFB125	-0.417
UBE2W	2.30975
KRT15	2.637
C10orf99	0.24
SCN11A	-0.13825
GFI1	-3.4235
RDHE2	-0.093
FHL1	-1.688
OSGEP	-0.601166666666667
GATA1	-3.8335
SMC6	-1.07
TTTY14	-1.376
LPIN3	0.01775
RPL4	-1.0288
RBPMS	0.7517
PRPF3	-0.801
EMR1	-2.4105
SPATA19	0.433
XCR1	0.9735
IRX3	1.7459
RBM6	-1.151
KLF4	-0.0636
UNC5CL	0.57025
SEBOX	0.5175
BTK	-1.4285
KRCC1	1.58775
C6orf27	0.281
SYTL5	-1.2155
PRND	2.746625
LOC653319	-1.1905
PIGL	-0.253625
HUS1	-0.5395
SFRS6	-0.0924166666666667
C17orf77	0.4
UIMC1	-0.651333333333333
FXYD2	-1.9874
LOC283152	1.6125
ZNF667	-1.18175
ZCCHC12	-0.98525
TFEC	2.5305
ATP7B	0.678333333333333
POLD2	-1.06533333333333
RG9MTD1	-0.552
ACOT2	-0.735666666666667
HIST1H4I	-0.297625
PPARGC1A	-3.1187
ETFA	-1.7887
POLRMT	-0.44375
ZNF146	0.35325
MIA2	-1.6545
KLHL6	-1.63933333333333
HOXB5	-0.8355
NENF	1.27683333333333
CUGBP1	-0.68125
PRSS22	3.01883333333333
CASC4	1.8658
CUL4B	-0.1526
CENPJ	-1.5213
PITX1	1.36416666666667
FLJ31033	-0.341666666666667
CELSR3	-1.09266666666667
ZNF568	1.42525
ITSN1	-0.237083333333333
EHBP1L1	-0.255
C19orf2	0.059
DCTN1	-0.202
LIN28B	-3.88266666666667
TNKS2	-0.93075
C1QBP	-0.638875
CADPS2	1.37375
SRMS	1.195
GJA9	0.4775
MGC24975	-0.950666666666667
TRIM45	-1.215
TSP50	-0.5935
TCP1	-1.43
TMED7	1.4692
CMA1	0.622
CENPL	-1.30733333333333
PTCRA	-0.268
FST	-4.1395
VWCE	-4.04075
PAWR	-0.74675
ABCC12	0.603666666666667
LDLR	-1.3695
ASTN2	0.8545
LOC441212	-1.146
GPATCH8	-0.0135
TANC2	1.00425
KIF4A	-2.72725
C18orf18	-1.22625
PGM1	-1.5965
KIAA0258	0.4725
CPD	1.175875
SNCAIP	-0.10925
DCT	-4.526
HLA-DOA	2.78672727272727
OR11L1	0.562
UPK1B	-0.835666666666667
DNAJB4	-1.094
UGT1A8	-0.404
HIST1H4L	-2.7165
PECR	-0.908833333333333
HSPA2	1.53575
WFIKKN1	-0.3195
SERP1	1.037875
SYDE2	1.983
TACR2	0.738
NUP85	-0.38075
CD177	-0.654333333333333
LGR5	-2.3565
PIGG	-0.390916666666667
PTHR1	-1.798
RAB5A	0.3848
FLJ13224	-0.712
USP9Y	-2.00133333333333
C7orf53	0.9615
LRP1B	0.033
XAF1	0.656
ABCG8	-0.9495
