Hybridization REF	TCGA-A8-A06X-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.989666666666667
CREB3L1	0.0105
RPS11	-0.5165
PNMA1	-0.1215
MMP2	0.919666666666667
C10orf90	-2.321
ZHX3	-0.359833333333333
ERCC5	1.1105
GPR98	-0.04425
RXFP3	0.482
APBB2	0.24225
PRO0478	-1.142375
KLHL13	-0.90725
PRSSL1	-0.563833333333333
PDCL3	1.35733333333333
DECR1	-0.23175
SALL1	-4.53466666666667
CADM4	1.62833333333333
RPS18	-0.913571428571428
HNRPD	-1.16508333333333
CFHR5	0.583666666666667
SLC10A7	-0.149
OR2K2	0.102
LMAN1	-0.222
SUHW1	-4.11275
CHD8	-0.2807
SUMO1	0.5297
GP1BA	-0.1574
DDB1	0.650666666666667
MYO9B	0.6076
MMP7	5.35
CRNKL1	0.827125
C9orf45	-1.20583333333333
XAB2	0.617125
RTN1	0.999
KLHL14	-1.174375
TBX10	-1.5945
CENPQ	-1.412
UTY	-1.13092857142857
ZBTB12	0.0265
DTNBP1	-0.10525
KBTBD8	-1.63216666666667
ZEB1	0.468333333333333
ZG16	0.34625
MIER1	0.4339
ADAM5P	-0.183
CHD9	-0.1646875
STK16	-1.2825
KIAA1486	-0.3475
TOB2	0.397833333333333
BANK1	1.291
OR2V2	0.46075
GRM2	0.210666666666667
PROSC	0.07975
SPIN2B	0.43175
PIR	-2.32544444444444
IPO9	0.0529
EVC	0.2285
CXCL13	5.45266666666667
KIAA1199	-1.7662
SORL1	-0.017
NAT10	1.26425
CHD1	0.41025
SYN3	-1.0255
SLC22A2	-0.741
SERPINF1	0.245666666666667
WDR34	-0.1295
OR7A17	0.35275
C9orf11	-0.236
RNF216L	-0.1838
LHB	0.0605
STK25	-0.025125
TAOK3	0.947375
LOC152573	-3.1175
C3orf39	0.568375
C14orf108	0.3339
CDC25B	-0.448454545454545
BMP3	-0.755
TMEM180	0.088
MAP1LC3C	0.10875
CRYGC	-0.8695
POU3F1	-1.6258
C20orf32	-1.954
CCDC95	-0.2965
HIGD1B	3.76275
USP6NL	-0.014375
ABCD4	-1.32816666666667
DIMT1L	-1.37008333333333
TEK	1.046125
SLC25A46	-1.051
LARP7	-1.9674
CD160	0.333666666666667
MT1JP	-1.587
PHF20	0.297875
CPNE4	-2.35775
GTPBP1	-0.290571428571429
RAB33B	0.189333333333333
ALDOC	-1.66575
ZNF212	-0.49075
NUDT1	-0.748833333333333
RFPL2	0.08525
ZNF83	0.0721666666666667
GDPD5	-0.536125
PDCD4	0.9437
CEP350	0.87525
OR10A2	0.46
CST7	0.907
CIAO1	-0.191
SELL	1.453625
OR8J3	-0.2575
LTBP4	-0.504666666666667
SIRT6	0.05325
CCL19	4.49225
PPIL1	-0.851
GBP7	0.166
STK17A	-0.6006
ABR	1.169
OR9G1	-0.079
