Hybridization REF	TCGA-BH-A0EE-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.8585
CREB3L1	1.59775
RPS11	0.235125
PNMA1	-0.2675
MMP2	-1.33016666666667
C10orf90	-2.641
ZHX3	-1.69266666666667
ERCC5	0.174
GPR98	1.3685
RXFP3	0.722
APBB2	1.17675
PRO0478	-0.925625
KLHL13	0.24
PRSSL1	-0.732666666666667
PDCL3	-0.662
DECR1	-0.088125
SALL1	-4.49425
CADM4	1.09516666666667
RPS18	-0.283928571428571
HNRPD	-0.241083333333333
CFHR5	0.7995
SLC10A7	1.108875
OR2K2	0.6905
LMAN1	-0.43275
SUHW1	-5.10775
CHD8	0.7151
SUMO1	0.6263
GP1BA	0.3018
DDB1	-0.576166666666667
MYO9B	-0.3527
MMP7	5.06375
CRNKL1	-0.6545
C9orf45	-2.3995
XAB2	0.091125
RTN1	1.54825
KLHL14	-2.159375
TBX10	-0.326
CENPQ	-1.676
UTY	-1.33828571428571
ZBTB12	0.2575
DTNBP1	-0.056625
KBTBD8	-1.4485
ZEB1	-0.9025
ZG16	-0.244
MIER1	1.07
ADAM5P	0.354
CHD9	0.170125
STK16	1.44975
KIAA1486	-0.127
TOB2	1.27483333333333
BANK1	3.41175
OR2V2	-0.889
GRM2	-0.0393333333333334
PROSC	-0.679625
SPIN2B	-0.70625
PIR	0.671555555555556
IPO9	0.3095
EVC	-1.79616666666667
CXCL13	6.06466666666667
KIAA1199	-3.9352
SORL1	1.39975
NAT10	-0.35075
CHD1	0.2005
SYN3	-1.8715
SLC22A2	-0.648
SERPINF1	-1.60666666666667
WDR34	1.28775
OR7A17	0.644
C9orf11	-1.4995
RNF216L	-0.4352
LHB	0.0005
STK25	-1.2795
TAOK3	-0.237
LOC152573	-3.4355
C3orf39	-0.186375
C14orf108	0.6548
CDC25B	0.579545454545455
BMP3	3.6705
TMEM180	-0.1
MAP1LC3C	-0.425666666666667
CRYGC	-0.248
POU3F1	-1.0564
C20orf32	-1.422
CCDC95	0.277
HIGD1B	3.01
USP6NL	1.157375
ABCD4	-0.560166666666667
DIMT1L	-0.548833333333333
TEK	-0.021875
SLC25A46	-0.4345
LARP7	-0.8336
CD160	0.4252
MT1JP	-1.2945
PHF20	-0.9774375
CPNE4	0.991
GTPBP1	0.0691428571428571
RAB33B	0.0978333333333334
ALDOC	-0.412625
ZNF212	-0.30875
NUDT1	-0.462833333333333
RFPL2	1.03225
ZNF83	-0.2
GDPD5	-1.023125
PDCD4	0.8237
CEP350	0.4805
OR10A2	0.4525
CST7	0.03325
CIAO1	-1.9215
SELL	1.278625
OR8J3	-0.389
LTBP4	-0.280666666666667
SIRT6	0.5505
CCL19	4.49225
PPIL1	-0.406833333333333
GBP7	0.5454
STK17A	-1.0286
ABR	-0.67
OR9G1	0.11
FOXE1	-0.804875
CNGA3	-0.055
GML	0.4935
CD38	-0.387
ZDHHC6	-0.2835
NEFH	-3.6275
CTDSP2	-0.519333333333333
PGBD5	-2.069
CCNY	0.834
RMND5B	0.338
ZNF257	1.193
FLJ22167	-1.464
EXOSC7	0.0605
ROR2	-1.178125
MAOA	-2.87925
TNNT3	-0.369166666666667
GYPC	-2.15
C7orf33	1.162
PLIN	0.761666666666667
LOC90826	-0.78225
RNF4	-0.1071
F8A1	1.148
PLEKHG4	-3.57275
GRB2	1.088
HIST1H2AD	1.28825
DUS3L	-0.950166666666667
EIF1	-1.152
RP5-1077B9.4	-0.397
FPGT	-0.046
GDF10	-2.231
COQ9	-0.4735
GCC2	-0.294928571428571
RARRES3	3.243625
PLXNA1	-0.6891
KIAA0100	-1.2085
PMF1	0.72825
FNDC1	2.871
HS2ST1	-0.0749166666666667
CRELD2	0.044
C8G	-1.0445
CD82	1.59375
LIM2	-0.894
UNQ6490	1.735
MMP16	-0.08675
DRD3	0.62925
C5orf26	-1.1965
C11orf73	-0.61725
PTP4A2	0.77975
OR4M2	1.362
HPCA	-1.33383333333333
SEC14L1	-0.4915
CHFR	0.3195
EMILIN1	0.376875
NDUFS4	0.309
COL18A1	-0.679
PDZD3	0.0398
C9orf16	0.207666666666667
ERBB2IP	0.690833333333333
EMX2	1.68275
FUS	-0.59425
TF	-1.4259
CLCN4	-1.315
CXorf56	-0.29125
C11orf72	0.64625
ELAC2	-0.891333333333333
NPR1	-1.58675
ASS1	0.757166666666667
USP42	0.175125
POLR2J	-0.629
SEC23IP	-0.309
UQCRC1	0.313
LOC729603	-0.2295
C1orf71	-0.163375
POLG	-1.083
ADAM23	-4.158
TFR2	-1.23725
RICTOR	-1.0557
MGC39606	0.03925
C19orf55	-0.063625
SNAPC1	-0.2475
GNA11	1.3405
CCDC52	0.0451666666666667
FSIP1	-0.333
UPF3A	-1.434375
IGSF11	-1.91983333333333
LAGE3	1.19425
CHST6	1.6065
UNC13B	1.1305
TTLL4	0.2265
ZNF687	0.282875
SDC2	-1.7787
COX7A2	0.466
LAMB4	0.19575
FAM24A	0.2885
LRRTM3	-1.07483333333333
GPHB5	0.46575
OR4C13	0.4875
EIF3EIP	0.178142857142857
HABP4	-2.684
TMEM125	4.52825
CNTN2	-0.08825
ASNSD1	-0.68275
FUT4	-0.085875
ACF	-3.471
LOC158381	-0.3505
CDH8	0.84225
AGPS	-0.0545
C4orf18	-0.5285
PECI	-0.0460833333333333
UNG	-1.045375
GSTP1	0.91075
DCUN1D5	-1.34116666666667
DKFZP564J0863	-0.4905
SLC9A3R1	-0.475375
BCDO2	0.795625
CHMP7	-0.94075
REM2	0.022
DNHD1	-0.17875
FKBP4	-1.5285
ZNF350	0.95875
MGC11102	0.71
BST1	0.3815
KISS1R	0.733
NCR2	-0.1645
DEFB125	-0.1725
UBE2W	-0.253375
KRT15	3.077875
