Hybridization REF	TCGA-A8-A084-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.604166666666667
CREB3L1	1.83025
RPS11	-0.135
PNMA1	-0.46575
MMP2	1.20733333333333
C10orf90	-1.83275
ZHX3	0.108666666666667
ERCC5	0.593
GPR98	1.85875
RXFP3	0.176
APBB2	1.449
PRO0478	-0.57175
KLHL13	-2.51925
PRSSL1	-0.847166666666667
PDCL3	0.130333333333333
DECR1	-0.646875
SALL1	-2.50483333333333
CADM4	1.405
RPS18	-0.252214285714286
HNRPD	-0.519583333333333
CFHR5	0.798
SLC10A7	-0.343714285714286
OR2K2	-0.6075
LMAN1	-1.70525
SUHW1	-3.41225
CHD8	0.7204
SUMO1	0.658
GP1BA	-0.1715
DDB1	0.186666666666667
MYO9B	-0.1747
MMP7	5.54875
CRNKL1	0.568875
C9orf45	-0.518333333333333
XAB2	0.617375
RTN1	2.5715
KLHL14	-1.346125
TBX10	2.4865
CENPQ	-1.0525
UTY	-1.32307692307692
ZBTB12	0.2115
DTNBP1	0.611
KBTBD8	-2.09166666666667
ZEB1	0.5285
ZG16	-1.94725
MIER1	0.1829
ADAM5P	-1.366
CHD9	0.4056875
STK16	0.695
KIAA1486	-0.3835
TOB2	1.19725
BANK1	0.8315
OR2V2	0.582
GRM2	0.0271666666666667
PROSC	-0.196375
SPIN2B	1.31525
PIR	-2.87022222222222
IPO9	0.3301
EVC	0.908
CXCL13	2.00816666666667
KIAA1199	-1.2622
SORL1	1.967
NAT10	-0.3495
CHD1	-0.11975
SYN3	-0.8095
SLC22A2	0.3075
SERPINF1	0.774833333333333
WDR34	0.08025
OR7A17	0.532
C9orf11	-0.485
RNF216L	-0.1884
LHB	-0.3745
STK25	-0.14925
TAOK3	1.137
LOC152573	-3.0065
C3orf39	0.05575
C14orf108	0.5175
CDC25B	-1.45181818181818
BMP3	-0.0035
TMEM180	0.281
MAP1LC3C	-0.11375
CRYGC	-0.5555
POU3F1	-1.169
C20orf32	-1.472
CCDC95	-0.054
HIGD1B	3.374
USP6NL	0.01425
ABCD4	-0.457666666666667
DIMT1L	-1.20325
TEK	-0.172
SLC25A46	-0.592
LARP7	-1.3452
CD160	0.226833333333333
MT1JP	-0.981
PHF20	0.373125
CPNE4	0.1125
GTPBP1	0.326928571428571
RAB33B	0.7565
ALDOC	-2.52125
ZNF212	0.218
NUDT1	-0.685
RFPL2	-0.73275
ZNF83	0.0336666666666667
GDPD5	-0.264375
PDCD4	1.41135
CEP350	1.17925
OR10A2	-0.127
CST7	-0.312
CIAO1	-0.54275
SELL	0.35575
OR8J3	-0.0435
LTBP4	-0.558833333333333
SIRT6	0.4125
CCL19	1.01075
PPIL1	-1.05166666666667
GBP7	-0.206
STK17A	-0.6381
ABR	-0.225
OR9G1	0.448
FOXE1	-0.75325
CNGA3	0.946
GML	0.422
CD38	-3.5055
ZDHHC6	-0.1845
NEFH	-2.89025
CTDSP2	0.509583333333333
PGBD5	-1.94283333333333
CCNY	0.314857142857143
RMND5B	0.482333333333333
ZNF257	-0.36375
FLJ22167	-1.4425
EXOSC7	-0.1145
ROR2	1.60675
MAOA	-2.184125
TNNT3	0.182
GYPC	-1.59175
C7orf33	0.065
PLIN	1.1575
LOC90826	-0.82825
RNF4	-0.0766
F8A1	0.742
PLEKHG4	-0.2405
GRB2	-0.25345
HIST1H2AD	1.4825
DUS3L	-0.922
EIF1	-1.2015
RP5-1077B9.4	-0.745333333333333
FPGT	1.00925
GDF10	-1.70016666666667
COQ9	-0.71875
GCC2	0.5295
RARRES3	3.629375
