Hybridization REF	TCGA-C8-A138-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.796583333333333
CREB3L1	2.36475
RPS11	-0.182625
PNMA1	1.04325
MMP2	1.87366666666667
C10orf90	-1.88675
ZHX3	0.858
ERCC5	0.9705
GPR98	0.756625
RXFP3	0.6
APBB2	1.0155
PRO0478	-0.560125
KLHL13	-1.79025
PRSSL1	-0.498833333333333
PDCL3	0.217
DECR1	0.011875
SALL1	-2.94033333333333
CADM4	0.435166666666667
RPS18	-0.485928571428571
HNRPD	-1.02658333333333
CFHR5	0.688
SLC10A7	-0.55025
OR2K2	-0.249
LMAN1	-1.550125
SUHW1	-2.935
CHD8	1.0863
SUMO1	0.0897
GP1BA	1.246
DDB1	-0.121333333333333
MYO9B	0.0068
MMP7	6.074
CRNKL1	0.29125
C9orf45	-0.8155
XAB2	0.059875
RTN1	2.16725
KLHL14	-0.775
TBX10	2.7145
CENPQ	-1.06175
UTY	-0.931428571428571
ZBTB12	0.1935
DTNBP1	0.091625
KBTBD8	-1.43616666666667
ZEB1	1.314
ZG16	2.2755
MIER1	0.1716
ADAM5P	-1.09
CHD9	-0.3670625
STK16	1.016
KIAA1486	-0.6505
TOB2	0.520916666666667
BANK1	3.14175
OR2V2	0.45425
GRM2	0.164833333333333
PROSC	0.08475
SPIN2B	-0.18575
PIR	-1.78322222222222
IPO9	0.1613
EVC	1.23466666666667
CXCL13	5.78316666666667
KIAA1199	-1.4346
SORL1	1.24375
NAT10	-0.07725
CHD1	-0.55075
SYN3	-0.662
SLC22A2	-0.2185
SERPINF1	1.318
WDR34	0.41925
OR7A17	-0.1085
C9orf11	-0.096
RNF216L	-0.3581
LHB	0.219
STK25	-0.576875
TAOK3	1.289875
LOC152573	-3.298
C3orf39	-0.039125
C14orf108	-0.0662
CDC25B	-1.12354545454545
BMP3	0.189
TMEM180	0.079
MAP1LC3C	0.23275
CRYGC	-0.9345
POU3F1	-0.7738
C20orf32	-1.0535
CCDC95	0.509
HIGD1B	3.32375
USP6NL	0.027125
ABCD4	0.2915
DIMT1L	-1.33916666666667
TEK	1.57725
SLC25A46	-0.7235
LARP7	-1.509
CD160	1.1095
MT1JP	-0.765666666666667
PHF20	0.0569375
CPNE4	-1.94325
GTPBP1	-0.286357142857143
RAB33B	-0.144166666666667
ALDOC	-1.760875
ZNF212	-0.3255
NUDT1	-0.299333333333333
RFPL2	-0.898
ZNF83	0.4985
