Hybridization REF	TCGA-BH-A0DL-11A-13R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0744166666666667
CREB3L1	-0.07075
RPS11	0.66875
PNMA1	0.22225
MMP2	1.48983333333333
C10orf90	0.289
ZHX3	-0.128
ERCC5	0.526
GPR98	-0.17425
RXFP3	0.0665
APBB2	1.142
PRO0478	-0.155
KLHL13	1.89075
PRSSL1	-0.751166666666667
PDCL3	0.445666666666667
DECR1	0.297125
SALL1	-2.8985
CADM4	0.0151666666666667
RPS18	-0.000928571428571422
HNRPD	-0.277
CFHR5	0.1274
SLC10A7	0.466375
OR2K2	-0.2185
LMAN1	-0.99575
SUHW1	-3.5975
CHD8	0.1054
SUMO1	0.076
GP1BA	0.9992
DDB1	-0.4265
MYO9B	-0.2797
MMP7	6.2775
CRNKL1	0.1295
C9orf45	-0.659666666666667
XAB2	-0.102
RTN1	2.11425
KLHL14	-0.45025
TBX10	-1.709
CENPQ	-1.348
UTY	-1.53214285714286
ZBTB12	-0.4165
DTNBP1	0.245875
KBTBD8	-0.785166666666667
ZEB1	1.71466666666667
ZG16	-1.4045
MIER1	0.89
ADAM5P	-0.2
CHD9	0.813625
STK16	-0.393
KIAA1486	-0.3405
TOB2	0.436083333333333
BANK1	4.05175
OR2V2	-0.08075
GRM2	-0.2465
PROSC	0.4525
SPIN2B	0.33625
PIR	-1.23855555555556
IPO9	-0.5868
EVC	0.818166666666667
CXCL13	2.92333333333333
KIAA1199	-2.6145
SORL1	1.20125
NAT10	-0.86475
CHD1	-0.1955
SYN3	0.0195
SLC22A2	-0.72525
SERPINF1	1.899
WDR34	-1.341
OR7A17	0.0495
C9orf11	-0.255
RNF216L	-0.1514
LHB	-0.5085
STK25	-0.51275
TAOK3	0.96975
LOC152573	-0.031
C3orf39	0.3985
C14orf108	0.5455
CDC25B	-2.08518181818182
BMP3	0.324
TMEM180	-0.243
MAP1LC3C	2.833
CRYGC	-0.979
POU3F1	-1.6308
C20orf32	-1.446
CCDC95	-0.58
HIGD1B	3.64125
USP6NL	0.08175
ABCD4	0.366166666666667
DIMT1L	-0.260833333333333
TEK	2.33475
SLC25A46	-0.327
LARP7	-0.7311
CD160	1.463
MT1JP	0.6445
PHF20	-0.14775
CPNE4	-1.57275
GTPBP1	-0.486857142857143
RAB33B	1.1085
ALDOC	-1.08275
ZNF212	-0.135
NUDT1	-0.989333333333333
RFPL2	-0.7195
ZNF83	0.821333333333333
GDPD5	-0.137
PDCD4	1.74925
CEP350	0.36525
OR10A2	0.081
CST7	1.13675
CIAO1	-0.91875
SELL	1.707125
OR8J3	-0.5325
LTBP4	0.588833333333333
SIRT6	-0.673
CCL19	4.045
PPIL1	-1.33783333333333
GBP7	0.107
STK17A	-0.4154
ABR	0.76575
OR9G1	0.051
FOXE1	-0.6785
CNGA3	0.921
GML	0.4075
CD38	-1.53975
ZDHHC6	0.0955
NEFH	-2.52225
CTDSP2	1.0935
PGBD5	-1.492
CCNY	0.125571428571429
RMND5B	-0.0863333333333333
ZNF257	-1.0205
FLJ22167	0.102
EXOSC7	-0.194
ROR2	0.99925
MAOA	2.8395
TNNT3	2.20733333333333
GYPC	0.633
C7orf33	0.8575
PLIN	3.85316666666667
LOC90826	0.1605
RNF4	-0.1391
F8A1	0.399166666666667
PLEKHG4	-0.88925
GRB2	-0.3423
HIST1H2AD	-1.02725
DUS3L	-0.876833333333333
EIF1	0.025
RP5-1077B9.4	-1.07983333333333
FPGT	1.23875
GDF10	3.9455
COQ9	-0.12375
GCC2	0.758357142857143
RARRES3	2.656375
PLXNA1	-0.1011
KIAA0100	-0.0752
PMF1	-0.55025
FNDC1	4.2765
HS2ST1	-0.879083333333333
CRELD2	-0.02325
C8G	-1.7835
CD82	0.96925
LIM2	-1.766
UNQ6490	-0.82
MMP16	0.032
DRD3	-0.167
C5orf26	0.11125
C11orf73	-0.3255
PTP4A2	-0.18775
OR4M2	0.3135
HPCA	-1.18466666666667
SEC14L1	-0.1385
CHFR	-0.52625
EMILIN1	0.87125
NDUFS4	-0.05675
COL18A1	0.033
PDZD3	-0.0255
C9orf16	-0.238166666666667
ERBB2IP	-0.131166666666667
EMX2	4.47375
FUS	-1.07925
TF	-1.5262
CLCN4	1.16983333333333
CXorf56	0.86675
C11orf72	0.20275
ELAC2	-0.757916666666667
NPR1	1.64475
ASS1	-0.5915
USP42	0.1885
POLR2J	-0.901
SEC23IP	0.259
UQCRC1	-0.573
LOC729603	0.0205
C1orf71	-0.681
POLG	-2.643
ADAM23	-3.25825
TFR2	-1.97325
RICTOR	-0.0357
MGC39606	1.971
C19orf55	-0.518625
SNAPC1	-0.928833333333333
GNA11	0.58875
CCDC52	-0.6535
FSIP1	1.2125
UPF3A	0.099875
IGSF11	-2.168
LAGE3	-1.08225
CHST6	-2.484
UNC13B	0.364375
TTLL4	-1.07825
ZNF687	-0.29425
SDC2	0.3576
COX7A2	-0.61475
LAMB4	0.28625
FAM24A	0.036
LRRTM3	-1.136
GPHB5	0.114
OR4C13	-0.089
EIF3EIP	0.517928571428571
HABP4	0.213
TMEM125	2.4285
CNTN2	0.383375
ASNSD1	0.10175
FUT4	0.391
ACF	-3.685
LOC158381	0.43
CDH8	0.4655
AGPS	-0.783333333333333
C4orf18	3.53925
PECI	-0.08
UNG	-0.6625
GSTP1	-0.005125
DCUN1D5	-1.67383333333333
DKFZP564J0863	-1.4555
SLC9A3R1	-0.250625
BCDO2	0.7505
CHMP7	-0.125
REM2	-0.267
DNHD1	-0.389375
