Hybridization REF	TCGA-BH-A0E1-11A-13R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.298416666666667
CREB3L1	-0.599
RPS11	1.200875
PNMA1	-0.0875
MMP2	-0.878833333333333
C10orf90	1.407
ZHX3	-0.543666666666667
ERCC5	0.3435
GPR98	0.195625
RXFP3	-0.427
APBB2	0.19125
PRO0478	-1.0105
KLHL13	2.3705
PRSSL1	-0.624
PDCL3	0.665333333333333
DECR1	-0.412625
SALL1	-3.60016666666667
CADM4	0.174166666666667
RPS18	1.19407142857143
HNRPD	0.0551666666666667
CFHR5	0.3594
SLC10A7	0.55825
OR2K2	0.4445
LMAN1	-1.007625
SUHW1	-3.31975
CHD8	-0.4522
SUMO1	0.1095
GP1BA	0.1201
DDB1	-0.6565
MYO9B	-0.4404
MMP7	7.64725
CRNKL1	0.436
C9orf45	-0.914166666666667
XAB2	0.075125
RTN1	1.436375
KLHL14	-1.152
TBX10	-1.46
CENPQ	-1.357
UTY	-1.28442857142857
ZBTB12	0.0395
DTNBP1	-0.530875
KBTBD8	-1.134
ZEB1	0.0496666666666667
ZG16	-2.0075
MIER1	0.8804
ADAM5P	-0.4565
CHD9	0.995375
STK16	-0.68275
KIAA1486	-0.268
TOB2	1.09083333333333
BANK1	2.295
OR2V2	0.3395
GRM2	-0.191166666666667
PROSC	0.391375
SPIN2B	-0.00025
PIR	-2.926
IPO9	-0.9263
EVC	0.4085
CXCL13	3.28416666666667
KIAA1199	-3.8968
SORL1	2.21875
NAT10	-0.686
CHD1	-0.144
SYN3	-0.26125
SLC22A2	-0.20875
SERPINF1	-0.259333333333333
WDR34	-1.09625
OR7A17	0.335
C9orf11	0.6455
RNF216L	0.349
LHB	-0.629
STK25	-0.5025
TAOK3	1.0915
LOC152573	-2.28375
C3orf39	0.46375
C14orf108	0.4309
CDC25B	-3.28118181818182
BMP3	0.1345
TMEM180	-0.067
MAP1LC3C	2.25625
CRYGC	-0.396
POU3F1	-1.4952
C20orf32	-1.0235
CCDC95	-0.756
HIGD1B	3.717
USP6NL	-0.054375
ABCD4	-0.19
DIMT1L	0.103333333333333
TEK	1.4165
SLC25A46	-0.7925
LARP7	-1.1905
CD160	1.49666666666667
MT1JP	1.51833333333333
PHF20	-0.1235
CPNE4	-0.64
GTPBP1	-0.446
RAB33B	1.59683333333333
ALDOC	-1.55925
ZNF212	0.21275
NUDT1	-1.49716666666667
RFPL2	0.1735
ZNF83	-0.1775
GDPD5	-0.527625
PDCD4	2.90685
CEP350	0.2605
OR10A2	0.03025
CST7	0.276
CIAO1	-1.142
SELL	0.358875
OR8J3	-0.266
LTBP4	-0.0863333333333333
SIRT6	-0.64825
CCL19	2.7915
PPIL1	-1.35383333333333
GBP7	0.045
STK17A	-0.8009
ABR	0.03425
OR9G1	-0.1465
FOXE1	-0.719
CNGA3	0.245
GML	-0.244
CD38	-2.1805
ZDHHC6	-0.230666666666667
NEFH	-0.945
CTDSP2	1.02783333333333
PGBD5	-0.696833333333333
CCNY	0.519857142857143
RMND5B	-0.213
ZNF257	-0.5035
FLJ22167	0.409625
EXOSC7	-0.339333333333333
ROR2	0.86
MAOA	1.642125
TNNT3	1.32766666666667
GYPC	-0.5145
C7orf33	0.5325
PLIN	1.76583333333333
LOC90826	0.234
RNF4	0.006
F8A1	0.045
PLEKHG4	0.1715
GRB2	-0.4006
HIST1H2AD	-0.8495
DUS3L	-0.426166666666667
EIF1	-0.2325
RP5-1077B9.4	-1.719
FPGT	1.38925
GDF10	2.45633333333333
COQ9	-0.46325
GCC2	0.967857142857143
RARRES3	2.18625
PLXNA1	-0.1241
KIAA0100	-0.5777
PMF1	-0.51775
FNDC1	2.11725
HS2ST1	-0.00916666666666668
CRELD2	-0.3815
C8G	-2.35
CD82	1.969
LIM2	-1.1845
UNQ6490	-0.02
MMP16	0.14075
DRD3	-0.18575
C5orf26	1.33925
C11orf73	-0.798375
PTP4A2	-0.2405
OR4M2	0.326
HPCA	-1.07533333333333
SEC14L1	-0.180166666666667
CHFR	-0.776875
EMILIN1	0.15825
NDUFS4	-0.084
COL18A1	-0.848625
PDZD3	0.1383
C9orf16	-0.665833333333333
ERBB2IP	0.424666666666667
EMX2	2.84625
FUS	-1.1
TF	-2.7023
CLCN4	0.285833333333333
CXorf56	0.34725
C11orf72	0.05475
ELAC2	-0.794166666666667
NPR1	0.23575
ASS1	-1.78166666666667
USP42	0.710125
POLR2J	-1.837
SEC23IP	0.654
UQCRC1	-0.71225
LOC729603	-0.53775
C1orf71	-0.173625
POLG	-3.144
ADAM23	-3.989
TFR2	-2.05775
RICTOR	-0.2679
MGC39606	2.532
C19orf55	-0.428
SNAPC1	-0.682333333333333
GNA11	1.423625
CCDC52	0.0171666666666667
FSIP1	2.4175
UPF3A	0.208
IGSF11	-1.96716666666667
LAGE3	-0.89825
CHST6	-3.8045
UNC13B	0.121375
TTLL4	-0.798875
ZNF687	0.1405
SDC2	-0.4406
COX7A2	-0.98075
LAMB4	-0.35025
FAM24A	-0.054
LRRTM3	-0.6702
GPHB5	0.4585
OR4C13	-0.1225
EIF3EIP	0.976285714285714
HABP4	-0.2935
TMEM125	3.69275
CNTN2	0.3115
ASNSD1	0.50475
FUT4	0.634875
ACF	-3.696
LOC158381	0.061
CDH8	0.41825
AGPS	-0.989
C4orf18	3.286375
PECI	-0.53275
UNG	-0.456375
GSTP1	-0.701125
DCUN1D5	-1.43983333333333
DKFZP564J0863	-1.57125
SLC9A3R1	0.19
BCDO2	-0.147875
CHMP7	0.188625
REM2	0.016
DNHD1	-0.743875
FKBP4	-0.712625
ZNF350	1.87475
MGC11102	-0.729625
BST1	0.606
KISS1R	-0.3135
NCR2	0.1355
DEFB125	0.0865
UBE2W	0.899875
KRT15	4.413125
C10orf99	-0.1075
SCN11A	0.25075
GFI1	-1.975
RDHE2	1.378
FHL1	-0.0581666666666667
OSGEP	-0.374833333333333
GATA1	-3.8625
SMC6	-1.565
TTTY14	-1.04675
LPIN3	0.05175
RPL4	0.6501
RBPMS	0.7264
PRPF3	-0.963333333333333
EMR1	-2.5675
SPATA19	0.18625
XCR1	-0.313
IRX3	2.1482
RBM6	-0.2495
KLF4	0.9812
UNC5CL	-0.99
SEBOX	-0.134
BTK	-1.983
KRCC1	1.692
C6orf27	0.447
SYTL5	-0.8755
PRND	1.04025
LOC653319	-1.8105
PIGL	-1.94375
HUS1	-1.12016666666667
SFRS6	-0.073
C17orf77	0.5005
UIMC1	-0.183166666666667
FXYD2	-1.9299
LOC283152	-0.5115
ZNF667	2.19275
ZCCHC12	0.354
TFEC	1.0839
ATP7B	-0.379333333333333
POLD2	-1.3615
RG9MTD1	0.3945
ACOT2	-0.281166666666667
HIST1H4I	-1.3045
PPARGC1A	0.3755
ETFA	-1.5055
POLRMT	-0.5945
ZNF146	0.4
MIA2	-0.1905
KLHL6	-1.43766666666667
HOXB5	-1.58475
NENF	0.183333333333333
CUGBP1	-0.82225
PRSS22	0.3805
CASC4	1.2051
CUL4B	0.3714
CENPJ	-1.331
PITX1	-2.48683333333333
FLJ31033	0.211
CELSR3	-2.5775
ZNF568	1.388
ITSN1	-0.447
EHBP1L1	-1.12133333333333
C19orf2	-0.193
DCTN1	-0.344
LIN28B	-1.68733333333333
TNKS2	-0.21425
C1QBP	-0.43
CADPS2	1.377
SRMS	0.04475
GJA9	0.2525
MGC24975	-0.950166666666667
TRIM45	-0.759666666666667
TSP50	0.48675
TCP1	-0.8755
TMED7	0.5142
CMA1	0.343
CENPL	-1.66816666666667
PTCRA	-0.6825
FST	-3.2695
VWCE	-3.2155
PAWR	-0.43875
ABCC12	-0.00950000000000001
LDLR	-0.1754
ASTN2	0.994
LOC441212	-0.645
GPATCH8	-0.06625
TANC2	-0.918083333333333
KIF4A	-4.3175
C18orf18	0.05475
PGM1	-0.2905
KIAA0258	0.54925
CPD	0.472
SNCAIP	-0.4425
DCT	-4.70416666666667
HLA-DOA	1.84331818181818
OR11L1	0.1205
UPK1B	-0.386833333333333
DNAJB4	1.097
UGT1A8	-0.436
HIST1H4L	-1.048
PECR	-2.13483333333333
HSPA2	1.35725
WFIKKN1	-2.5585
SERP1	1.277
SYDE2	1.6585
TACR2	0.147
NUP85	-1.30225
CD177	-0.957666666666667
LGR5	-1.8125
PIGG	-0.37575
PTHR1	-1.585
RAB5A	0.2553
FLJ13224	-0.2875
USP9Y	-1.47283333333333
C7orf53	-1.533
LRP1B	0.06025
XAF1	0.7897
ABCG8	-0.37
ANKDD1A	-0.459333333333333
DAND5	-2.1805
SPAG6	2.34233333333333
LINCR	3.23875
ZDHHC22	-1.683375
CCDC60	-0.196
THOC7	-0.918666666666667
TCTA	0.5341
OR8K3	0.08975
NY-REN-7	-0.3905
B2M	0.679666666666667
C6orf141	-1.707625
LPPR4	2.756
SQLE	-2.34475
SEPHS1	-0.66775
BTBD14B	-0.119428571428571
PLRG1	0.195
SPG7	-0.4899375
ZNF614	0.196666666666667
PARD6G	1.32416666666667
INPP5B	-0.6519
GRPEL2	-0.583125
PPID	-0.8429
TRIM56	-0.0695
UBE2J1	-0.00712500000000001
IL20RA	6.467
LOC387856	1.0875
C1orf107	1.30833333333333
UTS2R	0.70925
C19orf22	-0.3255
SAFB2	0.302
KIAA0652	-0.125125
KLRG1	-0.965
MS4A8B	-0.2065
FRAG1	0.47925
KIAA1546	1.13325
E2F4	-1.1413
CLEC4M	-0.107833333333333
BTBD14A	-2.38575
KIAA0999	0.9031
GYPA	-2.801
TAC1	1.5148
TRAIP	-1.77516666666667
KIAA0232	0.8614
ERCC8	-1.084875
GPX4	-0.144625
KIAA0368	0.681625
GPR157	-1.20333333333333
CTAGE4	0.527
C9orf30	-1.55116666666667
OR52A1	-0.134
HSP90B3P	0.13
ALG9	-0.4704
BTBD10	0.5595
SDK2	0.10925
BAIAP3	-0.2855
RABGGTB	-0.85125
ANKRD40	-0.165
KRT74	0.137
CALCOCO2	-0.0304285714285714
SNCA	-1.7745
TMSL8	-2.52475
C2orf53	-0.346
ESRRB	-0.7265
ARHGAP26	-0.549
TDRD9	-3.64225
HRAS	-0.583166666666667
KLRC4	-2.1345
JAGN1	0.1185
BSDC1	0.896
RNF43	0.2733
NDUFAF1	-0.02625
PHF12	0.34525
OR1L3	0.12775
FOLR2	0.947166666666667
LYZL6	0.282
tcag7.1260	-2.0555
WSB1	-1.3355
PROS1	1.1489
OSTN	0.26
PSMB8	0.283
SOCS4	0.122
DDIT4L	1.37975
MAS1	0.0615
MGC34796	0.4375
CSHL1	-0.0185
TBCCD1	0.397
ZBTB7C	-0.11
AP2S1	-1.27425
P15RS	-0.3217
VAT1	-0.9996
SHANK3	0.573333333333333
TUFM	-0.626833333333333
THEG	-0.712
KRT34	-1.8005
SGSM3	0.44125
TOMM22	0.424875
SOCS3	1.46666666666667
CPO	-0.051
POP4	0.04425
BHLHB3	2.07075
MALL	1.37025
OR1B1	0.023
PARK2	1.57616666666667
GPR124	0.476625
LCE1E	0.3475
RUVBL2	-0.76075
CGRRF1	1.1837
ACPL2	0.4625
WNT10B	-2.755125
BAIAP2L2	-2.74325
ISCA1	0.8185
C1orf125	-0.45325
RPAP1	-0.62575
RAI16	-0.4875
RPL27	0.113375
NLRP9	0.4205
EPN1	-0.759
LOC388610	1.082
