Hybridization REF	TCGA-BH-A0WA-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.218083333333333
CREB3L1	0.02775
RPS11	-0.084875
PNMA1	0.23375
MMP2	0.635833333333333
C10orf90	0.46575
ZHX3	-0.579833333333333
ERCC5	-0.73125
GPR98	-1.87425
RXFP3	0.562
APBB2	0.176
PRO0478	-1.225125
KLHL13	-2.39
PRSSL1	-0.722166666666667
PDCL3	0.2555
DECR1	0.1205
SALL1	-4.624
CADM4	1.69966666666667
RPS18	0.112142857142857
HNRPD	-0.520083333333333
CFHR5	0.223833333333333
SLC10A7	0.035125
OR2K2	-0.2755
LMAN1	-0.5655
SUHW1	-1.2935
CHD8	-0.4907
SUMO1	0.2992
GP1BA	0.0382
DDB1	-0.0826666666666667
MYO9B	0.2045
MMP7	7.15075
CRNKL1	0.155125
C9orf45	-1.11416666666667
XAB2	-0.088625
RTN1	1.081375
KLHL14	-1.579875
TBX10	-0.7105
CENPQ	-0.3345
UTY	-1.523
ZBTB12	0.6935
DTNBP1	-0.269125
KBTBD8	-0.6975
ZEB1	-0.147166666666667
ZG16	-1.47775
MIER1	0.0165
ADAM5P	0.1395
CHD9	-0.3865
STK16	0.4055
KIAA1486	-0.4895
TOB2	0.982333333333333
BANK1	2.0975
OR2V2	0.265
GRM2	0.153
PROSC	0.89975
SPIN2B	-0.83825
PIR	-1.512
IPO9	-0.3864
EVC	0.606
CXCL13	6.012
KIAA1199	-0.5368
SORL1	-0.33775
NAT10	-0.0865
CHD1	-1.1485
SYN3	-0.13575
SLC22A2	-0.60975
SERPINF1	0.590833333333333
WDR34	-0.34775
OR7A17	0.24525
C9orf11	0.044
RNF216L	-0.6663
LHB	0.131
STK25	-0.119125
TAOK3	0.969625
LOC152573	-3.19725
C3orf39	0.79475
C14orf108	0.158
CDC25B	0.359636363636364
BMP3	0.0775
TMEM180	-0.031
MAP1LC3C	-0.13875
CRYGC	-0.443
POU3F1	-1.2919
C20orf32	-1.4185
CCDC95	-0.1285
HIGD1B	2.99375
USP6NL	0.693125
ABCD4	-0.957333333333333
DIMT1L	-1.58575
TEK	1.013375
SLC25A46	-1.23125
LARP7	-1.8448
CD160	0.162833333333333
MT1JP	0.5745
PHF20	-0.4319375
CPNE4	-1.67625
GTPBP1	-0.101857142857143
RAB33B	1.0055
ALDOC	-0.58725
ZNF212	-0.12425
NUDT1	-0.291333333333333
RFPL2	-0.3765
ZNF83	-0.497833333333333
GDPD5	0.19725
PDCD4	1.0641
CEP350	-0.1065
OR10A2	0.29475
CST7	1.2475
CIAO1	-0.6155
SELL	0.581875
OR8J3	0.412
LTBP4	-0.173833333333333
SIRT6	-0.655
CCL19	3.36
PPIL1	0.296666666666667
GBP7	-0.372166666666667
STK17A	-0.2711
ABR	-0.64775
OR9G1	0.4545
FOXE1	-0.529875
CNGA3	-0.7055
GML	0.3275
CD38	-1.23025
ZDHHC6	0.0371666666666667
NEFH	1.8105
CTDSP2	0.247166666666667
PGBD5	0.714833333333333
CCNY	0.893785714285714
RMND5B	-0.331083333333333
ZNF257	-3.53975
FLJ22167	-0.5785
EXOSC7	-0.223166666666667
ROR2	0.199125
MAOA	-1.845
TNNT3	0.394166666666667
GYPC	-1.392
C7orf33	2.1395
PLIN	0.0413333333333333
LOC90826	-0.70175
RNF4	-0.0061
F8A1	0.0921666666666667
PLEKHG4	-0.38325
GRB2	0.3653
HIST1H2AD	0.50275
DUS3L	-0.745
EIF1	-0.325
RP5-1077B9.4	-0.651166666666667
FPGT	0.331
GDF10	-0.968666666666667
COQ9	-0.09875
GCC2	-0.754642857142857
RARRES3	1.37
PLXNA1	-0.2683
KIAA0100	-0.6407
PMF1	0.55225
FNDC1	5.57575
HS2ST1	0.0171666666666666
CRELD2	0.7055
C8G	-1.038
CD82	1.65825
LIM2	-1.05
UNQ6490	-0.979
MMP16	0.79875
DRD3	-0.23575
C5orf26	-1.8485
C11orf73	-0.425125
PTP4A2	-0.014125
OR4M2	0.813
HPCA	-0.754333333333333
SEC14L1	-0.48
CHFR	0.17475
EMILIN1	1.15275
NDUFS4	-0.746
COL18A1	0.369
PDZD3	0.0042
C9orf16	0.444
ERBB2IP	-0.736833333333333
EMX2	3.7685
FUS	-0.66525
TF	-3.4561
CLCN4	1.16533333333333
CXorf56	0.467
C11orf72	0.48725
ELAC2	-0.801166666666667
NPR1	-1.08575
ASS1	0.237333333333333
USP42	0.114875
POLR2J	-0.9875
SEC23IP	-0.00733333333333333
UQCRC1	0.32525
LOC729603	-0.864
C1orf71	-0.955625
POLG	-0.837
ADAM23	-3.68825
TFR2	-1.33575
RICTOR	-1.4421
MGC39606	1.09075
C19orf55	-0.3385
SNAPC1	-0.0501666666666667
GNA11	0.12175
CCDC52	-0.1515
FSIP1	-1.3265
UPF3A	-0.8715
IGSF11	-0.953333333333333
LAGE3	0.01425
CHST6	1.1325
UNC13B	0.165125
TTLL4	0.30925
ZNF687	-0.139
SDC2	2.3969
COX7A2	0.07425
LAMB4	0.104
FAM24A	0.285
LRRTM3	-1.08683333333333
GPHB5	-0.11275
OR4C13	-0.181
EIF3EIP	0.156785714285714
HABP4	0.072
TMEM125	3.9975
CNTN2	1.17975
ASNSD1	-0.734
FUT4	0.2045
ACF	-4.018
LOC158381	0.582
CDH8	0.8565
AGPS	-1.0065
C4orf18	0.72925
PECI	-0.703
UNG	0.601
GSTP1	0.5015
DCUN1D5	-1.134
DKFZP564J0863	0.1745
SLC9A3R1	-0.24875
BCDO2	-1.0225
CHMP7	-0.938875
REM2	-0.158
DNHD1	0.0505
FKBP4	-0.877375
ZNF350	0.89075
MGC11102	-0.10475
BST1	0.32175
KISS1R	0.643
NCR2	0.391
DEFB125	0.7085
UBE2W	1.42725
KRT15	3.74175
C10orf99	0.434
SCN11A	0.407125
GFI1	-2.46625
RDHE2	2.56583333333333
FHL1	-0.184
OSGEP	-1.0115
GATA1	-3.63383333333333
SMC6	-0.35875
TTTY14	-1.05225
LPIN3	0.03825
RPL4	-0.1012
RBPMS	-0.62
PRPF3	-0.289166666666667
EMR1	-1.422
SPATA19	-0.2095
XCR1	0.4085
IRX3	1.5807
RBM6	-0.667
KLF4	-0.3649
UNC5CL	0.73325
SEBOX	0.512
BTK	-1.07325
KRCC1	1.238
C6orf27	0.133
SYTL5	-1.1195
PRND	0.830375
LOC653319	-1.2585
PIGL	-0.95275
HUS1	0.389333333333333
SFRS6	-0.864333333333333
C17orf77	0.3575
UIMC1	-0.637166666666667
FXYD2	-1.3225
LOC283152	0.49125
ZNF667	0.905
ZCCHC12	-0.0245
TFEC	3.5526
ATP7B	-1.215
POLD2	-0.514666666666667
RG9MTD1	-0.15825
ACOT2	-0.522333333333333
HIST1H4I	0.013
PPARGC1A	0.9505
ETFA	-1.0669
POLRMT	-1.0805
ZNF146	0.36575
MIA2	-2.0625
KLHL6	-1.40366666666667
HOXB5	-0.982875
NENF	0.133166666666667
CUGBP1	0.62075
PRSS22	0.143833333333333
CASC4	0.2391
CUL4B	0.0119
CENPJ	-1.3925
PITX1	0.264666666666667
FLJ31033	0.711
CELSR3	-0.978666666666667
ZNF568	0.87875
ITSN1	-0.883583333333333
EHBP1L1	-0.0196666666666667
C19orf2	-0.621
DCTN1	0.43675
LIN28B	-4.63566666666667
TNKS2	-0.83875
C1QBP	-0.896875
CADPS2	-0.14025
SRMS	0.21425
GJA9	0.6515
MGC24975	-1.26316666666667
TRIM45	-0.723833333333333
TSP50	1.06725
TCP1	-1.08275
TMED7	0.2686
CMA1	-0.7885
CENPL	-0.327833333333333
PTCRA	-0.2085
