Hybridization REF	TCGA-AV-A03E-20A-01R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.291
CREB3L1	2.189
RPS11	-1.248
PNMA1	0.8295
MMP2	2.939
C10orf90	2.7095
ZHX3	1.19616666666667
ERCC5	1.81325
GPR98	-1.2545
RXFP3	1.321
APBB2	0.23175
PRO0478	-0.40725
KLHL13	0.74675
PRSSL1	-0.808833333333333
PDCL3	-0.352666666666667
DECR1	-0.82725
SALL1	0.9975
CADM4	-0.299166666666667
RPS18	-0.6495
HNRPD	-0.194
CFHR5	0.212166666666667
SLC10A7	-0.1205
OR2K2	-0.3165
LMAN1	-1.184375
SUHW1	-2.5195
CHD8	-0.8481
SUMO1	0.6704
GP1BA	0.4913
DDB1	-0.629833333333333
MYO9B	0.4419
MMP7	2.24075
CRNKL1	-1.101125
C9orf45	-0.852833333333333
XAB2	0.588875
RTN1	1.569625
KLHL14	-0.378
TBX10	-0.6425
CENPQ	-1.302
UTY	-1.41576923076923
ZBTB12	-0.9665
DTNBP1	-0.706375
KBTBD8	-1.148
ZEB1	-0.384166666666667
ZG16	-1.0955
MIER1	0.222
ADAM5P	0
CHD9	0.6478125
STK16	2.1775
KIAA1486	0.495
TOB2	0.103583333333333
BANK1	0.61025
OR2V2	0.17475
GRM2	-0.0321666666666667
PROSC	-0.440375
SPIN2B	0.38025
PIR	-0.93
IPO9	0.0303
EVC	3.30433333333333
CXCL13	0.833166666666667
KIAA1199	-2.9437
SORL1	-4.9485
NAT10	0.0065
CHD1	-0.51775
SYN3	0.0725
SLC22A2	-0.5
SERPINF1	-3.9405
WDR34	-0.21425
OR7A17	0.19625
C9orf11	-0.8985
RNF216L	0.7656
LHB	0.594
STK25	-0.24075
TAOK3	1.917125
LOC152573	-2.6455
C3orf39	0.498875
C14orf108	0.072
CDC25B	-0.793909090909091
BMP3	0.0805
TMEM180	0.856
MAP1LC3C	-0.10625
CRYGC	-0.1435
POU3F1	-1.2701
C20orf32	-1.0365
CCDC95	0.606
HIGD1B	0.463
USP6NL	-0.3855
ABCD4	0.572
DIMT1L	-0.5525
TEK	-1.113125
SLC25A46	-0.5465
LARP7	-1.1615
CD160	-0.4675
MT1JP	2.11283333333333
PHF20	-0.00412500000000002
CPNE4	0.62575
GTPBP1	-0.430142857142857
RAB33B	0.308833333333333
ALDOC	-0.482
ZNF212	0.46575
NUDT1	-0.397166666666667
RFPL2	-1.16075
ZNF83	-4.35633333333333
GDPD5	-2.22575
PDCD4	0.5195
CEP350	-1.307
OR10A2	0.34375
CST7	-1.869
CIAO1	0.151
SELL	-0.085125
OR8J3	1.147
LTBP4	0.556
SIRT6	1.4045
CCL19	0.704
PPIL1	-2.2405
GBP7	0.6615
STK17A	0.0232
ABR	2.993
OR9G1	-0.6055
FOXE1	-0.410625
CNGA3	3.848
GML	0.537
CD38	-3.67325
ZDHHC6	1.08016666666667
NEFH	-3.913
CTDSP2	0.316833333333333
PGBD5	-2.73833333333333
CCNY	1.06892857142857
RMND5B	-0.756333333333333
ZNF257	-3.66
FLJ22167	0.5265
EXOSC7	0.249833333333333
ROR2	-1.5655
