Hybridization REF	TCGA-A8-A0A9-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.815166666666666
CREB3L1	1.0815
RPS11	0.53925
PNMA1	0.51775
MMP2	0.4885
C10orf90	-2.23125
ZHX3	-0.929833333333333
ERCC5	0.04075
GPR98	1.06225
RXFP3	0.363
APBB2	2.78725
PRO0478	-0.565875
KLHL13	-4.04325
PRSSL1	-0.616166666666667
PDCL3	-0.259333333333333
DECR1	-1.513125
SALL1	-3.30733333333333
CADM4	1.1985
RPS18	-0.423214285714286
HNRPD	-0.4385
CFHR5	0.537
SLC10A7	0.4685
OR2K2	0.216
LMAN1	0.1595
SUHW1	-3.667
CHD8	-0.0754
SUMO1	0.3819
GP1BA	-0.2167
DDB1	-0.2915
MYO9B	0.3215
MMP7	5.126
CRNKL1	1.005125
C9orf45	-0.8925
XAB2	0.219125
RTN1	0.701625
KLHL14	-1.819375
TBX10	-1.197
CENPQ	-1.51625
UTY	-1.09230769230769
ZBTB12	0.0265
DTNBP1	0.135
KBTBD8	-1.8175
ZEB1	-0.113666666666667
ZG16	-1.7455
MIER1	0.1026
ADAM5P	0.4925
CHD9	-0.4535625
STK16	0.725
KIAA1486	-0.4135
TOB2	1.09016666666667
BANK1	0.52425
OR2V2	-0.1695
GRM2	0.223833333333333
PROSC	0.368375
SPIN2B	0.6605
PIR	-2.30722222222222
IPO9	-0.0967
EVC	0.499166666666667
CXCL13	1.75366666666667
KIAA1199	-0.1648
SORL1	0.38325
NAT10	-0.20625
CHD1	-0.20175
SYN3	-0.5935
SLC22A2	-0.57175
SERPINF1	1.05883333333333
WDR34	-0.272
OR7A17	0.336
C9orf11	-1.2895
RNF216L	-0.5456
LHB	-0.344
STK25	0.112875
TAOK3	0.058375
LOC152573	-2.985
C3orf39	0.801125
C14orf108	0.4496
CDC25B	-0.922909090909091
BMP3	0.359
TMEM180	-1.1255
MAP1LC3C	-0.163
CRYGC	-0.2845
POU3F1	-1.4967
C20orf32	-1.295
CCDC95	-0.0275
HIGD1B	3.6565
USP6NL	-0.365
ABCD4	-0.3855
DIMT1L	-0.412583333333333
TEK	0.826428571428571
SLC25A46	0.198
LARP7	-1.283
CD160	-0.324666666666667
MT1JP	-0.716
PHF20	0.094625
CPNE4	-2.01525
GTPBP1	-0.201
RAB33B	1.51283333333333
ALDOC	-1.978375
ZNF212	0.09275
NUDT1	-1.54266666666667
RFPL2	-1.08633333333333
ZNF83	-0.0768333333333334
GDPD5	-0.830875
PDCD4	1.10265
CEP350	0.09475
OR10A2	-0.131
CST7	0.39425
CIAO1	-0.87775
SELL	0.26
OR8J3	-0.629
LTBP4	-0.577833333333333
SIRT6	0.62325
CCL19	3.7055
PPIL1	-1.2175
GBP7	0.4825
STK17A	-0.6038
ABR	0.6585
OR9G1	0.9345
FOXE1	-0.68625
CNGA3	-0.5705
GML	0.299
CD38	-3.68375
ZDHHC6	0.340333333333333
NEFH	-2.12725
CTDSP2	0.962583333333333
PGBD5	-1.64166666666667
CCNY	0.0102857142857143
RMND5B	1.20475
ZNF257	-1.0865
FLJ22167	-0.495375
EXOSC7	-0.1645
ROR2	1.87975
MAOA	-1.89425
TNNT3	0.153166666666667
GYPC	-1.123
C7orf33	-0.0985
PLIN	1.685
LOC90826	0.000999999999999999
RNF4	-0.0821
F8A1	0.0861666666666667
PLEKHG4	-0.06
GRB2	-0.02525
HIST1H2AD	0
DUS3L	-0.811166666666667
EIF1	0.3305
RP5-1077B9.4	-0.754833333333333
FPGT	1.0035
GDF10	-1.33566666666667
COQ9	-0.471
GCC2	0.0275714285714285
RARRES3	3.238875
PLXNA1	-0.5209
KIAA0100	-0.5012
PMF1	0.076
FNDC1	5.26375
HS2ST1	-0.212
CRELD2	1.617
C8G	-1.4785
CD82	0.97725
LIM2	-0.867
UNQ6490	1.3805
MMP16	-0.32725
DRD3	0.02675
C5orf26	-0.027
C11orf73	-0.955375
PTP4A2	0.92275
OR4M2	0.636
HPCA	-1.56516666666667
SEC14L1	-1.04333333333333
CHFR	-0.58
EMILIN1	0.792375
NDUFS4	-0.33525
COL18A1	-0.027625
PDZD3	-0.0331
C9orf16	-0.684833333333333
ERBB2IP	1.05466666666667
EMX2	3.45
FUS	0.00949999999999999
TF	-4.0377
CLCN4	-0.814
CXorf56	0.09175
C11orf72	0.17275
ELAC2	-0.36225
NPR1	-1.42675
ASS1	-3.2975
USP42	0.4985
POLR2J	-1.2605
SEC23IP	0.5025
UQCRC1	0.08
LOC729603	-0.41275
C1orf71	0.65725
POLG	-2.1465
ADAM23	-3.14925
TFR2	-1.591
RICTOR	-0.3293
MGC39606	-1.08925
C19orf55	-0.08125
SNAPC1	-1.54166666666667
GNA11	1.102625
CCDC52	0.947333333333333
FSIP1	1.123
UPF3A	-0.455125
IGSF11	-2.475
LAGE3	-0.66175
CHST6	-1.5195
UNC13B	0.766125
TTLL4	-1.386
ZNF687	0.783
SDC2	-0.5128
COX7A2	-0.16375
LAMB4	-0.7275
FAM24A	0.147
LRRTM3	-1.69383333333333
GPHB5	0.031
OR4C13	-0.126
EIF3EIP	-0.252571428571429
HABP4	-0.00650000000000001
TMEM125	4.03325
CNTN2	-0.590571428571429
ASNSD1	-0.33975
FUT4	-0.5695
ACF	-3.64325
LOC158381	1.082
CDH8	-0.72025
AGPS	-0.360833333333333
C4orf18	4.431375
PECI	-0.992416666666667
UNG	-1.265875
GSTP1	-2.6425
DCUN1D5	-1.68066666666667
DKFZP564J0863	-1.07175
SLC9A3R1	1.123
BCDO2	-1.614625
CHMP7	0.66375
REM2	0.5965
DNHD1	-0.494625
FKBP4	0.11625
ZNF350	1.825
MGC11102	0.110875
BST1	0.7405
KISS1R	1.256
NCR2	0.265
DEFB125	0.442
UBE2W	1.167
KRT15	-0.458
C10orf99	0.241
SCN11A	-0.44125
GFI1	-2.44725
RDHE2	4.58583333333333
FHL1	-1.3145
OSGEP	0.0045
GATA1	-3.4305
SMC6	-1.17675
TTTY14	-1.19675
LPIN3	-0.0915
RPL4	-0.3356
RBPMS	0.448
PRPF3	-0.053
EMR1	-2.1715
SPATA19	0.44075
XCR1	0.556
IRX3	2.0439
RBM6	-0.19
KLF4	-0.0318
UNC5CL	-1.01025
SEBOX	-1.31
BTK	-0.62675
KRCC1	-0.0835
C6orf27	0.4585
SYTL5	-0.1295
PRND	0.7735
LOC653319	-1.1415
PIGL	-1.36525
HUS1	-0.134
SFRS6	1.38475
C17orf77	0.0385
UIMC1	0.00866666666666666
FXYD2	-1.8549
LOC283152	-0.5525
ZNF667	-2.0425
ZCCHC12	-1.25875
TFEC	2.6482
ATP7B	-0.04
POLD2	-0.399333333333333
RG9MTD1	0.02325
ACOT2	-0.454166666666667
HIST1H4I	-0.95325
PPARGC1A	-3.0285
ETFA	-2.0613
POLRMT	0.316
ZNF146	0.496
MIA2	-0.9315
KLHL6	-0.779
HOXB5	-0.941625
NENF	0.176166666666667
CUGBP1	0.52175
PRSS22	2.18333333333333
CASC4	1.3465
CUL4B	-0.3232
CENPJ	-1.3672
PITX1	1.664
FLJ31033	1.60483333333333
CELSR3	-0.881
ZNF568	0.862
ITSN1	-0.392083333333333
EHBP1L1	-0.342833333333333
C19orf2	-0.3545
DCTN1	0.0795
LIN28B	-3.65383333333333
TNKS2	-0.2325
C1QBP	-0.82975
CADPS2	1.36325
SRMS	0.16625
GJA9	0.255666666666667
MGC24975	-0.784666666666667
TRIM45	-0.0936666666666667
TSP50	0.76675
TCP1	-1.248
TMED7	0.9468
CMA1	1.4555
CENPL	-0.5155
PTCRA	-0.1275
FST	-3.92375
VWCE	-3.99975
PAWR	-0.68025
ABCC12	0.650833333333333
LDLR	0.2892
ASTN2	0.7016
LOC441212	-0.44675
GPATCH8	0.0795
TANC2	-0.0324166666666667
KIF4A	-1.77375
C18orf18	-1.18925
PGM1	-1.285
KIAA0258	0.74275
CPD	0.65925
SNCAIP	-1.42775
DCT	-4.415
HLA-DOA	2.65777272727273
OR11L1	0.666
UPK1B	-0.474
DNAJB4	-0.784625
UGT1A8	0.2985
HIST1H4L	-0.9035
PECR	-1.44216666666667
HSPA2	-1.11625
WFIKKN1	-0.878
SERP1	0.6955
SYDE2	1.485
TACR2	0.5595
NUP85	-0.26625
CD177	-0.880333333333333
LGR5	-1.93483333333333
PIGG	0.123916666666667
PTHR1	-1.35283333333333
RAB5A	0.3871
FLJ13224	-0.164
USP9Y	-1.80433333333333
C7orf53	-1.274
LRP1B	-0.5685
XAF1	2.6368
ABCG8	0.098
ANKDD1A	-0.614166666666667
DAND5	-1.373
SPAG6	0.3446
LINCR	2.35175
ZDHHC22	-1.728
CCDC60	-0.2315
THOC7	-1.464
TCTA	0.8247
OR8K3	0.03075
NY-REN-7	-0.73225
B2M	1.41583333333333
C6orf141	0.954875
LPPR4	0.439
SQLE	-1.611125
SEPHS1	-0.612
BTBD14B	0.715142857142857
PLRG1	0.031
SPG7	-0.161625
ZNF614	0.104
PARD6G	0.535166666666667
INPP5B	-0.8383
GRPEL2	0.077375
PPID	-0.3085
TRIM56	-0.1975
UBE2J1	-0.569
IL20RA	1.03125
LOC387856	0.4565
C1orf107	1.11083333333333
UTS2R	0.7005
C19orf22	0.72825
SAFB2	0.298625
KIAA0652	0.19275
KLRG1	-1.11366666666667
MS4A8B	0.530666666666667
FRAG1	-0.16
KIAA1546	0.5115
E2F4	-0.9839
CLEC4M	0.0185
BTBD14A	-1.0125
KIAA0999	0.6733
GYPA	-3.63
TAC1	0.9141
TRAIP	-1.10166666666667
KIAA0232	1.37
ERCC8	-0.6265
GPX4	1.296125
KIAA0368	-0.374125
GPR157	-0.471333333333333
CTAGE4	0.5415
C9orf30	-1.51866666666667
OR52A1	0.072
HSP90B3P	0.908
ALG9	-1.1625
BTBD10	0.38325
SDK2	-0.33025
BAIAP3	1.8
RABGGTB	0.081875
ANKRD40	0.095
KRT74	0.278
CALCOCO2	0.553857142857143
SNCA	-3.24125
TMSL8	-3.60425
C2orf53	-0.00799999999999999
ESRRB	-0.13675
ARHGAP26	-0.938
TDRD9	-2.67825
HRAS	0.4805
KLRC4	-2.4625
JAGN1	-0.00116666666666666
BSDC1	0.54725
RNF43	-0.791
NDUFAF1	0.71375
