Hybridization REF	TCGA-A2-A0CM-01A-31R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.120916666666667
CREB3L1	0.30725
RPS11	0.285625
PNMA1	0.14875
MMP2	0.397666666666667
C10orf90	-2.02925
ZHX3	-0.471
ERCC5	-0.698
GPR98	-2.59114285714286
RXFP3	0.452
APBB2	0.00574999999999999
PRO0478	-1.079625
KLHL13	0.47825
PRSSL1	-0.9905
PDCL3	0.958333333333333
DECR1	0.40275
SALL1	-3.615
CADM4	-0.964833333333333
RPS18	-0.189357142857143
HNRPD	-0.291083333333333
CFHR5	0.1095
SLC10A7	0.2465
OR2K2	0.0005
LMAN1	-0.353
SUHW1	-4.237
CHD8	-0.2268
SUMO1	0.6248
GP1BA	0.6927
DDB1	-0.696166666666667
MYO9B	0.2915
MMP7	8.576
CRNKL1	0.573
C9orf45	-1.78033333333333
XAB2	-0.20925
RTN1	1.010875
KLHL14	-1.295125
TBX10	-1.248
CENPQ	-0.76025
UTY	-1.42157142857143
ZBTB12	-0.029
DTNBP1	0.108375
KBTBD8	0.130333333333333
ZEB1	-0.327166666666667
ZG16	-2.09525
MIER1	0.6327
ADAM5P	-0.064
CHD9	-0.1581875
STK16	1.197
KIAA1486	-0.5745
TOB2	0.71525
BANK1	3.549
OR2V2	0.52875
GRM2	0.157166666666667
PROSC	0.202875
SPIN2B	0.59375
PIR	-1.15266666666667
IPO9	-0.0942
EVC	-0.286
CXCL13	6.83583333333333
KIAA1199	0.0955
SORL1	-0.3465
NAT10	0.0695
CHD1	-0.483
SYN3	-0.71675
SLC22A2	0.24775
SERPINF1	0.997666666666667
WDR34	0.066
OR7A17	0.336
C9orf11	0.073
RNF216L	-0.0346
LHB	0.048
STK25	0.168375
TAOK3	0.819
LOC152573	-3.19675
C3orf39	-0.282
C14orf108	0.2113
CDC25B	1.13009090909091
BMP3	0.169
TMEM180	0.118
MAP1LC3C	-0.371
CRYGC	-0.548
POU3F1	-0.874
C20orf32	-1.184
CCDC95	-0.265
HIGD1B	3.5435
USP6NL	1.872875
ABCD4	-0.903166666666667
DIMT1L	-0.506666666666667
TEK	0.885125
SLC25A46	-1.16175
LARP7	-1.3428
CD160	0.506166666666667
MT1JP	-0.118833333333333
PHF20	-0.2736875
CPNE4	-1.81725
GTPBP1	-0.352571428571429
RAB33B	0.988666666666667
ALDOC	-2.44825
ZNF212	-0.4345
NUDT1	-0.304
RFPL2	-0.10125
ZNF83	-1.08983333333333
GDPD5	-0.86725
PDCD4	1.1585
CEP350	0.2035
OR10A2	0.266
CST7	2.1355
CIAO1	0.2625
SELL	2.1425
OR8J3	0.629
LTBP4	-0.527
SIRT6	0.007
CCL19	4.9025
PPIL1	-0.424
GBP7	-0.136333333333333
STK17A	-0.7119
ABR	-0.679
OR9G1	-0.1975
FOXE1	-0.98625
CNGA3	0.087
GML	0.53
CD38	0.74025
ZDHHC6	0.438166666666667
NEFH	-2.18975
CTDSP2	0.21325
PGBD5	2.3445
CCNY	0.810071428571429
RMND5B	-0.649333333333333
ZNF257	-2.48025
FLJ22167	0.16275
EXOSC7	-0.596
ROR2	0.674125
MAOA	-1.84325
TNNT3	0.354166666666667
GYPC	-0.71425
C7orf33	0.9815
PLIN	1.11283333333333
LOC90826	-0.08025
RNF4	0.1483
F8A1	1.2035
PLEKHG4	-0.96075
GRB2	0.1032
HIST1H2AD	0.583
DUS3L	-0.987
EIF1	-0.366
RP5-1077B9.4	0.6315
FPGT	1.26275
GDF10	-0.342333333333333
COQ9	-0.299
GCC2	-0.246928571428571
RARRES3	2.097875
PLXNA1	0.1295
KIAA0100	-0.6108
PMF1	0.7355
FNDC1	5.6255
HS2ST1	-0.3545
CRELD2	0.85125
C8G	-1.355
CD82	0.6995
LIM2	-0.6755
UNQ6490	-0.6015
MMP16	0.1185
DRD3	0.17075
C5orf26	-1.32325
C11orf73	-0.25575
PTP4A2	0.40075
OR4M2	0.3975
HPCA	-0.890833333333333
SEC14L1	-0.605333333333333
CHFR	0.751875
EMILIN1	1.23225
NDUFS4	-0.93425
COL18A1	-0.50225
PDZD3	0.1068
C9orf16	-0.6575
ERBB2IP	-0.126333333333333
EMX2	3.3085
FUS	-0.8005
TF	-3.9523
CLCN4	1.131
CXorf56	0.5665
C11orf72	0.56525
ELAC2	-0.11475
NPR1	-1.38925
ASS1	-0.463333333333333
USP42	0.476875
POLR2J	-0.5785
SEC23IP	0.538333333333333
UQCRC1	-0.0875
LOC729603	0.06275
C1orf71	-0.61825
POLG	-1.259
ADAM23	-3.502
TFR2	-0.72475
RICTOR	-1.3085
MGC39606	-0.11925
C19orf55	-0.063125
SNAPC1	-0.824833333333333
GNA11	0.308375
CCDC52	-0.163833333333333
FSIP1	-0.5905
UPF3A	-0.34775
IGSF11	-2.493
LAGE3	1.1295
CHST6	-1.3355
UNC13B	0.0195
TTLL4	1.159125
ZNF687	0.02875
SDC2	-0.3334
COX7A2	-0.324
LAMB4	-0.24075
FAM24A	0.3495
LRRTM3	-1.2095
GPHB5	0.14025
OR4C13	-0.119
EIF3EIP	-0.101
HABP4	-0.2715
TMEM125	2.7625
CNTN2	-0.075375
ASNSD1	-0.1645
FUT4	0.210625
ACF	-3.806
