Hybridization REF	TCGA-E2-A15T-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.849333333333333
CREB3L1	0.3375
RPS11	-0.438625
PNMA1	1.00925
MMP2	0.123
C10orf90	-1.7595
ZHX3	-1.26566666666667
ERCC5	-0.1075
GPR98	-0.2995
RXFP3	-0.0085
APBB2	1.33375
PRO0478	-0.832625
KLHL13	-2.3525
PRSSL1	-1.02266666666667
PDCL3	0.807333333333333
DECR1	0.42975
SALL1	-4.93566666666667
CADM4	0.345666666666667
RPS18	-0.601142857142857
HNRPD	0.164416666666667
CFHR5	1.6336
SLC10A7	0.14475
OR2K2	0.424
LMAN1	-0.69175
SUHW1	-2.93125
CHD8	0.8093
SUMO1	0.1583
GP1BA	0.2735
DDB1	1.36066666666667
MYO9B	-0.3854
MMP7	5.62725
CRNKL1	1.69325
C9orf45	-0.614833333333333
XAB2	1.17325
RTN1	1.44628571428571
KLHL14	-0.421
TBX10	-0.6265
CENPQ	-1.16475
UTY	-1.28185714285714
ZBTB12	-0.0475
DTNBP1	-0.543875
KBTBD8	-2.458
ZEB1	-0.403
ZG16	0.092
MIER1	0.1488
ADAM5P	1.2185
CHD9	-0.0956875
STK16	0.66475
KIAA1486	0.003
TOB2	-0.447833333333333
BANK1	3.272
OR2V2	0.40575
GRM2	0.117333333333333
PROSC	1.519125
SPIN2B	0.063
PIR	-2.04766666666667
IPO9	0.1903
EVC	-1.30483333333333
CXCL13	3.42633333333333
KIAA1199	-0.8212
SORL1	0.21525
NAT10	-0.09625
CHD1	-0.26475
SYN3	-0.6765
SLC22A2	-0.28325
SERPINF1	-0.597666666666667
WDR34	-0.2725
OR7A17	0.47675
C9orf11	-0.0655
RNF216L	-0.63
LHB	-0.6025
STK25	-0.216
TAOK3	0.367
LOC152573	-2.59025
C3orf39	1.013
C14orf108	0.6954
CDC25B	-1.48027272727273
BMP3	0.3935
TMEM180	0.1675
MAP1LC3C	0.277
CRYGC	-0.127
POU3F1	-1.4367
C20orf32	-1.0155
CCDC95	-0.2265
HIGD1B	3.18275
USP6NL	-0.00749999999999999
ABCD4	-0.455333333333333
DIMT1L	-0.68475
TEK	0.864
SLC25A46	-0.59625
LARP7	-1.6504
CD160	0.262333333333333
MT1JP	-1.0275
PHF20	0.33075
CPNE4	-1.508
GTPBP1	-0.305357142857143
RAB33B	1.34566666666667
ALDOC	-3.476125
ZNF212	-0.42125
NUDT1	-1.63366666666667
RFPL2	-1.0065
ZNF83	0.483833333333333
GDPD5	-1.629375
PDCD4	0.89895
CEP350	1.2305
OR10A2	-0.065
CST7	-0.157
CIAO1	-1.5295
SELL	0.90975
OR8J3	1.0675
LTBP4	-0.299166666666667
SIRT6	-0.01375
CCL19	3.77275
PPIL1	-1.06533333333333
GBP7	0.348833333333333
STK17A	-1.0168
ABR	-0.47475
OR9G1	-0.2885
FOXE1	-0.41075
CNGA3	-0.0635
GML	0.452
CD38	-2.59475
ZDHHC6	0.693166666666667
NEFH	-3.8345
CTDSP2	1.27108333333333
PGBD5	-1.58866666666667
CCNY	0.5205
RMND5B	0.720583333333333
ZNF257	0.14475
FLJ22167	0.592125
EXOSC7	-0.447
ROR2	0.044875
MAOA	-0.658125
