Hybridization REF	TCGA-BH-A0B8-11A-41R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.47525
CREB3L1	-0.0235
RPS11	0.128875
PNMA1	1.26325
MMP2	0.644666666666667
C10orf90	0.18325
ZHX3	0.55
ERCC5	0.4855
GPR98	-2.033375
RXFP3	0.33
APBB2	2.17525
PRO0478	-0.22225
KLHL13	-1.1885
PRSSL1	-0.0828333333333333
PDCL3	-0.193333333333333
DECR1	1.35475
SALL1	-2.37433333333333
CADM4	-0.8795
RPS18	-0.370285714285714
HNRPD	-0.363333333333333
CFHR5	0.172333333333333
SLC10A7	0.1925
OR2K2	0.595
LMAN1	-1.29625
SUHW1	-3.523
CHD8	-0.7628
SUMO1	-0.2159
GP1BA	0.0282
DDB1	-0.043
MYO9B	-0.2905
MMP7	3.7375
CRNKL1	-0.055625
C9orf45	-0.8595
XAB2	0.304125
RTN1	2.30825
KLHL14	-0.660625
TBX10	-0.986
CENPQ	-1.66375
UTY	-1.12707142857143
ZBTB12	0.022
DTNBP1	-0.164875
KBTBD8	-1.53583333333333
ZEB1	1.5585
ZG16	0.05
MIER1	0.2361
ADAM5P	0.0375
CHD9	0.259875
STK16	-1.20825
KIAA1486	-0.3295
TOB2	1.56858333333333
BANK1	5.28
OR2V2	0.1305
GRM2	0.0373333333333333
PROSC	1.75625
SPIN2B	0.32725
PIR	-0.167777777777778
IPO9	-0.6814
EVC	0.887666666666667
CXCL13	0.2715
KIAA1199	-3.1096
SORL1	-1.1275
NAT10	-1.0195
CHD1	-1.13425
SYN3	0.62725
SLC22A2	0.12375
SERPINF1	3.12033333333333
WDR34	-2.2945
OR7A17	0.25375
C9orf11	0.1565
RNF216L	-0.4023
LHB	-0.031
STK25	0.25375
TAOK3	0.6695
LOC152573	0.41125
C3orf39	0.29025
C14orf108	0.5941
CDC25B	-1.72345454545455
BMP3	1.443
TMEM180	0.12
MAP1LC3C	3.268
CRYGC	-0.483
POU3F1	-1.5665
C20orf32	-1.3785
CCDC95	-0.667
HIGD1B	4.74425
USP6NL	-0.00612500000000001
ABCD4	0.128333333333333
DIMT1L	-0.613333333333333
TEK	3.3725
SLC25A46	0.3475
LARP7	-2.0604
CD160	0.605166666666667
MT1JP	0.043
PHF20	-0.308
CPNE4	-0.23375
GTPBP1	-0.114
RAB33B	1.751
ALDOC	0.197
ZNF212	-0.488
NUDT1	-1.452
RFPL2	-1.40925
ZNF83	-0.170666666666667
GDPD5	2.7845
PDCD4	1.1792
CEP350	-0.13075
OR10A2	0.28375
CST7	0.38225
CIAO1	-0.78075
SELL	0.378875
OR8J3	0.0255
LTBP4	1.44466666666667
SIRT6	-0.81825
CCL19	4.1055
PPIL1	-2.11633333333333
GBP7	0.268
STK17A	-0.9152
ABR	0.53975
OR9G1	0.9425
FOXE1	-0.485625
CNGA3	0.019
GML	0.4415
CD38	-2.3585
ZDHHC6	-0.0421666666666667
NEFH	-3.3385
CTDSP2	1.67358333333333
PGBD5	-1.0105
CCNY	0.533428571428571
RMND5B	0.631333333333333
ZNF257	-2.31225
FLJ22167	0.1645
EXOSC7	-0.782166666666667
ROR2	-0.395625
MAOA	5.131
TNNT3	4.41883333333333
GYPC	1.8905
C7orf33	0.8495
PLIN	5.0685
LOC90826	0.08125
RNF4	-0.477
F8A1	1.17883333333333
PLEKHG4	-1.94075
GRB2	0.15425
HIST1H2AD	-1.81675
DUS3L	-0.565666666666667
EIF1	1.137
RP5-1077B9.4	-0.539666666666667
FPGT	0.987
GDF10	4.10783333333333
COQ9	0.53875
GCC2	-0.237928571428571
RARRES3	0.981
PLXNA1	-0.3711
KIAA0100	0.1201
PMF1	-0.56475
FNDC1	4.64925
HS2ST1	-0.0726666666666666
CRELD2	-0.1585
C8G	-1.9495
CD82	0.776
LIM2	-0.816
UNQ6490	-0.3345
MMP16	-0.10625
DRD3	0.07325
C5orf26	-0.64625
C11orf73	0.11475
PTP4A2	0.605375
OR4M2	0.308
HPCA	-0.3125
SEC14L1	0.28
CHFR	-0.403875
EMILIN1	0.963375
NDUFS4	0.78
COL18A1	0.322
PDZD3	0.4818
C9orf16	-0.299833333333333
ERBB2IP	-0.656
EMX2	4.9455
FUS	-1.60875
TF	-1.5324
CLCN4	1.7355
CXorf56	0.205
C11orf72	0.2975
ELAC2	0.05525
NPR1	3.89475
ASS1	0.633833333333333
USP42	-0.72275
POLR2J	-0.7155
SEC23IP	0.145833333333333
UQCRC1	0.243
LOC729603	0.80925
C1orf71	-0.702125
POLG	-3.345
ADAM23	-3.34375
TFR2	-1.63175
RICTOR	-0.5588
MGC39606	1.9135
C19orf55	-0.625875
SNAPC1	-0.954666666666667
GNA11	1.215875
CCDC52	-1.587
FSIP1	-1.0385
UPF3A	0.194875
IGSF11	-1.9954
LAGE3	-1.46625
CHST6	-4.103
UNC13B	1.4345
TTLL4	-2.0605
ZNF687	0.295875
SDC2	1.2642
COX7A2	0.089
LAMB4	-0.20925
FAM24A	0.505
LRRTM3	-0.413666666666667
GPHB5	0.21575
OR4C13	0.0755
EIF3EIP	0.086
HABP4	1.928
TMEM125	-1.76475
CNTN2	0.94675
ASNSD1	-0.053
FUT4	0.459375
ACF	-3.7855
LOC158381	0.968
CDH8	-0.2975
AGPS	-0.647333333333333
C4orf18	3.493375
PECI	0.349416666666667
UNG	-0.47475
GSTP1	-0.361125
DCUN1D5	-1.50883333333333
DKFZP564J0863	-1.21475
SLC9A3R1	-1.501625
BCDO2	0.029875
CHMP7	0.444375
REM2	0.0105
DNHD1	-0.36925
FKBP4	-1.73675
ZNF350	0.93425
MGC11102	-0.368625
BST1	3.0185
KISS1R	0.7285
NCR2	-0.112
DEFB125	0.202
UBE2W	0.77975
KRT15	1.80525
C10orf99	0.0135
SCN11A	1.103125
GFI1	-3.14325
RDHE2	0.201333333333333
FHL1	4.30083333333333
OSGEP	-0.6665
GATA1	-3.63566666666667
SMC6	-1.85775
TTTY14	-0.94525
LPIN3	0.141
RPL4	-0.0857
RBPMS	1.6742
PRPF3	-0.661166666666667
EMR1	-2.4085
SPATA19	-0.07325
XCR1	-0.1525
IRX3	-0.204
RBM6	-0.2685
KLF4	2.4945
UNC5CL	-2.04825
SEBOX	0.318
BTK	-0.534
KRCC1	1.434
C6orf27	0.0895
SYTL5	-0.604
PRND	1.150125
LOC653319	-1.49
PIGL	-0.98925
HUS1	-0.382666666666667
SFRS6	-0.7765
C17orf77	0.5495
UIMC1	-0.2475
FXYD2	-1.2441
LOC283152	0.824
ZNF667	-0.6095
ZCCHC12	-1.13525
TFEC	1.943
ATP7B	0.208166666666667
POLD2	-0.925666666666667
RG9MTD1	-0.70925
ACOT2	3.24616666666667
HIST1H4I	-1.96275
PPARGC1A	-0.0293
ETFA	0.4108
POLRMT	-0.3375
ZNF146	-1.26275
MIA2	-1.583
KLHL6	-1.18116666666667
HOXB5	-0.112
NENF	0.202
CUGBP1	-1.21575
PRSS22	-0.849
CASC4	0.5109
CUL4B	-0.1132
CENPJ	-1.692
PITX1	-1.7885
FLJ31033	0.473666666666667
CELSR3	-2.73783333333333
ZNF568	0.54925
ITSN1	1.80033333333333
EHBP1L1	-0.612833333333333
C19orf2	-0.57275
DCTN1	0.60825
LIN28B	-3.324
TNKS2	-0.7745
C1QBP	-1.552875
CADPS2	0.1745
SRMS	-0.26375
GJA9	0.0678333333333333
MGC24975	-2.0055
TRIM45	-1.6725
TSP50	-0.031
TCP1	-0.769
TMED7	-0.0907
CMA1	2.231
CENPL	-2.08933333333333
PTCRA	-0.456
FST	-3.19775
VWCE	-1.735
PAWR	-2.013
ABCC12	-0.294333333333333
LDLR	-1.2601
