Hybridization REF	TCGA-A2-A0D2-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.360833333333333
CREB3L1	0.1715
RPS11	1.46475
PNMA1	-0.26525
MMP2	0.222666666666667
C10orf90	-2.53675
ZHX3	-0.368166666666667
ERCC5	0.17325
GPR98	-1.780125
RXFP3	0.8085
APBB2	0.09975
PRO0478	-1.051625
KLHL13	0.55575
PRSSL1	-0.828333333333333
PDCL3	-0.0121666666666667
DECR1	0.13925
SALL1	-3.42983333333333
CADM4	1.08766666666667
RPS18	0.204714285714286
HNRPD	-0.1635
CFHR5	0.193333333333333
SLC10A7	-0.00687499999999998
OR2K2	0.2795
LMAN1	0.624375
SUHW1	-3.20175
CHD8	0.1858
SUMO1	0.7451
GP1BA	0.8504
DDB1	0.266166666666667
MYO9B	0.6004
MMP7	8.56325
CRNKL1	0.00475
C9orf45	-1.42333333333333
XAB2	0.418125
RTN1	1.235125
KLHL14	-1.105625
TBX10	-1.114
CENPQ	-1.715
UTY	-1.452
ZBTB12	0.00899999999999999
DTNBP1	0.4975
KBTBD8	-1.05133333333333
ZEB1	-0.0263333333333333
ZG16	-1.77375
MIER1	1.1326
ADAM5P	0.151
CHD9	-0.47575
STK16	0.6425
KIAA1486	-0.539
TOB2	0.494333333333333
BANK1	4.1745
OR2V2	0.26125
GRM2	0.0213333333333333
PROSC	0.222375
SPIN2B	0.70025
PIR	0.896111111111111
IPO9	-0.3572
EVC	0.689333333333333
CXCL13	7.01466666666667
KIAA1199	-1.1613
SORL1	-0.946
NAT10	1.126
CHD1	-0.773
SYN3	-0.54625
SLC22A2	-0.321
SERPINF1	0.7
WDR34	1.19525
OR7A17	0.428
C9orf11	0.722
RNF216L	-0.3939
LHB	0.038
STK25	-0.048
TAOK3	0.45325
LOC152573	-3.0205
C3orf39	0.489125
C14orf108	-0.2399
CDC25B	-0.0600909090909091
BMP3	-0.048
TMEM180	-0.0235
MAP1LC3C	-0.09975
CRYGC	-0.146
POU3F1	-1.2102
C20orf32	-1.3965
CCDC95	-0.3445
HIGD1B	3.555
USP6NL	1.390125
ABCD4	-0.889333333333333
DIMT1L	-0.136833333333333
TEK	1.223375
SLC25A46	-0.59575
LARP7	-1.5253
CD160	0.6775
MT1JP	0.475833333333333
PHF20	-0.65125
CPNE4	-2.20875
GTPBP1	-0.0645714285714285
RAB33B	0.807833333333333
ALDOC	-2.606375
ZNF212	0.6965
NUDT1	-0.761666666666667
RFPL2	-1.43625
ZNF83	-0.660333333333333
GDPD5	0.144625
PDCD4	1.66185
CEP350	-0.744
OR10A2	0.16425
CST7	2.395
CIAO1	-0.76225
SELL	1.894
OR8J3	0.1305
LTBP4	-0.992833333333333
SIRT6	-0.27575
CCL19	5.3145
PPIL1	0.403833333333333
GBP7	0.0283333333333333
STK17A	-1.0853
ABR	-0.734
OR9G1	-0.281
FOXE1	-0.877125
CNGA3	-0.619
GML	0.582
CD38	-0.24975
ZDHHC6	0.458333333333333
NEFH	-1.3955
CTDSP2	0.163
PGBD5	-2.68833333333333
CCNY	0.8835
RMND5B	-0.5905
ZNF257	-0.683
FLJ22167	1.277625
EXOSC7	-0.385833333333333
ROR2	0.5775
MAOA	-0.88425
TNNT3	0.6805
GYPC	0.05225
C7orf33	0.7415
PLIN	2.09383333333333
LOC90826	-0.44675
RNF4	-0.6391
F8A1	0.4135
PLEKHG4	-1.154
GRB2	-0.2114
HIST1H2AD	-0.884
DUS3L	0.135166666666667
EIF1	-0.926833333333333
RP5-1077B9.4	-0.5765
FPGT	1.10775
GDF10	-0.408333333333333
COQ9	-0.48525
GCC2	-0.546714285714286
RARRES3	1.284875
PLXNA1	-0.1368
KIAA0100	-0.2285
PMF1	0.4755
FNDC1	5.59075
HS2ST1	0.417583333333333
CRELD2	0.55025
C8G	-0.5805
CD82	1.97425
LIM2	-1.159
UNQ6490	0.315
MMP16	-0.299
DRD3	0.3535
C5orf26	-1.33325
C11orf73	-0.470625
PTP4A2	-0.24675
OR4M2	0.141
HPCA	-1.491
SEC14L1	-0.380333333333333
CHFR	-0.225375
EMILIN1	1.01325
NDUFS4	-0.89725
COL18A1	-0.199875
PDZD3	-0.1611
C9orf16	-0.382166666666667
ERBB2IP	-0.0936666666666667
EMX2	2.87075
FUS	-1.0385
TF	-3.3966
CLCN4	2.099
CXorf56	0.881
C11orf72	0.3425
ELAC2	-0.55725
NPR1	-0.2935
ASS1	-0.764333333333333
USP42	-0.566375
POLR2J	0.6465
SEC23IP	0.980666666666667
UQCRC1	-0.03225
LOC729603	-0.78675
C1orf71	0.02075
POLG	-0.0955
ADAM23	-3.4455
TFR2	-1.43125
RICTOR	-1.4385
MGC39606	-0.10325
C19orf55	-0.183
SNAPC1	-0.353
GNA11	0.47875
CCDC52	-0.287833333333333
FSIP1	-0.7785
UPF3A	0.514875
IGSF11	-2.76616666666667
LAGE3	0.19025
CHST6	2.566
UNC13B	-0.346125
TTLL4	0.351375
ZNF687	0.140375
SDC2	0.6731
COX7A2	-0.33075
LAMB4	-0.034
FAM24A	-0.1045
LRRTM3	-1.25
GPHB5	0.1695
OR4C13	0.5115
EIF3EIP	0.767428571428572
HABP4	0.4275
TMEM125	2.92625
CNTN2	-0.35425
ASNSD1	0.05175
FUT4	0.2475
ACF	-3.965
LOC158381	0.859
CDH8	-0.32875
AGPS	-1.13183333333333
C4orf18	1.10125
PECI	-2.2195
UNG	0.17125
GSTP1	0.586875
DCUN1D5	-0.504333333333333
DKFZP564J0863	0.28925
SLC9A3R1	-0.52925
BCDO2	-1.036875
CHMP7	-0.6005
REM2	-0.2235
DNHD1	-0.689625
FKBP4	-1.083125
ZNF350	0.6115
MGC11102	0.515875
BST1	1.03575
KISS1R	0.5905
NCR2	-0.137
DEFB125	-0.0325
UBE2W	0.6955
KRT15	2.491625
C10orf99	0.487
SCN11A	0.163
GFI1	-0.91725
RDHE2	-0.437833333333333
FHL1	-2.15116666666667
OSGEP	1.17316666666667
GATA1	-3.40483333333333
SMC6	-0.12125
TTTY14	-1.024
LPIN3	-0.438
RPL4	0.3388
RBPMS	-0.3363
PRPF3	-0.0838333333333333
EMR1	-1.9925
SPATA19	0.2665
XCR1	0.6865
IRX3	1.3326
RBM6	-1.05875
KLF4	-0.9284
UNC5CL	-1.72825
SEBOX	0.407
BTK	-0.79025
KRCC1	0.39125
C6orf27	0.183
SYTL5	-0.9125
PRND	1.0135
LOC653319	-1.256
PIGL	-0.491375
HUS1	0.811166666666667
SFRS6	-1.36283333333333
C17orf77	0.177
UIMC1	-0.522
FXYD2	-1.7737
LOC283152	-0.47025
