Hybridization REF	TCGA-E2-A10C-01A-21R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.243
CREB3L1	2.021
RPS11	0.347125
PNMA1	0.32775
MMP2	-0.5795
C10orf90	-1.9005
ZHX3	0.1485
ERCC5	0.29675
GPR98	0.589875
RXFP3	0.4405
APBB2	0.06225
PRO0478	-0.231625
KLHL13	-4.23075
PRSSL1	-0.789333333333333
PDCL3	0.281666666666667
DECR1	0.925
SALL1	-4.1395
CADM4	1.635
RPS18	0.160285714285714
HNRPD	-0.53725
CFHR5	0.348166666666667
SLC10A7	-0.2025
OR2K2	0.3375
LMAN1	-1.4475
SUHW1	-3.5525
CHD8	0.6608
SUMO1	0.5931
GP1BA	0.5782
DDB1	-0.0856666666666667
MYO9B	-0.0256
MMP7	2.36925
CRNKL1	-0.025875
C9orf45	-0.646166666666667
XAB2	-0.0745
RTN1	1.75
KLHL14	-1.5045
TBX10	2.998
CENPQ	-1.39725
UTY	-0.841692307692308
ZBTB12	-0.1085
DTNBP1	0.546625
KBTBD8	-1.76483333333333
ZEB1	0.921166666666667
ZG16	1.88
MIER1	0.2177
ADAM5P	-0.2695
CHD9	-0.0176875
STK16	1.28425
KIAA1486	-0.1095
TOB2	0.744083333333333
BANK1	3.72575
OR2V2	0.41275
GRM2	0.1625
PROSC	0.404625
SPIN2B	-0.697
PIR	-0.549111111111111
IPO9	0.0853
EVC	-0.0371666666666667
CXCL13	4.86
KIAA1199	-0.8544
SORL1	1.582
NAT10	-0.1285
CHD1	-0.195
SYN3	-0.14775
SLC22A2	0.307
SERPINF1	1.056
WDR34	0.45375
OR7A17	0.21025
C9orf11	-0.3025
RNF216L	-0.0131
LHB	0.1835
STK25	-0.5535
TAOK3	1.12225
LOC152573	-2.918
C3orf39	-0.690625
C14orf108	0.2967
CDC25B	-1.76590909090909
BMP3	0.3205
TMEM180	-0.147
MAP1LC3C	-0.39125
CRYGC	-0.549
POU3F1	-0.9113
C20orf32	-0.9215
CCDC95	0.6175
HIGD1B	2.2855
USP6NL	0.22825
ABCD4	0.395333333333333
DIMT1L	-1.42075
TEK	0.902125
