Hybridization REF	TCGA-A2-A04N-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.486
CREB3L1	1.18425
RPS11	0.50475
PNMA1	0.53325
MMP2	0.583
C10orf90	-1.649
ZHX3	-0.183666666666667
ERCC5	0.46675
GPR98	0.383625
RXFP3	0.261
APBB2	2.46725
PRO0478	-0.86325
KLHL13	-0.9095
PRSSL1	0.185666666666667
PDCL3	0.702833333333333
DECR1	1.245375
SALL1	-2.16316666666667
CADM4	0.0283333333333333
RPS18	0.170214285714286
HNRPD	-0.577083333333333
CFHR5	0.512666666666667
SLC10A7	0.899
OR2K2	0.0165
LMAN1	-1.004375
SUHW1	-3.02725
CHD8	0.6026
SUMO1	0.9808
GP1BA	1.4973
DDB1	-0.428166666666667
MYO9B	-0.8298
MMP7	6.0935
CRNKL1	1.1205
C9orf45	-1.0935
XAB2	-0.0895
RTN1	1.749125
KLHL14	-0.54875
TBX10	-1.129
CENPQ	-1.19975
UTY	-1.07935714285714
ZBTB12	-0.5645
DTNBP1	0.14825
KBTBD8	-0.851666666666667
ZEB1	1.482
ZG16	0.5855
MIER1	1.3909
ADAM5P	0.7895
CHD9	0.623
STK16	-0.236
KIAA1486	-0.129
TOB2	0.116583333333333
BANK1	4.59675
OR2V2	0.468
GRM2	0.133333333333333
PROSC	0.1125
SPIN2B	0.98025
PIR	-2.867
IPO9	-0.8835
EVC	1.35033333333333
CXCL13	5.83583333333333
KIAA1199	-0.0593
SORL1	1.78425
NAT10	-1.2715
CHD1	-0.05475
SYN3	-0.263
SLC22A2	0.034
SERPINF1	0.817666666666667
WDR34	-1.00625
OR7A17	0.216
C9orf11	-0.1625
RNF216L	-0.1925
LHB	-0.349
STK25	-2.019375
TAOK3	1.35575
LOC152573	-2.18675
C3orf39	0.295
C14orf108	1.0055
CDC25B	-2.31154545454545
BMP3	0.181
TMEM180	-0.212
MAP1LC3C	0.22575
CRYGC	-0.819
POU3F1	-1.2032
