Hybridization REF	TCGA-A8-A07F-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.439833333333333
CREB3L1	1.88225
RPS11	0.055625
PNMA1	-0.026
MMP2	0.970166666666667
C10orf90	-3.2575
ZHX3	-0.194333333333333
ERCC5	-0.73925
GPR98	-0.200375
RXFP3	0.2415
APBB2	1.30125
PRO0478	-0.717125
KLHL13	-0.76075
PRSSL1	-0.947
PDCL3	0.130833333333333
DECR1	1.240625
SALL1	-4.01333333333333
CADM4	1.5525
RPS18	0.0905714285714286
HNRPD	-0.524416666666667
CFHR5	0.685333333333333
SLC10A7	0.163857142857143
OR2K2	0.1705
LMAN1	-1.09125
SUHW1	-3.86025
CHD8	-0.187
SUMO1	0.4013
GP1BA	0.2314
DDB1	0.104
MYO9B	-0.0337
MMP7	5.3955
CRNKL1	0.7565
C9orf45	-1.35383333333333
XAB2	0.138875
RTN1	2.769875
KLHL14	-1.358375
TBX10	-0.4045
CENPQ	-1.38675
UTY	-1.56146153846154
ZBTB12	0.229
DTNBP1	0.62625
KBTBD8	-1.4485
ZEB1	-0.0393333333333333
ZG16	-1.5075
MIER1	-0.0911
ADAM5P	0.182
CHD9	-0.843875
STK16	1.5015
KIAA1486	-0.181
TOB2	0.528583333333333
BANK1	2.36425
OR2V2	0.03625
GRM2	0.0531666666666667
PROSC	0.22
SPIN2B	0.4095
PIR	-2.20511111111111
IPO9	0.2742
EVC	0.562666666666667
CXCL13	3.4515
KIAA1199	-1.8558
SORL1	1.03225
NAT10	0.0615
CHD1	-1.02775
SYN3	-1.52925
SLC22A2	-0.38025
SERPINF1	0.367333333333333
WDR34	0.4235
OR7A17	0.516
C9orf11	-0.91
RNF216L	-0.1655
LHB	-0.148
STK25	-0.531
TAOK3	1.479125
LOC152573	-2.75925
C3orf39	0.3755
C14orf108	0.4422
CDC25B	-2.01727272727273
BMP3	0.444
TMEM180	0.4115
MAP1LC3C	0.61975
CRYGC	0.1795
POU3F1	-1.4102
C20orf32	-1.5385
CCDC95	-0.2445
HIGD1B	4.49125
USP6NL	0.124875
ABCD4	-0.355
DIMT1L	-0.650916666666667
TEK	0.67175
SLC25A46	-0.20075
LARP7	-1.3837
CD160	0.0426666666666667
MT1JP	-1.50666666666667
PHF20	0.590375
CPNE4	-2.04775
GTPBP1	-0.480428571428571
RAB33B	1.41266666666667
ALDOC	-2.644875
ZNF212	0.07375
NUDT1	-0.391833333333333
RFPL2	0.29225
ZNF83	0.559166666666667
GDPD5	-0.705875
PDCD4	1.8978
CEP350	0.3045
OR10A2	-0.227
CST7	0.95675
CIAO1	-1.112
SELL	0.781
OR8J3	0.252
LTBP4	-0.661666666666667
SIRT6	-0.0035
CCL19	2.91925
PPIL1	-0.356833333333333
GBP7	-0.0131666666666667
STK17A	-0.8536
ABR	0.466
OR9G1	-0.938
FOXE1	-0.558875
CNGA3	0.1475
GML	-0.1195
CD38	-2.1825
ZDHHC6	-0.0701666666666667
NEFH	-2.37775
CTDSP2	0.464583333333333
PGBD5	-1.2635
CCNY	-0.0129285714285714
RMND5B	0.311416666666667
ZNF257	-1.021
FLJ22167	-0.154375
EXOSC7	-0.617833333333333
ROR2	2.3005
MAOA	-2.341875
TNNT3	0.291833333333333
GYPC	-0.99275
C7orf33	0.7085
PLIN	1.55166666666667
LOC90826	-0.1425
RNF4	0.00569999999999999
F8A1	0.843333333333333
PLEKHG4	-2.18325
GRB2	0.2253
HIST1H2AD	-0.201
DUS3L	-0.524333333333333
EIF1	-0.265166666666667
RP5-1077B9.4	-1.04466666666667
FPGT	1.601
GDF10	-0.762666666666667
COQ9	-0.141
GCC2	-0.885785714285714
RARRES3	3.39075
PLXNA1	-0.6546
KIAA0100	0.0796
PMF1	0.4555
