Hybridization REF	TCGA-A8-A076-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.427583333333333
CREB3L1	1.62675
RPS11	-0.425
PNMA1	0.4815
MMP2	0.822666666666667
C10orf90	-1.95925
ZHX3	-0.0283333333333333
ERCC5	-0.32325
GPR98	-0.109857142857143
RXFP3	0.5345
APBB2	2.37625
PRO0478	-0.675875
KLHL13	-1.74925
PRSSL1	-0.847
PDCL3	1.09316666666667
DECR1	1.1845
SALL1	-2.70766666666667
CADM4	-0.2085
RPS18	-0.0957142857142857
HNRPD	-0.561916666666667
CFHR5	0.7628
SLC10A7	0.2185
OR2K2	-0.2425
LMAN1	0.320625
SUHW1	-3.92275
CHD8	0.3713
SUMO1	0.6039
GP1BA	-0.3641
DDB1	0.129333333333333
MYO9B	-0.1576
MMP7	5.47375
CRNKL1	1.54925
C9orf45	-1.8095
XAB2	0.26175
RTN1	0.64625
KLHL14	-1.45857142857143
TBX10	-0.7815
CENPQ	-1.03625
UTY	-0.681083333333333
ZBTB12	-0.1265
DTNBP1	0.0145
KBTBD8	-0.3865
ZEB1	0.629666666666667
ZG16	2.58475
MIER1	0.1385
ADAM5P	0.3275
CHD9	0.0908125
STK16	0.3255
KIAA1486	-0.0725
TOB2	1.29683333333333
BANK1	2.1735
OR2V2	0.267
GRM2	0.3255
PROSC	0.462875
SPIN2B	0.747
PIR	-2.61
IPO9	0.0511
EVC	0.590333333333333
CXCL13	3.7755
KIAA1199	0.9287
SORL1	0.83225
NAT10	-0.42025
CHD1	-0.8455
SYN3	-0.13925
SLC22A2	-0.5495
SERPINF1	1.54333333333333
WDR34	0.10925
OR7A17	0.38125
C9orf11	-1.098
RNF216L	-0.2014
LHB	-0.241
STK25	-0.504375
TAOK3	1.0045
LOC152573	-3.25133333333333
C3orf39	0.4185
C14orf108	0.6316
CDC25B	-1.221
BMP3	0.722
TMEM180	0.377
MAP1LC3C	0.11975
CRYGC	-0.9445
POU3F1	-1.2937
C20orf32	-1.4115
CCDC95	-0.5285
HIGD1B	3.25475
USP6NL	-0.5105
ABCD4	-0.398
DIMT1L	-1.705
TEK	0.74325
SLC25A46	-0.42425
LARP7	-1.4608
CD160	0.374
MT1JP	-0.659166666666667
PHF20	0.72375
CPNE4	-0.51525
GTPBP1	-0.3875
RAB33B	1.04966666666667
ALDOC	-2.685125
ZNF212	-0.29475
NUDT1	-0.3385
RFPL2	0.62275
ZNF83	0.202
GDPD5	-0.630875
