Hybridization REF	TCGA-AV-A03E-20A-01R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.412583333333333
CREB3L1	1.992
RPS11	-1.442125
PNMA1	0.68925
MMP2	3.01283333333333
C10orf90	2.4905
ZHX3	1.05083333333333
ERCC5	1.701
GPR98	-1.14375
RXFP3	1.0215
APBB2	0.40575
PRO0478	-0.12425
KLHL13	0.577
PRSSL1	-0.674666666666667
PDCL3	-0.323333333333333
DECR1	-0.77075
SALL1	0.765333333333333
CADM4	-0.478
RPS18	-0.712928571428571
HNRPD	-0.341083333333333
CFHR5	-0.00716666666666665
SLC10A7	-0.142125
OR2K2	-0.073
LMAN1	-1.027
SUHW1	-2.24575
CHD8	-0.5582
SUMO1	0.3394
GP1BA	0.3113
DDB1	-0.645333333333333
MYO9B	0.3067
MMP7	2.002
CRNKL1	-1.152625
C9orf45	-1.04933333333333
XAB2	0.584125
RTN1	1.506
KLHL14	-0.89425
TBX10	-1.0015
CENPQ	-1.4295
UTY	-1.2845
ZBTB12	0.0435
DTNBP1	-0.821
KBTBD8	-1.40183333333333
ZEB1	0.606666666666667
ZG16	-1.768
MIER1	0.6405
ADAM5P	0.297
CHD9	0.8950625
STK16	1.746
KIAA1486	0.5055
TOB2	-0.0673333333333333
BANK1	0.724
OR2V2	-0.07025
GRM2	0.305333333333333
PROSC	-0.232625
SPIN2B	0.1095
PIR	-1.00877777777778
IPO9	0.0313
EVC	3.09133333333333
CXCL13	0.366
KIAA1199	-3.2283
SORL1	-4.939
NAT10	-0.22275
CHD1	-0.51275
SYN3	0.04825
SLC22A2	-0.2045
SERPINF1	-3.90916666666667
WDR34	-0.23875
OR7A17	0.468
C9orf11	0.3195
RNF216L	0.9486
LHB	0.5475
STK25	-0.50575
TAOK3	1.894125
LOC152573	-2.7465
C3orf39	0.2845
C14orf108	0.1346
CDC25B	-0.869909090909091
BMP3	0.754
TMEM180	0.7695
MAP1LC3C	-0.3045
CRYGC	-0.1215
POU3F1	-1.1247
C20orf32	-0.9345
CCDC95	0.682
HIGD1B	-0.04925
USP6NL	-0.430375
ABCD4	0.289666666666667
DIMT1L	-0.642666666666667
TEK	-1.295875
SLC25A46	-0.52825
LARP7	-0.9414
CD160	0.0795
MT1JP	1.9725
PHF20	0.210125
CPNE4	0.31625
GTPBP1	-0.223
RAB33B	0.019
ALDOC	-0.47925
ZNF212	0.22275
NUDT1	-0.616166666666667
RFPL2	-0.75425
ZNF83	-4.25216666666667
GDPD5	-2.4495
PDCD4	0.24235
CEP350	-1.074
OR10A2	0.29575
CST7	-1.43075
CIAO1	0.08125
SELL	-0.087625
OR8J3	1.2215
LTBP4	0.430666666666667
SIRT6	1.2305
CCL19	0.64425
PPIL1	-2.48416666666667
GBP7	0.2855
STK17A	-0.00839999999999999
ABR	2.60725
OR9G1	1.157
FOXE1	-0.442375
CNGA3	3.2495
GML	0.0565
CD38	-3.72
ZDHHC6	0.8975
NEFH	-3.8145
CTDSP2	0.170333333333333
PGBD5	-2.70533333333333
CCNY	1.17792857142857
RMND5B	-0.699166666666667
ZNF257	-3.08
FLJ22167	0.581625
EXOSC7	0.273166666666667
ROR2	-1.336375
MAOA	0.363375
TNNT3	-0.116166666666667
GYPC	0.43425
C7orf33	-0.1655
PLIN	-0.0278333333333333
LOC90826	0.31225
RNF4	-0.6778
F8A1	-0.734166666666667
PLEKHG4	-0.2465
GRB2	-0.20175
HIST1H2AD	-1.30475
DUS3L	-0.886666666666667
EIF1	-0.573
RP5-1077B9.4	-0.207
FPGT	1.03825
GDF10	-1.657
COQ9	0.17225
GCC2	0.169357142857143
RARRES3	0.983875
PLXNA1	0.915
KIAA0100	0.4491
PMF1	-0.8295
FNDC1	-0.0875
HS2ST1	-0.618166666666667
CRELD2	0.4565
C8G	-1.9395
CD82	1.45575
LIM2	-1.306
UNQ6490	0.4395
MMP16	1.07975
DRD3	0.107
C5orf26	-1.63225
C11orf73	-1.817125
PTP4A2	0.2575
OR4M2	0.39
HPCA	0.783166666666667
SEC14L1	-0.4835
CHFR	-3.555
EMILIN1	0.00100000000000001
NDUFS4	-0.634
COL18A1	-2.804
PDZD3	-0.0618
C9orf16	0.5725
ERBB2IP	-0.551166666666667
EMX2	-0.44125
FUS	-0.5255
TF	-3.9922
CLCN4	1.3135
CXorf56	-1.0315
C11orf72	0.66525
ELAC2	-0.54675
NPR1	-2.46325
ASS1	-0.596833333333333
USP42	-0.51575
POLR2J	0.055
SEC23IP	0.0668333333333334
UQCRC1	0.45425
LOC729603	-0.000249999999999993
C1orf71	-1.259
POLG	-1.759
ADAM23	-0.339
TFR2	-0.568
RICTOR	-0.3294
MGC39606	-0.22825
C19orf55	0.062375
SNAPC1	0.6225
GNA11	0.36175
CCDC52	-0.833333333333333
FSIP1	1.243
UPF3A	0.818375
IGSF11	-2.22783333333333
LAGE3	-0.79675
CHST6	-1.785
UNC13B	-0.13875
TTLL4	-0.945875
ZNF687	-0.491875
SDC2	-1.9071
COX7A2	-0.649
LAMB4	-0.09575
FAM24A	0.525
LRRTM3	-0.697166666666667
GPHB5	0.217
OR4C13	-0.1635
EIF3EIP	0.0847857142857143
HABP4	1.405
TMEM125	-3.777
CNTN2	-0.40475
ASNSD1	-0.23875
FUT4	-0.831
ACF	-3.089
LOC158381	-1.58
CDH8	-0.34175
AGPS	-0.485166666666667
C4orf18	-3.340875
PECI	-1.09916666666667
UNG	-0.5815
GSTP1	-0.660375
DCUN1D5	-2.58683333333333
DKFZP564J0863	-0.2505
SLC9A3R1	-1.709375
BCDO2	0.705875
CHMP7	0.0025
REM2	0.395
DNHD1	0.4565
FKBP4	-1.19425
ZNF350	-1.3655
MGC11102	-0.08175
BST1	-0.09925
KISS1R	1.052
NCR2	-0.118
DEFB125	-0.2125
UBE2W	-0.163125
KRT15	-2.48
C10orf99	0.8345
SCN11A	0.197125
GFI1	-3.5735
RDHE2	-0.5335
FHL1	-0.657333333333333
OSGEP	-0.531333333333333
GATA1	-3.201
SMC6	-0.3945
TTTY14	-0.469
LPIN3	-0.5395
RPL4	0.0147
RBPMS	0.5293
PRPF3	-0.0245
EMR1	0.3615
SPATA19	-0.01725
XCR1	0.734
IRX3	0.9984
RBM6	-0.39925
KLF4	-0.9275
UNC5CL	-3.04425
SEBOX	-0.1075
