Hybridization REF	TCGA-A8-A095-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.442166666666667
CREB3L1	1.43475
RPS11	0.525125
PNMA1	0.482
MMP2	0.702833333333333
C10orf90	-2.17525
ZHX3	0.078
ERCC5	0.29425
GPR98	-1.30225
RXFP3	-0.1245
APBB2	2.03775
PRO0478	-1.045625
KLHL13	-1.97925
PRSSL1	-0.782333333333333
PDCL3	0.538666666666667
DECR1	-0.181
SALL1	-2.35883333333333
CADM4	0.857
RPS18	-0.00349999999999999
HNRPD	-0.265916666666667
CFHR5	0.35825
SLC10A7	0.438625
OR2K2	0.231
LMAN1	-0.391875
SUHW1	-3.687
CHD8	0.1071
SUMO1	0.5918
GP1BA	0.5207
DDB1	-0.3475
MYO9B	-0.4817
MMP7	6.12775
CRNKL1	0.701125
C9orf45	-0.287833333333333
XAB2	0.3825
RTN1	1.810875
KLHL14	-1.29975
TBX10	-1.4805
CENPQ	-1.241
UTY	-1.51307692307692
ZBTB12	-1.3165
DTNBP1	0.216
KBTBD8	-1.43983333333333
ZEB1	0.379833333333333
ZG16	-2.124
MIER1	0.7217
ADAM5P	-0.1275
CHD9	0.1015625
STK16	1.91075
KIAA1486	-0.5445
TOB2	0.890083333333333
BANK1	3.005
OR2V2	-0.19275
GRM2	-0.207166666666667
PROSC	0.106875
SPIN2B	0.12675
PIR	-2.947
IPO9	0.5407
EVC	0.918
CXCL13	5.66166666666667
KIAA1199	-1.2624
SORL1	1.547
NAT10	-0.703
CHD1	0.0765
SYN3	-1.1305
SLC22A2	-0.53925
SERPINF1	0.743166666666667
WDR34	0.44
OR7A17	0.3335
C9orf11	0.227
RNF216L	-0.7172
LHB	-0.0045
STK25	-0.059375
TAOK3	0.47625
LOC152573	-2.6175
C3orf39	0.407875
C14orf108	1.1123
CDC25B	-1.59327272727273
BMP3	-0.203
TMEM180	0.458
MAP1LC3C	0.607
CRYGC	-0.5675
POU3F1	-1.5335
C20orf32	-1.2265
CCDC95	-0.0265
HIGD1B	4.58025
USP6NL	-0.11525
ABCD4	-0.238333333333333
DIMT1L	-0.536916666666667
TEK	1.487625
SLC25A46	-0.64925
LARP7	-1.2326
CD160	0.699
MT1JP	-1.36116666666667
PHF20	-0.00325000000000001
CPNE4	-1.65525
GTPBP1	-0.547928571428571
RAB33B	1.14366666666667
ALDOC	-3.018875
ZNF212	-0.1775
NUDT1	-0.323333333333333
RFPL2	-0.263
ZNF83	-0.138833333333333
GDPD5	-0.7245
PDCD4	1.49665
CEP350	0.27625
OR10A2	-0.0125
CST7	0.78675
CIAO1	-1.14475
SELL	1.227
