Hybridization REF	TCGA-BH-A0DH-11A-31R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.331
CREB3L1	0.0865
RPS11	1.531125
PNMA1	0.2555
MMP2	-0.628833333333333
C10orf90	-0.2885
ZHX3	-0.150166666666667
ERCC5	0.30875
GPR98	-0.417625
RXFP3	-0.05
APBB2	1.463
PRO0478	-0.739125
KLHL13	2.01225
PRSSL1	0.288
PDCL3	0.238666666666667
DECR1	0.753125
SALL1	-2.5455
CADM4	0.353333333333333
RPS18	1.28871428571429
HNRPD	-1.03866666666667
CFHR5	0.0715
SLC10A7	-0.121
OR2K2	1.36
LMAN1	-1.764625
SUHW1	-3.58625
CHD8	-0.5199
SUMO1	0.5718
GP1BA	0.3078
DDB1	-0.982833333333333
MYO9B	-1.0826
MMP7	7.744
CRNKL1	0.165
C9orf45	-1.02083333333333
XAB2	0.143375
RTN1	2.003125
KLHL14	-0.725375
TBX10	-1.1955
CENPQ	-1.7015
UTY	-0.846363636363636
ZBTB12	-0.339
DTNBP1	0.613125
KBTBD8	-1.65766666666667
ZEB1	1.1455
ZG16	-0.521
MIER1	1.297
ADAM5P	-0.47
CHD9	0.664125
STK16	-0.4535
KIAA1486	0.201
TOB2	0.811
BANK1	4.16925
OR2V2	-0.19025
GRM2	0.243666666666667
PROSC	0.16075
SPIN2B	0.71775
PIR	-0.323777777777778
IPO9	-1.0124
EVC	0.468
CXCL13	0.539333333333333
KIAA1199	-3.0253
SORL1	2.049
NAT10	-1.46975
CHD1	-0.95375
SYN3	0.18375
SLC22A2	-0.3745
SERPINF1	1.46616666666667
WDR34	-1.388
OR7A17	0.44525
C9orf11	0.433
RNF216L	0.1622
LHB	-0.379
STK25	-1.396875
TAOK3	0.478125
LOC152573	0.106
C3orf39	0.084125
C14orf108	0.2876
CDC25B	-2.50372727272727
BMP3	0.189
TMEM180	-1.0275
MAP1LC3C	2.97175
CRYGC	-0.6155
POU3F1	-1.6784
C20orf32	-1.545
CCDC95	-0.934
HIGD1B	5.42675
USP6NL	0.120625
ABCD4	0.232
DIMT1L	-0.480833333333333
TEK	2.16725
SLC25A46	-0.31125
LARP7	-0.9708
CD160	1.2345
MT1JP	1.82066666666667
PHF20	-0.4225625
CPNE4	-1.38325
GTPBP1	-0.533357142857143
RAB33B	1.98016666666667
ALDOC	-0.538625
ZNF212	-0.00825000000000001
NUDT1	-0.927833333333333
RFPL2	-0.89975
ZNF83	-1.85037170770859e-17
GDPD5	0.1995
PDCD4	1.7792
CEP350	-0.0565
OR10A2	-0.11175
CST7	0.5915
CIAO1	-1.233
SELL	0.644375
OR8J3	0.1725
LTBP4	-0.232166666666667
SIRT6	-1.07975
CCL19	5.69775
PPIL1	-0.527666666666667
GBP7	-0.113333333333333
STK17A	0.0846
ABR	0.36975
OR9G1	-0.9015
FOXE1	-1.45025
CNGA3	-0.1845
GML	0.134
CD38	-1.39125
ZDHHC6	-0.1375
NEFH	-2.414
CTDSP2	0.265416666666667
PGBD5	-2.508
CCNY	-0.303571428571428
RMND5B	-0.105
ZNF257	-0.972
FLJ22167	-0.820875
EXOSC7	-0.146833333333333
ROR2	-0.778875
MAOA	3.930875
TNNT3	3.32133333333333
GYPC	0.55425
C7orf33	0.8935
PLIN	5.31833333333333
LOC90826	0.3785
RNF4	-0.4853
F8A1	-0.402
PLEKHG4	-1.356
GRB2	-1.40255
HIST1H2AD	-0.66825
DUS3L	-1.62333333333333
EIF1	-0.2675
RP5-1077B9.4	-1.64116666666667
FPGT	1.44725
GDF10	4.36033333333333
COQ9	-0.3315
GCC2	0.403785714285714
RARRES3	3.135375
PLXNA1	-0.6155
KIAA0100	-0.4986
PMF1	-0.76
FNDC1	4.71725
HS2ST1	-0.433333333333333
CRELD2	-0.37275
C8G	-2.094
CD82	0.67775
LIM2	-1.3605
UNQ6490	0.734
MMP16	-0.57975
DRD3	0.1155
C5orf26	1.28825
C11orf73	0.199
PTP4A2	0.4205
OR4M2	0.226
HPCA	-2.28833333333333
SEC14L1	-0.381666666666667
CHFR	-1.3835
EMILIN1	0.936375
NDUFS4	1.04175
COL18A1	-0.82125
PDZD3	0.2354
C9orf16	-0.2525
ERBB2IP	-0.0196666666666667
EMX2	3.51525
FUS	-1.92375
TF	-0.3775
CLCN4	0.459833333333333
CXorf56	0.52475
C11orf72	-0.22975
ELAC2	-0.934083333333333
NPR1	1.1315
ASS1	-0.947333333333333
USP42	-0.4175
POLR2J	-0.613
SEC23IP	0.223166666666667
UQCRC1	-0.84075
LOC729603	-1.29225
C1orf71	-0.75975
POLG	-3.069
ADAM23	-3.15225
TFR2	-1.5065
RICTOR	0.0997
MGC39606	1.87425
C19orf55	-0.5655
SNAPC1	-0.859166666666667
GNA11	-0.073375
CCDC52	-0.453
FSIP1	2.282
UPF3A	-1.1345
IGSF11	-1.99966666666667
LAGE3	-0.9695
CHST6	-2.0875
UNC13B	0.08275
TTLL4	-2.03725
ZNF687	-0.37275
SDC2	0.1379
COX7A2	0.1265
LAMB4	-0.05475
FAM24A	-0.152
LRRTM3	-1.057
GPHB5	1.278
OR4C13	0.6915
EIF3EIP	1.59864285714286
HABP4	-0.5745
TMEM125	3.30525
CNTN2	0.823285714285714
ASNSD1	0.18925
FUT4	-0.7975
ACF	-4.31325
LOC158381	0.4035
CDH8	1.893
AGPS	-0.658
C4orf18	3.95275
PECI	0.811583333333333
UNG	-1.125
GSTP1	0.3185
DCUN1D5	-1.5065
DKFZP564J0863	-1.4935
SLC9A3R1	-0.831875
BCDO2	0.808
CHMP7	-1.30625
REM2	-0.5135
DNHD1	-0.34275
FKBP4	-1.858375
