Hybridization REF	TCGA-A8-A086-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.13225
CREB3L1	0.6095
RPS11	0.548125
PNMA1	1.01875
MMP2	0.755
C10orf90	-1.40075
ZHX3	0.2095
ERCC5	-0.6995
GPR98	0.309
RXFP3	0.871
APBB2	1.6825
PRO0478	-1.006125
KLHL13	-1.6825
PRSSL1	-0.370666666666667
PDCL3	0.3795
DECR1	0.917625
SALL1	-2.85466666666667
CADM4	0.507
RPS18	0.176142857142857
HNRPD	-0.9105
CFHR5	0.748333333333333
SLC10A7	-0.188375
OR2K2	-0.299
LMAN1	-0.587
SUHW1	-3.00375
CHD8	-0.1466
SUMO1	0.3502
GP1BA	0.0285
DDB1	-0.361833333333333
MYO9B	-0.3171
MMP7	6.97525
CRNKL1	0.770875
C9orf45	-0.6865
XAB2	0.35225
RTN1	0.4605
KLHL14	-1.011125
TBX10	-0.581
CENPQ	-1.34425
UTY	-0.521769230769231
ZBTB12	0.519
DTNBP1	-0.345125
KBTBD8	-1.30066666666667
ZEB1	0.663
ZG16	2.183
MIER1	0.4635
ADAM5P	-0.426
CHD9	-0.6055625
STK16	-0.278
KIAA1486	-0.1165
TOB2	1.03975
BANK1	0.54825
OR2V2	0.22275
GRM2	0.111
PROSC	2.398
SPIN2B	-0.17025
PIR	-1.04122222222222
IPO9	-0.6627
EVC	1.27366666666667
CXCL13	0.341666666666667
KIAA1199	0.1792
SORL1	0.943
NAT10	-0.46975
CHD1	-0.31025
SYN3	-0.31825
SLC22A2	-0.3045
SERPINF1	1.23066666666667
WDR34	-0.109
OR7A17	0.46475
C9orf11	0.3525
RNF216L	-0.3338
LHB	-0.0215
STK25	-0.063125
TAOK3	0.0985
LOC152573	-2.961
C3orf39	1.100625
C14orf108	-0.2169
CDC25B	-0.200727272727273
BMP3	0.2595
TMEM180	0.0965
MAP1LC3C	0.22825
CRYGC	0.236
POU3F1	-0.7233
C20orf32	-0.9265
CCDC95	0.3935
HIGD1B	3.6865
USP6NL	-0.684125
ABCD4	-0.521166666666667
DIMT1L	-1.10316666666667
TEK	0.156375
SLC25A46	-0.9885
LARP7	-1.5361
CD160	0.361333333333333
MT1JP	-0.638166666666667
PHF20	-0.03325
CPNE4	-1.0685
GTPBP1	-0.535214285714286
RAB33B	0.536833333333333
ALDOC	-2.19725
ZNF212	-0.0315
NUDT1	-0.5975
RFPL2	-0.736
ZNF83	-0.732333333333333
GDPD5	-1.053
PDCD4	1.4623
CEP350	-0.4345
OR10A2	0.29025
CST7	1.26175
CIAO1	-1.18275
SELL	-0.135125
OR8J3	0.7765
LTBP4	0.0911666666666667
SIRT6	0.0395
CCL19	1.0385
PPIL1	-0.3895
GBP7	0.0695
STK17A	-1.0163
ABR	-0.27925
OR9G1	-0.137
FOXE1	-0.300125
CNGA3	1.4035
GML	0.524
CD38	-3.59225
ZDHHC6	-0.327
NEFH	-2.53075
CTDSP2	0.678
PGBD5	0.292833333333333
CCNY	0.637428571428572
RMND5B	1.19866666666667
ZNF257	-1.575
FLJ22167	-0.359
EXOSC7	-0.335166666666667
ROR2	0.96375
MAOA	1.363625
TNNT3	-0.2655
GYPC	-1.15975
C7orf33	0.275
PLIN	0.243833333333333
LOC90826	-0.68625
RNF4	-0.0585
F8A1	0.226333333333333
PLEKHG4	-3.35725
GRB2	0.21525
HIST1H2AD	-0.714
DUS3L	-0.341333333333333
EIF1	0.2645
RP5-1077B9.4	-1.16383333333333
FPGT	1.327
GDF10	-1.0355
COQ9	-0.82425
GCC2	-0.261571428571429
RARRES3	1.81725
PLXNA1	-0.2137
KIAA0100	0.00180000000000002
PMF1	-0.432
FNDC1	5.22025
HS2ST1	0.350416666666667
CRELD2	0.41925
C8G	-2.1875
CD82	0.38325
LIM2	-0.3935
UNQ6490	0.5755
MMP16	0.2785
DRD3	0.086
C5orf26	0.4245
C11orf73	0.73875
PTP4A2	1.097125
OR4M2	0.509
HPCA	-1.304
SEC14L1	-0.7135
CHFR	-0.69925
EMILIN1	1.52425
NDUFS4	0.03575
COL18A1	0.931125
PDZD3	0.1578
C9orf16	0.2905
ERBB2IP	0.042
EMX2	1.25425
FUS	-0.7435
TF	-3.4596
CLCN4	-0.6545
CXorf56	0.588
C11orf72	0.25775
ELAC2	-1.26016666666667
NPR1	-0.9755
ASS1	-2.915
USP42	-0.083125
POLR2J	-0.5125
SEC23IP	0.468333333333333
UQCRC1	0.125
LOC729603	-0.65525
C1orf71	-0.73
POLG	-1.9895
ADAM23	-3.1705
TFR2	-0.9575
RICTOR	-0.8058
MGC39606	0.1635
C19orf55	-0.397
SNAPC1	-1.39033333333333
GNA11	1.01625
CCDC52	-0.180833333333333
FSIP1	5.6985
UPF3A	-1.9565
IGSF11	-2.0245
LAGE3	-0.5455
CHST6	-2.5525
UNC13B	0.096
TTLL4	-1.51875
ZNF687	-0.36025
SDC2	3.1332
COX7A2	-0.10075
LAMB4	0.693
FAM24A	0.5625
LRRTM3	-0.963166666666667
GPHB5	0.14375
OR4C13	0.1245
EIF3EIP	-0.0147857142857143
HABP4	0.3435
TMEM125	3.9435
CNTN2	-0.025625
ASNSD1	-0.48975
FUT4	-0.155875
ACF	-2.97175
LOC158381	0.198
CDH8	0.19325
AGPS	-1.19233333333333
C4orf18	3.022625
PECI	-0.3225
UNG	-0.254
GSTP1	-1.902875
DCUN1D5	-2.04916666666667
DKFZP564J0863	-1.3005
SLC9A3R1	1.34125
BCDO2	-0.461375
CHMP7	-0.4445
REM2	0.107
DNHD1	-0.121
FKBP4	-0.365
ZNF350	2.34375
MGC11102	0.424
BST1	0.8285
KISS1R	0.926
NCR2	0.7645
DEFB125	0.506
UBE2W	2.113
KRT15	4.040125
C10orf99	0.23
SCN11A	-0.341375
GFI1	-3.083
RDHE2	4.00766666666667
FHL1	-1.179
OSGEP	-0.585833333333333
GATA1	-3.3495
SMC6	-1.05725
TTTY14	-0.91375
LPIN3	0.161
RPL4	-0.452
RBPMS	-0.157
PRPF3	-0.0563333333333333
EMR1	-1.6745
SPATA19	0.101
XCR1	0.411
IRX3	2.0109
RBM6	-0.55275
KLF4	-1.2617
UNC5CL	-0.36575
SEBOX	-0.4235
BTK	-1.18875
KRCC1	-0.03625
C6orf27	0.6395
SYTL5	-0.4795
PRND	1.844375
LOC653319	-1.5925
PIGL	-1.59475
HUS1	-0.879
SFRS6	-1.37791666666667
C17orf77	0.4685
UIMC1	-0.297
FXYD2	-1.553
LOC283152	-1.3955
ZNF667	-0.582
ZCCHC12	-0.4005
TFEC	1.6991
ATP7B	0.383333333333333
POLD2	-0.894666666666667
RG9MTD1	-0.38475
ACOT2	0.5155
HIST1H4I	-0.7275
PPARGC1A	-2.2524
ETFA	-2.3242
POLRMT	0.152
ZNF146	-0.526125
MIA2	-1.194
KLHL6	-1.70183333333333
HOXB5	-0.4225
NENF	0.4475
CUGBP1	0.5285
PRSS22	0.685333333333333
CASC4	1.6803
CUL4B	-0.0412
CENPJ	-1.7346
PITX1	-0.378333333333333
FLJ31033	0.772333333333333
CELSR3	-1.32566666666667
ZNF568	0.408
ITSN1	-0.494083333333333
EHBP1L1	-0.625
C19orf2	-0.54275
DCTN1	0.603
LIN28B	-2.62916666666667
TNKS2	-0.66225
C1QBP	-1.55375
CADPS2	1.35425
SRMS	0.159
GJA9	0.0956666666666667
MGC24975	-0.745666666666667
TRIM45	-0.0913333333333333
TSP50	0.27125
TCP1	-0.76525
TMED7	0.6884
CMA1	1.0385
CENPL	-1.56166666666667
PTCRA	-0.021
FST	-3.38775
VWCE	-3.751
PAWR	-0.01975
ABCC12	0.0736666666666667
LDLR	-0.7477
ASTN2	1.1126
LOC441212	-0.49725
GPATCH8	-0.16875
TANC2	0.227833333333333
KIF4A	-1.82875
C18orf18	0.493
PGM1	-0.79575
KIAA0258	1.2025
CPD	1.07925
SNCAIP	-1.1325
DCT	-4.08433333333333
HLA-DOA	2.00922727272727
OR11L1	0.437
UPK1B	-0.0808333333333333
DNAJB4	-0.550375
UGT1A8	0.12575
HIST1H4L	-0.3015
PECR	-2.02933333333333
HSPA2	3.26225
WFIKKN1	-0.168
SERP1	0.530625
SYDE2	1.7015
TACR2	0.6965
NUP85	-0.14975
CD177	0.3885
LGR5	-1.2455
PIGG	-0.458083333333333
PTHR1	-0.945333333333333
RAB5A	-0.1813
FLJ13224	0.5145
USP9Y	-0.9355
C7orf53	-1.0935
LRP1B	-0.262
XAF1	1.2772
ABCG8	-0.313
ANKDD1A	-0.488666666666667
DAND5	-1.753
SPAG6	-0.0245
LINCR	0.477
ZDHHC22	-0.626375
CCDC60	0.406
THOC7	-1.4375
TCTA	1.592
OR8K3	0.28725
NY-REN-7	-0.5395
B2M	0.9855
C6orf141	2.393
LPPR4	1.55925
SQLE	0.352875
SEPHS1	-0.87175
BTBD14B	0.295214285714286
PLRG1	-0.57375
SPG7	-0.743
ZNF614	-0.223333333333333
PARD6G	1.8
INPP5B	-0.7288
GRPEL2	0.3185
PPID	-0.9373
TRIM56	-0.48575
UBE2J1	-0.313125
IL20RA	1.6535
LOC387856	0.67075
C1orf107	-0.0599166666666666
UTS2R	1.003
C19orf22	-0.09675
SAFB2	0.061875
KIAA0652	0.3565
KLRG1	-1.2076
MS4A8B	3.1035
FRAG1	-0.3055
KIAA1546	0.17275
E2F4	-1.6329
CLEC4M	0.0595
BTBD14A	-0.91775
KIAA0999	0.5374
GYPA	-2.6725
TAC1	0.9635
TRAIP	-0.924333333333333
KIAA0232	0.49
ERCC8	-1.00475
GPX4	0.547375
KIAA0368	-0.173375
GPR157	-0.7015
CTAGE4	-0.2515
C9orf30	-1.67933333333333
OR52A1	0.1505
HSP90B3P	-0.442
ALG9	-0.8753
BTBD10	1.2535
SDK2	1.8065
BAIAP3	2.186
RABGGTB	-0.2235
ANKRD40	0.2785
KRT74	0.161
CALCOCO2	0.532428571428571
SNCA	-3.35075
TMSL8	-4.14775
C2orf53	0.326
ESRRB	-0.20475
ARHGAP26	-1.463625
TDRD9	-2.162
HRAS	0.276833333333333
KLRC4	-1.737
JAGN1	-0.242666666666667
BSDC1	0.24675
RNF43	0.3308
NDUFAF1	0.51275
PHF12	0.376
OR1L3	-0.28025
FOLR2	1.11158333333333
LYZL6	0.310833333333333
tcag7.1260	-1.8665
WSB1	-1.39383333333333
