Hybridization REF	TCGA-AR-A0U1-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.610333333333333
CREB3L1	0.89925
RPS11	0.39525
PNMA1	-0.2415
MMP2	0.0493333333333333
C10orf90	-0.60025
ZHX3	-0.260833333333333
ERCC5	0.4315
GPR98	-0.735
RXFP3	-0.1375
APBB2	-0.014
PRO0478	-0.692375
KLHL13	-0.2095
PRSSL1	-0.7175
PDCL3	0.5745
DECR1	-0.24025
SALL1	0.0136666666666667
CADM4	0.514333333333333
RPS18	-0.0670714285714286
HNRPD	-1.48391666666667
CFHR5	0.8355
SLC10A7	-0.658875
OR2K2	-0.1175
LMAN1	-0.959375
SUHW1	-1.69475
CHD8	0.601
SUMO1	0.8018
GP1BA	0.8631
DDB1	-0.481
MYO9B	0.2092
MMP7	7.25625
CRNKL1	-0.288125
C9orf45	-1.21833333333333
XAB2	-0.099625
RTN1	0.9365
KLHL14	1.517875
TBX10	-1.3295
CENPQ	-2.18675
UTY	-1.38521428571429
ZBTB12	-0.1265
DTNBP1	-0.3875
KBTBD8	-1.84066666666667
ZEB1	1.699
ZG16	-1.02725
MIER1	0.7223
ADAM5P	0.3325
CHD9	0.176625
STK16	-0.8675
KIAA1486	-0.2885
TOB2	0.95625
BANK1	4.48675
OR2V2	0.2235
GRM2	0.225333333333333
PROSC	0.221
SPIN2B	-0.514
PIR	-0.466333333333333
IPO9	-0.1269
EVC	-0.2115
CXCL13	5.4375
KIAA1199	0.2163
SORL1	1.703
NAT10	-0.45125
CHD1	-1.15075
SYN3	-0.94525
SLC22A2	0.12925
SERPINF1	0.344333333333333
WDR34	0.48375
OR7A17	0.58675
C9orf11	-0.0765
RNF216L	0.1102
LHB	0.068
STK25	0.4445
TAOK3	0.548125
LOC152573	-3.6825
C3orf39	-0.762875
C14orf108	-0.5551
CDC25B	-0.719363636363636
BMP3	1.233
TMEM180	0.137
MAP1LC3C	0.84375
CRYGC	-0.708
POU3F1	-1.2508
C20orf32	-1.3785
CCDC95	-0.107
HIGD1B	3.158
USP6NL	1.025875
ABCD4	0.324833333333333
DIMT1L	-0.557416666666667
TEK	0.976625
SLC25A46	-1.187
LARP7	-0.9133
CD160	0.9375
MT1JP	0.979666666666667
PHF20	-0.70375
CPNE4	0.05175
GTPBP1	-0.264357142857143
RAB33B	0.184833333333333
ALDOC	-2.123625
ZNF212	0.2325
NUDT1	-0.4905
RFPL2	-1.05275
ZNF83	-0.615666666666667
GDPD5	-0.893125
PDCD4	0.866
CEP350	-0.157
OR10A2	-0.06
CST7	0.60325
CIAO1	-0.356
SELL	1.498375
OR8J3	-0.4625
LTBP4	0.1545
SIRT6	0.459
CCL19	3.46125
PPIL1	-0.897333333333333
GBP7	0.591666666666667
STK17A	-0.00419999999999996
ABR	0.31225
OR9G1	0.4375
FOXE1	-0.637125
CNGA3	-0.851
GML	0.4825
CD38	0.43775
ZDHHC6	0.448166666666667
NEFH	-2.82725
CTDSP2	0.30525
PGBD5	3.225
CCNY	0.597357142857143
RMND5B	0.469666666666667
ZNF257	-2.92225
FLJ22167	1.2235
EXOSC7	-0.5285
ROR2	0.4835
MAOA	1.354125
TNNT3	1.11633333333333
GYPC	-1.34425
C7orf33	0.625
PLIN	3.14133333333333
LOC90826	-0.70125
RNF4	9.99999999999834e-05
F8A1	0.165666666666667
PLEKHG4	-2.206
GRB2	0.00519999999999997
HIST1H2AD	-0.73
DUS3L	-0.6215
EIF1	0.150333333333333
RP5-1077B9.4	-0.201833333333333
FPGT	0.5125
GDF10	0.206666666666667
COQ9	0.0245
GCC2	1.13278571428571
RARRES3	2.569375
PLXNA1	-0.0881
KIAA0100	-0.3781
PMF1	-0.533
FNDC1	5.42275
HS2ST1	-0.381166666666667
CRELD2	0.95
C8G	-1.6175
CD82	2.216
LIM2	-0.7185
UNQ6490	0.863
MMP16	-0.946
DRD3	0.0875
C5orf26	0.01525
C11orf73	-1.240625
PTP4A2	0.42075
OR4M2	0.573
HPCA	-0.300666666666667
SEC14L1	0.8415
CHFR	0.958625
EMILIN1	0.43225
NDUFS4	-0.47925
COL18A1	1.21375
PDZD3	0.0228
C9orf16	0.816
ERBB2IP	0.0121666666666667
EMX2	6.417
FUS	-1.00925
TF	-2.4244
CLCN4	-0.423166666666667
CXorf56	-0.0695
C11orf72	0.271
ELAC2	-0.4785
NPR1	-0.35675
ASS1	-1.13266666666667
USP42	0.534125
POLR2J	0.0125
SEC23IP	0.423166666666667
UQCRC1	-0.14
LOC729603	-0.23275
C1orf71	-0.38975
POLG	-1.2105
ADAM23	-3.13425
TFR2	-1.0035
RICTOR	-1.5227
MGC39606	0.574
C19orf55	-0.238
SNAPC1	-1.04583333333333
GNA11	0.692625
CCDC52	-0.295166666666667
FSIP1	-0.819
UPF3A	-0.17775
IGSF11	-1.71433333333333
LAGE3	-0.6185
CHST6	3.9665
UNC13B	0.2425
TTLL4	0.033625
ZNF687	-0.177875
SDC2	-1.2449
COX7A2	0.39075
LAMB4	1.83675
FAM24A	-0.181
LRRTM3	-1.80383333333333
GPHB5	0.45725
OR4C13	-0.043
EIF3EIP	0.630785714285714
HABP4	-0.8465
TMEM125	4.01625
CNTN2	-0.08975
ASNSD1	0.20825
FUT4	-0.433875
ACF	-3.51475
LOC158381	-0.8305
CDH8	0.61025
AGPS	1.20483333333333
C4orf18	1.47525
PECI	-0.581083333333333
UNG	-0.716125
GSTP1	1.292
DCUN1D5	-1.827
DKFZP564J0863	-0.08075
SLC9A3R1	-0.38575
BCDO2	1.6105
CHMP7	-0.3305
REM2	-0.1105
DNHD1	-0.14125
FKBP4	-0.404125
ZNF350	0.966
MGC11102	-0.28075
BST1	3.362
KISS1R	1.128
NCR2	0.1335
DEFB125	1.141
UBE2W	0.590625
KRT15	2.90625
C10orf99	2.759
SCN11A	0.07275
GFI1	-1.604
RDHE2	-1.41833333333333
FHL1	-1.34283333333333
OSGEP	0.144
GATA1	-2.809
SMC6	-0.797
TTTY14	-1.0845
LPIN3	0.1035
RPL4	-0.5227
RBPMS	0.4546
PRPF3	-0.577666666666667
EMR1	-2.37
SPATA19	-0.40725
XCR1	0.36
IRX3	0.9559
RBM6	0.16725
KLF4	-0.3232
UNC5CL	-1.20825
SEBOX	0.092
BTK	-1.3355
KRCC1	1.2475
C6orf27	0.827
SYTL5	-1.143
PRND	1.77
LOC653319	-1.402
PIGL	-0.862
HUS1	-0.186333333333333
SFRS6	-0.371
C17orf77	-0.022
UIMC1	-0.432
FXYD2	-1.1549
LOC283152	2.17725
ZNF667	-0.466
ZCCHC12	0.1065
TFEC	2.5027
ATP7B	0.0935
POLD2	-0.4915
RG9MTD1	-0.75
ACOT2	-0.697666666666667
HIST1H4I	-1.021125
PPARGC1A	-0.5627
ETFA	-1.4973
POLRMT	-0.4405
ZNF146	-0.54475
MIA2	0.8185
KLHL6	-0.628166666666667
HOXB5	2.69425
NENF	0.281666666666667
CUGBP1	0.4995
PRSS22	2.753
CASC4	1.1663
CUL4B	-0.3642
CENPJ	-0.4124
PITX1	-0.814666666666667
FLJ31033	0.161
CELSR3	-2.18233333333333
ZNF568	0.0515
ITSN1	-0.0864166666666666
EHBP1L1	-0.450833333333333
C19orf2	-0.18525
DCTN1	0.6045
LIN28B	-3.21933333333333
TNKS2	0.0985
C1QBP	-1.25425
CADPS2	1.4225
SRMS	0.138
GJA9	0.342666666666667
MGC24975	0.288166666666667
TRIM45	-0.379666666666667
TSP50	0.59625
TCP1	-0.9185
TMED7	-0.2445
CMA1	1.0485
CENPL	-1.188
PTCRA	-0.0945
FST	-3.84625
VWCE	-3.134
PAWR	1.38275
ABCC12	0.245
LDLR	0.1465
ASTN2	0.3029
LOC441212	0.060125
GPATCH8	-0.188
TANC2	-0.2795
KIF4A	-1.575
C18orf18	-1.63025
PGM1	-1.39375
KIAA0258	1.20075
CPD	0.104625
SNCAIP	-0.00850000000000001
DCT	-3.93216666666667
HLA-DOA	2.80418181818182
OR11L1	0.473
UPK1B	4.18566666666667
DNAJB4	-1.585125
UGT1A8	-0.54225
HIST1H4L	0.6835
PECR	-0.493833333333333
HSPA2	1.83475
WFIKKN1	-1.6165
SERP1	-0.00412500000000002
SYDE2	-0.09525
TACR2	0.311
NUP85	-0.46675
CD177	-0.377166666666667
LGR5	2.33516666666667
PIGG	-0.555333333333333
PTHR1	-0.9765
RAB5A	-0.4099
FLJ13224	0.6015
