Hybridization REF	TCGA-AR-A0TY-01A-12R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.233166666666667
CREB3L1	0.26
RPS11	0.996125
PNMA1	0.48625
MMP2	-0.241333333333333
C10orf90	-2.239
ZHX3	-0.562
ERCC5	0.25675
GPR98	-1.499
RXFP3	0.76
APBB2	1.43475
PRO0478	-0.9445
KLHL13	-1.23275
PRSSL1	2.1225
PDCL3	1.60783333333333
DECR1	-0.378125
SALL1	-5.12766666666667
CADM4	-0.231
RPS18	1.127
HNRPD	-0.42175
CFHR5	0.448166666666667
SLC10A7	0.10275
OR2K2	0.5075
LMAN1	1.648125
SUHW1	-1.798
CHD8	-0.4664
SUMO1	0.2911
GP1BA	-0.2121
DDB1	-0.101
MYO9B	0.0562
MMP7	6.68575
CRNKL1	-0.015125
C9orf45	-2.56783333333333
XAB2	0.76525
RTN1	0.61825
KLHL14	-1.0765
TBX10	-1.4575
CENPQ	-0.6715
UTY	-1.42042857142857
ZBTB12	-0.1265
DTNBP1	-0.164375
KBTBD8	-0.148166666666667
ZEB1	0.781666666666667
ZG16	2.511
MIER1	1.0082
ADAM5P	0.124
CHD9	0.471
STK16	-1.134
KIAA1486	-0.2875
TOB2	0.380666666666667
BANK1	4.2115
OR2V2	0.23175
GRM2	0.164833333333333
PROSC	1.076875
SPIN2B	-0.1745
PIR	0.547444444444445
IPO9	-0.1051
EVC	-0.776
CXCL13	3.15466666666667
KIAA1199	-1.2474
SORL1	1.36975
NAT10	-0.121
CHD1	-0.583
SYN3	0.387
SLC22A2	-1.29725
SERPINF1	-0.603166666666667
WDR34	-0.401
OR7A17	0.44825
C9orf11	-0.135
RNF216L	-0.107
LHB	0.1505
STK25	-1.105875
TAOK3	0.508375
LOC152573	-3.2875
C3orf39	0.920125
C14orf108	0.9119
CDC25B	-1.49336363636364
BMP3	0.398
TMEM180	0.038
MAP1LC3C	0.0905
CRYGC	-0.991
POU3F1	-1.3305
C20orf32	-1.3455
CCDC95	-0.4915
HIGD1B	4.411
USP6NL	0.12475
ABCD4	-0.4595
DIMT1L	-0.280333333333333
TEK	1.41925
SLC25A46	-1.0005
LARP7	-1.2579
CD160	0.0916666666666667
MT1JP	-0.577333333333333
PHF20	0.24
CPNE4	-2.57675
GTPBP1	-0.8395
RAB33B	1.22783333333333
ALDOC	-2.127
ZNF212	-0.207
NUDT1	-0.0351666666666667
RFPL2	-0.80875
ZNF83	0.332166666666667
GDPD5	-0.317
PDCD4	-0.14815
CEP350	-0.5155
OR10A2	0.178
CST7	-0.278
