Hybridization REF	TCGA-B6-A0WS-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.6175
CREB3L1	1.16075
RPS11	0.18575
PNMA1	0.19375
MMP2	1.5195
C10orf90	-2.4255
ZHX3	-0.7665
ERCC5	-0.487
GPR98	-2.1905
RXFP3	0.224
APBB2	0.597
PRO0478	-0.84275
KLHL13	-2.201
PRSSL1	-0.314333333333333
PDCL3	0.701333333333333
DECR1	0.13075
SALL1	-2.7955
CADM4	1.171
RPS18	-0.315214285714286
HNRPD	-0.474
CFHR5	0.4812
SLC10A7	0.000375000000000014
OR2K2	0.0605
LMAN1	-0.11825
SUHW1	-3.96325
CHD8	-0.4822
SUMO1	0.6062
GP1BA	2.3113
DDB1	0.1495
MYO9B	0.2707
MMP7	5.99725
CRNKL1	0.7805
C9orf45	-1.44816666666667
XAB2	0.553125
RTN1	1.8345
KLHL14	-1.228125
TBX10	-1.327
CENPQ	-1.96775
UTY	-1.23933333333333
ZBTB12	-0.397
DTNBP1	-0.195375
KBTBD8	-1.10783333333333
ZEB1	0.181166666666667
ZG16	-1.689
MIER1	0.3202
ADAM5P	0.727
CHD9	-0.406
STK16	0.8755
KIAA1486	-0.5535
TOB2	0.80075
BANK1	4.18375
OR2V2	0.11375
GRM2	0.4335
PROSC	1.321
SPIN2B	-0.1815
PIR	-1.60933333333333
IPO9	-0.7217
EVC	1.76316666666667
CXCL13	6.04966666666667
KIAA1199	-0.8075
SORL1	0.69375
NAT10	-0.99825
CHD1	-0.40725
SYN3	-0.26725
SLC22A2	-0.3795
SERPINF1	1.49416666666667
WDR34	0.3805
OR7A17	0.534
C9orf11	0.69
RNF216L	-0.1407
LHB	-0.059
STK25	-0.149625
TAOK3	0.46175
LOC152573	-2.95925
C3orf39	0.233875
C14orf108	-0.1443
CDC25B	-0.997909090909091
BMP3	0.3255
TMEM180	0.0795
MAP1LC3C	0.56375
CRYGC	-0.8465
POU3F1	-0.775
C20orf32	-1.8295
CCDC95	0.148
HIGD1B	3.96075
USP6NL	-0.0772500000000001
ABCD4	-0.240666666666667
DIMT1L	-0.850333333333333
TEK	1.218
SLC25A46	-0.483
LARP7	-1.4482
CD160	1.31316666666667
MT1JP	1.0625
PHF20	-0.35
CPNE4	-1.584
GTPBP1	0.180857142857143
RAB33B	0.537666666666667
ALDOC	-2.369125
ZNF212	-0.19725
NUDT1	-0.780166666666667
RFPL2	0.611
ZNF83	-0.433333333333333
GDPD5	-1.144625
PDCD4	2.37935
CEP350	0.1645
OR10A2	0.538
CST7	2.04375
CIAO1	-0.80725
SELL	2.72475
OR8J3	-0.196
LTBP4	-0.000666666666666667
SIRT6	0.043
CCL19	4.44125
PPIL1	-0.537833333333333
GBP7	0.7305
STK17A	-0.321
ABR	0.4865
OR9G1	-0.1785
FOXE1	-0.62975
CNGA3	0.429
GML	0.4645
CD38	0.40375
ZDHHC6	0.0606666666666667
NEFH	-1.25625
CTDSP2	0.592083333333333
PGBD5	-0.624333333333333
CCNY	0.428785714285714
RMND5B	0.807416666666667
ZNF257	-2.92475
FLJ22167	-0.2335
EXOSC7	-1.27583333333333
ROR2	2.29375
MAOA	0.136625
TNNT3	1.55
GYPC	-0.836
C7orf33	0.1775
PLIN	3.06816666666667
LOC90826	-0.21025
RNF4	0.4473
F8A1	0.480166666666667
PLEKHG4	-1.24375
GRB2	0.02315
HIST1H2AD	0.59825
DUS3L	-1.3085
EIF1	0.388833333333333
RP5-1077B9.4	-0.698666666666667
FPGT	1.466
GDF10	0.669333333333333
COQ9	-0.9505
GCC2	0.181285714285714
RARRES3	3.57
PLXNA1	0.0865
KIAA0100	0.0934000000000001
PMF1	-0.35675
FNDC1	5.23275
HS2ST1	0.0705833333333333
CRELD2	0.66225
C8G	-1.767
CD82	2.23975
LIM2	-0.803
UNQ6490	-0.201
MMP16	-0.3185
DRD3	-0.04425
C5orf26	-1.204
C11orf73	-1.11325
PTP4A2	1.356
OR4M2	0.219
HPCA	-0.2085
SEC14L1	-0.372666666666667
CHFR	-0.11375
EMILIN1	1.88525
NDUFS4	-0.13175
COL18A1	0.32875
PDZD3	-0.00588888888888889
C9orf16	0.412666666666667
ERBB2IP	0.741333333333333
EMX2	3.4045
FUS	-0.30025
TF	-4.1014
CLCN4	-0.422333333333333
CXorf56	0.0685
C11orf72	0.1965
ELAC2	-0.95675
NPR1	-0.5355
ASS1	-0.775833333333333
USP42	0.125625
POLR2J	-0.0015
SEC23IP	0.7925
UQCRC1	-0.6815
LOC729603	-0.64025
C1orf71	-0.41825
POLG	-1.6265
ADAM23	-3.0375
TFR2	-1.48925
RICTOR	-1.0471
MGC39606	-0.112
C19orf55	-0.183375
SNAPC1	-2.275
GNA11	1.0045
CCDC52	-0.586666666666667
FSIP1	0.722
UPF3A	-0.644375
IGSF11	-2.227
LAGE3	-0.025
CHST6	-0.969
UNC13B	0.2945
TTLL4	-0.8795
ZNF687	0.0325
SDC2	0.0949
COX7A2	0.14125
LAMB4	0.0745
FAM24A	-0.146
LRRTM3	-1.12575
GPHB5	-0.3865
OR4C13	-0.512
EIF3EIP	-0.322428571428571
HABP4	-0.0005
TMEM125	3.75025
CNTN2	-0.202125
ASNSD1	-0.34
FUT4	0.60525
ACF	-3.90525
LOC158381	0.9135
CDH8	0.1355
AGPS	-0.137666666666667
C4orf18	5.112125
PECI	-1.271
UNG	-1.213625
GSTP1	-0.798875
DCUN1D5	-2.01766666666667
DKFZP564J0863	-0.724
SLC9A3R1	2.147875
BCDO2	-0.828875
CHMP7	-0.3685
REM2	0.297
DNHD1	-0.47925
FKBP4	0.019125
ZNF350	0.502
MGC11102	-0.025
BST1	1.3455
KISS1R	1.104
NCR2	0.281
DEFB125	-0.4725
UBE2W	1.147875
KRT15	-0.690375
C10orf99	-0.0405
SCN11A	0.22575
GFI1	-1.54575
RDHE2	5.6695
FHL1	-0.934
OSGEP	-0.67
GATA1	-3.834
SMC6	-1.042
TTTY14	-1.1305
LPIN3	-0.13925
RPL4	-0.9118
RBPMS	0.1448
PRPF3	-0.902833333333333
EMR1	-1.4725
SPATA19	0.34775
XCR1	0.6075
IRX3	2.9277
RBM6	-1.22175
KLF4	-0.3979
UNC5CL	-1.223
SEBOX	-0.2075
BTK	-0.67375
KRCC1	0.98075
C6orf27	0.427
SYTL5	-1.2795
PRND	3.417625
LOC653319	-1.648
PIGL	-1.20375
HUS1	-0.442166666666667
SFRS6	-0.380166666666667
C17orf77	1.601
UIMC1	-0.9215
FXYD2	-1.8318
LOC283152	-0.12925
ZNF667	-1.43975
ZCCHC12	-0.49575
TFEC	3.99
ATP7B	0.113666666666667
POLD2	-0.5605
RG9MTD1	-0.132
ACOT2	-0.8785
HIST1H4I	-1.8805
PPARGC1A	-2.7345
ETFA	-2.2109
POLRMT	-0.099
ZNF146	-0.102375
MIA2	-1.039
KLHL6	0.2005
HOXB5	2.88525
NENF	0.548666666666667
CUGBP1	-0.62225
PRSS22	2.10583333333333
CASC4	2.094
CUL4B	0.1258
CENPJ	-2.0896
PITX1	2.14016666666667
FLJ31033	1.23666666666667
CELSR3	-1.25733333333333
ZNF568	0.07075
ITSN1	-0.462666666666667
EHBP1L1	-0.219666666666667
C19orf2	-0.5265
DCTN1	0.8725
LIN28B	-3.78633333333333
TNKS2	-0.19275
C1QBP	-1.8105
CADPS2	0.9255
SRMS	0.32925
GJA9	0.321333333333333
MGC24975	-0.0173333333333333
TRIM45	-0.0983333333333333
TSP50	0.13775
TCP1	-1.05275
TMED7	0.8539
CMA1	1.224
