Hybridization REF	TCGA-A2-A0T6-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.337583333333333
CREB3L1	1.1355
RPS11	0.893
PNMA1	0.882
MMP2	1.50483333333333
C10orf90	-2.0965
ZHX3	-0.353333333333333
ERCC5	0.10925
GPR98	0.281375
RXFP3	0.1535
APBB2	1.77975
PRO0478	-1.39475
KLHL13	-2.93325
PRSSL1	-0.564333333333333
PDCL3	0.578833333333333
DECR1	0.16425
SALL1	-2.3365
CADM4	0.534
RPS18	0.376357142857143
HNRPD	-0.0466666666666667
CFHR5	0.3838
SLC10A7	0.5785
OR2K2	-0.3405
LMAN1	-0.44775
SUHW1	-3.7955
CHD8	-0.2777
SUMO1	0.5242
GP1BA	1.1203
DDB1	-0.289166666666667
MYO9B	-0.1764
MMP7	5.41225
CRNKL1	1.17025
C9orf45	-1.66783333333333
XAB2	0.101875
RTN1	1.61575
KLHL14	-0.532875
TBX10	-1.041
CENPQ	-1.2375
UTY	-1.02585714285714
ZBTB12	-0.075
DTNBP1	0.127625
KBTBD8	-0.102333333333333
ZEB1	0.632
ZG16	-2.0615
MIER1	0.645
ADAM5P	0.2695
CHD9	-0.261125
STK16	0.0605
KIAA1486	-0.2745
TOB2	0.56875
BANK1	4.73375
OR2V2	0.2515
GRM2	0.161833333333333
PROSC	0.410375
SPIN2B	0.6775
PIR	-3.24855555555556
IPO9	-0.7595
EVC	1.71833333333333
CXCL13	5.83766666666667
KIAA1199	1.0542
SORL1	2.1245
NAT10	-0.996
CHD1	-0.197
SYN3	0.14375
SLC22A2	0.331
SERPINF1	2.13633333333333
WDR34	-0.7505
OR7A17	0.55975
C9orf11	-0.5325
RNF216L	-0.3774
LHB	-0.5945
STK25	-0.552375
TAOK3	1.539875
LOC152573	-2.17125
C3orf39	0.71975
C14orf108	0.9441
CDC25B	-2.60254545454545
BMP3	-0.343
TMEM180	-0.2095
MAP1LC3C	2.0765
CRYGC	-1.0465
POU3F1	-1.6392
C20orf32	-0.876
CCDC95	-0.925
HIGD1B	4.2025
USP6NL	0.19675
ABCD4	-0.101
DIMT1L	-0.259166666666667
TEK	1.807375
SLC25A46	0.0195
LARP7	-1.4669
CD160	0.894166666666667
MT1JP	-0.588833333333333
PHF20	0.1238125
CPNE4	-1.33825
GTPBP1	-0.516642857142857
RAB33B	1.275
ALDOC	-2.775375
ZNF212	-0.01975
NUDT1	-0.732833333333333
RFPL2	-0.70125
ZNF83	1.02866666666667
GDPD5	-0.828875
PDCD4	2.37655
CEP350	0.2935
OR10A2	0.52875
CST7	2.11
CIAO1	-1.03575
SELL	1.79875
OR8J3	0.091
LTBP4	-0.417666666666667
SIRT6	-0.24175
CCL19	4.9965
PPIL1	-1.24683333333333
GBP7	0.227666666666667
STK17A	-0.347
ABR	0.6835
OR9G1	-0.0645
FOXE1	-0.790125
CNGA3	0.7665
GML	0.4
CD38	-1.7265
ZDHHC6	-0.0203333333333333
NEFH	-1.561
CTDSP2	1.092
PGBD5	-0.187166666666667
CCNY	0.257785714285714
RMND5B	0.570416666666667
ZNF257	-0.58625
FLJ22167	0.067875
EXOSC7	-0.124666666666667
ROR2	2.117125
MAOA	1.268625
TNNT3	1.92516666666667
GYPC	-0.2165
C7orf33	0.354
PLIN	4.23983333333333
LOC90826	0.58
RNF4	0.0953
F8A1	0.601166666666667
PLEKHG4	-1.51475
GRB2	-0.0638
HIST1H2AD	0.46925
DUS3L	-0.697333333333333
EIF1	0.534666666666667
RP5-1077B9.4	-1.52983333333333
FPGT	1.734
GDF10	2.18533333333333
COQ9	-0.788
GCC2	0.172642857142857
RARRES3	2.82025
PLXNA1	-0.3975
KIAA0100	-0.0819
PMF1	0.0555
FNDC1	5.23425
HS2ST1	-0.274583333333333
CRELD2	-0.2775
C8G	-1.794
CD82	1.1995
LIM2	-1.231
UNQ6490	1.029
MMP16	0.106
DRD3	-0.1155
C5orf26	-0.07475
C11orf73	-0.196625
PTP4A2	1.184
OR4M2	0.261
HPCA	-1.59033333333333
SEC14L1	-0.517833333333333
CHFR	-0.328125
EMILIN1	1.0705
NDUFS4	0.3275
COL18A1	-0.203375
PDZD3	-0.065
C9orf16	-0.577666666666667
ERBB2IP	0.449333333333333
EMX2	4.98025
FUS	-1.01775
TF	-3.4815
CLCN4	0.288666666666667
CXorf56	0.5055
C11orf72	0.02525
ELAC2	-0.660416666666667
NPR1	0.1755
ASS1	-1.9945
USP42	-0.389375
POLR2J	-0.725
SEC23IP	0.74
UQCRC1	-0.487
LOC729603	-0.6195
C1orf71	0.396625
POLG	-2.6095
ADAM23	-3.03175
TFR2	-1.734
RICTOR	-0.3437
MGC39606	0.0755
C19orf55	-0.372375
SNAPC1	-1.1365
GNA11	0.87225
CCDC52	0.554166666666667
FSIP1	0.977
UPF3A	-0.095625
IGSF11	-1.97433333333333
LAGE3	-0.4435
CHST6	-0.5985
UNC13B	0.515
TTLL4	-1.20525
ZNF687	0.38375
SDC2	0.2375
COX7A2	-0.59925
LAMB4	-0.01
FAM24A	0.143
LRRTM3	-0.5018
GPHB5	0.1815
OR4C13	0.3455
EIF3EIP	-0.223214285714286
HABP4	-0.0755
TMEM125	3.0725
CNTN2	0.295125
ASNSD1	0.20275
FUT4	0.07125
ACF	-3.86425
LOC158381	1.331
CDH8	-0.10875
AGPS	-0.0486666666666667
C4orf18	3.49975
PECI	0.217333333333333
UNG	-0.554375
GSTP1	-1.523625
DCUN1D5	-0.741
DKFZP564J0863	-0.90025
SLC9A3R1	0.275625
BCDO2	-0.57225
CHMP7	0.385625
REM2	1.025
DNHD1	-0.546
FKBP4	-1.42725
ZNF350	2.5
MGC11102	-0.142125
BST1	2.41825
KISS1R	-0.6235
NCR2	0.4
DEFB125	0.341
UBE2W	1.13425
KRT15	-1.944125
C10orf99	-0.051
SCN11A	0.33975
GFI1	-1.29
RDHE2	0.577666666666667
FHL1	0.855833333333333
OSGEP	0.0931666666666667
GATA1	-2.924
SMC6	-1.09525
TTTY14	-1.395
LPIN3	-0.22575
RPL4	-0.1559
RBPMS	0.9425
PRPF3	-1.23033333333333
EMR1	-0.9365
SPATA19	0.576
XCR1	0.195
IRX3	1.2683
RBM6	-0.609
KLF4	0.2249
UNC5CL	-0.08625
SEBOX	0.141
BTK	0.86125
KRCC1	1.4325
C6orf27	0.218
SYTL5	-0.4125
PRND	3.418875
LOC653319	-1.747
PIGL	-1.296
HUS1	-0.1225
SFRS6	-0.90275
C17orf77	0.638
UIMC1	-0.274666666666667
FXYD2	-1.9762
LOC283152	1.534
ZNF667	0.21175
ZCCHC12	-0.4405
TFEC	3.4498
ATP7B	0.461
POLD2	-1.45083333333333
RG9MTD1	0.00825
ACOT2	0.829333333333333
HIST1H4I	-1.471
PPARGC1A	-1.4874
ETFA	-0.5217
POLRMT	-0.6225
ZNF146	0.8095
MIA2	-2.038
KLHL6	0.342
HOXB5	-0.13025
NENF	0.745666666666667
CUGBP1	0.056
PRSS22	1.07283333333333
CASC4	1.3498
CUL4B	0.0144
CENPJ	-1.4021
PITX1	-0.321333333333333
FLJ31033	0.696666666666667
CELSR3	-0.7435
ZNF568	1.19825
ITSN1	0.553
EHBP1L1	-0.932333333333333
C19orf2	-0.0215
DCTN1	-0.31
LIN28B	-3.66616666666667
TNKS2	-0.31325
C1QBP	-0.238375
CADPS2	2.43425
SRMS	0.13975
GJA9	0.638333333333333
MGC24975	-1.10283333333333
TRIM45	0.114333333333333
TSP50	-0.092
TCP1	-1.71325
TMED7	0.6439
CMA1	2.988
CENPL	-0.941333333333333
PTCRA	0.44
FST	-1.3615
VWCE	-3.621
PAWR	-0.025
ABCC12	0.3155
LDLR	-2.3807
ASTN2	1.4264
LOC441212	-0.7885
GPATCH8	-0.014
TANC2	-0.682333333333333
KIF4A	-3.723
C18orf18	-0.55
PGM1	-0.62375
KIAA0258	0.5915
CPD	0.898625
SNCAIP	-0.46425
DCT	-4.25233333333333
HLA-DOA	3.07086363636364
OR11L1	0.05
UPK1B	-0.138666666666667
DNAJB4	1.192375
UGT1A8	-0.131
HIST1H4L	-3.114
PECR	-0.495166666666667
HSPA2	0.576
WFIKKN1	-2.9125
SERP1	0.985375
SYDE2	1.429
TACR2	0.726
NUP85	-0.963
CD177	0.123833333333333
LGR5	-0.996833333333333
PIGG	-0.27075
PTHR1	-0.00133333333333334
RAB5A	0.9858
FLJ13224	-0.4805
USP9Y	-1.16833333333333
C7orf53	-0.8515
LRP1B	-0.31425
XAF1	1.6751
ABCG8	-0.657
ANKDD1A	-0.2615
DAND5	-1.645
SPAG6	0.897833333333333
LINCR	0.37175
ZDHHC22	-1.723625
CCDC60	-0.561
THOC7	-0.848833333333333
TCTA	0.6275
OR8K3	0.386
NY-REN-7	0.29525
B2M	1.94183333333333
C6orf141	-3.28875
LPPR4	2.791
SQLE	-0.57375
SEPHS1	-0.67
BTBD14B	-0.148357142857143
PLRG1	0.032
SPG7	-1.1600625
ZNF614	0.781333333333333
PARD6G	0.503
INPP5B	-0.4194
GRPEL2	0.0685
PPID	-0.8822
TRIM56	-0.55725
UBE2J1	0.08075
IL20RA	3.03725
LOC387856	0.078
C1orf107	0.811166666666667
UTS2R	-0.54925
C19orf22	-0.1695
SAFB2	-0.34075
KIAA0652	-0.110125
KLRG1	0.686833333333333
MS4A8B	0.700833333333333
FRAG1	0.30775
KIAA1546	0.88625
E2F4	-1.0335
CLEC4M	0.0268333333333334
BTBD14A	-1.11175
KIAA0999	0.9794
GYPA	-3.54983333333333
TAC1	2.3669
TRAIP	-1.933
KIAA0232	1.2205
ERCC8	-0.62025
GPX4	0.82375
KIAA0368	-0.2295
GPR157	-1.87133333333333
CTAGE4	-0.118
C9orf30	-0.941666666666667
OR52A1	0.277
HSP90B3P	-0.5635
ALG9	-0.0379
BTBD10	0.80975
SDK2	-0.40975
BAIAP3	-1.8285
RABGGTB	-0.814125
ANKRD40	-0.215833333333333
KRT74	0.2025
CALCOCO2	0.606285714285714
SNCA	-1.99525
TMSL8	-4.35125
C2orf53	0.157
ESRRB	-0.3775
ARHGAP26	-1.298125
TDRD9	-2.69975
HRAS	-0.459833333333333
KLRC4	-2.1515
JAGN1	-0.1615
BSDC1	0.394
RNF43	-0.2014
NDUFAF1	0.57075
PHF12	0.2045
OR1L3	0.26925
FOLR2	2.79041666666667
LYZL6	0.0615
tcag7.1260	-1.1965
WSB1	-1.12616666666667
PROS1	0.1723
OSTN	0.5985
PSMB8	0.71725
SOCS4	0.322375
DDIT4L	2.39125
MAS1	0.265
MGC34796	0.66875
CSHL1	0.148166666666667
TBCCD1	0.222166666666667
ZBTB7C	-0.3345
AP2S1	-0.644
P15RS	0.1062
VAT1	-0.6223
SHANK3	0.170833333333333
TUFM	-0.813
THEG	-0.91025
KRT34	-1.712
SGSM3	-0.626
TOMM22	-0.624125
SOCS3	2.444
CPO	0.9165
POP4	0.8905
BHLHB3	2.902
MALL	1.344
OR1B1	0.565
PARK2	0.473666666666667
GPR124	1.225125
LCE1E	0.603
RUVBL2	-0.9305
CGRRF1	0.9244
ACPL2	0.87275
WNT10B	-1.701125
BAIAP2L2	-2.598
