Hybridization REF	TCGA-B6-A0RQ-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.318583333333333
CREB3L1	-0.319
RPS11	0.533125
PNMA1	0.2285
MMP2	-0.5205
C10orf90	0.11975
ZHX3	-0.326333333333333
ERCC5	0.48725
GPR98	-0.250125
RXFP3	0.3985
APBB2	0.8375
PRO0478	-0.3125
KLHL13	2.1755
PRSSL1	-0.997
PDCL3	0.2115
DECR1	0.295125
SALL1	-4.0575
CADM4	0.546
RPS18	0.4415
HNRPD	-0.48975
CFHR5	1.874
SLC10A7	0.051
OR2K2	0.2185
LMAN1	-1.67325
SUHW1	-3.7875
CHD8	0.3944
SUMO1	0.1575
GP1BA	0.0774
DDB1	-0.4265
MYO9B	-0.6103
MMP7	7.9025
CRNKL1	0.28875
C9orf45	0.273
XAB2	0.3335
RTN1	2.007125
KLHL14	-0.90775
TBX10	-1.1215
CENPQ	-2.12025
UTY	-1.20925
ZBTB12	0.58
DTNBP1	0.28175
KBTBD8	-1.3855
ZEB1	0.7295
ZG16	-1.49775
MIER1	1.0077
ADAM5P	0.373
CHD9	0.8805625
STK16	-0.264
KIAA1486	-0.72
TOB2	0.783083333333333
BANK1	3.03975
OR2V2	0.55925
GRM2	-0.00866666666666667
PROSC	0.084
SPIN2B	-0.0085
PIR	-2.39433333333333
IPO9	-0.7557
EVC	1.1545
CXCL13	3.54983333333333
KIAA1199	-3.0149
SORL1	2.16375
NAT10	-0.7825
CHD1	-0.707
SYN3	-0.911
SLC22A2	-0.6175
SERPINF1	-0.332833333333333
WDR34	-0.67675
OR7A17	0.1175
C9orf11	-1.0325
RNF216L	-0.1871
LHB	-0.237
STK25	-0.931875
TAOK3	0.596
LOC152573	-2.6225
C3orf39	0.252125
C14orf108	0.4677
CDC25B	-1.453
BMP3	-0.802
TMEM180	-0.437
MAP1LC3C	0.18775
CRYGC	-0.8495
POU3F1	-1.405
C20orf32	-1.534
CCDC95	-0.389
HIGD1B	4.47025
USP6NL	0.0923750000000001
ABCD4	-0.246333333333333
DIMT1L	-0.286333333333333
TEK	1.40175
SLC25A46	-0.71925
LARP7	-0.8612
CD160	0.377333333333333
MT1JP	1.33883333333333
PHF20	-0.071
CPNE4	-1.0365
GTPBP1	-0.0958571428571429
RAB33B	1.31983333333333
ALDOC	-1.3735
ZNF212	-0.08025
NUDT1	-1.73383333333333
RFPL2	-1.42825
ZNF83	0.573666666666667
GDPD5	-1.07225
PDCD4	1.9306
CEP350	0.49175
OR10A2	-0.0815
CST7	-0.49025
CIAO1	-1.23725
SELL	0.050375
OR8J3	-0.16
LTBP4	0.172666666666667
SIRT6	-0.504
CCL19	4.64475
PPIL1	-0.9185
GBP7	0.2145
STK17A	-0.8303
ABR	0.3225
OR9G1	0.108
FOXE1	-0.582625
CNGA3	-0.304
GML	0.294
CD38	-2.866
ZDHHC6	0.137333333333333
NEFH	-1.7425
CTDSP2	0.76175
PGBD5	-1.5025
CCNY	0.0956428571428571
RMND5B	0.433416666666667
ZNF257	-1.16025
FLJ22167	0.217375
EXOSC7	-0.252833333333333
ROR2	0.406125
MAOA	1.90625
TNNT3	1.1755
GYPC	-0.93825
C7orf33	1.335
PLIN	3.93883333333333
LOC90826	0.0735
RNF4	-0.1108
F8A1	-0.1765
PLEKHG4	-1.06325
GRB2	-0.52605
HIST1H2AD	-0.4625
DUS3L	-1.52283333333333
EIF1	-0.1675
RP5-1077B9.4	-1.31316666666667
FPGT	1.41975
GDF10	0.626666666666667
COQ9	-0.568
GCC2	0.925214285714286
RARRES3	3.139375
PLXNA1	-0.3995
KIAA0100	-0.145
PMF1	-0.52625
FNDC1	4.1575
HS2ST1	-0.57225
CRELD2	0.3025
C8G	-1.9965
CD82	1.39675
LIM2	-1.08
UNQ6490	-0.7365
MMP16	-0.61175
DRD3	-0.2065
C5orf26	0.7855
C11orf73	-0.775625
PTP4A2	0.300375
OR4M2	-0.0785
HPCA	-1.235
SEC14L1	-0.329
CHFR	-0.905875
EMILIN1	0.331875
NDUFS4	0.253
COL18A1	-0.237875
PDZD3	-0.304222222222222
C9orf16	-0.633833333333333
ERBB2IP	0.166666666666667
EMX2	1.99425
FUS	-1.16475
TF	-3.2516
CLCN4	0.287333333333333
CXorf56	0.37525
C11orf72	-1.22825
ELAC2	-0.72
NPR1	-0.0905
ASS1	-1.39233333333333
USP42	0.25925
POLR2J	-0.795
SEC23IP	0.674333333333333
UQCRC1	-0.66425
LOC729603	-0.523
C1orf71	-0.8305
POLG	-2.8425
ADAM23	-3.577
TFR2	-1.317
RICTOR	-0.1765
MGC39606	2.19975
C19orf55	-0.24775
SNAPC1	-1.17866666666667
GNA11	1.0515
CCDC52	-0.133333333333333
FSIP1	3.7385
UPF3A	-0.46725
IGSF11	-1.72683333333333
LAGE3	-0.9195
CHST6	-1.9955
UNC13B	0.26825
TTLL4	-0.937625
ZNF687	0.31375
SDC2	0.2172
COX7A2	-0.46625
LAMB4	0.10375
FAM24A	0.3215
LRRTM3	-0.840166666666667
GPHB5	0.607
OR4C13	-0.0935
EIF3EIP	0.928428571428571
HABP4	-0.4985
TMEM125	3.46975
CNTN2	0.6265
ASNSD1	0.22525
FUT4	-0.5985
ACF	-3.57375
LOC158381	0.1485
CDH8	0.58425
AGPS	-1.397
C4orf18	2.72025
PECI	0.656666666666667
UNG	-1.051
GSTP1	-0.01575
DCUN1D5	-1.73033333333333
DKFZP564J0863	-1.37875
SLC9A3R1	0.65825
BCDO2	0.5525
CHMP7	-0.53975
REM2	0.568
DNHD1	-0.27575
FKBP4	-0.50025
ZNF350	2.21275
MGC11102	-0.84975
BST1	0.23325
KISS1R	-0.3185
NCR2	-0.211
DEFB125	1.432
UBE2W	0.867625
KRT15	5.36825
C10orf99	0.2825
SCN11A	0.3235
GFI1	-2.74975
RDHE2	2.9115
FHL1	-0.670666666666667
OSGEP	0.101166666666667
GATA1	-3.66866666666667
SMC6	-1.51425
TTTY14	-0.96025
LPIN3	0.01075
RPL4	-0.1074
RBPMS	0.8301
PRPF3	-0.1985
EMR1	-2.7025
SPATA19	0.138
XCR1	-0.0615
IRX3	2.4331
RBM6	-0.171
KLF4	-1.0935
UNC5CL	-0.1735
SEBOX	0.313
BTK	-1.4005
KRCC1	1.53625
C6orf27	1.6525
SYTL5	-0.3625
PRND	1.63785714285714
LOC653319	-1.5335
PIGL	-1.51575
HUS1	-0.679833333333333
SFRS6	-1.8445
C17orf77	0.3915
UIMC1	-0.428166666666667
FXYD2	-2.1939
LOC283152	0.18525
ZNF667	1.31075
ZCCHC12	-0.43875
TFEC	1.4437
ATP7B	0.0548333333333333
POLD2	-1.8685
RG9MTD1	0.02
ACOT2	-0.157666666666667
HIST1H4I	-1.0875
PPARGC1A	-1.70222222222222
ETFA	-1.0542
POLRMT	-0.58525
ZNF146	-0.413
MIA2	-0.4895
KLHL6	-2.034
HOXB5	-1.05775
NENF	0.5935
CUGBP1	-0.3025
PRSS22	0.334333333333333
CASC4	1.6629
CUL4B	0.126
CENPJ	-1.6939
PITX1	-1.74566666666667
FLJ31033	0.2445
CELSR3	-1.96516666666667
ZNF568	1.12525
ITSN1	-0.45675
EHBP1L1	-1.4905
C19orf2	-0.573
DCTN1	-0.59
LIN28B	-4.0752
TNKS2	-0.28625
C1QBP	-1.053
CADPS2	2.17425
SRMS	-0.1765
GJA9	-0.122333333333333
MGC24975	-1.00533333333333
TRIM45	-0.503833333333333
TSP50	0.82975
TCP1	-0.61925
TMED7	0.2192
CMA1	-0.456
CENPL	-2.201
PTCRA	-0.2455
FST	-2.63725
VWCE	-3.73375
PAWR	0.36875
ABCC12	1.33116666666667
LDLR	-1.7006
ASTN2	1.0902
LOC441212	-0.577
GPATCH8	-0.38775
TANC2	-0.740416666666667
KIF4A	-3.848
C18orf18	-0.72475
PGM1	-0.33275
KIAA0258	0.47675
CPD	0.16225
SNCAIP	-0.30825
DCT	-3.48033333333333
HLA-DOA	2.41409090909091
OR11L1	0.217
UPK1B	0.0138
DNAJB4	-0.29025
UGT1A8	-0.24625
HIST1H4L	-0.3895
PECR	-2.16533333333333
HSPA2	0.991
WFIKKN1	-2.5805
SERP1	0.723125
SYDE2	1.64475
TACR2	-0.0565
NUP85	-1.03775
CD177	-0.646333333333333
LGR5	-2.56016666666667
PIGG	-0.03675
PTHR1	-1.29616666666667
RAB5A	-0.0774
FLJ13224	-0.1235
USP9Y	-2.08533333333333
C7orf53	-0.7335
LRP1B	2.907
XAF1	1.6022
ABCG8	-0.251
ANKDD1A	-0.0761666666666667
DAND5	-1.17
SPAG6	3.77216666666667
LINCR	2.201
ZDHHC22	-1.491
CCDC60	0.2695
THOC7	-0.714
TCTA	0.7845
OR8K3	0.25325
NY-REN-7	-0.27775
B2M	0.539166666666667
C6orf141	-2.24325
LPPR4	1.995
SQLE	-2.320125
SEPHS1	-0.8525
BTBD14B	0.0906428571428572
PLRG1	0.0005
SPG7	-0.85875
ZNF614	-0.228
PARD6G	1.2715
INPP5B	-0.729
GRPEL2	-0.779
PPID	-0.5072
TRIM56	0.06675
UBE2J1	-0.631875
IL20RA	6.43975
LOC387856	-0.2595
C1orf107	0.3065
UTS2R	0.053
C19orf22	-0.58925
SAFB2	-0.057875
KIAA0652	-0.333875
KLRG1	-1.16516666666667
MS4A8B	1.04383333333333
FRAG1	0.05275
KIAA1546	0.88825
E2F4	-1.4802
CLEC4M	-0.502333333333333
BTBD14A	-2.0945
KIAA0999	1.0089
GYPA	-3.57616666666667
TAC1	4.1141
TRAIP	-2.20833333333333
KIAA0232	1.4354
ERCC8	-1.386875
GPX4	0.082
KIAA0368	0.365125
GPR157	-0.590666666666667
CTAGE4	1.9315
C9orf30	-1.72766666666667
OR52A1	-0.033
HSP90B3P	-0.3775
ALG9	-0.349
BTBD10	0.08175
SDK2	0.163
BAIAP3	-0.1275
RABGGTB	-0.7345
ANKRD40	-0.4555
KRT74	-0.302
CALCOCO2	0.258857142857143
SNCA	-2.1765
TMSL8	-4.199
C2orf53	-0.1815
ESRRB	-0.4025
ARHGAP26	-0.355
TDRD9	-3.17325
HRAS	-0.0445
KLRC4	-2.4555
JAGN1	-0.0611666666666667
BSDC1	0.53325
RNF43	0.196
NDUFAF1	0.22975
PHF12	0.26775
OR1L3	-0.423
FOLR2	1.10541666666667
LYZL6	0.725166666666667
tcag7.1260	-0.372
WSB1	-0.7755
PROS1	1.1221
OSTN	0.4935
PSMB8	0.11525
SOCS4	0.112
DDIT4L	3.03875
MAS1	0.5025
MGC34796	0.48675
CSHL1	-0.113833333333333
TBCCD1	-0.256
ZBTB7C	-0.4455
AP2S1	-1.195
P15RS	-0.3986
VAT1	-0.8966
SHANK3	0.720333333333333
TUFM	-1.04133333333333
THEG	-0.445
KRT34	-1.674
SGSM3	-0.120875
TOMM22	-0.63075
SOCS3	0.037
CPO	0.904
POP4	-0.09425
BHLHB3	4.11925
MALL	1.937
OR1B1	0.4335
PARK2	-0.1455
GPR124	0.03875
LCE1E	0.2235
RUVBL2	-1.229
CGRRF1	1.0389
ACPL2	0.97075
WNT10B	-2.878125
BAIAP2L2	-2.546
ISCA1	0.276
C1orf125	0.4835
RPAP1	-1.0355
RAI16	-0.365166666666667
RPL27	-0.085625
NLRP9	0.468
EPN1	-0.3775
LOC388610	0.38
SLC35A1	1.2103
GAL	-4.26825
SLC14A2	0.0565
RDH11	-0.7125
FAM138F	-0.269
AUH	0.89925
FLJ40243	0.132
C14orf129	-0.0185
MBD2	-0.490666666666667
ABHD14B	0.23025
PIGT	-0.144125
ALS2CR4	0.809625
ALAS1	-0.013
FOXO1	2.86866666666667
CRLF3	-0.71425
C20orf107	-0.6855
FARS2	0.331
CCDC28A	1.148
NPHP3	0.157
OR13F1	-0.1475
TSEN54	-1.00125
DEFB106B	-0.3654
OR8B4	0.015
STH	2.077
ZC3H14	-0.49125
CBX2	-2.52
TMEM49	-2.163
C6orf21	0.13
FLJ20920	1.099375
CRTAP	-0.403142857142857
DDX50	0.24275
STYXL1	-0.42925
BLVRB	-0.188
LOC147650	0.620166666666667
MMP24	0.2905
GRID1	0.785833333333333
BANF1	-0.8915
CTAGEP	0.21675
HMBS	-2.746
SLC25A24	-0.0186666666666667
C14orf50	0.22975
MRO	-0.441166666666667
SLC25A15	-0.4255
FAM84B	0.8975
TDP1	-1.208
C16orf78	-0.00599999999999997
C11orf57	0.977625
RFK	-0.7385
ZFYVE9	-0.4755
STCH	-1.3503
WIBG	-0.134
LOC283871	-1.118
GBA2	-0.5305
NDUFB3	-0.05225
HSD17B13	0.196
GRIN3A	0.653333333333333
FMNL1	-2.008
SEPT7	-0.5891
GNLY	2.336
GRAMD1C	2.36683333333333
ZNF165	-0.1195
USP38	0.30375
FAM83A	-3.39933333333333
C14orf24	0.715166666666667
ARMCX3	1.659875
ARHGDIB	0.469
AK1	-0.37175
KIAA1045	0.2785
DNAJB13	0.0803333333333333
NEU2	0.194
HIST1H4B	-0.865833333333333
FAM20B	-0.8567
HES2	1.23192857142857
FAM73B	-0.5549
LOC388381	0.23075
INTS7	-1.28372727272727
AMPH	0.942
ZNF775	-0.686
UCKL1	-1.082
C10orf97	0.0365
C1orf161	-0.157
ALDH1L1	1.13175
FLJ39378	0.00150000000000001
SLC23A1	-1.6365
RBM4B	0.35075
THAP4	-0.0633333333333333
OGFRL1	1.67875
KIAA0831	0.781375
PPP1R15A	-0.792833333333333
C1orf96	-0.253857142857143
C12orf11	-1.85
BMF	0.16975
MAN1A1	-1.79725
KIAA1600	0.798666666666667
NLGN4X	2.35075
ALOX12	-0.856666666666667
RB1CC1	0.3061
NEIL2	0.4444
EIF4E	-0.233363636363636
ABHD5	-0.21525
EXOC4	-0.0743333333333334
CIP29	-0.804333333333333
BATF2	0.84125
SLC29A4	-0.712875
HTR4	0.01775
EMB	-1.39625
TRAF6	1.00725
LMNB1	-4.7725
FAM19A5	-1.33625
SHE	2.2415
PIK3C2B	1.102
C15orf15	0.06
USP15	-0.1358
TCEAL2	3.3435
C5orf39	-1.12283333333333
PTGER2	-1.58
SLC31A1	-0.3034375
IFT172	1.06125
ADAM29	0.09975
GFOD1	0.74475
ST7L	-0.000166666666666648
C15orf26	-2.3075
PKN3	-1.532
CNTD1	2.457
