Hybridization REF	TCGA-E2-A105-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.836583333333333
CREB3L1	0.01325
RPS11	0.8375
PNMA1	1.4005
MMP2	-0.34
C10orf90	-2.22625
ZHX3	0.5265
ERCC5	-0.12925
GPR98	0.425125
RXFP3	0.393
APBB2	1.747
PRO0478	-0.12775
KLHL13	-2.54375
PRSSL1	1.46066666666667
PDCL3	0.4505
DECR1	-3.287125
SALL1	-3.778
CADM4	0.876833333333333
RPS18	0.219714285714286
HNRPD	-0.35725
CFHR5	-0.074
SLC10A7	-0.130625
OR2K2	0.324
LMAN1	-1.28
SUHW1	-3.86475
CHD8	0.0279
SUMO1	0.4761
GP1BA	0.0135
DDB1	-0.8215
MYO9B	-0.362
MMP7	6.257
CRNKL1	0.5395
C9orf45	-0.6145
XAB2	0.4805
RTN1	2.15425
KLHL14	-0.2845
TBX10	-1.421
CENPQ	-1.122
UTY	-1.04346153846154
ZBTB12	0.424
DTNBP1	0.0285
KBTBD8	-2.23733333333333
ZEB1	0.341
ZG16	-0.5135
MIER1	0.3035
ADAM5P	-0.24
CHD9	-0.3368125
STK16	1.06425
KIAA1486	0.1925
TOB2	0.5255
BANK1	1.393
OR2V2	0.445
GRM2	-0.00666666666666665
PROSC	2.2495
SPIN2B	0.485
PIR	-2.725
IPO9	-0.2337
EVC	0.733333333333333
CXCL13	1.51583333333333
KIAA1199	-1.8579
SORL1	0.3255
NAT10	-0.0935
CHD1	0.33575
SYN3	-0.37875
SLC22A2	-0.5965
SERPINF1	-0.7925
WDR34	-0.16325
OR7A17	0.22225
C9orf11	-0.901
RNF216L	-0.9418
LHB	-0.0705
STK25	-0.10725
TAOK3	0.006
LOC152573	-3.103
C3orf39	0.972375
C14orf108	0.0735
CDC25B	-0.560454545454545
BMP3	-0.4645
TMEM180	0.207
MAP1LC3C	-0.42725
CRYGC	-0.17
POU3F1	-1.258
C20orf32	-1.2075
CCDC95	-0.0835
HIGD1B	3.2545
USP6NL	-0.927625
ABCD4	-0.147666666666667
DIMT1L	-0.681416666666667
TEK	0.500625
SLC25A46	-1.0875
LARP7	-1.6208
CD160	0.255666666666667
MT1JP	-0.504666666666667
PHF20	0.2808125
CPNE4	-0.993
GTPBP1	-0.407928571428572
RAB33B	0.718
ALDOC	-1.12125
ZNF212	0.25625
NUDT1	-1.2215
RFPL2	-0.158
ZNF83	0.119833333333333
GDPD5	1.21675
PDCD4	1.256
CEP350	-0.01875
OR10A2	0.24975
CST7	-0.13175
CIAO1	-0.87875
SELL	0.165375
OR8J3	0.5735
LTBP4	-0.660166666666667
SIRT6	0.0875
CCL19	3.6465
PPIL1	-0.398666666666667
GBP7	0.598
STK17A	-1.9189
ABR	0.185
OR9G1	-0.344
FOXE1	-0.91525
CNGA3	-0.0465
GML	0.504
CD38	-3.35125
ZDHHC6	-0.261166666666667
NEFH	-2.40575
CTDSP2	0.463166666666667
PGBD5	0.3795
CCNY	0.309928571428571
RMND5B	0.889416666666667
ZNF257	-0.2285
FLJ22167	0.717625
EXOSC7	-0.208833333333333
ROR2	0.1705
MAOA	-1.832875
TNNT3	0.3275
GYPC	-1.651
C7orf33	0.731
PLIN	2.741
LOC90826	0.07025
RNF4	0.1819
F8A1	1.693
PLEKHG4	1.213
GRB2	0.8617
HIST1H2AD	-1.79275
DUS3L	-0.854
EIF1	0.376166666666667
RP5-1077B9.4	-0.235833333333333
FPGT	1.19825
GDF10	-0.788666666666667
COQ9	0.52825
GCC2	0.160928571428571
RARRES3	0.405375
PLXNA1	-0.2551
KIAA0100	0.6931
PMF1	-0.08375
FNDC1	4.22275
HS2ST1	-0.185
CRELD2	0.1455
C8G	-0.922
CD82	-0.24275
LIM2	-1.1025
UNQ6490	-0.3635
MMP16	-0.22925
DRD3	-0.26825
C5orf26	0.731
C11orf73	-1.024125
PTP4A2	0.25725
OR4M2	0.2725
HPCA	-1.3375
SEC14L1	-0.4705
CHFR	0.1735
EMILIN1	1.060125
NDUFS4	-0.344
COL18A1	0.319125
PDZD3	-0.0588
C9orf16	-0.0548333333333333
ERBB2IP	0.258166666666667
EMX2	1.39225
FUS	-0.97
TF	-4.1272
CLCN4	-0.806833333333333
CXorf56	0.22425
C11orf72	0.23025
ELAC2	-0.723916666666667
NPR1	-1.26175
ASS1	-2.552
USP42	-0.409375
POLR2J	-0.351
SEC23IP	0.664166666666667
UQCRC1	0.06425
LOC729603	-0.443
C1orf71	-0.48975
POLG	-1.444
ADAM23	-4.23225
TFR2	-2.00525
RICTOR	-0.6706
MGC39606	-0.206
C19orf55	-0.06775
SNAPC1	-1.17733333333333
GNA11	1.2065
CCDC52	0.171333333333333
FSIP1	3.396
UPF3A	0.717
IGSF11	-2.803
LAGE3	2.0145
CHST6	-2.9345
UNC13B	0.2855
TTLL4	-1.714125
ZNF687	-0.278125
SDC2	-0.8833
COX7A2	0.28825
LAMB4	0.04025
FAM24A	0.5915
LRRTM3	-1.02183333333333
GPHB5	-0.05725
OR4C13	-0.373
EIF3EIP	-0.303928571428571
HABP4	-0.016
TMEM125	3.14025
CNTN2	-0.181
ASNSD1	-0.17
FUT4	-1.1315
ACF	-4.46425
LOC158381	-0.3405
CDH8	0.97825
AGPS	-1.34733333333333
C4orf18	1.8965
PECI	-1.49783333333333
UNG	-0.457
GSTP1	-2.8205
DCUN1D5	-2.4465
DKFZP564J0863	-1.8485
SLC9A3R1	2.740125
BCDO2	-0.60875
CHMP7	-0.6425
REM2	1.0065
DNHD1	-0.61225
FKBP4	0.03025
ZNF350	1.329
MGC11102	-0.07275
BST1	0.198
KISS1R	0.7135
NCR2	-0.5185
DEFB125	-0.4445
UBE2W	0.463875
KRT15	0.538125
C10orf99	0.478
SCN11A	0.02675
GFI1	-3.2095
RDHE2	0.360666666666667
FHL1	-1.53116666666667
OSGEP	0.141833333333333
GATA1	-4.21333333333333
SMC6	-1.14825
TTTY14	-0.979
LPIN3	0.1885
RPL4	0.0207
RBPMS	-0.124
PRPF3	-0.4995
EMR1	-3.0175
SPATA19	-0.26125
XCR1	1.2755
IRX3	1.463
RBM6	0.00225
KLF4	-1.3963
UNC5CL	-0.4155
SEBOX	0.021
BTK	-1.4925
KRCC1	1.0185
C6orf27	0.326
SYTL5	-0.1845
PRND	1.2335
LOC653319	0.144
PIGL	-1.36625
HUS1	-0.643666666666667
SFRS6	-0.161333333333333
C17orf77	0.3735
UIMC1	-0.083
FXYD2	-2.2443
LOC283152	1.13925
ZNF667	1.84275
ZCCHC12	1.01325
TFEC	1.5717
ATP7B	1.1655
POLD2	-0.764833333333333
RG9MTD1	-0.2265
ACOT2	-0.246
HIST1H4I	-1.047375
PPARGC1A	-2.453
ETFA	-2.3497
POLRMT	0.5635
ZNF146	0.3015
MIA2	-1.093
KLHL6	-1.55533333333333
HOXB5	-1.138625
NENF	-0.076
CUGBP1	-0.30725
PRSS22	1.34716666666667
CASC4	1.0424
CUL4B	-0.1963
CENPJ	-0.9993
PITX1	-0.141666666666667
FLJ31033	0.296333333333333
CELSR3	2.01216666666667
ZNF568	0.80075
ITSN1	-0.165916666666667
EHBP1L1	-1.584
C19orf2	-0.6545
DCTN1	0.37625
LIN28B	-3.19616666666667
TNKS2	-0.0605
C1QBP	-1.354625
CADPS2	1.60175
SRMS	0.284
GJA9	0.315
MGC24975	-0.631166666666667
TRIM45	-0.0966666666666667
TSP50	-0.0995
TCP1	-0.5645
TMED7	-0.3434
CMA1	0.754
CENPL	-0.962833333333333
PTCRA	0.055
FST	-5.0015
VWCE	-4.45975
PAWR	-1.001
ABCC12	0.185833333333333
LDLR	-0.9175
ASTN2	1.5451
LOC441212	-1.01125
GPATCH8	0.094
TANC2	1.32641666666667
KIF4A	-1.9055
C18orf18	-1.37075
PGM1	-2.2195
KIAA0258	0.94375
CPD	0.72125
SNCAIP	-0.7895
DCT	-5.1375
HLA-DOA	1.51054545454545
OR11L1	0.646
UPK1B	-0.405666666666667
DNAJB4	-1.384125
UGT1A8	-0.33875
HIST1H4L	-0.512
PECR	-2.3295
HSPA2	0.335
WFIKKN1	-1.4115
SERP1	-0.028125
SYDE2	1.205
TACR2	0.8595
NUP85	0.55525
CD177	-0.327666666666667
LGR5	-1.93016666666667
PIGG	0.246
PTHR1	-2.36416666666667
RAB5A	0.0666
FLJ13224	0.4485
USP9Y	-1.13816666666667
C7orf53	-0.8105
LRP1B	1.81375
XAF1	1.2587
ABCG8	-0.9325
ANKDD1A	-0.382333333333333
DAND5	-1.465
SPAG6	0.332666666666667
LINCR	0.0435
ZDHHC22	2.23575
CCDC60	0.226
THOC7	-1.0835
TCTA	1.0133
OR8K3	0.58375
NY-REN-7	-0.395
B2M	0.0488333333333333
C6orf141	2.747375
LPPR4	1.1815
SQLE	-0.0425
SEPHS1	-1.20975
BTBD14B	0.533142857142857
PLRG1	-1.512
SPG7	0.433125
ZNF614	-0.305833333333333
PARD6G	1.04916666666667
INPP5B	-0.6436
GRPEL2	-0.307625
PPID	-0.2492
TRIM56	0.1775
UBE2J1	-0.55075
IL20RA	3.7005
LOC387856	1.41425
C1orf107	0.194666666666667
UTS2R	0.56075
C19orf22	0.1505
SAFB2	0.40175
KIAA0652	0.16775
KLRG1	-0.693
MS4A8B	3.5345
FRAG1	0.493
KIAA1546	0.261
E2F4	-1.0586
CLEC4M	0.0681666666666667
BTBD14A	-1.62425
KIAA0999	0.3413
GYPA	-3.44683333333333
TAC1	1.3441
TRAIP	-0.718833333333333
KIAA0232	1.1966
ERCC8	-1.212875
GPX4	1.4665
KIAA0368	0.274625
GPR157	-0.143833333333333
CTAGE4	0.34
C9orf30	-1.64383333333333
OR52A1	0.3145
HSP90B3P	-0.7565
ALG9	-0.7397
BTBD10	0.61275
SDK2	1.02375
BAIAP3	1.99525
RABGGTB	-0.53
ANKRD40	0.2915
KRT74	0.3295
CALCOCO2	1.77457142857143
SNCA	-4.05525
TMSL8	-3.878875
C2orf53	-0.076
ESRRB	-0.3345
ARHGAP26	-1.847875
TDRD9	-3.498
HRAS	0.958166666666667
KLRC4	-2.8
JAGN1	-0.3575
BSDC1	1.18075
RNF43	0.6859
NDUFAF1	0.5515
PHF12	0.588
OR1L3	0.21975
FOLR2	0.9365
LYZL6	0.136
tcag7.1260	-2.642
WSB1	-2.3
PROS1	-1.6139
OSTN	0.566
PSMB8	-0.83825
SOCS4	-0.059375
DDIT4L	0.42375
MAS1	-0.431
MGC34796	1.0705
CSHL1	0.332333333333333
TBCCD1	0.454166666666667
ZBTB7C	0.456
AP2S1	-0.929
P15RS	0.0268
VAT1	0.2453
SHANK3	0.681166666666667
TUFM	-0.142666666666667
THEG	1.86975
KRT34	-1.87825
SGSM3	-0.70475
TOMM22	-1.05975
SOCS3	0.400166666666667
CPO	-0.1295
POP4	0.07025
BHLHB3	0.53475
MALL	0.7255
OR1B1	0.3325
PARK2	1.28966666666667
GPR124	0.82475
LCE1E	-0.1835
RUVBL2	-0.09
CGRRF1	0.3321
ACPL2	0.20825
WNT10B	-0.9225
BAIAP2L2	-2.82625
ISCA1	0.73
C1orf125	0.3625
RPAP1	-0.41025
RAI16	-0.606166666666667
RPL27	0.00962500000000001
NLRP9	-0.492
EPN1	-0.0365
LOC388610	-0.080625
SLC35A1	0.2429
GAL	-4.32075
SLC14A2	0.37925
RDH11	0.208333333333333
FAM138F	-0.275
AUH	0.60825
FLJ40243	0.387
C14orf129	0.209166666666667
MBD2	0.161166666666667
ABHD14B	-0.167375
PIGT	0.164375
ALS2CR4	-0.24325
ALAS1	0.088
FOXO1	0.121333333333333
CRLF3	-0.506875
C20orf107	0.291
FARS2	0.177
CCDC28A	0.004
NPHP3	-0.78975
OR13F1	0.031
TSEN54	0.86775
DEFB106B	0.2824
OR8B4	0.348
STH	2.3305
ZC3H14	-0.49475
CBX2	-0.168
TMEM49	-0.4565
C6orf21	0.282
FLJ20920	-0.544875
CRTAP	-0.796
DDX50	-0.22875
STYXL1	0.2125
BLVRB	-0.753333333333333
LOC147650	0.517166666666667
MMP24	0.5895
GRID1	0.652333333333333
BANF1	-0.2925
CTAGEP	-0.25475
HMBS	-2.083
