Hybridization REF	TCGA-A8-A09I-01A-22R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.28741666666667
CREB3L1	1.9075
RPS11	0.083625
PNMA1	0.48925
MMP2	0.563166666666667
C10orf90	-2.0825
ZHX3	0.0221666666666667
ERCC5	-0.81925
GPR98	0.098
RXFP3	0.745
APBB2	0.9235
PRO0478	-1.0195
KLHL13	-1.5775
PRSSL1	-0.398333333333333
PDCL3	0.7535
DECR1	0.261375
SALL1	-3.389
CADM4	-0.0015
RPS18	0.0113571428571429
HNRPD	-0.102666666666667
CFHR5	0.581166666666667
SLC10A7	0.26725
OR2K2	0.158
LMAN1	0.234875
SUHW1	-4.47325
CHD8	-0.0811
SUMO1	0.4199
GP1BA	-0.2338
DDB1	0.125833333333333
MYO9B	-0.0293
MMP7	5.246
CRNKL1	1.13325
C9orf45	-2.39266666666667
XAB2	0.128125
RTN1	1.4815
KLHL14	-1.904625
TBX10	-0.558
CENPQ	-0.834
UTY	-1.42384615384615
ZBTB12	0.576
DTNBP1	0.0365
KBTBD8	-0.803666666666667
ZEB1	0.137
ZG16	-1.95175
MIER1	0.1723
ADAM5P	0.123
CHD9	-1.73472347597681e-18
STK16	1.79975
KIAA1486	-1.1325
TOB2	1.35908333333333
BANK1	2.7695
OR2V2	0.2225
GRM2	0.149166666666667
PROSC	0.45725
SPIN2B	-0.4605
PIR	-0.975111111111111
IPO9	0.5265
EVC	0.897666666666667
CXCL13	7.12566666666667
KIAA1199	-0.4444
SORL1	-0.0935
NAT10	-1.00825
CHD1	-0.20575
SYN3	-0.624
SLC22A2	-0.499
SERPINF1	0.278833333333333
WDR34	0.18625
OR7A17	0.329
C9orf11	-0.2355
RNF216L	-0.4132
LHB	0.0555
STK25	-0.304125
TAOK3	0.80225
LOC152573	-3.9405
C3orf39	-0.391375
C14orf108	-0.0882
CDC25B	-0.0774545454545455
BMP3	0.873
TMEM180	0.2395
MAP1LC3C	-0.4885
CRYGC	-0.8985
POU3F1	-1.5843
C20orf32	-1.8435
CCDC95	-0.0795
HIGD1B	3.61725
USP6NL	-0.9955
ABCD4	-0.802166666666667
DIMT1L	-0.784333333333333
TEK	0.498
SLC25A46	-0.01775
LARP7	-1.505
CD160	0.3995
MT1JP	-0.326333333333333
PHF20	0.24875
CPNE4	1.758
GTPBP1	0.0172142857142857
RAB33B	1.07116666666667
ALDOC	-2.75275
ZNF212	-0.48575
NUDT1	-0.129
RFPL2	-0.29725
ZNF83	-0.332833333333333
GDPD5	1.622625
PDCD4	-0.1775
CEP350	0.11925
OR10A2	0.403
CST7	0.6
CIAO1	-0.40375
SELL	1.7645
OR8J3	-0.1265
LTBP4	-0.8195
SIRT6	-0.0535
CCL19	4.3055
PPIL1	-0.215166666666667
GBP7	1.4275
STK17A	-1.0265
ABR	0.1545
OR9G1	-0.51
FOXE1	-1.238
CNGA3	-0.002
GML	0.202
CD38	-0.17825
ZDHHC6	-0.261666666666667
NEFH	-3.0525
CTDSP2	0.0911666666666667
PGBD5	-1.785
CCNY	0.258642857142857
RMND5B	1.20825
ZNF257	-3.30075
FLJ22167	0.02125
EXOSC7	-0.782166666666667
ROR2	1.563
MAOA	-2.05175
TNNT3	-0.0228333333333333
GYPC	-1.7225
C7orf33	0.8285
PLIN	1.8755
LOC90826	-0.599
RNF4	0.0944
F8A1	0.260666666666667
PLEKHG4	-2.592
GRB2	1.0549
HIST1H2AD	-0.5825
DUS3L	-0.4845
EIF1	-0.00216666666666667
RP5-1077B9.4	-0.861666666666667
FPGT	0.808
GDF10	-1.74966666666667
COQ9	0.494
GCC2	-0.126857142857143
RARRES3	3.146875
PLXNA1	-0.5917
KIAA0100	-0.2015
PMF1	0.477
FNDC1	5.68725
HS2ST1	-0.641166666666667
CRELD2	1.71675
C8G	-1.3545
CD82	1.3225
LIM2	-1.0105
UNQ6490	-0.1125
MMP16	-0.654
DRD3	0.06075
C5orf26	-1.24575
C11orf73	0.904875
PTP4A2	0.24475
OR4M2	0.456
HPCA	-0.691
SEC14L1	-0.887166666666667
CHFR	0.781875
EMILIN1	1.26
NDUFS4	0.04925
COL18A1	-0.298375
PDZD3	0.0402
C9orf16	-0.192666666666667
ERBB2IP	0.0608333333333333
EMX2	3.356
FUS	-0.79325
TF	-4.191
CLCN4	-0.9565
CXorf56	0.0285
C11orf72	0.46475
ELAC2	-0.433583333333333
NPR1	-1.413
ASS1	-1.62416666666667
USP42	0.00775
POLR2J	-1.69
SEC23IP	0.662166666666667
UQCRC1	-0.62
LOC729603	-0.39775
C1orf71	-0.229875
POLG	-0.8485
ADAM23	-3.60925
TFR2	-1.6315
RICTOR	-1.086
MGC39606	-0.9085
C19orf55	0.00649999999999998
SNAPC1	-1.65766666666667
GNA11	0.86675
CCDC52	0.0998333333333333
FSIP1	4.564
UPF3A	-0.8975
IGSF11	-2.92716666666667
LAGE3	1.24025
CHST6	-2.3835
UNC13B	0.171
TTLL4	-0.76175
ZNF687	0.0985
SDC2	-1.2449
COX7A2	0.2295
LAMB4	0.21725
FAM24A	-0.179
LRRTM3	-1.49016666666667
GPHB5	0.3355
OR4C13	-0.1615
EIF3EIP	-0.032
HABP4	-0.6945
TMEM125	3.369
CNTN2	0.873125
ASNSD1	-0.34875
FUT4	1.3665
ACF	-3.78
LOC158381	0.9285
CDH8	0.69525
AGPS	-2.63816666666667
C4orf18	3.965375
PECI	-0.815333333333333
UNG	0.22975
GSTP1	-2.4815
DCUN1D5	1.101
DKFZP564J0863	-1.0955
SLC9A3R1	1.509375
BCDO2	2.488
CHMP7	-0.2875
REM2	3.609
DNHD1	-0.400875
FKBP4	0.46425
ZNF350	1.1225
MGC11102	0.543875
BST1	1.61525
KISS1R	0.986
NCR2	0.285
DEFB125	-0.269
UBE2W	1.22125
KRT15	-1.596875
C10orf99	0.331
SCN11A	0.00662500000000001
GFI1	-1.88125
RDHE2	3.63483333333333
FHL1	-2.12133333333333
OSGEP	0.036
GATA1	-3.40716666666667
SMC6	-0.8865
TTTY14	-1.24575
LPIN3	0.37325
RPL4	-0.1758
RBPMS	-1.0354
PRPF3	0.655166666666667
EMR1	-2.137
SPATA19	0.0835
XCR1	0.746
IRX3	1.5412
RBM6	-1.0045
KLF4	-0.7504
UNC5CL	-0.95675
SEBOX	0.39
BTK	-0.59975
KRCC1	-1.075
C6orf27	0.478
SYTL5	-1.209
PRND	0.238125
LOC653319	-0.5045
PIGL	-1.472875
HUS1	0.1395
SFRS6	1.30858333333333
C17orf77	0.451
UIMC1	-0.652833333333333
FXYD2	-1.8195
LOC283152	0.99875
ZNF667	-1.93425
ZCCHC12	-0.859
TFEC	3.8932
ATP7B	1.22116666666667
POLD2	-0.539666666666667
RG9MTD1	0.24625
ACOT2	0.2835
HIST1H4I	-1.260625
PPARGC1A	-2.4733
ETFA	-0.1077
POLRMT	-0.20625
ZNF146	-0.17325
MIA2	-2.428
KLHL6	-0.305666666666667
HOXB5	1.64275
NENF	0.696166666666667
CUGBP1	1
PRSS22	1.9165
CASC4	1.9007
CUL4B	-0.1262
CENPJ	-0.9963
PITX1	-0.185
FLJ31033	1.537
CELSR3	0.1365
ZNF568	0.19675
