Hybridization REF	TCGA-BH-A0DK-11A-13R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.28875
CREB3L1	0.1665
RPS11	0.075375
PNMA1	-0.00675
MMP2	0.191833333333333
C10orf90	-0.2175
ZHX3	-0.4425
ERCC5	0.2315
GPR98	0.098
RXFP3	0.19
APBB2	1.14025
PRO0478	-0.912
KLHL13	3.975
PRSSL1	-0.9635
PDCL3	1.0005
DECR1	0.20525
SALL1	-2.71366666666667
CADM4	0.519333333333333
RPS18	-0.220357142857143
HNRPD	-0.109833333333333
CFHR5	5.41066666666667
SLC10A7	0.530875
OR2K2	-0.5405
LMAN1	0.123
SUHW1	-3.52825
CHD8	-0.2885
SUMO1	0.1117
GP1BA	0.097
DDB1	0.139
MYO9B	-0.7182
MMP7	6.0565
CRNKL1	0.74725
C9orf45	-1.47583333333333
XAB2	0.22125
RTN1	1.6655
KLHL14	-0.388125
TBX10	-0.1845
CENPQ	-0.947
UTY	-1.17364285714286
ZBTB12	-0.666
DTNBP1	-0.261625
KBTBD8	-0.658333333333333
ZEB1	-0.245166666666667
ZG16	-0.75875
MIER1	0.336
ADAM5P	-0.089
CHD9	0.31275
STK16	1.516
KIAA1486	-0.249
TOB2	-0.0560833333333333
BANK1	3.39075
OR2V2	0.75175
GRM2	-0.122833333333333
PROSC	0.641375
SPIN2B	0.33475
PIR	-1.68577777777778
IPO9	-0.8546
EVC	0.742333333333333
CXCL13	3.97866666666667
KIAA1199	-3.9351
SORL1	0.92575
NAT10	-1.18
CHD1	-0.18925
SYN3	-0.748
SLC22A2	-0.4805
SERPINF1	-0.0918333333333333
WDR34	-1.01575
OR7A17	0.377
C9orf11	1.066
RNF216L	-0.4937
LHB	-0.544
STK25	-0.95875
TAOK3	0.994875
LOC152573	-1.90375
C3orf39	0.14075
C14orf108	1.6823
CDC25B	-2.43972727272727
BMP3	1.0325
TMEM180	0.1475
MAP1LC3C	2.102
CRYGC	-0.399
POU3F1	-1.6805
C20orf32	-0.8515
CCDC95	-0.763
HIGD1B	3.2345
USP6NL	0.66275
ABCD4	0.2795
DIMT1L	-0.383333333333333
TEK	0.859875
SLC25A46	-0.17075
LARP7	-1.2455
CD160	0.485333333333333
MT1JP	1.50666666666667
PHF20	-0.2333125
CPNE4	-0.31475
GTPBP1	-0.440214285714286
RAB33B	1.5005
ALDOC	-1.84225
ZNF212	-0.45925
NUDT1	-1.36583333333333
RFPL2	-0.317
ZNF83	0.328333333333333
GDPD5	-1.5415
PDCD4	2.42795
CEP350	0.09525
OR10A2	0.02775
CST7	-0.1855
CIAO1	-1.109
SELL	0.115375
OR8J3	1.0645
LTBP4	-0.115166666666667
SIRT6	-0.637
CCL19	2.47725
PPIL1	-1.11516666666667
GBP7	0.173666666666667
STK17A	-0.7615
ABR	0.561
OR9G1	-0.192
FOXE1	-0.457375
CNGA3	0.5115
GML	-0.0615
CD38	-3.41675
ZDHHC6	0.347833333333333
NEFH	-0.801
CTDSP2	0.769333333333333
PGBD5	-1.85683333333333
CCNY	-0.169071428571429
RMND5B	-0.0783333333333333
ZNF257	-0.89075
FLJ22167	0.08725
EXOSC7	-0.338833333333333
ROR2	0.68075
MAOA	2.5625
TNNT3	1.599
GYPC	-1.13675
C7orf33	-0.784
PLIN	2.51666666666667
LOC90826	1.17625
RNF4	0.2889
F8A1	0.454
PLEKHG4	-1.05875
GRB2	-0.4496
HIST1H2AD	1.22325
DUS3L	-1.22483333333333
EIF1	0.181833333333333
RP5-1077B9.4	-1.99283333333333
FPGT	1.58725
GDF10	2.97583333333333
COQ9	-0.0735
GCC2	0.679857142857143
RARRES3	2.0455
PLXNA1	-0.6122
KIAA0100	-0.1225
PMF1	-0.4495
FNDC1	3.3415
HS2ST1	-0.525583333333333
CRELD2	0.165
C8G	-1.935
CD82	0.974
LIM2	-0.862
UNQ6490	-0.2955
MMP16	0.104
DRD3	0.062
C5orf26	-0.47025
C11orf73	-0.317125
PTP4A2	0.41225
OR4M2	-0.0855
HPCA	-0.932
SEC14L1	-0.128166666666667
CHFR	-0.38175
EMILIN1	0.167875
NDUFS4	-0.16525
COL18A1	-0.749375
PDZD3	-0.082
C9orf16	-0.5585
ERBB2IP	0.0176666666666667
EMX2	3.37025
FUS	-1.0825
TF	-2.8779
CLCN4	0.174166666666667
CXorf56	0.945
C11orf72	0.75925
ELAC2	-0.446583333333333
NPR1	-0.1595
ASS1	-2.23983333333333
USP42	-0.10425
POLR2J	-0.702
SEC23IP	1.02866666666667
UQCRC1	-0.00025
LOC729603	-0.52275
C1orf71	-0.2865
POLG	-2.385
ADAM23	-3.59175
TFR2	-1.74025
RICTOR	-0.4142
MGC39606	1.7115
C19orf55	-0.644625
SNAPC1	-0.9355
GNA11	0.535375
CCDC52	0.360833333333333
FSIP1	4.0675
UPF3A	0.027875
IGSF11	-2.01466666666667
LAGE3	-1.0015
CHST6	-2.434
UNC13B	0.6115
TTLL4	-1.248
ZNF687	-0.4855
SDC2	0.8324
COX7A2	-0.09875
LAMB4	-0.33575
FAM24A	0.212
LRRTM3	-1.016
GPHB5	0.0935
OR4C13	-0.1015
EIF3EIP	0.0907142857142857
HABP4	-0.6535
TMEM125	3.5355
CNTN2	0.34475
ASNSD1	0.097
FUT4	-0.369125
ACF	-3.517
LOC158381	1.222
CDH8	0.1495
AGPS	-1.294
C4orf18	3.52075
PECI	1.68875
UNG	-0.5735
GSTP1	-0.457125
DCUN1D5	-1.23583333333333
DKFZP564J0863	-0.7795
SLC9A3R1	1.766125
BCDO2	0.08875
CHMP7	0.06325
REM2	0.4335
DNHD1	-0.331
FKBP4	-0.050625
ZNF350	2.3955
MGC11102	-0.386375
BST1	1.08825
KISS1R	-1.763
NCR2	-0.109
DEFB125	-0.0125
UBE2W	0.9655
KRT15	4.194375
C10orf99	0.383
SCN11A	0.186
GFI1	-2.3935
RDHE2	3.43466666666667
FHL1	0.503
OSGEP	0.112666666666667
GATA1	-3.969
SMC6	-1.821
TTTY14	-1.2155
LPIN3	0.06925
RPL4	-0.0578
RBPMS	0.062
PRPF3	-0.682166666666667
EMR1	-2.6245
SPATA19	0.323
XCR1	0.6245
IRX3	1.9335
RBM6	-0.42475
KLF4	1.3041
UNC5CL	-0.80625
SEBOX	-0.1805
BTK	-1.3155
KRCC1	1.7035
C6orf27	0.2905
SYTL5	0.3675
PRND	0.971125
LOC653319	-1.495
PIGL	-0.921375
HUS1	-0.281166666666667
SFRS6	0.302416666666667
C17orf77	1.062
UIMC1	-0.275333333333333
FXYD2	-2.0855
LOC283152	0.89425
ZNF667	0.27
ZCCHC12	0.71925
TFEC	2.1604
ATP7B	0.855
POLD2	-1.55416666666667
RG9MTD1	0.09625
ACOT2	0.867333333333333
HIST1H4I	-0.622
PPARGC1A	-1.2291
ETFA	0.9029
POLRMT	-1.02975
ZNF146	0.329875
MIA2	-1.1695
KLHL6	-0.789
HOXB5	-1.70675
NENF	0.267833333333333
CUGBP1	-0.29775
PRSS22	0.688
CASC4	0.8313
CUL4B	0.2354
CENPJ	-1.3344
PITX1	-1.32666666666667
FLJ31033	1.299
CELSR3	-2.61483333333333
ZNF568	0.861
ITSN1	-0.295916666666667
EHBP1L1	-1.5585
C19orf2	-0.07275
DCTN1	-0.3005
LIN28B	-3.56683333333333
TNKS2	0.5925
C1QBP	-0.4945
CADPS2	2.3705
SRMS	0.00925
GJA9	0.325333333333333
MGC24975	-1.05916666666667
TRIM45	-1.12516666666667
TSP50	0.602
TCP1	-0.5935
TMED7	0.337
CMA1	2.2805
CENPL	-1.482
PTCRA	-0.6645
FST	-2.9985
VWCE	-2.58675
PAWR	-0.2825
ABCC12	3.14866666666667
LDLR	-0.0286
ASTN2	1.2886
LOC441212	-1.06225
GPATCH8	-0.20275
TANC2	-0.368083333333333
KIF4A	-3.52475
C18orf18	-0.809
PGM1	-0.1125
KIAA0258	0.4585
CPD	1.566
SNCAIP	-0.01375
DCT	-4.31583333333333
HLA-DOA	1.86727272727273
OR11L1	-0.0295
UPK1B	-0.296333333333333
DNAJB4	1.2415
UGT1A8	0.377
HIST1H4L	-3.384
PECR	-1.73483333333333
HSPA2	1.86775
WFIKKN1	-2.141
SERP1	2.088375
SYDE2	1.141
TACR2	0.785
NUP85	-0.92325
CD177	-0.0456666666666667
LGR5	-1.62616666666667
PIGG	0.288916666666667
PTHR1	-1.76366666666667
RAB5A	1.0114
FLJ13224	-0.1335
USP9Y	-0.842666666666667
C7orf53	-0.5635
LRP1B	2.57775
XAF1	1.2923
ABCG8	-0.049
ANKDD1A	-0.00733333333333333
DAND5	-1.505
SPAG6	1.4785
LINCR	1.25575
ZDHHC22	-1.651
CCDC60	-0.8555
THOC7	-0.571166666666667
TCTA	1.1948
OR8K3	0.115
NY-REN-7	0.2575
B2M	0.467333333333333
C6orf141	-1.494375
LPPR4	2.407
SQLE	-0.08925
SEPHS1	-0.6035
BTBD14B	-0.655428571428571
PLRG1	0.3475
SPG7	-0.8641875
ZNF614	0.524833333333333
PARD6G	0.242333333333333
INPP5B	-0.8477
GRPEL2	-0.60725
PPID	-0.2573
TRIM56	-0.4805
UBE2J1	0.145125
IL20RA	6.18175
LOC387856	0.53425
C1orf107	0.578833333333333
UTS2R	-1.68825
C19orf22	-0.031
SAFB2	-0.25075
KIAA0652	-0.2465
KLRG1	-0.804
MS4A8B	2.4595
FRAG1	1.05975
KIAA1546	0.54325
E2F4	-1.0677
CLEC4M	0.304
BTBD14A	-1.33275
KIAA0999	1.1451
GYPA	-3.181
TAC1	4.0333
TRAIP	-2.148
KIAA0232	1.3772
ERCC8	-0.608
GPX4	0.994
KIAA0368	0.11125
GPR157	-1.757
CTAGE4	1.2775
C9orf30	-1.28983333333333
OR52A1	0.249
HSP90B3P	0.407
ALG9	0.0768
BTBD10	0.7505
SDK2	-0.09
BAIAP3	-0.81125
RABGGTB	-0.6135
ANKRD40	-0.281333333333333
KRT74	0.796
CALCOCO2	0.683714285714286
SNCA	-1.55725
TMSL8	-2.68625
C2orf53	0.0795
ESRRB	-0.29675
ARHGAP26	-0.268125
TDRD9	-1.034
HRAS	-0.641666666666667
KLRC4	-1.7675
JAGN1	0.247333333333333
BSDC1	0.61925
RNF43	0.0775
NDUFAF1	1.701
PHF12	0.70625
OR1L3	-0.08975
FOLR2	1.43958333333333
LYZL6	0.306333333333333
tcag7.1260	2.9395
WSB1	-0.972833333333333
PROS1	1.0506
OSTN	0.0265
PSMB8	-0.164
SOCS4	0.389625
DDIT4L	1.68075
MAS1	-0.7575
MGC34796	1.06975
CSHL1	0.141833333333333
TBCCD1	0.303166666666667
ZBTB7C	-0.463
AP2S1	-0.47575
P15RS	0.6508
VAT1	-1.0093
SHANK3	0.0203333333333333
TUFM	-0.721
THEG	1.143
KRT34	-1.616
SGSM3	0.2515
TOMM22	-0.4285
SOCS3	2.0245
CPO	1.7335
POP4	0.6335
BHLHB3	2.7685
MALL	1.936
OR1B1	0.305
PARK2	0.881666666666666
GPR124	1.005375
LCE1E	0.312
RUVBL2	-1.30225
CGRRF1	1.229
ACPL2	0.7545
WNT10B	-1.097375
BAIAP2L2	-2.34175
ISCA1	0.6525
C1orf125	-0.02175
RPAP1	-0.66675
RAI16	-0.054
RPL27	-0.48525
NLRP9	0.636
EPN1	-0.195
LOC388610	0.16675
SLC35A1	1.3745
GAL	-4.08825
SLC14A2	0.466
RDH11	0.0521666666666667
FAM138F	-0.7575
AUH	1.399
FLJ40243	0.00575000000000003
C14orf129	1.0465
MBD2	-0.0278333333333333
ABHD14B	0.4535
PIGT	0.767375
ALS2CR4	0.583375
ALAS1	-0.1118
FOXO1	2.0115
CRLF3	0.150125
C20orf107	0.1845
FARS2	0.70375
CCDC28A	1.09425
NPHP3	-0.00925
OR13F1	0.4355
TSEN54	-1.25875
DEFB106B	0.4125
OR8B4	0.169
STH	0.7295
ZC3H14	-0.199875
CBX2	-0.86
TMEM49	-0.00225
C6orf21	0.351
FLJ20920	1.799125
CRTAP	-0.0550714285714286
DDX50	0.06175
STYXL1	0.083
BLVRB	0.719
LOC147650	-0.5115
MMP24	0.36075
GRID1	2.0625
BANF1	-0.494333333333333
CTAGEP	0.775
HMBS	-1.77925
